@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atLccc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMbca numeric
@attribute o1atLbca numeric
@attribute destClass {0,1}

@data
28,18,60,22,25,63,26,62,21,22,67,64,23,64,21,26,61,14,23,24,70,18,58,59,27,24,23,66,22,67,70,16,70,14,27,18,25,24,23,24,26,23,22,24,27,21,26,23,26,22,0
42,36,53,38,42,50,41,49,36,37,53,53,38,54,39,41,48,35,38,39,55,36,52,47,41,38,38,52,38,53,56,36,56,36,41,36,42,38,38,38,42,39,37,38,41,39,41,38,41,38,0
35,28,58,30,34,59,34,58,32,32,60,60,31,60,30,34,57,26,33,31,63,28,57,57,34,31,33,59,33,60,63,27,63,26,34,28,34,31,33,31,34,31,32,31,34,30,34,31,34,30,0
40,33,57,34,40,53,38,52,35,37,55,58,34,59,35,39,53,32,37,35,59,33,57,52,38,34,36,54,37,56,60,33,60,32,38,33,40,34,36,34,40,35,37,34,39,35,39,34,38,34,0
41,30,57,32,41,47,39,46,26,30,54,59,32,60,33,40,44,28,33,33,61,30,57,43,39,32,32,53,33,55,62,30,62,28,39,30,41,32,32,32,41,33,30,32,40,33,40,32,39,32,0
28,16,56,22,25,61,23,60,16,17,67,59,21,60,24,24,56,11,21,26,68,14,52,55,25,23,19,66,20,67,69,16,69,13,27,16,26,23,21,25,27,25,17,25,25,24,26,21,23,24,0
39,42,49,43,39,56,37,55,37,37,56,49,42,50,44,38,55,40,38,44,50,41,49,55,37,42,37,55,38,57,52,42,51,41,37,41,39,43,37,42,39,44,37,43,38,44,38,42,37,43,0
32,23,60,27,30,61,30,60,27,28,63,62,27,63,26,31,60,21,29,28,66,23,58,59,30,27,28,62,29,64,67,23,67,21,30,23,30,27,28,27,32,28,28,27,31,26,31,27,30,27,0
31,24,58,29,31,60,30,59,24,25,64,59,28,60,30,30,58,19,26,30,64,23,57,56,30,28,26,63,26,64,66,24,65,22,30,23,31,29,26,28,31,30,25,29,30,30,30,28,30,29,0
34,26,62,28,34,56,33,55,24,25,61,63,28,64,29,33,52,24,28,29,65,26,62,51,33,28,28,60,28,61,66,26,66,25,33,26,34,28,28,28,34,29,25,28,33,29,33,28,33,28,0
