@relation 'Sax dominant'

@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o2atMaa numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atLcc numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMca numeric
@attribute o2atLca numeric
@attribute o2atMac numeric
@attribute o2atLac numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMaa numeric
@attribute o3atLcc numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMca numeric
@attribute o3atLca numeric
@attribute destClass {0,1}

@data
1,26,9,16,28,2,18,12,19,3,28,3,19,12,19,3,2,18,28,8,3,29,21,11,20,10,2,28,2,10,3,11,19,25,4,8,21,9,5,10,21,10,5,26,4,26,5,10,0
0,31,2,27,31,0,28,3,28,0,31,0,28,3,28,0,7,12,21,18,9,23,13,19,12,18,8,22,8,18,9,19,10,26,3,17,12,19,4,19,12,19,4,27,4,27,4,19,0
2,27,6,23,28,2,23,7,24,3,28,3,24,7,24,3,9,18,21,12,10,22,19,13,18,12,9,21,9,12,10,13,14,31,0,13,16,15,0,15,16,15,0,31,0,31,0,15,0
0,31,0,29,31,0,30,1,30,0,31,0,30,1,30,0,7,16,21,14,9,23,17,15,16,14,8,22,8,14,9,15,11,31,0,18,12,19,0,19,12,19,0,31,0,31,0,19,0
0,31,2,23,31,0,26,5,26,0,31,0,26,5,26,0,8,21,16,9,12,20,22,10,21,9,11,19,11,9,12,10,7,28,1,21,9,23,2,23,8,22,2,29,2,29,2,22,0
7,13,30,0,19,13,1,31,1,13,18,12,0,30,0,12,12,23,15,7,14,17,23,7,24,7,13,17,14,8,14,7,23,15,9,1,27,4,13,5,26,3,11,18,12,19,12,4,0
0,31,0,31,31,0,31,0,31,0,31,0,31,0,31,0,6,18,24,12,7,25,19,13,18,12,6,24,6,12,7,13,0,31,0,29,1,30,0,30,1,30,0,31,0,31,0,30,0
0,31,0,29,31,0,30,1,30,0,31,0,30,1,30,0,0,10,29,14,1,30,14,18,13,17,1,30,1,17,1,18,21,31,0,8,22,9,0,9,22,9,0,31,0,31,0,9,0
0,31,10,13,31,0,17,14,17,0,31,0,17,14,17,0,12,20,18,5,13,19,23,8,23,8,12,18,12,8,13,8,7,31,0,19,10,22,0,22,9,21,0,31,0,31,0,21,0
0,31,17,8,31,0,11,20,11,0,31,0,11,20,11,0,5,8,25,22,6,26,9,23,8,22,5,25,5,22,6,23,24,13,14,3,26,5,16,5,26,5,16,15,16,15,16,5,0
