@relation 'Sax dominant'

@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute destClass {2,1}

@data
33,53,77,15,17,79,58,38,57,37,16,78,17,38,2.0
30,62,76,16,18,78,64,32,63,31,17,77,18,32,1.0
35,57,77,15,17,79,59,37,58,36,16,78,17,37,2.0
32,60,75,17,19,77,62,34,61,33,18,76,19,34,1.0
31,61,76,16,18,78,63,33,62,32,17,77,18,33,1.0
32,60,76,16,18,78,62,34,61,33,17,77,18,34,1.0
27,63,78,14,16,80,66,30,65,29,15,79,16,30,2.0
38,56,74,18,20,76,57,39,56,38,19,75,20,39,2.0
30,62,77,15,17,79,64,32,63,31,16,78,17,32,1.0
30,62,76,16,18,78,64,32,63,31,17,77,18,32,1.0
30,62,76,16,18,78,64,32,63,31,17,77,18,32,1.0
27,65,79,13,15,81,67,29,66,28,14,80,15,29,2.0
27,65,77,15,17,79,67,29,66,28,16,78,17,29,1.0
29,61,76,16,18,78,64,32,63,31,17,77,18,32,1.0
31,61,76,16,18,78,63,33,62,32,17,77,18,33,1.0
27,65,78,14,16,80,67,29,66,28,15,79,16,29,2.0
29,61,77,15,17,79,64,32,63,31,16,78,17,32,1.0
31,59,77,15,17,79,62,34,61,33,16,78,17,34,2.0
31,61,77,15,17,79,63,33,62,32,16,78,17,33,2.0
30,62,76,16,18,78,64,32,63,31,17,77,18,32,1.0
28,64,78,14,16,80,66,30,65,29,15,79,16,30,2.0
29,61,77,15,16,79,64,31,63,31,16,78,17,32,2.0
27,65,78,14,16,80,67,29,66,28,15,79,16,29,2.0
29,61,78,14,16,80,64,32,63,31,15,79,16,32,2.0
28,64,77,15,17,79,66,30,65,29,16,78,17,30,2.0
27,65,76,16,18,78,67,29,66,28,17,77,18,29,1.0
31,61,76,16,18,78,63,33,62,32,17,77,18,33,1.0
30,62,76,16,18,78,64,32,63,31,17,77,18,32,1.0
29,63,76,16,18,78,65,31,64,30,17,77,18,31,1.0
31,59,77,15,16,79,62,33,61,33,16,78,17,34,2.0
32,60,75,17,19,77,62,34,61,33,18,76,19,34,1.0
31,59,78,14,15,80,62,33,61,33,15,79,16,34,2.0
36,58,75,15,18,78,59,37,58,36,17,77,18,37,2.0
36,58,75,17,19,77,59,37,58,36,18,76,19,37,1.0
30,62,79,13,15,81,64,32,63,31,14,80,15,32,2.0
27,65,77,15,17,79,67,29,66,28,16,78,17,29,2.0
27,65,77,15,17,79,67,29,66,28,16,78,17,29,2.0
34,60,77,15,17,79,61,35,60,34,16,78,17,35,1.0
31,61,75,17,19,77,63,33,62,32,18,76,19,33,1.0
33,59,78,14,16,80,61,35,60,34,15,79,16,35,2.0
27,65,78,14,16,80,67,29,66,28,15,79,16,29,2.0
26,64,77,15,17,79,67,29,66,28,16,78,17,29,1.0
33,59,76,16,18,78,61,35,60,34,17,77,18,35,2.0
31,59,77,15,16,79,62,33,61,33,16,78,17,34,2.0
34,58,76,16,18,78,60,36,59,35,17,77,18,36,2.0
31,61,76,16,18,78,63,33,62,32,17,77,18,33,2.0
33,57,79,13,15,81,60,36,59,35,14,80,15,36,2.0
34,60,77,15,17,79,61,35,60,34,16,78,17,35,1.0
35,57,77,15,17,79,59,37,58,36,16,78,17,37,2.0
28,64,75,17,19,77,66,30,65,29,18,76,19,30,1.0
32,60,78,14,16,80,62,34,61,33,15,79,16,34,2.0
28,64,77,15,17,79,66,30,65,29,16,78,17,30,2.0
29,61,75,17,19,77,64,32,63,31,18,76,19,32,1.0
34,56,75,15,18,78,59,37,58,36,17,77,18,37,2.0
31,61,75,17,19,77,63,33,62,32,18,76,19,33,1.0
42,52,55,33,37,59,53,43,52,42,36,58,37,43,2.0
28,62,76,16,18,78,65,31,64,30,17,77,18,31,1.0
30,62,76,16,18,78,64,32,63,31,17,77,18,32,1.0
