@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMaa numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atLee numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute destClass {2,1}

@data
92,49,35,75,13,17,79,41,55,14,81,19,76,94,2,15,77,14,76,40,54,93,1,0,18,75,13,80,41,2,15,55,15,2,18,54,19,55,40,1,19,2,2.0
75,34,58,68,13,18,79,60,36,15,81,23,73,77,19,15,73,14,72,59,35,76,18,17,22,72,14,80,60,19,15,36,15,19,22,35,23,36,59,18,23,19,1.0
73,40,54,51,12,37,80,55,41,14,82,41,55,75,21,14,55,13,54,54,40,74,20,19,40,54,13,81,55,21,14,41,14,21,40,40,41,41,54,20,41,21,2.0
73,40,54,60,13,30,79,55,41,15,81,33,63,75,21,15,63,14,62,54,40,74,20,19,32,62,14,80,55,21,15,41,15,21,32,40,33,41,54,20,33,21,1.0
77,36,54,75,14,17,78,57,39,16,80,19,77,79,17,16,77,15,76,56,38,78,16,15,18,75,14,79,57,17,16,39,16,17,18,38,19,39,56,16,19,17,1.0
73,36,58,55,12,35,80,59,37,14,82,38,58,75,21,14,58,13,57,58,36,74,20,19,37,57,13,81,59,21,14,37,14,21,37,36,38,37,58,20,38,21,1.0
79,38,52,76,12,16,80,54,41,14,82,18,78,81,14,14,78,13,77,54,40,80,14,13,17,77,13,81,55,15,14,41,14,15,17,40,18,41,54,14,18,15,2.0
70,39,55,57,12,27,80,56,40,14,82,33,63,72,24,14,63,13,62,55,39,71,23,22,32,62,13,81,56,24,14,40,14,24,32,39,33,40,55,23,33,24,2.0
78,39,51,74,13,18,79,53,42,15,81,20,76,80,15,15,76,14,75,53,41,79,15,14,19,75,14,80,54,16,15,42,15,16,19,41,20,42,53,15,20,16,1.0
76,35,55,71,14,19,78,58,37,15,80,21,73,78,18,15,74,15,73,57,37,77,17,16,21,73,15,79,58,18,16,38,16,18,21,37,22,37,57,17,22,18,1.0
75,35,55,74,14,18,78,58,38,16,80,20,76,77,19,16,76,15,75,57,37,76,18,17,19,75,15,79,58,19,16,38,16,19,19,37,20,38,57,18,20,19,1.0
78,32,58,76,12,16,80,60,35,14,82,18,78,80,15,14,78,13,77,60,34,79,15,14,17,77,13,81,61,16,14,35,14,16,17,34,18,35,60,15,18,16,2.0
77,35,55,75,14,17,78,57,38,16,80,19,77,79,16,16,77,15,76,57,37,78,16,15,18,75,14,79,58,17,16,38,16,17,18,37,19,38,57,16,19,17,1.0
78,40,50,73,14,19,78,53,43,16,80,21,75,80,16,16,75,15,74,52,42,79,15,14,20,74,15,79,53,16,16,43,16,16,20,42,21,43,52,15,21,16,1.0
76,34,56,74,13,18,79,59,37,15,81,20,76,78,18,15,76,14,75,58,36,77,17,16,19,75,14,80,59,18,15,37,15,18,19,36,20,37,58,17,20,18,1.0
75,30,60,76,12,16,80,62,33,14,82,18,78,77,18,14,78,13,77,62,32,76,18,17,17,77,13,81,63,19,14,33,14,19,17,32,18,33,62,18,18,19,2.0
78,40,48,74,13,18,79,51,44,15,81,20,76,80,15,15,76,14,75,51,43,79,15,14,19,75,14,80,52,16,15,44,15,16,19,43,20,44,51,15,20,16,1.0
83,45,43,75,13,17,79,46,49,14,81,19,76,85,10,15,77,14,76,46,48,84,10,9,18,76,14,80,47,11,15,49,15,11,18,48,19,49,46,10,19,11,2.0
75,36,56,75,12,17,80,58,38,14,82,19,77,77,19,14,77,13,76,57,37,76,18,17,18,76,13,81,58,19,14,38,14,19,18,37,19,38,57,18,19,19,2.0
75,36,54,63,14,27,78,57,39,16,80,30,66,77,19,16,66,15,65,56,38,76,18,17,29,65,15,79,57,19,16,39,16,19,29,38,30,39,56,18,30,19,1.0
79,35,55,75,12,17,80,57,38,14,82,19,77,81,14,14,77,13,76,57,37,80,14,13,18,76,13,81,58,15,14,38,14,15,18,37,19,38,57,14,19,15,2.0
79,38,52,76,13,16,79,54,40,14,81,17,77,82,13,14,78,14,77,54,40,81,13,11,17,76,13,80,55,13,14,41,15,14,17,40,17,40,54,13,18,13,2.0
81,38,52,76,12,16,80,54,41,14,82,18,78,83,12,14,78,13,77,54,40,82,12,11,17,77,13,81,55,13,14,41,14,13,17,40,18,41,54,12,18,13,2.0
84,43,47,77,12,15,80,49,46,13,82,17,78,86,9,14,79,13,78,49,45,85,9,8,16,78,13,81,50,10,14,46,14,10,16,45,17,46,49,9,17,10,2.0
75,32,60,76,11,16,81,62,34,13,83,18,78,77,19,13,78,12,77,61,33,76,18,17,17,77,12,82,62,19,13,34,13,19,17,33,18,34,61,18,18,19,2.0
75,32,58,63,13,27,79,61,35,15,81,30,66,77,19,15,66,14,65,60,34,76,18,17,29,64,13,80,61,19,15,35,15,19,29,34,30,35,60,18,30,19,1.0
74,35,57,64,12,24,80,59,37,14,82,28,68,76,20,14,68,13,67,58,36,75,19,18,27,67,13,81,59,20,14,37,14,20,27,36,28,37,58,19,28,20,1.0
73,34,58,72,13,18,79,60,36,15,81,21,75,75,21,15,75,14,74,59,35,74,20,19,20,74,14,80,60,21,15,36,15,21,20,35,21,36,59,20,21,21,1.0
76,37,51,73,14,19,78,54,41,16,80,21,75,78,17,16,75,15,74,54,39,77,17,16,19,74,15,79,55,18,16,41,16,18,20,40,21,41,54,17,21,18,1.0
79,38,50,76,13,16,79,53,41,14,81,17,77,82,13,14,78,14,77,53,41,81,13,11,17,76,13,80,54,13,14,42,15,14,17,41,17,41,53,13,18,13,2.0
74,37,55,74,13,18,79,57,39,15,81,20,76,76,20,15,76,14,75,56,38,75,19,18,19,75,14,80,57,20,15,39,15,20,19,38,20,39,56,19,20,20,1.0
76,35,57,76,12,16,80,58,36,13,82,17,77,79,16,13,78,13,77,58,36,78,16,14,17,77,13,81,59,16,13,37,14,17,17,36,17,36,58,16,18,16,2.0
72,37,57,51,11,35,81,58,38,13,83,40,56,74,22,13,56,12,55,57,37,73,21,20,39,55,12,82,58,22,13,38,13,22,39,37,40,38,57,21,40,22,2.0
75,37,57,74,13,18,79,58,38,15,81,20,76,77,19,15,76,14,75,57,37,76,18,17,19,75,14,80,58,19,15,38,15,19,19,37,20,38,57,18,20,19,1.0
76,37,55,78,9,14,83,57,39,11,85,16,80,78,18,11,80,10,79,56,38,77,17,16,15,79,10,84,57,18,11,39,11,18,15,38,16,39,56,17,16,18,2.0
76,33,59,76,11,16,81,61,35,13,83,18,78,78,18,13,78,12,77,60,34,77,17,16,17,77,12,82,61,18,13,35,13,18,17,34,18,35,60,17,18,18,2.0
76,33,57,75,12,17,80,60,36,14,82,19,77,78,18,14,77,13,76,59,35,77,17,16,18,76,13,81,60,18,14,36,14,18,18,35,19,36,59,17,19,18,2.0
77,36,52,75,14,17,78,56,39,15,80,18,76,79,17,15,77,15,76,55,38,78,16,15,17,76,15,79,56,17,16,40,16,17,18,39,19,39,55,16,19,17,1.0
76,36,54,74,14,18,78,57,39,16,80,20,76,78,18,16,76,15,75,56,38,77,17,16,19,74,14,79,57,18,16,39,16,18,19,38,20,39,56,17,20,18,1.0
70,37,57,69,11,23,81,58,38,13,83,25,71,72,24,13,71,12,70,57,37,71,23,22,24,70,12,82,58,24,13,38,13,24,24,37,25,38,57,23,25,24,2.0
79,34,56,76,12,16,80,58,37,14,82,18,78,81,14,14,78,13,77,58,36,80,14,13,17,77,13,81,59,15,14,37,14,15,17,36,18,37,58,14,18,15,2.0
77,37,51,73,13,17,79,54,40,14,81,19,75,79,16,14,76,14,75,54,40,78,16,15,19,75,14,80,55,17,15,41,15,17,19,40,20,40,54,16,20,17,1.0
77,36,56,74,13,18,79,58,38,15,81,20,76,79,17,15,76,14,75,57,37,78,16,15,19,75,14,80,58,17,15,38,15,17,19,37,20,38,57,16,20,17,2.0
79,41,49,76,13,16,79,51,43,14,81,17,77,82,13,14,78,14,77,51,43,81,13,11,17,76,13,80,52,13,14,44,15,14,17,43,17,43,51,13,18,13,2.0
77,38,54,74,13,18,79,56,40,15,81,20,76,79,17,15,76,14,75,55,39,78,16,15,19,75,14,80,56,17,15,40,15,17,19,39,20,40,55,16,20,17,2.0
75,35,57,74,13,18,79,59,37,15,81,20,76,77,19,15,76,14,75,58,36,76,18,17,19,75,14,80,59,19,15,37,15,19,19,36,20,37,58,18,20,19,2.0
84,44,46,74,12,16,80,48,47,13,82,19,76,86,9,14,77,13,76,48,46,85,9,8,18,76,13,81,49,10,14,47,14,10,18,46,19,47,48,9,19,10,2.0
74,35,57,64,13,26,79,59,36,14,81,28,66,76,20,14,67,14,66,58,36,75,19,18,28,66,14,80,59,20,15,37,15,20,28,36,29,36,58,19,29,20,1.0
76,39,55,76,11,16,81,56,40,13,83,18,78,78,18,13,78,12,77,55,39,77,17,16,17,77,12,82,56,18,13,40,13,18,17,39,18,40,55,17,18,18,2.0
74,33,57,66,13,20,79,60,36,15,81,25,71,76,20,15,71,14,70,59,35,75,19,18,24,70,14,80,60,20,15,36,15,20,24,35,25,36,59,19,25,20,1.0
80,39,53,75,12,17,80,55,41,14,82,19,77,82,14,14,77,13,76,54,40,81,13,12,18,76,13,81,55,14,14,41,14,14,18,40,19,41,54,13,19,14,2.0
77,30,60,76,13,16,79,62,33,15,81,18,78,79,16,15,78,14,77,62,32,78,16,15,17,76,13,80,63,17,15,33,15,17,17,32,18,33,62,16,18,17,2.0
74,34,56,63,13,25,79,59,37,15,81,29,67,77,19,15,67,14,66,58,36,76,18,16,28,66,14,80,59,19,15,37,15,19,28,36,29,37,58,18,29,19,1.0
84,45,45,69,12,21,80,47,48,13,82,24,71,86,9,14,72,13,71,47,47,85,9,8,23,71,13,81,48,10,14,48,14,10,23,47,24,48,47,9,24,10,2.0
74,33,59,64,14,24,78,61,34,15,80,27,67,76,20,15,68,15,67,60,34,75,19,18,27,67,15,79,61,20,16,35,16,20,27,34,28,34,60,19,28,20,1.0
71,43,51,47,12,45,80,52,44,14,82,47,49,73,23,14,49,13,48,51,43,72,22,21,46,48,13,81,52,23,14,44,14,23,46,43,47,44,51,22,47,23,2.0
76,36,54,74,13,18,79,56,39,15,81,20,76,78,17,15,76,14,75,56,38,77,17,16,19,75,14,80,57,18,15,39,15,18,19,38,20,39,56,17,20,18,1.0
76,37,53,73,13,19,79,56,40,15,81,21,75,78,18,15,75,14,74,55,39,77,17,16,20,74,14,80,56,18,15,40,15,18,20,39,21,40,55,17,21,18,1.0
72,37,57,57,12,33,80,58,38,14,82,36,60,74,22,14,60,13,59,57,37,73,21,20,35,59,13,81,58,22,14,38,14,22,35,37,36,38,57,21,36,22,1.0
