@relation 'Sax dominant'

@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMaa numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMaa numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atLcc numeric
@attribute o3atLcc numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMaa numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute destClass {2,1}

@data
11,18,30,1,31,19,12,19,12,0,1,12,0,30,27,14,15,16,15,29,2,16,15,29,2,0,22,6,31,8,24,7,23,0,0,31,0,31,0,24,2.0
0,31,29,2,30,31,0,31,0,1,2,0,1,29,24,14,15,16,15,25,7,16,15,24,6,6,23,6,31,7,24,7,24,0,0,31,0,31,0,24,1.0
0,31,29,2,30,31,0,31,0,1,2,0,1,29,23,15,14,15,16,24,8,15,16,23,7,7,27,2,31,3,28,3,28,0,0,31,0,31,0,28,2.0
0,31,29,2,30,31,0,31,0,1,2,0,1,29,23,13,16,17,14,24,8,17,14,23,7,7,24,5,31,6,25,6,25,0,0,31,0,31,0,25,1.0
0,31,29,2,30,31,0,31,0,1,2,0,1,29,28,14,15,16,15,29,3,16,15,28,2,2,28,1,31,2,29,2,29,0,0,31,0,31,0,29,1.0
0,31,29,2,30,31,0,31,0,1,2,0,1,29,27,14,15,16,15,28,4,16,15,27,3,3,28,1,31,2,29,2,29,0,0,31,0,31,0,29,1.0
1,28,30,1,31,29,2,29,2,0,1,2,0,30,22,15,14,15,16,23,9,15,16,22,8,8,17,12,31,13,18,13,18,0,0,31,0,31,0,18,2.0
0,31,26,5,27,31,0,31,0,4,5,0,4,26,24,15,14,15,16,25,7,15,16,24,6,6,31,0,31,0,31,0,31,0,0,31,0,31,0,31,2.0
0,31,30,1,31,31,0,31,0,0,1,0,0,30,23,14,15,16,15,24,8,16,15,23,7,7,22,7,31,8,23,8,23,0,0,31,0,31,0,23,1.0
0,31,30,1,31,31,0,31,0,0,1,0,0,30,29,13,16,17,14,30,2,17,14,29,1,1,28,1,31,2,29,2,29,0,0,31,0,31,0,29,1.0
0,31,29,2,30,31,0,31,0,1,2,0,1,29,25,14,15,16,15,26,6,16,15,25,5,5,24,5,31,6,25,6,25,0,0,31,0,31,0,25,1.0
0,31,30,1,31,31,0,31,0,0,1,0,0,30,22,16,13,14,17,23,9,14,17,22,8,8,18,11,31,12,19,12,19,0,0,31,0,31,0,19,2.0
0,31,30,1,31,31,0,31,0,0,1,0,0,30,28,14,15,16,15,29,3,16,15,28,2,2,24,5,31,6,25,6,25,0,0,31,0,31,0,25,1.0
0,29,30,1,31,30,1,30,1,0,1,1,0,30,27,13,16,17,14,28,4,17,14,27,3,3,25,4,31,5,26,5,26,0,0,31,0,31,0,26,1.0
0,31,29,2,30,31,0,31,0,1,2,0,1,29,22,14,15,16,15,23,9,16,15,22,8,8,22,7,31,8,23,8,23,0,0,31,0,31,0,23,1.0
0,31,29,2,30,31,0,31,0,1,2,0,1,29,22,16,13,14,17,23,9,14,17,22,8,8,18,11,31,12,19,12,19,0,0,31,0,31,0,19,2.0
0,29,30,1,31,30,1,30,1,0,1,1,0,30,23,14,15,16,15,24,8,16,15,23,7,7,21,8,31,9,22,9,22,0,0,31,0,31,0,22,1.0
5,24,30,1,31,25,6,25,6,0,1,6,0,30,25,14,15,16,15,26,6,16,15,25,5,5,20,9,31,10,21,10,21,0,0,31,0,31,0,21,2.0
0,31,29,2,30,31,0,31,0,1,2,0,1,29,21,15,14,15,16,22,10,15,16,21,9,9,21,8,31,9,22,9,22,0,0,31,0,31,0,22,2.0
0,31,30,1,31,31,0,31,0,0,1,0,0,30,27,13,16,17,14,28,4,17,14,27,3,3,26,3,31,4,27,4,27,0,0,31,0,31,0,27,1.0
