@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMaa numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atLee numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o2atMcc numeric
@attribute o2atLcc numeric
@attribute o2atMaa numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMdd numeric
@attribute o2atLdd numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMcd numeric
@attribute o2atLcd numeric
@attribute o2atMca numeric
@attribute o2atLca numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMde numeric
@attribute o2atLde numeric
@attribute o2atMdc numeric
@attribute o2atLdc numeric
@attribute o2atLee numeric
@attribute o2atMdb numeric
@attribute o2atLdb numeric
@attribute o2atMed numeric
@attribute o2atLed numeric
@attribute o3atMdd numeric
@attribute o3atLdd numeric
@attribute o3atMcc numeric
@attribute o3atLcc numeric
@attribute o3atMde numeric
@attribute o3atLde numeric
@attribute o3atMcd numeric
@attribute o3atLcd numeric
@attribute o3atMed numeric
@attribute o3atLed numeric
@attribute o3atMdc numeric
@attribute o3atLdc numeric
@attribute o3atLee numeric
@attribute o3atMce numeric
@attribute o3atLce numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMaa numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMbe numeric
@attribute o3atLbe numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute destClass {2,1}

@data
31,14,9,30,13,18,1,31,13,18,0,31,1,30,0,30,0,0,30,1,18,1,0,31,0,1,18,0,31,0,0,18,13,0,23,12,13,17,16,31,7,14,17,18,13,24,8,14,13,18,12,13,17,31,0,23,7,0,18,7,31,0,28,27,2,31,30,2,3,28,29,1,3,28,0,3,2,0,31,0,31,0,31,0,0,31,0,2,0,31,2.0
31,0,31,25,31,0,1,28,31,0,1,31,4,28,3,27,0,1,30,1,0,1,0,31,0,4,0,0,31,0,3,0,31,0,23,11,13,17,16,31,7,14,17,19,13,24,8,14,12,18,12,14,17,31,0,23,7,0,18,7,31,0,11,26,3,31,13,19,4,27,12,18,4,27,17,4,19,0,31,0,31,0,31,0,0,31,0,19,0,31,1.0
31,0,31,7,31,0,2,9,31,0,2,30,22,9,22,9,1,20,29,2,0,2,0,31,0,22,0,0,31,0,22,0,31,0,22,12,11,16,18,30,8,12,19,18,14,23,9,12,13,17,13,12,19,31,1,22,8,0,17,8,30,0,11,31,0,31,12,19,0,31,12,19,0,31,18,0,19,0,31,0,31,0,31,0,0,31,0,19,0,31,2.0
31,0,31,17,31,0,1,18,31,0,1,31,13,18,13,18,0,12,30,1,0,1,0,31,0,13,0,0,31,0,13,0,31,0,22,11,13,17,16,30,8,14,17,19,13,23,9,14,12,18,12,14,17,31,1,22,8,0,18,8,30,0,11,31,0,31,12,19,0,31,12,19,0,31,18,0,19,0,31,0,31,0,31,0,0,31,0,19,0,31,1.0
31,1,28,29,29,2,1,30,29,2,1,31,2,30,1,29,0,1,30,1,2,1,0,31,0,2,2,0,31,0,1,2,29,0,25,13,14,16,15,31,3,15,16,17,14,27,5,15,14,17,13,14,16,31,0,26,4,0,17,4,31,0,13,31,0,31,15,17,0,31,14,16,0,31,15,0,17,0,31,0,31,0,31,0,0,31,0,17,0,31,1.0
31,0,31,14,31,0,1,15,31,0,1,31,16,15,16,15,0,15,30,1,0,1,0,31,0,16,0,0,31,0,16,0,31,0,26,9,12,19,17,31,4,13,18,21,11,27,5,13,10,20,10,13,18,31,0,26,4,0,20,4,31,0,9,31,0,31,11,21,0,31,10,20,0,31,19,0,21,0,31,0,31,0,31,0,0,31,0,21,0,31,1.0
31,9,20,29,21,10,1,30,21,10,1,31,2,30,1,29,0,1,30,1,10,1,0,31,0,2,10,0,31,0,1,10,21,0,21,14,12,15,17,31,9,13,18,16,15,22,10,13,15,16,15,13,18,31,0,21,9,0,16,9,31,0,16,19,10,31,17,13,10,20,17,14,11,20,13,11,14,0,31,0,31,0,31,0,0,31,0,14,0,31,2.0
31,0,31,12,31,0,2,16,31,0,2,30,15,16,15,16,1,11,29,2,0,2,0,31,0,15,0,0,31,0,15,0,31,0,23,13,11,16,18,31,7,12,19,17,14,24,8,12,14,17,14,12,19,31,0,23,7,0,17,7,31,0,6,31,0,31,8,24,0,31,7,23,0,31,22,0,24,0,31,0,31,0,31,0,0,31,0,24,0,31,2.0
31,6,23,29,24,7,1,30,24,7,1,31,2,30,1,29,0,1,30,1,7,1,0,31,0,2,7,0,31,0,1,7,24,0,22,12,13,17,16,31,8,14,17,18,13,23,9,14,13,18,13,14,17,31,0,22,8,0,18,8,31,0,14,24,5,31,16,15,5,25,15,15,6,25,14,6,16,0,31,0,31,0,31,0,0,31,0,16,0,31,1.0
31,1,26,30,28,2,0,31,28,3,0,31,0,30,0,30,0,0,30,1,3,1,0,31,0,1,2,0,31,0,0,3,28,0,28,8,14,19,15,31,2,15,16,21,10,29,3,15,10,21,10,15,16,31,0,28,2,0,21,2,31,0,12,31,0,31,14,18,0,31,13,17,0,31,16,0,18,0,31,0,31,0,31,0,0,31,0,18,0,31,1.0
