@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMaa numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atLee numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o2atMcc numeric
@attribute o2atLcc numeric
@attribute o2atMaa numeric
@attribute o2atMcd numeric
@attribute o2atLcd numeric
@attribute o2atMca numeric
@attribute o2atLca numeric
@attribute o2atMdc numeric
@attribute o2atLdc numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMdb numeric
@attribute o2atLdb numeric
@attribute o2atLdd numeric
@attribute o3atMaa numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMdd numeric
@attribute o3atLdd numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMcd numeric
@attribute o3atLcd numeric
@attribute o3atMcc numeric
@attribute o3atLcc numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMca numeric
@attribute o3atLca numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMdb numeric
@attribute o3atLdb numeric
@attribute o3atMde numeric
@attribute o3atLde numeric
@attribute o3atLee numeric
@attribute o4atMdd numeric
@attribute o4atLdd numeric
@attribute o4atLee numeric
@attribute o4atMde numeric
@attribute o4atLde numeric
@attribute o4atMed numeric
@attribute o4atLed numeric
@attribute o4atMcd numeric
@attribute o4atLcd numeric
@attribute o4atMcc numeric
@attribute o5atMdd numeric
@attribute o5atLdd numeric
@attribute o5atMcc numeric
@attribute o5atLcc numeric
@attribute o5atMcd numeric
@attribute o5atLcd numeric
@attribute o5atMde numeric
@attribute o5atLde numeric
@attribute o5atMed numeric
@attribute o5atLed numeric
@attribute o5atMdc numeric
@attribute o5atLdc numeric
@attribute o5atLee numeric
@attribute o5atMce numeric
@attribute o5atLce numeric
@attribute o5atMbb numeric
@attribute o5atLbb numeric
@attribute o5atMbc numeric
@attribute o5atLbc numeric
@attribute o5atMcb numeric
@attribute o5atLcb numeric
@attribute o5atMaa numeric
@attribute o5atMab numeric
@attribute o5atLab numeric
@attribute o5atMbe numeric
@attribute o5atLbe numeric
@attribute o5atMba numeric
@attribute o5atLba numeric
@attribute destClass {2,1}

@data
19,14,3,16,1,19,3,16,1,18,0,19,1,18,0,0,18,0,18,1,16,1,0,19,0,1,16,0,19,0,0,16,3,0,15,16,2,17,2,3,17,17,2,2,16,3,16,2,17,2,16,3,2,0,10,14,8,19,3,11,9,15,5,16,4,15,4,10,8,10,4,14,4,14,3,19,0,0,19,19,0,19,0,19,0,0,19,0,13,11,2,15,3,12,14,1,14,1,3,12,0,3,1,0,15,0,15,0,15,0,0,15,0,1,0,15,2
19,0,19,0,1,18,19,0,19,17,1,19,2,18,0,1,18,1,17,1,0,1,0,19,0,2,0,0,19,0,1,0,19,0,19,9,2,19,0,3,13,19,0,6,12,7,13,3,17,3,16,7,0,0,10,13,8,19,3,11,9,14,6,16,4,15,5,10,8,10,5,13,5,13,3,19,0,0,4,19,14,5,15,4,14,0,19,0,11,10,3,15,4,11,12,3,12,3,4,11,2,4,3,0,15,0,15,0,15,0,0,15,0,3,0,15,1
19,0,19,0,2,9,19,0,19,7,2,18,10,9,1,8,17,10,9,2,0,2,0,19,0,10,0,0,19,0,10,0,19,0,19,1,2,19,0,3,2,19,0,17,2,17,2,3,17,16,16,17,0,0,8,11,10,19,4,9,11,12,8,15,5,14,7,8,10,8,7,11,7,11,4,19,0,0,2,19,16,3,17,2,16,0,19,0,11,15,0,15,0,15,12,3,12,3,0,15,2,0,3,0,15,0,15,0,15,0,0,15,0,3,0,15,2
19,0,19,0,1,18,19,0,19,17,1,19,2,18,0,1,18,1,17,1,0,1,0,19,0,2,0,0,19,0,1,0,19,0,19,1,3,19,0,4,2,19,0,17,2,17,2,4,16,16,15,17,0,0,9,12,9,19,4,10,10,13,7,15,5,14,6,9,9,9,6,12,6,12,4,19,0,0,2,19,16,3,17,2,16,0,19,0,11,15,0,15,0,15,12,3,12,3,0,15,2,0,3,0,15,0,15,0,15,0,0,15,0,3,0,15,1
19,1,17,2,1,18,17,2,16,17,1,19,2,18,0,1,18,1,17,1,2,1,0,19,0,2,2,0,19,0,1,2,17,0,17,19,0,18,1,0,19,18,1,0,19,0,19,0,19,0,19,0,1,0,14,16,4,19,0,15,5,17,3,19,0,19,2,14,4,14,2,16,2,16,0,19,0,0,11,19,7,12,8,11,7,0,19,0,6,15,0,15,0,15,7,8,7,8,0,15,7,0,8,0,15,0,15,0,15,0,0,15,0,8,0,15,1
19,0,19,0,1,11,19,0,19,10,1,19,9,11,0,8,18,8,10,1,0,1,0,19,0,9,0,0,19,0,8,0,19,0,19,5,0,19,0,0,7,19,0,12,6,13,7,0,19,11,19,13,0,0,12,15,6,19,0,13,7,16,4,19,1,18,3,12,6,12,3,15,3,15,0,19,0,0,6,19,12,7,13,6,12,0,19,0,7,15,0,15,0,15,8,7,8,7,0,15,6,0,7,0,15,0,15,0,15,0,0,15,0,7,0,15,1
19,9,9,10,1,18,9,10,8,17,1,19,2,18,0,1,18,1,17,1,10,1,0,19,0,2,10,0,19,0,1,10,9,0,19,13,4,19,0,5,14,19,0,5,13,6,14,5,15,5,14,6,0,0,7,9,11,19,5,8,12,10,10,14,6,13,9,7,11,7,9,9,9,9,5,19,0,0,4,19,13,5,14,5,14,0,19,0,14,3,10,15,10,4,15,0,14,0,11,4,0,11,1,0,15,0,15,0,15,0,0,15,0,1,0,15,2
19,0,19,0,2,7,19,0,19,5,2,18,13,7,1,11,17,12,6,2,0,2,0,19,0,13,0,0,19,0,12,0,19,0,19,9,1,19,0,2,13,19,0,6,12,7,13,2,18,3,17,7,0,0,9,12,9,19,3,10,10,13,7,16,4,15,6,9,9,9,6,12,6,12,3,19,0,0,4,19,14,5,15,4,14,0,19,0,6,15,0,15,0,15,7,8,7,8,0,15,7,0,8,0,15,0,15,0,15,0,0,15,0,8,0,15,2
19,6,12,7,1,18,12,7,11,17,1,19,2,18,0,1,18,1,17,1,7,1,0,19,0,2,7,0,19,0,1,7,12,0,19,13,4,19,0,5,14,19,0,5,13,6,14,5,15,5,14,6,0,0,8,11,10,19,4,9,11,12,8,15,5,14,7,8,10,8,7,11,7,11,4,19,0,0,6,19,12,7,13,6,12,0,19,0,12,8,5,15,5,9,13,1,13,2,6,9,1,6,2,0,15,0,15,0,15,0,0,15,0,2,0,15,1
19,1,16,2,0,19,16,3,14,18,0,19,0,18,0,0,18,0,18,1,3,1,0,19,0,1,2,0,19,0,0,3,16,0,19,16,0,19,0,0,17,19,0,2,17,2,17,0,19,1,19,2,0,0,14,18,3,19,0,15,4,19,1,19,0,19,0,15,4,15,0,18,0,18,0,19,0,0,10,18,8,11,9,10,8,1,19,0,6,15,0,15,0,15,7,8,7,8,0,15,7,0,8,0,15,0,15,0,15,0,0,15,0,8,0,15,1
