@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMaa numeric
@attribute o1atLee numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute destClass {2,3,4,1}

@data
78,18,58,61,12,12,21,70,81,14,67,25,13,81,15,28,24,15,14,71,67,14,66,27,23,69,80,13,13,72,23,26,68,14,15,15,23,14,23,27,12,80,13,78,14,27,14,14,2
77,16,64,60,12,13,23,69,80,14,70,22,13,81,14,24,25,15,14,70,71,13,69,20,21,69,79,13,14,71,24,23,72,15,15,16,24,15,22,23,13,80,14,78,14,23,14,15,3
75,19,59,66,15,15,22,70,78,16,66,26,16,78,17,28,24,17,17,71,67,16,66,26,22,71,77,16,17,72,22,27,68,16,18,18,23,17,22,27,17,77,18,75,17,27,17,17,4
78,17,53,55,13,12,24,64,81,13,64,25,13,80,15,30,29,14,15,66,65,14,64,24,23,65,80,13,13,67,28,27,66,14,16,15,28,14,28,29,14,79,17,77,15,29,15,14,4
80,18,60,68,11,12,18,74,82,12,67,25,12,82,14,27,20,14,12,75,68,13,68,25,18,73,81,13,13,76,19,26,69,13,14,14,19,13,19,25,11,81,12,79,13,26,13,13,2
76,17,65,68,15,14,21,71,79,15,70,23,15,78,18,24,22,17,17,73,71,16,70,22,20,72,78,15,17,74,22,23,72,17,18,17,21,16,21,23,16,77,16,75,17,23,17,16,4
75,18,56,59,14,15,24,66,78,15,64,26,14,79,16,29,27,17,15,68,66,17,65,25,23,66,77,16,15,69,26,27,67,17,17,18,26,17,26,27,14,78,17,76,16,28,16,17,1
77,15,57,59,12,13,24,68,80,14,67,25,13,81,15,27,26,16,13,69,68,14,66,24,23,67,79,13,14,70,26,26,69,16,15,16,25,14,24,25,12,80,15,78,13,26,14,15,1
77,15,49,60,14,15,21,67,79,15,63,25,15,79,15,31,27,15,16,68,64,15,63,28,24,67,78,15,15,69,25,29,65,15,17,17,26,16,25,30,15,78,18,76,16,30,16,16,4
74,20,52,61,16,16,21,68,77,16,61,27,17,77,19,32,26,19,16,69,63,17,62,29,23,67,76,17,18,70,24,31,64,17,19,19,25,17,24,29,16,76,17,74,17,31,18,18,2
70,23,59,58,19,20,28,64,73,21,64,29,19,74,21,30,29,22,20,66,65,21,64,27,26,64,72,21,21,67,28,29,66,22,22,23,28,21,27,28,19,73,20,71,20,29,21,22,3
72,23,57,60,19,18,27,65,75,20,64,30,19,74,22,31,28,21,20,67,64,19,63,29,26,66,74,19,21,68,28,30,65,21,22,21,27,19,26,29,20,73,20,71,20,30,21,20,2
78,16,64,59,13,12,24,67,81,13,70,22,13,80,15,24,26,14,14,69,71,13,70,19,21,68,80,13,14,70,25,22,72,14,16,15,25,13,24,22,14,79,15,77,14,23,15,14,3
74,17,65,62,15,16,24,69,77,16,69,22,17,78,17,24,26,18,17,69,71,18,69,23,25,68,76,16,17,70,24,23,72,17,18,19,25,18,25,23,16,77,18,75,17,23,17,18,3
78,16,54,59,11,12,22,68,81,13,65,25,12,82,14,29,26,15,12,69,66,13,64,22,19,68,80,12,14,70,24,29,67,13,14,15,25,13,24,27,12,81,15,79,12,28,13,14,3
76,19,65,64,16,14,22,69,79,17,71,22,16,78,18,25,25,17,16,70,70,16,70,23,23,69,78,16,17,71,25,24,71,17,18,17,24,16,24,23,16,77,18,76,17,24,17,16,3
74,19,59,55,17,16,27,63,77,16,65,25,17,76,19,28,30,18,19,65,67,18,67,26,28,63,76,18,19,66,29,27,68,18,20,19,29,18,29,27,17,75,19,73,19,27,19,18,4
74,20,60,52,17,16,31,62,77,18,67,26,19,76,20,28,33,19,18,62,67,18,67,26,31,60,76,18,20,63,33,28,68,19,20,19,32,18,32,26,17,75,22,73,19,27,19,18,2
75,17,59,61,16,15,23,67,78,16,67,23,17,77,18,27,27,17,17,68,68,16,67,23,23,67,77,16,18,69,25,26,69,16,19,18,26,16,25,25,17,76,19,74,17,26,18,17,2
70,21,57,63,20,20,24,67,73,20,63,27,21,73,22,30,27,22,22,68,65,22,64,29,26,66,72,21,22,69,25,29,66,21,23,23,26,22,26,29,20,72,21,70,22,29,22,22,4
74,20,66,65,16,16,24,68,77,18,70,24,16,77,19,25,25,19,18,70,70,18,69,23,23,69,76,17,18,71,25,24,71,19,19,19,24,18,24,24,17,76,19,74,18,24,18,18,3
72,19,61,65,18,18,25,69,75,19,67,27,19,75,21,27,25,21,19,70,68,19,66,25,23,68,74,18,21,71,25,27,69,21,21,21,24,19,23,25,18,74,19,72,19,26,20,20,2
78,18,60,66,15,12,21,71,81,14,68,25,15,79,16,27,23,14,16,72,68,14,67,25,21,71,80,13,16,73,22,26,69,14,17,15,22,14,22,26,15,78,16,77,16,26,16,14,3
74,19,53,57,16,16,26,65,77,16,62,29,16,77,18,31,28,18,18,67,64,18,62,27,24,66,76,16,18,68,27,30,65,18,19,19,27,18,27,30,17,76,17,74,18,30,18,18,4
75,20,58,59,16,15,24,66,78,16,65,25,17,77,19,29,28,18,17,67,66,16,65,26,25,65,77,16,18,68,27,28,67,17,19,18,27,16,26,27,16,76,19,74,17,28,18,17,3
78,16,62,58,12,12,25,67,81,13,69,23,13,81,15,25,27,15,13,68,70,13,68,21,23,66,80,12,14,69,26,24,71,14,15,15,26,13,25,23,12,80,16,78,13,24,14,14,1
74,18,60,58,18,16,25,65,77,16,66,23,19,75,20,27,29,18,19,66,68,18,68,24,26,64,76,18,19,67,27,25,69,17,21,19,28,18,28,25,18,74,20,72,20,26,20,18,4
72,21,59,59,17,18,26,66,75,19,65,27,18,76,20,29,28,21,17,67,66,18,64,26,25,65,74,18,20,68,27,29,67,20,20,21,27,18,25,26,17,75,19,73,17,28,19,20,1
79,12,68,58,11,11,23,68,82,11,73,18,11,82,13,20,25,13,12,70,75,12,73,18,23,68,81,11,13,71,24,19,76,13,14,14,24,12,23,18,11,81,12,79,12,19,13,13,3
71,20,58,58,18,19,28,63,74,19,64,27,18,75,20,29,30,21,20,65,66,21,64,28,29,64,73,19,19,66,29,27,67,21,21,22,29,21,29,28,19,74,22,72,20,28,20,21,2
74,16,56,63,15,16,25,67,77,16,65,27,15,78,17,28,26,18,17,69,67,18,65,25,23,69,76,16,17,70,25,27,68,18,18,19,25,18,25,27,17,77,19,75,17,27,17,18,4
77,17,63,60,13,13,22,68,80,15,70,21,14,80,16,25,26,16,14,69,70,14,68,23,24,67,79,13,16,70,26,25,71,16,16,16,25,14,24,23,13,79,16,77,14,24,15,15,1
77,16,58,55,14,13,28,63,80,14,67,25,14,79,16,27,30,15,16,65,68,15,68,24,27,65,79,15,15,66,29,25,69,15,17,16,29,15,29,26,16,78,19,76,16,26,16,15,4
73,21,63,56,16,17,29,65,76,18,67,27,17,77,19,27,29,20,17,66,68,18,67,25,27,65,75,18,19,67,29,27,69,20,19,20,28,18,27,25,17,76,18,74,17,26,18,19,2
73,20,56,67,17,17,24,70,76,18,64,30,18,76,20,30,24,20,18,71,65,19,64,28,22,70,75,18,20,72,24,30,66,20,20,20,23,19,23,28,18,75,19,73,19,29,19,19,3
79,17,55,59,12,11,22,68,82,13,66,26,12,81,15,29,25,14,13,70,66,12,64,25,21,69,81,11,13,71,25,27,67,14,15,14,24,12,23,27,13,80,13,78,13,28,14,13,4
71,20,62,64,18,19,23,68,74,20,67,24,19,75,20,27,26,21,20,69,68,20,66,25,24,68,73,19,19,70,25,25,69,21,21,22,25,21,24,26,19,74,20,72,20,26,20,21,2
74,21,59,57,16,16,27,65,77,17,65,27,17,77,19,29,29,19,18,66,66,18,66,28,28,65,76,18,18,67,28,28,67,18,19,19,28,18,28,28,17,76,19,74,18,28,18,18,4
76,19,55,64,17,14,23,67,79,15,64,27,17,76,19,30,26,16,18,69,65,16,65,27,23,67,78,16,18,70,25,28,66,16,20,17,25,16,25,28,17,75,20,73,19,29,19,16,4
73,20,62,64,18,17,25,67,76,18,67,26,18,75,21,27,26,20,19,69,68,18,67,24,23,67,75,18,20,70,26,26,69,20,21,20,25,18,24,25,18,74,20,72,19,26,20,19,2
70,23,55,59,20,20,30,64,73,20,61,32,21,73,23,32,30,23,21,65,63,21,61,30,28,63,72,20,23,66,30,32,64,23,23,23,29,21,28,30,20,72,23,70,21,31,22,22,1
78,15,61,63,13,12,24,68,81,12,68,24,13,80,16,25,25,15,15,70,70,14,69,24,24,68,80,13,16,71,25,25,71,15,16,15,24,14,24,24,13,79,17,77,15,24,15,14,4
76,18,62,55,14,14,29,64,79,16,69,25,15,79,17,26,30,17,16,65,69,15,68,24,28,65,78,15,16,66,30,25,70,17,17,17,29,16,28,25,16,78,19,76,16,25,16,16,3
71,21,61,63,20,19,25,67,74,20,66,26,21,73,23,28,27,22,21,68,67,20,66,26,25,66,73,20,23,69,26,28,68,21,23,22,26,20,25,26,20,72,21,70,21,27,22,21,2
73,21,57,61,17,17,25,67,76,17,63,28,18,76,19,30,27,19,18,68,65,18,64,27,24,67,75,18,18,69,26,28,66,19,20,20,26,18,25,28,18,75,19,73,18,29,19,19,2
72,20,52,59,18,18,28,65,75,19,62,31,19,75,21,32,29,21,18,66,63,18,61,28,25,64,74,18,21,67,29,32,64,21,21,21,28,18,26,29,18,74,21,72,18,31,20,20,1
79,18,60,62,13,11,22,69,82,13,68,25,13,80,15,27,24,13,14,71,68,13,68,24,21,70,81,13,14,72,23,25,69,13,16,14,23,13,23,25,14,79,14,77,15,26,15,13,4
75,18,56,62,15,15,23,68,78,15,64,27,15,78,16,29,25,16,17,70,66,17,65,27,23,69,77,16,16,71,23,27,67,16,18,18,24,17,24,28,16,77,16,75,17,28,17,17,4
77,16,56,61,15,13,24,67,80,14,66,25,16,78,18,28,27,16,17,68,67,15,66,27,26,67,79,14,17,69,26,27,68,15,18,16,26,15,26,27,16,77,19,75,17,27,17,15,4
78,17,55,63,12,12,21,70,81,12,64,26,13,81,14,29,24,14,12,71,66,14,65,24,19,69,80,13,14,72,23,28,67,14,15,15,23,14,23,26,12,80,15,78,14,28,14,14,3
77,16,64,58,15,13,25,67,80,15,71,22,16,78,18,24,27,16,15,68,71,14,70,21,24,66,79,14,17,69,27,23,72,16,18,16,26,14,25,21,15,77,16,75,16,23,17,15,2
75,17,59,57,15,15,25,66,78,15,66,25,15,78,17,27,27,17,17,68,68,17,66,23,23,66,77,15,17,69,26,26,69,17,18,18,26,17,26,26,15,77,15,75,17,26,17,17,4
72,19,61,61,17,18,25,67,75,18,66,25,18,76,19,27,27,20,18,68,68,19,67,24,24,66,74,19,19,69,25,26,69,19,20,21,26,19,25,25,17,75,19,73,18,26,19,20,2
73,18,62,59,16,17,26,65,76,18,68,24,16,77,18,26,28,19,18,67,69,18,67,23,25,67,75,17,17,68,27,24,70,19,19,20,27,19,26,25,18,76,19,74,18,25,18,19,4
70,22,62,63,20,20,27,66,73,21,66,28,20,73,23,28,27,23,22,68,67,21,66,26,25,67,72,21,23,69,27,28,68,23,23,23,26,22,25,27,21,72,21,70,22,27,22,22,3
76,19,61,61,16,14,23,67,79,16,68,24,16,77,18,27,26,16,17,69,68,16,68,25,24,68,78,16,17,70,25,25,69,16,19,17,25,16,25,25,17,76,17,74,18,26,18,16,4
78,15,65,57,11,12,24,67,81,13,71,20,12,82,14,23,27,15,13,68,72,13,70,21,25,68,80,12,14,69,26,23,73,14,14,15,26,14,25,22,13,81,15,79,13,22,13,14,2
74,16,62,62,16,16,23,67,77,16,68,22,16,77,17,25,26,17,18,69,70,18,68,24,25,67,76,16,17,70,24,23,71,17,19,19,25,18,25,24,16,76,18,74,18,24,18,18,4
70,21,61,53,18,20,34,62,73,21,66,28,21,75,21,28,34,23,19,61,67,20,65,24,30,60,72,20,21,62,34,28,68,23,21,23,33,21,31,26,19,74,25,72,19,27,20,22,1
75,20,62,58,15,15,26,67,78,16,67,26,16,78,17,27,27,17,16,68,68,16,67,25,25,66,77,16,17,69,26,26,69,17,18,18,26,16,25,25,15,77,16,75,16,26,17,17,2
76,16,54,61,15,14,26,66,79,15,65,28,15,78,18,29,27,17,17,68,66,16,64,27,25,66,78,14,17,69,27,28,67,17,18,17,26,16,26,28,15,77,19,75,17,28,17,16,2
74,21,65,60,17,16,27,65,77,18,69,24,18,76,20,26,29,19,19,66,69,17,68,23,26,66,76,17,19,67,29,25,70,19,20,19,28,18,27,25,19,75,22,73,19,25,19,18,2
