@relation 'Sax dominant'

@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbca numeric
@attribute o1atLbca numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMcac numeric
@attribute o1atLcac numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute destClass {2,3,4,1}

@data
18,71,17,70,11,73,15,10,75,14,76,15,18,68,72,65,13,75,13,76,19,16,79,12,78,12,18,15,18,12,19,12,13,15,13,16,79,10,18,14,18,15,11,76,17,15,18,15,18,10,11,15,2
14,75,14,74,11,68,17,11,68,17,69,17,14,72,64,71,12,77,12,78,16,19,75,12,74,12,15,18,16,13,17,13,13,19,13,20,75,13,15,17,14,18,11,78,14,18,15,17,16,13,11,19,3
17,71,19,70,15,68,17,14,70,17,71,17,17,68,67,67,17,73,15,74,19,19,75,15,73,15,19,18,20,16,21,17,17,19,17,21,74,14,18,18,17,19,15,74,19,18,19,17,20,14,15,20,4
15,68,19,67,11,66,17,12,68,19,68,15,18,64,62,61,14,73,12,74,18,18,74,12,74,14,20,20,20,14,21,14,14,20,14,20,74,12,18,19,16,20,11,74,19,17,20,15,20,12,11,20,4
12,78,12,77,10,76,12,12,77,13,77,13,12,75,75,75,11,79,11,80,13,14,79,12,79,12,13,14,14,13,15,13,12,15,12,15,79,12,13,13,13,14,10,80,12,13,13,13,14,12,10,15,2
15,75,17,74,13,70,17,13,72,18,73,16,16,72,69,72,15,76,14,77,17,18,76,14,75,15,17,18,17,15,18,15,15,18,15,19,76,13,16,18,15,18,13,77,17,17,17,16,17,13,13,18,4
15,72,16,71,12,68,17,13,70,17,71,17,16,69,66,67,14,75,12,76,17,18,75,14,74,15,18,19,18,15,19,15,14,19,14,20,75,13,16,17,16,19,12,76,16,17,18,17,18,13,12,19,1
20,69,16,68,11,65,19,12,68,17,69,21,18,66,63,62,12,74,13,75,20,21,74,15,73,14,18,19,19,15,20,15,13,20,13,21,74,12,19,17,20,19,11,75,16,20,18,21,19,12,11,20,1
17,67,20,66,13,71,16,13,72,16,73,14,19,64,69,60,15,72,13,73,20,17,77,13,75,14,21,17,21,14,22,15,15,17,15,19,76,13,19,16,17,18,13,73,20,16,21,14,21,13,13,18,4
18,69,19,68,15,67,17,14,69,18,70,18,18,66,65,64,16,72,15,73,20,19,74,15,73,15,20,19,21,16,22,16,17,20,17,21,74,14,19,18,19,19,15,73,19,18,20,18,21,14,15,20,2
