@relation 'Sax dominant'

@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMaaa numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMeca numeric
@attribute o1atLeca numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atLeee numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMaad numeric
@attribute o1atLaad numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMade numeric
@attribute o1atLade numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMcbe numeric
@attribute o1atLcbe numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMaee numeric
@attribute o1atLaee numeric
@attribute o1atMeeb numeric
@attribute o1atLeeb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaae numeric
@attribute o1atLaae numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMcdb numeric
@attribute o1atLcdb numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMcbd numeric
@attribute o1atLcbd numeric
@attribute o1atMdbc numeric
@attribute o1atLdbc numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMeba numeric
@attribute o1atLeba numeric
@attribute o1atMebc numeric
@attribute o1atLebc numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMbee numeric
@attribute o1atLbee numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMabe numeric
@attribute o1atLabe numeric
@attribute o1atMbca numeric
@attribute o1atLbca numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMecd numeric
@attribute o1atLecd numeric
@attribute o1atMadb numeric
@attribute o1atLadb numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMbdb numeric
@attribute o1atLbdb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMedb numeric
@attribute o1atLedb numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMdbd numeric
@attribute o1atLdbd numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMdaa numeric
@attribute o1atLdaa numeric
@attribute o1atMadc numeric
@attribute o1atLadc numeric
@attribute o1atMeda numeric
@attribute o1atLeda numeric
@attribute o1atMace numeric
@attribute o1atLace numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMecc numeric
@attribute o1atLecc numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMdce numeric
@attribute o1atLdce numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMeea numeric
@attribute o1atLeea numeric
@attribute o1atMeaa numeric
@attribute o1atLeaa numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMebb numeric
@attribute o1atLebb numeric
@attribute o1atMcda numeric
@attribute o1atLcda numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMecb numeric
@attribute o1atLecb numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMece numeric
@attribute o1atLece numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMdda numeric
@attribute o1atLdda numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMebe numeric
@attribute o1atLebe numeric
@attribute o1atMbda numeric
@attribute o1atLbda numeric
@attribute o1atMdbe numeric
@attribute o1atLdbe numeric
@attribute o1atMbed numeric
@attribute o1atLbed numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMbec numeric
@attribute o1atLbec numeric
@attribute o1atMcec numeric
@attribute o1atLcec numeric
@attribute o1atMcea numeric
@attribute o1atLcea numeric
@attribute o1atMbad numeric
@attribute o1atLbad numeric
@attribute o1atMebd numeric
@attribute o1atLebd numeric
@attribute o1atMcac numeric
@attribute o1atLcac numeric
@attribute o1atMced numeric
@attribute o1atLced numeric
@attribute o1atMdac numeric
@attribute o1atLdac numeric
@attribute o1atMdec numeric
@attribute o1atLdec numeric
@attribute o1atMdeb numeric
@attribute o1atLdeb numeric
@attribute o1atMcad numeric
@attribute o1atLcad numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMdab numeric
@attribute o1atLdab numeric
@attribute o1atMada numeric
@attribute o1atLada numeric
@attribute o1atMcae numeric
@attribute o1atLcae numeric
@attribute destClass {2,3,4,1}

@data
13,61,10,51,51,12,71,21,23,22,26,67,12,14,14,20,59,19,59,11,80,10,65,15,57,24,12,27,80,12,79,11,57,22,14,18,64,18,64,16,15,14,55,25,12,70,21,59,66,13,67,13,23,14,12,61,11,67,15,12,23,12,10,79,12,15,21,13,20,25,23,13,22,23,21,24,75,13,12,14,21,13,13,25,23,12,12,69,77,11,13,15,10,69,58,13,66,11,11,27,19,25,11,25,12,67,13,67,23,13,22,18,13,26,13,24,22,15,11,71,12,27,12,27,14,13,13,14,67,12,58,13,11,69,66,12,11,75,22,16,14,12,12,14,13,26,10,77,13,13,13,25,80,10,12,27,78,12,13,27,11,78,23,13,10,71,67,10,10,80,13,18,13,14,23,10,10,25,23,12,22,13,11,67,11,75,19,14,55,14,13,14,12,24,22,11,13,59,64,13,13,24,64,14,22,14,14,23,13,67,75,13,13,26,10,27,14,14,2
13,59,10,58,51,12,69,21,21,20,20,70,11,14,13,19,58,21,58,11,80,11,67,15,61,17,11,24,79,12,78,11,62,19,13,16,66,14,67,14,14,14,62,18,12,69,19,59,68,11,70,12,21,12,13,60,14,67,15,13,24,13,11,79,12,16,23,14,20,21,24,13,20,20,20,19,74,13,13,15,22,12,13,22,25,12,12,68,76,11,13,15,11,68,64,12,69,11,11,23,21,19,14,22,13,66,13,66,22,13,21,16,13,22,13,22,21,15,11,70,12,23,13,20,14,13,14,15,71,12,63,11,11,69,69,12,12,75,21,15,14,13,12,15,12,23,11,77,14,14,13,21,79,11,12,23,77,12,13,20,11,78,21,13,10,70,71,11,10,80,13,16,14,14,24,11,11,22,22,12,21,12,12,66,12,75,21,12,62,12,13,14,12,22,23,11,13,59,67,12,13,19,66,12,21,14,13,20,13,66,74,12,13,22,10,23,14,12,3
17,65,13,51,60,15,70,20,24,22,25,66,14,17,16,21,65,18,64,14,77,13,64,16,57,23,14,28,77,13,76,14,57,22,15,19,64,17,63,17,17,16,56,24,14,70,20,63,65,15,66,14,22,14,14,66,16,69,18,15,23,15,15,76,15,18,22,15,21,25,22,15,20,22,20,24,72,15,17,17,21,16,15,26,24,14,17,70,74,15,16,17,15,69,59,14,65,15,14,27,18,25,16,26,16,67,18,68,22,16,22,18,18,26,16,24,20,16,14,71,15,26,14,26,17,16,17,16,68,13,58,15,14,71,66,13,16,72,20,18,17,15,15,17,14,27,15,74,18,17,17,25,77,13,17,26,75,13,17,25,14,75,22,16,13,71,67,13,13,77,17,18,18,15,23,13,15,26,22,13,20,15,16,67,16,72,18,15,56,14,17,15,16,24,21,15,16,63,63,14,16,24,64,14,22,15,16,22,16,68,72,14,16,26,13,27,17,14,4
15,54,11,44,47,13,65,23,23,23,24,65,12,15,14,19,54,20,53,11,79,10,62,15,53,20,12,29,80,11,79,11,51,22,13,17,63,15,61,15,15,13,52,21,11,64,20,53,64,12,64,11,23,12,11,55,14,62,16,12,28,12,12,78,13,15,24,12,22,24,28,11,22,23,24,23,75,13,14,14,24,13,12,25,29,11,14,64,77,11,13,14,13,63,53,12,63,12,12,29,23,22,16,26,14,62,15,63,28,13,27,17,17,29,16,25,27,16,11,66,13,29,12,24,15,13,13,14,65,11,53,13,11,65,64,11,12,74,26,15,15,12,13,14,12,27,12,76,17,14,15,24,80,10,14,29,78,11,15,24,11,77,23,14,11,66,65,10,11,79,15,17,17,12,28,10,13,26,28,11,26,12,12,62,12,74,23,13,52,13,15,13,13,25,27,12,13,53,61,12,13,23,63,13,27,13,14,23,13,63,75,12,13,29,11,29,15,12,4
11,67,9,53,61,10,74,17,25,18,24,68,12,12,13,17,65,17,66,10,81,11,66,14,60,24,11,26,81,11,80,12,58,24,13,18,67,17,65,17,14,12,56,23,11,74,17,66,68,12,67,11,18,12,12,68,11,71,14,12,19,12,9,80,11,14,18,13,17,23,19,12,17,24,18,24,78,13,11,13,18,12,12,25,20,12,10,72,79,12,12,14,9,73,60,12,66,12,10,25,18,24,11,24,11,71,11,70,19,12,18,17,12,24,11,25,18,14,11,75,11,26,13,25,13,13,13,13,68,11,60,12,10,73,68,11,10,76,18,18,13,12,11,13,11,26,9,78,12,12,11,24,81,11,11,25,80,11,12,25,10,79,18,12,9,75,68,11,9,81,12,18,12,13,19,11,9,25,19,11,18,13,11,71,10,76,18,13,56,12,11,12,11,25,18,12,12,66,65,12,13,24,67,12,18,12,12,24,11,70,78,12,12,24,9,26,12,12,2
17,67,13,59,62,15,72,20,21,20,22,70,14,17,16,20,66,18,65,13,77,12,68,16,63,22,15,24,78,13,77,13,63,20,16,17,68,17,67,16,18,15,63,21,14,71,19,65,69,15,70,14,20,15,15,68,14,69,18,14,21,14,14,76,15,17,21,15,21,22,22,14,20,20,20,23,73,15,16,16,20,16,16,23,22,14,16,71,75,14,15,17,14,70,65,15,69,14,13,23,18,21,14,22,15,68,16,69,21,15,21,17,16,23,16,21,21,16,14,73,15,23,15,22,17,15,17,17,71,14,64,16,13,72,70,13,14,72,20,16,17,14,15,16,15,23,14,74,16,16,17,22,78,12,16,23,76,13,17,22,13,75,20,16,13,73,71,12,13,77,17,17,16,15,21,12,14,22,21,13,20,15,15,68,14,72,18,16,63,16,17,16,16,21,21,14,16,65,67,15,16,23,68,15,21,15,17,20,15,69,73,14,15,23,13,23,17,15,4
13,58,12,47,50,13,67,23,24,22,23,65,15,15,17,21,56,21,57,12,78,13,62,15,54,23,13,29,77,13,76,14,54,22,15,18,62,17,62,15,16,15,53,22,12,66,21,55,64,15,64,14,23,16,13,59,14,63,17,15,26,15,12,77,14,18,24,16,23,24,26,14,22,23,23,25,72,14,14,17,23,15,14,26,27,14,13,65,74,14,14,17,12,65,56,16,63,14,13,27,21,23,14,25,15,64,16,63,26,15,24,17,17,25,16,25,25,16,12,68,14,28,13,25,16,16,15,17,66,14,55,15,13,66,65,14,13,73,25,16,16,15,14,17,13,27,12,75,17,15,13,25,77,13,14,27,75,13,14,25,12,76,23,15,12,68,66,13,12,78,14,18,17,16,26,13,12,26,26,14,25,15,12,64,12,73,21,16,53,16,13,16,13,25,25,14,13,55,62,15,14,25,62,15,24,15,14,23,13,63,72,14,14,25,12,28,15,16,1
11,58,10,47,49,11,68,24,25,21,22,68,12,13,14,20,56,21,57,11,80,11,64,13,55,21,12,26,79,12,78,11,55,23,15,15,64,14,64,15,15,14,55,22,12,68,22,56,66,12,67,14,23,16,13,59,13,65,15,13,25,12,10,79,12,16,24,16,21,23,26,14,23,23,23,22,74,12,12,14,24,12,14,25,26,13,11,66,76,11,13,16,10,67,57,16,66,11,11,25,23,23,13,24,14,65,14,64,24,12,22,14,14,23,15,25,24,13,12,69,11,26,14,24,13,13,14,16,68,13,57,12,11,67,66,12,12,75,26,15,14,13,12,15,13,26,10,77,15,12,11,24,79,11,11,25,77,12,11,24,11,78,23,12,10,69,68,11,10,80,11,15,15,16,25,11,10,25,24,12,26,13,12,65,11,75,23,14,55,14,11,15,12,25,25,11,13,56,64,13,13,22,64,13,22,13,13,23,12,64,74,12,12,23,10,26,13,16,1
16,59,12,35,51,14,67,19,23,22,27,63,13,16,14,20,58,17,58,12,78,13,61,15,47,24,12,31,79,13,77,13,47,23,13,15,61,13,61,13,15,15,49,22,12,67,18,56,62,13,63,13,24,13,12,60,14,65,17,15,25,14,13,77,14,17,21,13,21,24,25,13,22,25,19,25,75,13,15,15,20,13,13,25,27,13,15,66,76,13,15,15,14,66,49,13,62,13,12,30,21,26,14,28,14,64,16,65,24,14,23,14,16,29,16,26,23,15,12,69,14,29,12,28,16,14,15,15,65,13,48,13,12,67,63,13,14,73,23,13,16,14,14,15,13,29,14,75,17,15,16,24,78,13,15,29,77,13,16,27,12,76,23,14,12,68,64,13,12,78,16,14,18,13,26,13,14,28,25,13,23,13,13,64,13,73,21,13,49,13,16,14,13,26,24,13,14,56,61,13,14,25,61,13,23,14,14,25,14,65,75,13,14,29,12,30,16,13,4
14,60,14,42,54,14,68,20,26,22,28,62,15,16,17,20,58,19,60,15,76,14,59,18,50,27,16,32,76,14,75,15,49,23,18,20,59,19,58,16,19,16,49,24,15,68,18,60,61,16,61,14,23,16,16,61,17,65,19,16,25,15,14,75,16,19,21,17,21,24,24,16,21,26,19,27,71,16,16,17,20,16,17,27,26,16,14,66,73,15,17,19,14,67,52,15,60,15,16,29,20,28,17,28,15,66,15,64,24,16,23,19,16,28,16,29,22,18,15,69,15,31,16,29,17,17,18,17,63,14,51,16,16,67,62,14,15,71,23,19,18,16,16,18,16,31,14,73,17,16,15,26,76,14,15,29,74,14,15,29,15,74,23,16,14,69,63,14,14,76,16,20,17,18,25,14,14,30,24,14,23,17,15,66,15,71,20,17,49,15,15,16,16,29,23,15,15,60,58,15,16,27,59,15,23,15,16,26,15,64,71,15,16,28,14,31,16,16,2
