@relation 'Sax dominant'

@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atLccc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMbca numeric
@attribute o1atLbca numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute destClass {1,-1}

@data
21,24,66,24,66,11,24,14,23,69,26,13,81,12,80,12,25,13,23,68,78,64,26,12,79,12,80,12,24,13,78,13,25,12,23,13,25,64,21,68,25,12,81,11,24,13,26,12,1
43,43,48,44,47,35,44,40,43,49,44,39,55,36,54,37,45,39,44,48,50,46,46,38,52,38,52,37,43,40,50,38,45,37,44,39,44,46,43,49,44,38,54,35,44,38,45,37,1
0,1,94,0,93,0,0,3,0,94,1,3,92,1,91,1,0,2,0,93,89,93,1,1,90,2,91,3,1,2,89,2,0,1,0,2,0,93,0,94,0,2,92,0,0,2,0,3,1
35,37,52,38,52,41,38,46,37,55,40,45,49,43,48,43,39,45,37,54,44,50,40,43,46,44,47,43,37,45,44,45,39,43,37,45,39,50,35,54,39,44,49,41,38,45,40,43,1
35,36,52,38,52,42,38,46,36,55,39,44,49,43,48,43,39,45,37,54,44,50,40,43,46,44,47,43,37,45,45,44,39,43,37,45,38,50,35,54,38,44,49,42,38,44,40,43,1
0,1,94,0,93,0,0,4,0,94,1,4,91,1,90,1,0,3,0,93,86,93,1,1,88,3,89,4,1,3,87,3,0,1,0,3,0,93,0,94,0,3,91,0,0,3,0,4,1
44,44,47,45,46,34,45,39,44,48,45,38,56,35,55,36,46,38,45,47,51,45,47,37,53,37,53,36,44,39,51,37,46,36,45,38,45,45,44,48,45,37,55,34,45,37,46,36,1
48,49,43,48,42,36,49,41,49,44,50,41,54,38,53,37,49,39,48,43,49,41,51,39,51,38,51,39,49,40,49,39,50,38,49,40,49,41,48,44,50,38,53,36,48,40,49,39,1
28,31,59,30,59,6,31,9,30,62,33,8,86,7,85,6,31,7,29,61,83,57,33,7,84,6,85,7,31,7,83,7,32,7,30,8,31,57,28,61,32,6,86,6,30,8,32,7,1
30,33,57,33,57,9,33,12,32,60,35,11,83,10,82,10,34,11,32,59,80,55,35,10,81,10,82,10,33,11,80,11,34,10,32,11,34,55,30,59,34,10,83,9,33,11,35,10,-1
