@relation 'Sax dominant'

@attribute o1atMaa numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMaa numeric
@attribute o2atLcc numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMca numeric
@attribute o2atLca numeric
@attribute o2atMac numeric
@attribute o2atLac numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMaa numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atLcc numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMca numeric
@attribute o3atLca numeric
@attribute destClass {1,-1}

@data
12,12,17,16,14,18,18,13,18,13,13,17,14,13,13,13,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,17,12,13,1,13,18,0,31,0,30,0,12,18,13,0,1.0
0,19,8,29,0,30,10,20,10,21,1,30,1,21,1,21,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,11,19,11,12,20,11,19,19,12,19,11,19,11,20,11,19,1.0
0,0,31,30,1,31,31,0,31,0,0,30,1,0,0,0,28,31,0,1,29,2,29,2,0,31,0,31,0,2,0,2,30,31,0,0,1,0,31,0,31,1,30,0,0,31,0,0,1.0
21,1,28,8,22,9,29,2,29,2,22,9,22,2,22,2,0,31,0,30,1,31,0,30,0,31,0,31,0,30,0,31,18,12,17,18,12,18,13,11,19,11,19,12,17,13,18,12,1.0
22,0,29,7,22,8,30,0,30,1,23,8,23,1,23,1,1,30,0,29,2,30,1,29,1,31,0,30,0,29,1,30,16,14,15,16,14,16,15,13,17,13,17,14,15,15,16,14,1.0
0,0,29,30,1,31,30,1,30,1,0,30,1,1,0,1,28,31,0,1,29,2,29,2,0,31,0,31,0,2,0,2,30,31,0,0,1,0,31,0,31,1,30,0,0,31,0,0,1.0
0,20,7,30,0,31,9,21,9,22,0,30,1,22,0,22,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,13,17,13,14,18,13,17,17,14,17,13,17,13,18,13,17,1.0
0,27,1,30,0,31,3,28,2,28,0,30,1,29,0,28,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,18,13,17,18,13,17,13,12,19,13,18,12,18,14,17,12,1.0
21,7,22,8,22,9,23,8,23,7,21,9,22,8,22,8,31,30,0,0,31,0,31,0,1,31,0,30,0,0,1,0,30,20,9,10,1,10,21,0,31,0,30,0,9,21,10,0,1.0
5,10,19,23,7,25,20,11,20,11,6,24,7,11,6,11,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,1,28,29,1,29,2,0,31,0,30,0,28,2,29,0,-1.0
21,0,29,7,23,9,30,1,30,1,22,8,23,1,22,1,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,16,13,16,17,14,16,14,13,17,13,17,13,16,14,17,14,1.0
0,1,28,30,1,31,29,2,29,2,0,30,1,2,0,2,28,31,0,1,29,2,29,2,0,31,0,31,0,2,0,2,30,31,0,0,1,0,31,0,31,1,30,0,0,31,0,0,1.0
21,7,22,8,22,9,23,8,23,7,21,9,22,8,22,8,18,28,2,12,19,13,18,12,3,29,2,28,2,12,3,13,24,19,10,11,6,11,20,5,25,5,25,6,10,20,11,6,1.0
12,12,17,16,14,18,18,13,18,13,13,17,14,13,13,13,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,17,12,13,1,13,18,0,31,0,30,0,12,18,13,0,1.0
5,16,11,22,6,24,13,17,13,17,6,24,7,18,7,18,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,2,29,1,2,29,1,29,28,3,29,2,28,2,30,1,28,-1.0
21,5,24,7,23,9,25,6,25,6,22,8,23,6,22,6,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,21,8,21,22,9,21,9,8,22,8,22,8,21,9,22,9,1.0
21,7,22,8,21,9,23,7,23,8,22,9,22,8,22,8,10,29,1,20,11,21,10,20,2,30,1,29,1,20,2,21,27,16,13,14,3,14,17,2,28,2,28,3,13,17,14,3,1.0
22,1,28,7,22,8,29,1,29,2,23,8,23,2,23,2,3,29,1,27,4,28,3,27,2,30,1,29,1,27,2,28,11,19,10,11,19,11,20,18,12,18,12,19,10,20,11,19,1.0
21,7,22,8,21,9,23,7,23,8,22,9,22,8,22,8,15,29,1,15,16,16,15,15,2,30,1,29,1,15,2,16,26,18,11,12,4,12,19,3,27,3,27,4,11,19,12,4,1.0
22,7,22,7,22,8,23,7,23,7,22,8,23,8,23,8,0,31,0,30,1,31,0,30,0,31,0,31,0,30,0,31,14,16,13,14,16,14,17,15,15,15,15,16,13,17,14,16,1.0
13,11,18,15,15,17,19,12,19,11,13,16,15,12,14,12,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,9,20,21,1,21,10,0,31,0,30,0,20,10,21,0,1.0
19,6,22,9,21,11,24,8,23,7,20,10,21,8,20,7,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,17,13,16,17,13,17,14,12,18,12,18,13,16,14,17,13,1.0
0,21,7,30,0,31,9,22,8,22,0,30,1,23,0,22,29,2,28,1,29,1,30,2,28,2,29,3,29,2,28,1,22,9,21,22,9,21,9,8,23,9,22,8,22,10,21,8,1.0
0,19,8,30,0,31,10,20,10,21,0,30,1,21,0,21,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,10,22,8,9,20,8,22,18,12,19,11,19,8,23,8,19,1.0
0,22,5,29,0,30,7,23,7,24,1,30,1,24,1,24,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,13,18,12,13,18,12,18,17,14,18,13,17,13,19,12,17,1.0
22,7,22,7,22,8,23,7,23,7,22,8,23,8,23,8,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,18,12,17,18,12,18,13,11,19,11,19,12,17,13,18,12,1.0
17,2,26,11,19,13,28,4,27,3,18,12,19,4,18,3,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,19,11,18,19,11,19,12,10,20,10,20,11,18,12,19,11,1.0
0,20,7,30,0,31,9,21,9,22,0,30,1,22,0,22,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,11,19,11,12,20,11,19,19,12,19,11,19,11,20,11,19,1.0
21,7,22,8,22,9,23,8,23,7,21,9,22,8,22,8,12,29,1,18,13,19,12,18,2,30,1,29,1,18,2,19,26,17,12,13,4,13,18,3,27,3,27,4,12,18,13,4,1.0
0,20,7,30,0,31,9,21,9,22,0,30,1,22,0,22,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,14,17,13,14,17,13,17,16,15,17,14,16,14,18,13,16,1.0
0,19,8,29,0,30,10,20,10,21,1,30,1,21,1,21,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,9,22,8,9,22,8,22,21,10,22,9,21,9,23,8,21,1.0
12,12,17,16,14,18,18,13,18,12,12,17,14,13,13,13,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,15,14,15,1,15,16,0,31,0,30,0,14,16,15,0,1.0
0,0,29,30,1,31,30,1,30,1,0,30,1,1,0,1,29,31,0,0,30,1,30,1,0,31,0,31,0,1,0,1,30,31,0,0,1,0,31,0,31,1,30,0,0,31,0,0,1.0
21,7,22,7,22,9,23,7,23,7,21,8,23,8,22,8,7,31,0,23,8,24,7,23,0,31,0,31,0,23,0,24,29,13,16,17,1,17,14,0,30,0,30,1,16,14,17,1,1.0
21,6,23,8,22,9,24,7,24,7,22,9,22,7,22,7,1,30,0,29,2,30,1,29,1,31,0,30,0,29,1,30,15,15,14,15,15,15,16,14,16,14,16,15,14,16,15,15,1.0
13,11,18,15,15,17,19,12,19,11,13,16,15,12,14,12,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,13,16,17,1,17,14,0,31,0,30,0,16,14,17,0,1.0
