@relation 'Sax dominant'

@attribute o1atMaa numeric
@attribute o1atLee numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute o2atMcc numeric
@attribute o2atLcc numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atLee numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMce numeric
@attribute o2atLce numeric
@attribute o2atMeb numeric
@attribute o2atLeb numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMdd numeric
@attribute o2atLdd numeric
@attribute o2atMcd numeric
@attribute o2atLcd numeric
@attribute o2atMde numeric
@attribute o2atLde numeric
@attribute o2atMdb numeric
@attribute o2atLdb numeric
@attribute o2atMed numeric
@attribute o2atLed numeric
@attribute o2atMaa numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMbd numeric
@attribute o2atLbd numeric
@attribute o2atMec numeric
@attribute o2atLec numeric
@attribute o2atMad numeric
@attribute o2atLad numeric
@attribute o2atMac numeric
@attribute o2atLac numeric
@attribute o2atMdc numeric
@attribute o2atLdc numeric
@attribute o2atMca numeric
@attribute o2atLca numeric
@attribute o3atMcc numeric
@attribute o3atLcc numeric
@attribute o3atMaa numeric
@attribute o3atMae numeric
@attribute o3atLae numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMdd numeric
@attribute o3atLdd numeric
@attribute o3atMde numeric
@attribute o3atLde numeric
@attribute o3atMbd numeric
@attribute o3atLbd numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMce numeric
@attribute o3atLce numeric
@attribute o3atMbe numeric
@attribute o3atLbe numeric
@attribute o3atMdc numeric
@attribute o3atLdc numeric
@attribute o3atMcd numeric
@attribute o3atLcd numeric
@attribute o3atMca numeric
@attribute o3atLca numeric
@attribute o3atMda numeric
@attribute o3atLda numeric
@attribute o3atMad numeric
@attribute o3atLad numeric
@attribute o3atMdb numeric
@attribute o3atLdb numeric
@attribute o3atLee numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMed numeric
@attribute o3atLed numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute destClass {1,-1}

@data
10,12,16,16,12,20,18,13,13,18,14,14,17,13,11,17,17,13,17,13,12,14,13,14,12,18,12,18,16,14,13,16,14,13,11,14,18,12,17,13,10,19,13,13,12,13,11,13,31,31,0,31,0,0,31,31,0,0,0,0,31,31,0,31,0,31,0,0,0,31,0,0,0,31,0,31,0,0,31,0,0,0,0,31,31,0,0,31,30,17,11,12,1,13,18,12,19,12,18,30,0,31,0,12,0,12,17,31,0,13,0,30,0,30,0,12,18,12,0,11,1,13,0,0,11,19,30,0,11,18,1
0,0,6,27,0,31,31,0,1,28,2,22,8,0,0,29,31,21,8,22,1,23,2,23,0,30,0,29,8,21,0,29,2,0,0,23,31,0,8,0,0,30,2,0,1,0,0,0,31,0,31,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,0,0,31,0,31,31,0,31,0,0,0,0,0,31,0,0,0,11,19,0,0,1,11,19,0,31,11,31,30,19,31,1,12,20,11,20,12,1,12,1,11,19,12,19,0,19,0,19,0,20,11,19,0,0,31,30,0,0,20,1
0,0,29,22,0,31,31,0,8,23,8,1,30,0,0,23,31,0,30,1,1,1,7,1,6,30,1,24,30,0,6,23,8,0,0,1,31,0,30,0,0,30,7,0,1,0,0,0,28,2,26,31,1,27,3,29,2,28,2,27,4,28,1,28,2,29,1,27,2,29,1,0,0,31,0,31,27,2,29,1,0,2,0,3,28,1,0,4,30,8,0,0,1,22,8,0,31,22,31,30,0,31,0,23,1,23,9,31,1,23,1,30,0,30,1,0,8,0,0,0,1,22,0,0,0,31,30,0,0,9,1
0,0,27,7,1,31,31,0,23,8,23,3,28,0,0,8,31,2,28,3,1,3,23,3,22,30,1,8,28,3,23,8,23,0,0,3,31,0,28,0,0,30,23,0,1,0,0,0,0,31,0,31,0,0,31,1,0,0,0,0,31,31,30,1,31,31,0,0,30,31,0,0,0,31,0,31,0,31,0,0,0,31,0,31,0,30,0,31,18,12,0,0,1,18,13,0,31,17,31,30,11,31,0,17,12,17,13,19,0,18,1,19,12,18,11,0,13,0,12,0,12,18,12,0,0,31,30,0,0,13,1
0,0,28,6,1,31,31,0,23,7,24,2,29,0,0,7,31,1,29,1,1,2,24,2,23,30,1,7,29,2,24,7,24,0,0,2,31,0,29,0,0,30,24,0,1,0,0,0,1,30,0,31,0,1,31,2,0,0,0,0,30,31,29,2,30,31,0,0,29,31,0,0,0,31,0,31,1,30,1,0,0,30,0,31,1,29,0,30,16,14,0,0,1,16,15,0,31,15,31,30,13,31,0,15,14,15,15,17,0,16,1,17,14,16,13,0,15,0,14,0,14,16,14,0,0,31,30,0,0,15,1
0,0,8,22,0,31,31,0,6,23,8,20,10,0,0,23,31,19,10,19,1,21,7,21,6,30,0,24,10,21,7,23,8,0,0,21,31,0,10,0,0,30,7,0,1,0,0,0,28,2,28,31,0,28,2,28,1,29,1,28,3,29,2,28,2,30,1,29,3,30,1,0,0,31,0,31,28,2,29,1,0,2,0,2,29,2,0,3,17,14,0,0,1,16,14,0,31,16,31,30,13,31,1,17,14,17,15,18,1,17,1,17,13,18,14,0,14,0,13,0,14,16,13,0,0,31,30,0,0,15,1
0,0,2,30,0,31,31,0,0,30,1,26,4,0,0,30,31,25,4,26,1,27,0,27,0,30,0,31,4,27,0,30,1,0,0,27,31,0,4,0,0,30,0,0,1,0,0,0,31,0,31,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,0,0,31,0,31,31,0,31,0,0,0,0,0,31,0,0,0,13,17,0,0,1,13,17,0,31,13,31,30,17,31,1,14,18,13,18,14,1,14,1,13,17,14,17,0,17,0,17,0,18,13,17,0,0,31,30,0,0,18,1
0,0,0,30,0,31,31,0,0,30,1,29,1,0,0,30,31,28,2,29,1,30,0,29,0,30,0,31,1,29,0,30,1,0,0,29,31,0,2,0,0,30,0,0,1,0,0,0,31,0,31,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,0,0,31,0,31,31,0,31,0,0,0,0,0,31,0,0,0,17,13,0,0,1,17,13,0,31,17,31,30,13,31,1,18,14,17,14,18,1,18,1,17,13,18,13,0,13,0,13,0,14,17,13,0,0,31,30,0,0,14,1
21,6,22,7,22,9,24,6,22,8,22,8,23,7,21,8,23,7,22,7,22,8,23,7,22,8,22,8,23,7,22,7,23,7,22,8,24,7,23,6,21,9,23,7,22,7,22,7,1,30,0,31,0,1,31,2,0,0,0,0,30,31,29,2,30,31,0,0,29,31,0,0,0,31,0,31,1,30,1,0,0,30,0,31,1,29,0,30,15,20,9,10,1,10,20,9,21,9,20,30,12,31,0,9,13,9,20,17,0,10,0,17,14,16,13,10,21,10,14,9,14,10,14,0,9,21,30,0,9,21,1
5,10,11,23,5,25,20,10,7,23,7,19,12,11,6,24,19,17,12,19,7,19,6,18,5,23,7,25,11,18,6,23,7,11,6,18,20,10,13,11,5,24,6,11,7,11,6,11,0,31,0,31,0,0,31,0,0,0,0,0,31,31,31,0,31,31,0,0,31,31,0,0,0,31,0,31,0,31,0,0,0,31,0,31,0,31,0,31,29,1,0,0,1,29,2,0,31,28,31,30,0,31,0,28,1,28,2,30,0,29,1,30,1,29,0,0,2,0,1,0,1,29,1,0,0,31,30,0,0,2,-1
