@relation 'Sax dominant'

@attribute o1atMaa numeric
@attribute o1atLcc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o2atLcc numeric
@attribute o2atMaa numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMca numeric
@attribute o2atLca numeric
@attribute o2atMac numeric
@attribute o2atLac numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMaa numeric
@attribute o3atLcc numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute o4atMbb numeric
@attribute o4atLbb numeric
@attribute o4atMaa numeric
@attribute o4atLcc numeric
@attribute o4atMac numeric
@attribute o4atLac numeric
@attribute o4atMcb numeric
@attribute o4atLcb numeric
@attribute o4atMba numeric
@attribute o4atLba numeric
@attribute o4atMca numeric
@attribute o4atLca numeric
@attribute o4atMab numeric
@attribute o4atLab numeric
@attribute o4atMbc numeric
@attribute o4atLbc numeric
@attribute o5atMbb numeric
@attribute o5atLbb numeric
@attribute o5atMaa numeric
@attribute o5atMac numeric
@attribute o5atLac numeric
@attribute o5atMba numeric
@attribute o5atLba numeric
@attribute o5atLcc numeric
@attribute o5atMbc numeric
@attribute o5atLbc numeric
@attribute o5atMab numeric
@attribute o5atLab numeric
@attribute o5atMcb numeric
@attribute o5atLcb numeric
@attribute o5atMca numeric
@attribute o5atLca numeric
@attribute destClass {1,2}

@data
7,10,8,12,9,11,8,11,8,11,8,10,7,11,7,10,1,5,17,12,6,13,18,2,6,13,17,1,6,2,6,1,19,19,0,0,19,0,0,19,0,19,19,0,0,0,19,19,0,0,0,0,19,0,0,19,0,0,0,19,19,0,14,1,12,13,1,13,2,0,15,0,12,2,14,0,13,0,1
0,10,0,19,8,10,7,18,1,11,8,11,0,18,0,11,9,8,9,10,8,10,10,10,9,11,9,9,9,10,8,9,19,0,19,0,19,0,19,0,19,0,19,0,19,0,15,3,15,3,16,4,15,3,15,3,15,3,15,4,16,3,0,15,0,0,15,0,15,15,0,15,0,15,0,15,0,15,1
0,0,1,19,19,0,19,18,1,0,19,0,0,18,0,0,1,0,16,19,0,19,17,2,0,19,17,2,0,2,0,2,19,19,0,0,19,0,0,19,0,19,19,0,0,0,19,19,0,0,0,0,19,0,0,19,0,0,0,19,19,0,14,15,0,0,1,0,15,0,15,1,0,15,14,0,0,0,1
11,1,12,8,17,2,16,7,12,2,17,2,11,7,11,2,6,10,12,7,11,8,12,6,11,8,13,7,11,6,11,7,0,19,0,19,0,19,0,19,0,19,0,19,0,19,3,16,2,15,2,15,4,16,3,17,3,16,2,16,3,15,14,0,14,15,1,14,0,0,15,0,14,1,14,0,14,0,1
13,0,13,6,18,0,17,5,14,1,18,1,13,5,13,1,5,10,13,7,11,8,13,5,11,8,14,6,11,5,11,6,0,19,0,19,0,19,0,19,0,19,0,19,0,19,1,18,0,17,0,17,2,18,1,19,1,18,0,18,1,17,14,0,14,15,1,14,0,0,15,0,14,1,14,0,14,0,1
0,0,1,19,18,1,17,18,1,1,18,1,0,18,0,1,1,0,16,19,0,19,17,2,0,19,17,2,0,2,0,2,19,19,0,0,19,0,0,19,0,19,19,0,0,0,19,19,0,0,0,0,19,0,0,19,0,0,0,19,19,0,14,15,0,0,1,0,15,0,15,1,0,15,14,0,0,0,1
0,10,0,19,8,10,7,18,1,11,8,11,0,18,0,11,10,7,8,11,7,11,9,11,8,12,8,10,8,11,7,10,19,0,19,0,19,0,19,0,19,0,19,0,19,0,17,1,17,1,18,2,17,1,17,1,17,1,17,2,18,1,0,15,0,0,15,0,15,15,0,15,0,15,0,15,0,15,1
0,15,0,19,3,16,1,18,1,17,2,16,0,18,0,16,11,7,7,11,7,11,8,11,7,12,7,11,8,12,7,11,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,2,13,1,2,13,1,13,12,3,13,2,14,2,12,1,12,1
12,5,13,7,14,6,13,6,13,6,13,5,12,6,12,5,1,10,17,7,11,8,18,1,10,8,17,1,11,2,11,1,19,19,0,0,19,0,0,19,0,19,19,0,0,0,19,19,0,0,0,0,19,0,0,19,0,0,0,19,19,0,14,4,9,10,1,10,5,0,15,0,9,5,14,0,10,0,1
5,10,6,13,8,11,7,12,6,11,8,11,6,13,6,11,0,0,19,19,0,19,19,0,0,19,19,0,0,0,0,0,19,19,0,0,19,0,0,19,0,19,19,0,0,0,19,5,13,0,13,0,19,0,14,6,14,0,13,5,19,0,14,0,14,15,1,14,0,0,15,0,14,1,14,0,14,0,2
