@relation 'Sax dominant'

@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atLee numeric
@attribute o1atMaa numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute destClass {1,2}

@data
34,76,52,52,72,36,19,17,39,57,56,40,74,21,18,77,38,56,55,39,74,21,18,77,56,21,39,40,18,57,39,21,55,21,18,56,18,21,18,40,18,39,38,21,38,39,1.0
36,78,55,51,70,33,18,15,40,55,58,37,74,21,16,79,40,55,58,36,73,21,16,79,59,22,40,37,16,55,40,22,58,21,16,55,16,22,16,37,16,36,40,21,40,36,1.0
30,75,51,59,70,37,20,18,33,62,55,41,73,23,19,76,33,62,54,40,72,22,19,76,55,23,33,41,19,62,33,23,54,22,19,62,19,23,19,41,19,40,33,22,33,40,2.0
37,70,46,52,71,41,15,21,40,55,50,45,76,20,23,72,40,55,50,45,75,19,23,72,50,20,40,45,23,55,40,20,50,19,23,55,23,20,23,45,23,45,40,19,40,45,2.0
38,68,52,53,73,37,16,21,40,55,55,40,76,19,24,71,40,55,55,40,76,19,24,71,55,19,40,40,24,55,40,19,55,19,24,55,24,19,24,40,24,40,40,19,40,40,1.0
33,71,53,58,73,35,17,20,35,60,56,39,76,19,22,73,35,60,56,38,75,19,22,73,57,20,35,39,22,60,35,20,56,19,22,60,22,20,22,39,22,38,35,19,35,38,1.0
36,71,49,53,66,40,24,20,39,56,52,43,69,27,22,73,39,56,52,43,68,26,22,73,52,27,39,43,22,56,39,27,52,26,22,56,22,27,22,43,22,43,39,26,39,43,2.0
36,67,53,55,72,35,18,22,38,57,56,39,75,20,25,70,38,57,56,38,74,20,25,70,57,21,38,39,25,57,38,21,56,20,25,57,25,21,25,39,25,38,38,20,38,38,1.0
27,76,54,63,71,34,18,17,30,66,58,38,74,21,18,77,29,65,57,37,74,21,18,77,58,21,30,38,18,66,30,21,57,21,18,65,18,21,18,38,18,37,29,21,29,37,2.0
38,74,52,51,69,36,18,17,41,54,56,40,73,22,19,76,41,54,55,39,73,22,19,76,56,22,41,40,19,54,41,22,55,22,19,54,19,22,19,40,19,39,41,22,41,39,1.0
