@relation 'Sax dominant'

@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute destClass {1,2}

@data
29,64,28,63,24,57,34,25,56,33,52,61,26,65,26,66,61,29,60,29,28,61,61,25,24,66,52,33,29,34,26,34,28,33,29,29,28,29,26,33,28,33,1
31,59,31,59,23,59,32,25,59,31,56,55,27,63,27,63,63,29,62,28,31,55,62,25,23,63,56,32,31,32,27,32,31,31,31,29,31,28,27,31,31,31,1
29,62,29,62,24,56,35,28,56,34,53,59,26,65,26,65,60,32,59,31,29,60,59,28,24,65,53,35,29,35,26,35,29,34,29,32,29,31,26,34,29,34,2
32,59,32,59,26,57,33,25,57,33,53,56,29,62,29,62,61,29,61,29,32,56,61,25,26,62,53,33,32,33,29,33,32,33,32,29,32,29,29,33,32,33,2
36,56,36,56,32,56,35,29,56,35,53,54,34,58,34,58,59,32,59,32,36,54,59,29,32,58,53,35,36,35,34,35,36,35,36,32,36,32,34,35,36,35,1
31,61,31,61,27,59,32,25,59,31,56,59,29,63,29,63,63,29,62,28,31,59,62,25,27,63,56,32,31,32,29,32,31,31,31,29,31,28,29,31,31,31,1
34,57,34,57,28,54,37,31,54,37,51,54,31,60,31,60,57,34,57,34,34,54,57,31,28,60,51,37,34,37,31,37,34,37,34,34,34,34,31,37,34,37,2
36,56,36,56,32,60,31,25,60,31,57,54,34,58,34,58,63,28,63,28,36,54,63,25,32,58,57,31,36,31,34,31,36,31,36,28,36,28,34,31,36,31,1
27,66,26,65,22,58,34,27,57,33,54,63,24,67,24,68,61,30,60,30,26,63,61,27,22,68,54,33,27,34,24,34,26,33,27,30,26,30,24,33,26,33,2
35,57,35,57,31,57,34,28,57,34,54,55,33,59,33,59,60,31,60,31,35,55,60,28,31,59,54,34,35,34,33,34,35,34,35,31,35,31,33,34,35,34,1
