@relation 'Sax dominant'

@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atLcc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o2atLcc numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMaa numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMac numeric
@attribute o2atLac numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atLcc numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMaa numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute o3atMca numeric
@attribute o3atLca numeric
@attribute destClass {1,2}

@data
23,21,7,5,9,23,25,7,8,22,24,6,6,24,10,19,20,11,25,7,20,11,24,6,20,6,9,31,17,12,20,11,19,0,0,31,0,31,0,20,0,19,1.0
16,24,4,11,5,25,18,13,6,26,18,13,10,20,13,17,18,14,20,10,17,13,21,11,18,11,22,22,7,23,8,23,8,5,7,24,7,24,7,8,7,8,1.0
16,29,0,11,1,30,18,13,1,30,18,13,4,26,8,21,22,9,26,4,22,9,27,5,22,5,13,24,16,14,17,14,17,5,6,25,6,25,6,17,6,17,2.0
13,24,5,14,6,25,15,16,6,25,15,16,5,25,10,20,20,10,26,6,21,11,25,5,20,5,18,25,10,20,12,19,11,3,5,27,4,26,5,12,4,11,2.0
17,19,11,13,11,19,17,13,12,20,18,14,10,18,22,8,9,23,19,11,8,22,20,12,9,12,20,15,9,21,10,21,10,14,15,16,15,16,15,10,15,10,1.0
14,31,0,13,0,31,16,15,0,31,16,15,12,18,17,13,14,18,18,12,13,17,19,13,14,13,26,13,3,27,4,27,4,16,17,14,17,14,17,4,17,4,1.0
15,25,3,13,4,26,16,14,5,27,17,15,13,17,17,13,14,18,17,13,13,17,18,14,14,14,21,15,8,22,9,22,9,14,15,16,15,16,15,9,15,9,2.0
15,28,2,12,2,28,17,14,3,29,17,14,10,20,14,16,17,15,20,10,16,14,21,11,17,11,24,14,5,25,6,25,6,15,16,15,16,15,16,6,16,6,1.0
18,30,0,10,1,31,20,12,0,30,19,11,3,27,8,21,22,9,28,4,22,9,27,3,22,3,12,26,16,14,18,13,17,3,4,27,4,27,4,18,4,17,2.0
15,28,2,12,2,28,17,14,3,29,17,14,9,21,12,18,19,13,21,9,18,12,22,10,19,10,20,17,9,21,10,21,10,12,13,18,13,18,13,10,13,10,1.0
13,29,1,14,1,29,15,16,2,30,15,16,13,17,18,12,13,19,17,13,12,18,18,14,13,14,26,13,3,27,4,27,4,16,17,14,17,14,17,4,17,4,2.0
14,31,0,13,0,31,16,15,0,31,16,15,12,18,17,13,14,18,18,12,13,17,19,13,14,13,25,13,4,26,5,26,5,16,17,14,17,14,17,5,17,5,1.0
14,30,0,14,1,31,16,16,0,30,15,15,0,30,9,20,21,10,30,0,21,10,31,1,21,1,15,20,15,15,15,16,16,9,10,21,10,21,10,15,10,16,2.0
14,25,4,13,5,26,16,15,5,26,16,15,12,18,15,15,16,16,18,12,15,15,19,13,16,13,19,16,10,20,11,20,11,13,14,17,14,17,14,11,14,11,2.0
13,30,0,12,1,31,16,15,0,30,16,15,1,29,9,20,21,10,29,1,21,10,30,2,21,2,14,19,16,14,16,15,17,10,11,20,11,20,11,16,11,17,2.0
16,27,3,11,3,27,18,13,4,28,18,13,8,22,12,18,19,13,22,8,18,12,23,9,19,9,21,16,8,22,9,22,9,13,14,17,14,17,14,9,14,9,1.0
23,21,7,7,9,23,24,8,8,22,23,7,6,24,10,20,20,10,25,7,21,11,24,6,20,6,12,31,14,15,17,14,16,0,0,31,0,31,0,17,0,16,2.0
17,19,9,13,10,20,17,13,11,21,18,14,17,13,21,9,10,22,13,17,9,21,14,18,10,18,23,12,7,24,8,23,7,17,18,13,18,13,18,8,18,7,2.0
12,28,1,16,2,29,13,17,2,29,14,18,4,24,15,15,16,16,25,5,15,15,26,6,16,6,17,18,12,18,13,18,13,11,12,19,12,19,12,13,12,13,1.0
23,18,12,7,12,18,23,7,13,19,24,8,18,11,27,3,4,28,12,19,3,27,12,19,4,19,23,12,7,24,8,23,7,17,18,13,18,13,18,8,18,7,1.0
21,15,15,9,15,15,21,9,16,16,22,10,18,11,28,2,3,29,12,19,2,28,12,19,3,19,22,14,8,23,9,22,8,16,17,15,16,14,17,9,16,8,1.0
12,22,7,15,8,23,14,17,8,23,14,17,3,27,8,21,22,9,28,4,22,9,27,3,22,3,13,24,15,15,17,14,16,5,6,25,6,25,6,17,6,16,2.0
11,24,5,17,6,25,12,18,6,25,13,19,3,27,7,23,23,7,28,4,24,8,27,3,23,3,14,27,14,16,16,15,15,2,3,28,3,28,3,16,3,15,1.0
15,24,4,12,5,25,17,14,6,26,17,14,10,20,14,16,17,15,20,10,16,14,21,11,17,11,23,20,6,24,7,24,7,7,9,22,9,22,9,7,9,7,1.0
21,22,8,7,9,23,23,9,8,22,22,8,5,25,10,20,20,10,26,6,21,11,25,5,20,5,12,25,17,13,18,13,18,4,5,26,5,26,5,18,5,18,2.0
16,30,0,12,1,31,18,14,0,30,17,13,0,31,6,23,24,7,31,0,24,7,31,0,24,0,13,21,17,13,17,14,18,8,9,22,9,22,9,17,9,18,2.0
26,13,16,2,17,14,28,4,17,14,27,3,15,15,20,10,10,20,16,16,11,21,15,15,10,15,18,28,10,20,12,19,11,2,3,29,2,28,3,12,2,11,1.0
20,18,12,8,12,18,21,9,13,19,22,10,18,11,26,4,5,27,12,19,4,26,12,19,5,19,24,11,6,25,7,24,6,18,19,12,19,12,19,7,19,6,2.0
19,22,7,10,8,23,20,11,8,23,20,11,8,21,18,11,12,19,22,9,12,19,22,9,12,9,20,17,9,21,10,21,10,12,13,18,13,18,13,10,13,10,1.0
19,20,8,11,10,22,20,12,9,21,19,11,3,27,9,20,21,10,28,4,21,10,27,3,21,3,14,31,12,17,15,16,14,0,0,31,0,31,0,15,0,14,2.0
19,20,10,9,10,20,20,10,11,21,21,11,18,11,24,6,7,25,12,19,6,24,12,19,7,19,24,13,6,25,7,24,6,16,17,14,17,14,17,7,17,6,1.0
16,26,3,13,4,27,17,14,4,27,17,14,4,26,8,22,22,8,27,5,23,9,26,4,22,4,19,22,9,21,11,20,10,6,8,24,7,23,8,11,7,10,2.0
17,26,2,11,4,28,19,13,3,27,18,12,1,28,9,20,21,10,29,2,21,10,29,2,21,2,14,20,16,14,16,15,17,9,10,21,10,21,10,16,10,17,1.0
21,19,10,8,11,20,22,9,11,20,22,9,10,19,18,11,12,19,20,11,12,19,20,11,12,11,19,17,10,20,11,20,11,12,13,18,13,18,13,11,13,11,1.0
18,20,8,12,10,22,19,13,9,21,18,12,0,30,11,18,19,12,31,1,19,12,30,0,19,0,11,31,15,14,18,13,17,0,0,31,0,31,0,18,0,17,2.0
13,27,3,14,3,27,15,16,4,28,15,16,7,21,14,16,17,15,22,8,16,14,23,9,17,9,22,15,7,23,8,23,8,14,15,16,15,16,15,8,15,8,1.0
18,30,0,10,1,31,20,12,0,30,19,11,1,29,8,21,22,9,30,2,22,9,29,1,22,1,15,21,15,15,15,16,16,6,8,23,8,23,8,15,8,16,2.0
19,25,5,9,6,26,21,11,5,25,20,10,3,27,7,22,23,8,28,4,23,8,27,3,23,3,11,26,16,13,18,13,18,3,4,27,4,27,4,18,4,18,2.0
21,15,15,9,15,15,21,9,16,16,22,10,18,11,27,3,4,28,12,19,3,27,12,19,4,19,23,12,7,24,8,23,7,17,18,13,18,13,18,8,18,7,1.0
11,28,1,18,2,29,12,19,2,29,12,19,5,25,9,21,22,10,25,5,21,9,26,6,22,6,19,16,11,19,11,20,12,13,14,17,14,17,14,11,14,12,1.0
21,14,16,9,16,14,21,9,17,15,22,10,16,13,25,4,5,26,14,17,5,26,14,17,5,17,23,22,7,24,8,23,7,8,9,23,8,22,9,8,8,7,2.0
17,25,5,10,5,25,19,12,6,26,19,12,9,21,13,17,18,14,21,9,17,13,22,10,18,10,19,17,10,20,11,20,11,12,13,18,13,18,13,11,13,11,1.0
19,21,7,11,9,23,20,12,8,22,19,11,3,25,10,19,20,11,27,5,20,11,26,4,20,4,16,31,12,18,14,17,13,0,0,31,0,31,0,14,0,13,2.0
19,21,8,11,9,22,20,12,9,22,19,11,3,27,8,21,22,9,28,4,22,9,27,3,22,3,16,31,12,18,14,17,13,0,0,31,0,31,0,14,0,13,1.0
15,29,1,13,1,29,16,14,2,30,17,15,16,14,18,12,13,19,14,16,12,18,15,17,13,17,21,14,8,22,9,22,9,15,16,15,16,15,16,9,16,9,2.0
15,25,3,13,4,26,16,14,5,27,17,15,6,21,18,12,13,19,23,8,12,18,23,8,13,8,18,18,11,19,12,19,12,11,12,19,12,19,12,12,12,12,1.0
