@relation 'Original signal'

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a89 numeric
@attribute a90 numeric
@attribute a91 numeric
@attribute a92 numeric
@attribute a93 numeric
@attribute a94 numeric
@attribute a95 numeric
@attribute a96 numeric
@attribute a97 numeric
@attribute a98 numeric
@attribute destClass {-1.0,1.0}

@data
-3.014451,0.502055,0.542163,0.722383,1.428885,2.136516,2.281149,1.936274,1.46889,1.008845,0.380282,-0.29678,-0.513929,-0.255645,-0.107203,-0.287827,-0.418009,-0.319163,-0.260379,-0.350357,-0.505486,-0.710887,-0.82392,-0.899702,-1.15395,-1.229831,-1.044091,-1.202031,-1.392195,-1.130108,-1.179867,-1.649272,-1.726575,-1.60837,-1.662802,-1.650672,-1.697309,-1.838697,-1.802596,-1.780536,-1.825166,-1.644763,-1.42381,-1.392195,-1.360416,-1.200178,-0.918632,-0.685916,-0.667943,-0.512722,-0.101691,0.063954,0.082614,0.237607,0.174793,0.123205,0.503394,0.68387,0.474995,0.532797,0.72355,0.66442,0.647936,0.757054,0.732072,0.620215,0.606297,0.67795,0.689084,0.598807,0.542647,0.581807,0.630631,0.66442,0.686318,0.657382,0.650889,0.721738,0.739706,0.691481,0.695229,0.750115,0.853845,0.916019,0.82775,0.880906,1.088831,0.931043,0.610298,0.638894,0.684679,0.583238,0.640522,0.708585,0.705011,0.713815,0.433765,4.19457,-1.0
-3.014451,0.147486,0.803209,0.367176,0.243543,0.026693,-0.273728,0.096671,-0.746121,-1.606463,-1.177129,-1.053707,-1.126414,-0.684551,-0.797078,-1.710758,-1.646465,-1.030525,-1.420971,-1.778777,-1.022967,-1.79522,-1.789936,-1.0832,-1.571145,-1.033879,-2.125678,-2.034459,-0.054773,-1.137809,-0.702751,0.048758,-0.474782,0.524957,0.244425,0.678719,0.926896,0.572039,1.229303,1.041393,1.577235,1.288151,0.749165,0.975765,1.139462,1.527011,0.846137,0.765376,0.564695,1.082613,1.055409,0.502221,0.951535,0.453432,1.19673,0.848171,-0.137311,0.630004,0.692834,0.514184,0.558255,0.554745,0.468897,0.388184,0.342582,0.53467,0.899059,0.655679,0.6888,0.950844,0.546818,-0.16723,0.011641,-0.176007,-0.277026,-0.22426,-0.908791,-0.037725,0.071657,-1.046714,-0.634828,-0.385741,-0.506377,-0.715107,-0.462709,-0.4594,-0.769137,-0.532317,-0.399305,0.175867,1.109701,2.433738,2.729612,1.732753,0.036915,-1.262442,-0.207482,4.19457,1.0
-3.014451,0.316646,0.243199,0.370471,1.063738,1.678187,1.759557,1.697717,1.612159,1.168188,0.499957,-0.022363,-0.235318,-0.118273,-0.071027,-0.322986,-0.433562,-0.31866,-0.295655,-0.417733,-0.68248,-0.88184,-0.84332,-0.883652,-1.030018,-1.055266,-1.168637,-1.363991,-1.337611,-1.261294,-1.409782,-1.634504,-1.703238,-1.677025,-1.782628,-1.996872,-2.056372,-1.937881,-1.879412,-1.915427,-1.845507,-1.658135,-1.509483,-1.393426,-1.232868,-1.024348,-0.76864,-0.511294,-0.309564,-0.131962,0.035054,0.142159,0.225807,0.34369,0.428589,0.469568,0.569782,0.675666,0.699885,0.732561,0.771665,0.738129,0.7237,0.806876,0.878985,0.855791,0.806384,0.792501,0.803814,0.781938,0.700439,0.73596,0.864162,0.70767,0.458756,0.600146,0.825136,0.800034,0.762821,0.755443,0.653766,0.526441,0.477339,0.574946,0.698425,0.722414,0.771598,0.764229,0.610621,0.5529,0.566786,0.604002,0.777068,0.812345,0.748848,0.818042,0.539347,4.19457,-1.0
-3.014451,1.168874,2.075901,1.760141,1.606446,1.949046,1.302842,0.459332,0.516412,0.85218,0.989227,0.821253,0.576448,0.743089,0.85297,0.307458,-0.130391,-0.0622,-0.100727,-0.232818,-0.234465,-0.214756,-0.230413,-0.227551,-0.231002,-0.463479,-0.724215,-0.787885,-0.986687,-1.224672,-1.288142,-1.364148,-1.428221,-1.501767,-1.648084,-1.705836,-1.68679,-1.705719,-1.777683,-1.869313,-1.858376,-1.737717,-1.729149,-1.728105,-1.546037,-1.459103,-1.410752,-1.163427,-0.907419,-0.716211,-0.581763,-0.442526,-0.207046,-0.026463,0.117036,0.220637,0.264315,0.405055,0.464974,0.434163,0.486807,0.439388,0.369611,0.413149,0.397895,0.318764,0.263717,0.288863,0.358244,0.326737,0.229215,0.204418,0.244386,0.262632,0.243885,0.227502,0.245785,0.232959,0.164611,0.171538,0.16669,0.099141,0.146937,0.133414,0.125294,0.202713,0.186409,0.419006,0.723888,1.323947,2.136487,1.746596,1.47022,1.893512,1.256949,0.800407,0.73154,4.19457,-1.0
-3.014451,0.647945,0.751223,2.633795,3.452569,2.116171,0.520018,-0.188614,0.779991,0.932815,0.700643,1.00511,0.39529,-0.369533,-0.737713,-0.728603,-0.906304,-0.870358,-1.059449,-1.197071,-0.980902,-1.271545,-1.286415,-1.275742,-1.538518,-1.345594,-1.534037,-1.762041,-1.687508,-1.807951,-1.862427,-1.992875,-1.888323,-1.924195,-1.832191,-1.66054,-1.341497,-1.010592,-0.672284,-0.21612,0.052675,0.561452,0.700122,0.945955,1.003976,1.026501,1.19048,0.967865,0.843735,0.778666,0.743142,0.672619,0.504688,0.661822,0.607025,0.545481,0.686416,0.542383,0.452604,0.485213,0.440146,0.538535,0.3691,0.376838,0.469555,0.321019,0.325081,0.25089,0.270186,0.27677,0.154886,0.120699,0.325961,0.47339,0.59407,0.697444,0.825914,0.574517,0.400698,0.349512,0.147774,-0.033328,-0.114318,0.12009,-0.220062,-0.151246,-0.077528,-0.097935,-0.136819,-0.340092,-0.089515,-0.080378,-0.192568,-0.304591,-0.454313,0.314167,0.581534,4.19457,1.0
-3.014451,0.403507,1.277103,2.507828,1.295709,1.449179,0.472849,-1.392586,-0.645269,0.430641,0.132006,-0.405491,0.229844,-0.121059,-0.916044,-1.243227,-1.344536,-1.186903,-1.008406,-1.99819,-1.323261,-0.973272,-1.858292,-1.483452,-1.611529,-1.951967,-1.695809,-1.51415,-1.892161,-2.170944,-1.867438,-1.770221,-1.663398,-1.927817,-1.485367,-1.147467,-1.075099,-0.771545,-0.518775,-0.204717,-0.026588,0.298134,0.193702,0.69971,0.669894,0.851265,0.674841,0.896264,0.769972,0.64793,0.636915,0.668258,1.034384,0.431746,0.655204,0.527429,0.560391,1.025325,-0.019686,1.174304,0.845399,0.168886,0.671432,0.633374,0.746003,0.638261,0.589552,0.430378,0.715371,0.59364,0.457107,0.482114,0.653763,0.489321,1.063733,0.926409,0.936258,1.308332,0.578871,0.569254,0.521208,0.444977,0.618833,0.049513,0.26902,0.417652,-0.064216,0.375325,0.276952,0.224968,0.158575,0.407118,0.538399,-0.027767,0.202832,0.345905,0.338149,4.19457,1.0
-3.014451,1.205006,2.031855,2.447294,2.739448,2.74589,2.276355,1.525366,0.760597,0.188448,-0.029051,-0.049524,-0.209964,-0.37415,-0.248638,-0.095017,-0.099479,-0.121416,-0.358549,-0.739135,-0.787652,-0.708941,-0.759756,-0.741058,-0.881707,-1.018906,-0.581383,-0.358993,-0.924218,-1.094808,-0.661364,-0.785124,-1.288157,-1.334503,-1.267791,-1.502143,-1.639972,-1.533962,-1.566857,-1.730994,-1.719666,-1.668494,-1.735507,-1.647287,-1.387559,-1.309605,-1.319654,-1.100392,-0.900458,-0.934342,-0.765193,-0.317504,-0.12712,-0.123939,0.094418,0.288426,0.261347,0.289732,0.407278,0.436637,0.449308,0.570867,0.711178,0.672708,0.501022,0.504743,0.644095,0.569342,0.406378,0.450226,0.517524,0.502765,0.571933,0.634693,0.649309,0.703081,0.587693,0.355199,0.390963,0.558826,0.611008,0.692575,0.794446,0.896887,1.051482,0.939116,0.555741,0.447311,0.564641,0.4876,0.421003,0.549766,0.505463,0.281844,0.346831,0.526375,0.22789,4.19457,-1.0
-3.014451,0.598241,1.098729,1.683529,2.478913,2.802413,2.438696,1.717657,1.009309,0.257351,-0.221559,-0.135582,-0.191269,-0.306972,-0.167641,-0.098005,-0.05626,-0.3234,-0.630181,-0.569719,-0.709407,-0.750323,-0.673327,-0.980101,-1.207114,-1.18138,-1.026397,-1.299488,-1.928882,-1.907636,-1.868825,-1.990612,-2.011636,-2.402652,-2.144032,-1.661815,-1.939357,-1.872272,-1.554691,-1.301194,-1.016451,-0.979277,-0.706255,-0.303372,-0.012646,0.169673,0.09133,0.25028,0.387265,0.257929,0.429292,0.517512,0.404675,0.511982,0.577329,0.521893,0.552562,0.602139,0.548175,0.413852,0.374041,0.518664,0.551018,0.414777,0.480801,0.595435,0.568737,0.721969,0.843128,0.616826,0.608018,0.7763,0.616821,0.59952,0.688926,0.530727,0.544621,0.65982,0.564855,0.472634,0.454204,0.406493,0.315726,0.155475,0.150124,0.354392,0.378693,0.39463,0.525782,0.279348,-0.069658,0.027544,0.153025,0.042232,0.134269,0.29615,0.062932,4.19457,-1.0
-3.014451,0.327364,1.20796,2.592845,2.20668,1.618649,-0.238924,-1.595821,-0.601074,-0.086487,0.02649,-0.302536,-0.371819,-0.27866,-0.947771,-0.96236,-0.953152,-1.20113,-1.337723,-1.369034,-1.171764,-1.416394,-1.556423,-1.306083,-1.809092,-1.696058,-1.501476,-1.997999,-1.854072,-1.950775,-1.713602,-2.163611,-1.671851,-1.811278,-1.504634,-0.997912,-1.04803,-0.513946,-0.297842,0.128597,0.378692,0.473689,0.60531,1.033587,0.905896,1.040925,0.918135,1.138697,0.848572,0.785402,1.013906,0.7794,0.7995,0.654968,0.694862,0.676614,0.899812,0.653672,0.812948,0.857524,0.682151,0.638995,0.790284,0.55907,0.632707,0.770549,0.418857,0.633593,0.534749,0.320664,0.481629,0.575206,0.28939,0.688461,0.853987,0.755101,0.858509,0.722507,0.445025,0.519917,0.595965,0.004108,0.18835,0.357693,-0.169215,0.312743,0.125718,-0.046073,0.099576,-0.052834,0.118795,0.061833,-0.060054,-0.030939,0.001067,0.227258,0.239227,4.19457,1.0
-3.014451,1.666807,2.845991,2.515015,2.171039,0.719697,0.724603,1.637223,1.291754,1.608206,1.393816,0.148889,-0.333296,-0.452773,-0.78486,-0.828275,-0.826314,-0.973142,-1.169626,-1.150077,-1.256989,-1.419702,-1.483896,-1.465104,-1.377316,-1.603475,-1.774752,-1.760649,-2.079827,-2.22592,-1.956888,-2.107845,-1.893114,-1.799419,-1.463555,-1.047656,-0.894873,-0.490665,-0.017597,0.203028,0.278354,0.674285,0.654382,0.679744,0.718309,0.71942,0.655295,0.535395,0.66763,0.685446,0.558384,0.560186,0.658916,0.708646,0.614776,0.630545,0.566747,0.400151,0.456447,0.507673,0.411232,0.39997,0.361358,0.267448,0.321243,0.262222,0.225377,0.256224,0.146118,0.123071,0.10533,0.195593,0.064012,0.080253,0.332754,0.292457,0.382067,0.680764,0.6144,0.326485,0.165092,0.09587,0.018077,-0.036317,-0.022964,-0.006419,-0.014605,-0.154554,-0.018085,-0.007793,0.005067,-0.026871,-0.048452,-0.032617,-0.214203,0.055702,0.147499,4.19457,1.0
