@relation 'Original signal'

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a89 numeric
@attribute a90 numeric
@attribute a91 numeric
@attribute a92 numeric
@attribute a93 numeric
@attribute a94 numeric
@attribute a95 numeric
@attribute a96 numeric
@attribute a97 numeric
@attribute a98 numeric
@attribute a99 numeric
@attribute a100 numeric
@attribute a101 numeric
@attribute a102 numeric
@attribute a103 numeric
@attribute a104 numeric
@attribute a105 numeric
@attribute a106 numeric
@attribute a107 numeric
@attribute a108 numeric
@attribute a109 numeric
@attribute a110 numeric
@attribute a111 numeric
@attribute a112 numeric
@attribute a113 numeric
@attribute a114 numeric
@attribute a115 numeric
@attribute a116 numeric
@attribute a117 numeric
@attribute a118 numeric
@attribute a119 numeric
@attribute a120 numeric
@attribute a121 numeric
@attribute a122 numeric
@attribute a123 numeric
@attribute a124 numeric
@attribute a125 numeric
@attribute a126 numeric
@attribute a127 numeric
@attribute a128 numeric
@attribute a129 numeric
@attribute a130 numeric
@attribute a131 numeric
@attribute a132 numeric
@attribute a133 numeric
@attribute a134 numeric
@attribute a135 numeric
@attribute a136 numeric
@attribute a137 numeric
@attribute a138 numeric
@attribute destClass {1.0,2.0}

@data
-7.107807,0.009913,0.033429,-0.005764,-0.029279,-0.052795,0.009913,-0.021441,-0.029279,-0.060633,-0.091987,-0.013602,-0.060633,-0.013602,-0.07631,-0.060633,-0.123341,-0.084149,-0.068472,-0.037118,-0.07631,-0.060633,-0.123341,-0.060633,-0.091987,-0.068472,-0.107664,-0.099826,-0.146857,-0.029279,0.009913,0.096137,0.127491,0.166683,0.292099,0.417515,0.119652,-0.084149,-0.07631,-0.217403,-0.193888,-0.272273,-0.240919,-0.311465,-0.303627,-0.240919,-0.209565,-0.154695,-0.217403,-0.091987,0.660509,2.831773,5.026552,0.919179,-4.936179,-6.119792,-4.332614,-2.420021,-1.071799,-0.444719,-0.33498,-0.146857,-0.123341,-0.052795,0.002075,-0.005764,-0.044956,0.02559,0.127491,0.064783,0.119652,0.158845,0.252907,0.33913,0.354807,0.425354,0.676186,0.762409,0.879987,1.130819,1.091626,1.264073,1.154334,1.146495,0.989726,0.762409,0.55077,0.362646,0.229391,0.119652,0.08046,0.02559,0.033429,0.049106,0.009913,0.064783,0.096137,0.096137,0.119652,0.143168,0.190199,0.119652,0.072621,0.198037,0.096137,0.103975,0.041267,-0.013602,0.009913,0.08046,-0.013602,-0.021441,0.009913,-0.07631,-0.146857,-0.060633,0.033429,-0.060633,-0.005764,-0.060633,0.002075,-0.068472,0.009913,-0.029279,-0.029279,-0.052795,-0.037118,-0.091987,0.002075,-0.044956,-0.060633,-0.068472,0.002075,-0.029279,-0.115503,0.002075,0.02559,6.032784,1.0
-7.107807,0.073039,0.032245,0.040404,0.048563,0.032245,0.052642,0.040404,0.015928,0.015928,0.003689,-0.00039,-0.008549,-0.016707,-0.012628,-0.008549,-0.049343,-0.020787,-0.045263,-0.053422,-0.057501,-0.061581,-0.086057,-0.090136,-0.057501,-0.073819,-0.090136,-0.073819,-0.106454,-0.081978,-0.077898,-0.098295,-0.098295,-0.06566,-0.016707,0.048563,0.056721,0.081198,0.158706,-0.098295,-0.151327,-0.188042,-0.212518,-0.188042,-0.26555,-0.26555,-0.241074,-0.269629,-0.26555,-0.249232,-0.273709,-0.249232,-0.188042,0.073039,1.590569,1.101043,-1.538317,-4.536664,-5.270953,-3.480104,-1.868747,-0.808108,-0.371614,-0.228835,-0.118692,-0.073819,-0.012628,0.003689,0.048563,0.040404,0.121992,0.187262,0.228056,0.285167,0.346358,0.419787,0.538089,0.652311,0.815487,1.035773,1.296854,1.606887,1.941396,2.288144,2.610415,2.875575,2.965322,2.84702,2.451319,1.896523,1.25606,0.689026,0.346358,0.109753,-0.033025,-0.114613,-0.139089,-0.163565,-0.159486,-0.147248,-0.13093,-0.114613,-0.086057,-0.106454,-0.106454,-0.090136,-0.073819,-0.098295,-0.147248,-0.139089,-0.163565,-0.216597,-0.183962,-0.232915,-0.241074,-0.277788,-0.269629,-0.290026,-0.281867,-0.306344,-0.33082,-0.314502,-0.338979,-0.355296,-0.355296,-0.363455,-0.355296,-0.371614,-0.371614,-0.420566,-0.363455,-0.387931,-0.387931,-0.404249,-0.387931,-0.375693,-0.404249,6.032784,1.0
-7.107807,1.908785,0.368965,0.340811,0.322041,0.350195,0.350195,0.37835,0.331426,0.37835,0.275118,0.350195,0.293887,0.387734,0.312657,0.350195,0.312657,0.303272,0.246964,0.237579,0.20004,0.209425,0.265733,0.237579,0.256349,0.181271,0.181271,0.228194,0.190656,0.181271,0.171886,0.171886,0.134348,0.162502,0.115578,0.05927,0.05927,0.350195,0.312657,0.415888,0.031116,-0.128424,-0.165963,-0.203501,-0.297348,-0.184732,-0.015808,0.012347,-0.090885,-0.043962,-0.025192,0.021731,-0.025192,0.012347,0.002962,0.021731,0.697429,0.472196,-3.403681,-6.162781,-5.965702,-4.248303,-2.568444,-1.554897,-0.747814,-0.184732,-0.053346,0.087424,0.087424,0.087424,0.124963,0.181271,0.049885,0.134348,0.124963,0.143732,0.284503,0.387734,0.415888,0.481581,0.67866,0.856969,1.044663,1.213587,1.363742,1.466974,1.457589,1.373127,0.969585,0.650506,0.284503,0.20004,0.031116,-0.053346,0.002962,0.05927,-0.072116,-0.062731,-0.0815,-0.10027,-0.137809,-0.043962,-0.034577,0.124963,0.068655,0.068655,0.021731,0.115578,0.031116,0.049885,-0.072116,-0.034577,-0.10027,-0.006423,-0.034577,0.049885,-0.128424,0.021731,-0.147193,-0.034577,-0.034577,0.040501,-0.043962,-0.090885,-0.062731,-0.025192,-0.10027,-0.062731,-0.0815,0.021731,0.153117,0.143732,0.331426,0.002962,-0.297348,-0.278579,-0.353656,6.032784,2.0
-7.107807,-0.480461,-0.470177,-0.377624,-0.429042,-0.429042,-0.44961,-0.377624,-0.315922,-0.44961,-0.315922,-0.408475,-0.336489,-0.336489,-0.264503,-0.28507,-0.28507,-0.274787,-0.264503,-0.213085,-0.213085,-0.182233,-0.130815,-0.130815,-0.038261,-0.079396,-0.079396,-0.099964,0.013157,-0.00741,0.033725,0.044008,0.054292,0.136562,0.280534,0.280534,0.311385,0.136562,0.023441,-0.017694,-0.08968,-0.017694,0.198264,0.157129,0.146845,0.208548,0.218831,0.239399,0.239399,0.280534,0.331952,0.887272,1.401458,-2.619473,-5.46806,-5.930827,-3.935787,-2.403514,-1.292874,-0.459894,0.157129,0.321668,0.455357,0.496491,0.517059,0.54791,0.558194,0.54791,0.681598,0.619896,0.609612,0.712449,0.7433,0.805003,0.90784,1.072379,1.26777,1.452876,1.648267,1.874508,1.967062,1.946494,1.792239,1.46316,1.062096,0.702166,0.455357,0.311385,0.27025,0.218831,0.18798,0.177696,0.146845,0.136562,0.064576,0.229115,0.198264,0.208548,0.136562,0.157129,0.167413,0.136562,0.10571,0.136562,0.126278,0.10571,0.054292,0.074859,0.044008,0.054292,0.023441,0.002873,0.002873,0.002873,-0.038261,-0.048545,-0.079396,-0.058829,-0.08968,-0.099964,-0.120531,-0.120531,-0.141099,-0.110247,-0.110247,0.044008,0.126278,-0.110247,-0.233652,-0.336489,-0.408475,-0.583298,-0.511312,-0.387908,-0.36734,-0.377624,-0.36734,6.032784,2.0
-7.107807,0.335308,0.298158,0.298158,0.28887,0.307445,0.223857,0.242432,0.261008,0.158844,0.261008,0.25172,0.21457,0.233145,0.158844,0.21457,0.205282,0.205282,0.223857,0.17742,0.205282,0.21457,0.158844,0.205282,0.140269,0.158844,0.121694,0.084544,0.103119,0.130982,0.084544,0.047394,0.065969,0.195995,0.316733,0.32602,0.279583,-0.101207,-0.268383,-0.268383,-0.231233,-0.156932,-0.036194,-0.073344,-0.101207,-0.101207,-0.017619,-0.017619,-0.045482,-0.026907,0.000956,-0.008331,0.307445,1.273351,-1.921567,-5.376537,-6.054529,-4.141293,-2.553121,-1.466477,-0.69561,-0.156932,0.028819,0.140269,0.140269,0.17742,0.168132,0.223857,0.21457,0.21457,0.25172,0.32602,0.261008,0.409608,0.381746,0.548922,0.521059,0.660372,0.74396,0.938999,1.1619,1.329076,1.644853,1.867754,2.081368,2.248544,2.155668,1.904904,1.421952,0.892561,0.493196,0.205282,0.056681,-0.017619,-0.101207,-0.064057,-0.101207,-0.20337,-0.101207,-0.026907,-0.091919,-0.101207,-0.054769,-0.073344,-0.064057,-0.064057,-0.119782,-0.082632,-0.194083,-0.017619,-0.156932,-0.194083,-0.156932,-0.231233,-0.16622,-0.212658,-0.221945,-0.231233,-0.286958,-0.175507,-0.231233,-0.314821,-0.286958,-0.268383,-0.286958,-0.342683,-0.259095,-0.305533,-0.379834,-0.333396,-0.351971,-0.324108,-0.314821,-0.351971,-0.324108,-0.379834,-0.407696,6.032784,1.0
-7.107807,0.246891,0.246891,0.272247,0.251962,0.20632,0.196178,0.241819,0.196178,0.186035,0.120108,0.109965,0.109965,0.140393,0.08968,0.04911,0.094751,0.125179,0.04911,0.094751,0.084609,0.018682,0.01361,0.054181,0.003468,0.044038,0.038967,0.044038,0.069395,0.125179,0.186035,0.241819,0.251962,0.312818,0.277318,0.130251,-0.006675,-0.062459,-0.163885,-0.128386,-0.158814,-0.199384,-0.199384,-0.163885,-0.158814,-0.174028,-0.1436,-0.163885,0.115037,1.616144,3.806948,1.960992,-3.01396,-6.391451,-5.407617,-3.414593,-1.791775,-0.767371,-0.422522,-0.250097,-0.163885,-0.082744,-0.082744,-0.042174,0.008539,0.038967,0.033896,0.109965,0.140393,0.287461,0.373673,0.525813,0.733736,0.94166,1.164797,1.352436,1.474147,1.565431,1.570502,1.438648,1.144512,0.850376,0.59174,0.333103,0.216463,0.109965,0.04911,-0.016817,-0.02696,-0.06753,-0.011746,-0.021889,-0.02696,0.018682,0.008539,0.028824,0.033896,0.023753,0.059252,0.038967,0.023753,0.003468,-0.037103,-0.011746,-0.037103,-0.06753,-0.057388,-0.047245,-0.113172,-0.108101,-0.108101,-0.138529,-0.108101,-0.128386,-0.128386,-0.133457,-0.128386,-0.108101,-0.158814,-0.133457,-0.179099,-0.179099,-0.082744,0.008539,0.059252,0.084609,0.120108,0.20632,-0.042174,-0.174028,-0.174028,-0.305882,-0.270383,-0.331238,-0.331238,-0.321096,-0.326167,6.032784,2.0
-7.107807,-0.532593,-0.482851,-0.499432,-0.482851,-0.45798,-0.474561,-0.433109,-0.45798,-0.424819,-0.4414,-0.4414,-0.424819,-0.424819,-0.424819,-0.424819,-0.44969,-0.408238,-0.433109,-0.408238,-0.491142,-0.482851,-0.391658,-0.408238,-0.424819,-0.408238,-0.399948,-0.375077,-0.424819,-0.350206,-0.408238,-0.375077,-0.391658,-0.408238,-0.225851,-0.109786,-0.084915,-0.20927,-0.424819,-0.590626,-0.648658,-0.68182,-0.590626,-0.399948,-0.416529,-0.358496,-0.358496,-0.350206,-0.308754,-0.292174,-0.283883,-0.242432,-0.283883,-0.142947,0.77728,-1.005143,-3.997956,-6.128573,-4.445634,-3.260115,-2.099468,-1.121208,-0.491142,-0.142947,-0.084915,-0.002012,0.022859,0.097472,0.130634,0.114053,0.188666,0.130634,0.180376,0.28815,0.346183,0.420796,0.52028,0.603183,0.793861,0.967958,1.166926,1.349314,1.440508,1.639476,1.622895,1.349314,1.059152,0.785571,0.536861,0.379344,0.354473,0.337892,0.329602,0.263279,0.263279,0.296441,0.337892,0.379344,0.362763,0.453957,0.437376,0.437376,0.453957,0.462247,0.578312,0.570022,0.536861,0.545151,0.578312,0.561732,0.586603,0.636345,0.661216,0.686087,0.619764,0.611474,0.669506,0.603183,0.661216,0.578312,0.628054,0.669506,0.694377,0.710958,0.694377,0.644635,0.694377,0.76899,0.727538,0.843603,0.951378,0.992829,0.835313,0.752409,0.603183,0.578312,0.495409,6.032784,2.0
-7.107807,0.162301,0.123085,0.151097,0.117483,0.173506,0.111881,0.13429,0.145495,0.100676,0.100676,0.100676,0.067063,0.078267,0.033449,0.078267,0.078267,0.027847,0.044653,0.06146,0.016642,0.01104,0.06146,0.022244,0.01104,0.033449,0.055858,0.033449,0.005438,-0.011369,-0.050585,-0.039381,0.016642,0.005438,-0.028176,0.095074,0.173506,0.162301,0.20712,0.307961,0.156699,-0.022574,-0.078597,-0.196245,-0.067392,-0.25787,-0.252267,-0.224256,-0.201847,-0.252267,-0.190642,-0.213051,-0.151426,-0.151426,0.016642,1.097882,3.120306,1.053064,-3.249488,-6.000208,-4.969388,-2.924556,-1.350314,-0.549188,-0.274677,-0.179438,-0.117813,-0.044983,-0.016972,0.055858,0.089472,0.039051,0.072665,0.083869,0.201517,0.263142,0.313563,0.414404,0.504041,0.593677,0.795359,0.952223,1.254746,1.48444,1.792565,2.011054,2.251952,2.263157,2.156713,2.033463,1.574076,1.09228,0.683314,0.313563,0.117483,-0.028176,-0.129017,-0.168233,-0.123415,-0.162631,-0.117813,-0.06179,-0.106608,-0.067392,-0.067392,-0.022574,-0.022574,-0.095404,-0.050585,-0.106608,-0.123415,-0.129017,-0.168233,-0.18504,-0.168233,-0.218654,-0.218654,-0.224256,-0.25787,-0.285881,-0.30829,-0.30829,-0.341904,-0.369915,-0.347506,-0.38112,-0.38112,-0.403529,-0.353108,-0.386722,-0.420336,-0.442745,-0.448347,-0.425938,-0.425938,-0.43154,-0.409131,6.032784,1.0
-7.107807,0.210713,0.231658,0.236894,0.252602,0.247366,0.263074,0.226422,0.215949,0.200241,0.179297,0.153117,0.168825,0.126936,0.137408,0.116464,0.126936,0.09552,0.09552,0.116464,0.090284,0.09552,0.074576,0.069339,0.069339,0.090284,0.074576,0.058867,0.074576,0.064103,0.137408,0.221186,0.263074,0.304963,0.346851,0.399212,0.195005,0.053631,0.048395,-0.056326,-0.003966,-0.108687,-0.087743,-0.087743,-0.066798,-0.087743,-0.040618,-0.030146,-0.030146,-0.009202,0.68196,2.692612,3.498967,-0.077271,-4.952054,-6.47575,-4.459863,-2.684834,-1.161137,-0.496156,-0.286713,-0.181992,-0.108687,-0.087743,-0.05109,0.016979,0.069339,0.09552,0.168825,0.200241,0.294491,0.373032,0.514406,0.666252,0.85475,1.064193,1.263164,1.420246,1.504023,1.519731,1.477843,1.284108,1.00136,0.697668,0.456809,0.26831,0.153117,0.048395,0.006507,-0.009202,-0.030146,-0.05109,-0.05109,-0.061562,-0.014438,-0.040618,0.006507,0.032687,0.048395,0.022215,0.011743,-0.040618,-0.014438,-0.056326,-0.003966,-0.113923,-0.150576,-0.108687,-0.087743,-0.124395,-0.124395,-0.192464,-0.161048,-0.17152,-0.218645,-0.218645,-0.202936,-0.202936,-0.223881,-0.286713,-0.244825,-0.250061,-0.302422,-0.297186,-0.302422,-0.239589,-0.103451,-0.103451,-0.077271,-0.040618,0.032687,-0.192464,-0.239589,-0.31813,-0.428087,-0.401907,-0.443796,6.032784,2.0
-7.107807,0.233848,0.233848,0.189356,0.278341,0.216051,0.233848,0.198254,0.22495,0.207153,0.171559,0.198254,0.22495,0.180457,0.153762,0.144863,0.127066,0.171559,0.144863,0.16266,0.16266,0.171559,0.144863,0.109269,0.135964,0.153762,0.118167,0.16266,0.073675,0.127066,0.073675,0.073675,0.046979,0.038081,0.296138,0.331732,0.349529,0.135964,-0.086499,-0.273368,-0.246673,-0.068702,-0.068702,-0.024209,-0.059803,-0.068702,-0.006412,-0.024209,-0.059803,0.011385,0.038081,0.020283,0.020283,0.376225,1.212688,-2.409018,-5.381131,-5.852753,-4.251016,-2.204352,-1.296701,-0.575919,-0.068702,0.064776,0.153762,0.118167,0.260544,0.22495,0.278341,0.233848,0.331732,0.322834,0.269443,0.394022,0.429616,0.420718,0.46521,0.58979,0.732167,0.856746,1.025818,1.221586,1.461847,1.737702,1.942368,2.191527,2.191527,2.244919,1.844484,1.346166,0.803355,0.394022,0.127066,0.011385,-0.104296,-0.113195,-0.068702,-0.113195,-0.130992,-0.024209,-0.059803,-0.148789,-0.086499,-0.068702,-0.024209,-0.033108,-0.050905,-0.122093,-0.157687,-0.122093,-0.13989,-0.175484,-0.184383,-0.219977,-0.219977,-0.300064,-0.228876,-0.237774,-0.317861,-0.273368,-0.32676,-0.300064,-0.362354,-0.282267,-0.300064,-0.317861,-0.371252,-0.389049,-0.389049,-0.308963,-0.32676,-0.344557,-0.371252,-0.424644,-0.371252,-0.344557,-0.486933,6.032784,1.0
