@relation 'Original signal'

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute destClass {1.0,2.0}

@data
-2.393368,-0.710518,-1.18332,-1.372442,-1.593083,-1.467002,-1.372442,-1.08876,0.045967,0.928532,1.086133,1.275254,0.960052,0.61333,0.014447,-0.647477,-0.269235,-0.206195,0.61333,1.369815,1.464375,1.054613,0.58181,0.172048,-0.269235,3.293852,1.0
-2.393368,-0.993009,-1.426787,-1.579884,-1.605401,-1.630917,-1.375754,-1.018526,-0.355102,0.716583,1.201393,1.124844,1.048295,0.793132,0.46142,0.486936,0.563485,0.614518,0.308322,0.257289,1.099327,1.048295,0.691066,-0.048906,-0.380618,3.293852,1.0
-2.393368,1.319067,0.569775,0.195128,-0.085856,-0.179518,-0.27318,-0.085856,-1.397118,-1.116134,-0.741487,0.007805,-0.085856,0.007805,-0.460503,-0.554164,-0.741487,-0.741487,-0.741487,-1.116134,-0.460503,0.476113,2.349344,2.255682,1.600052,3.293852,2.0
-2.393368,-0.812444,-1.157553,-1.416385,-1.531422,-1.502662,-1.416385,-1.646458,-0.467335,0.654269,1.056896,1.344487,1.200692,0.999378,0.654269,0.740547,0.884342,0.884342,0.683028,0.62551,0.424197,-0.00719,-0.035949,0.107847,-0.266022,3.293852,2.0
-2.393368,-0.97284,-1.390518,-1.536705,-1.62024,-1.62024,-1.453169,-0.993724,0.050469,0.635218,1.032011,0.802289,0.823173,0.656102,0.384611,0.32196,0.489031,0.614334,1.303502,1.24085,1.073779,0.551682,0.426379,-0.179253,-0.638698,3.293852,1.0
-2.393368,0.367424,-0.277808,-0.761732,-0.869271,-1.138118,-1.084348,-1.138118,-0.600424,-1.084348,-0.277808,0.367424,0.474963,0.528732,0.098577,-0.277808,-0.385347,-0.600424,-0.546655,-0.492886,0.367424,2.30312,2.088043,1.765427,1.173964,3.293852,1.0
-2.393368,0.087213,-0.576455,-1.086969,-1.393278,-1.393278,-1.291175,-1.750637,-0.729609,0.34247,1.720857,1.82296,1.771909,1.159292,0.801932,0.189316,-0.01489,-0.065941,-0.065941,-0.01489,0.087213,-0.321198,-0.219096,0.750881,0.189316,3.293852,2.0
-2.393368,-1.099069,-1.375564,-1.523028,-1.559894,-1.59676,-1.430863,-1.135935,-0.232717,0.652068,0.946996,1.002295,0.91013,0.799532,0.430872,0.559903,0.633635,0.836398,0.781099,1.205059,0.983862,0.596769,0.301841,-0.122119,-0.564511,3.293852,1.0
-2.393368,-1.14987,-1.549246,-1.489339,-1.569215,-1.569215,-1.449402,-1.089964,0.088196,0.34779,1.066667,1.106604,1.046698,0.647322,0.50754,0.607384,0.627353,0.687259,0.727197,1.066667,0.966823,0.587415,0.367759,-0.071555,-0.510868,3.293852,1.0
-2.393368,-0.75624,-1.188377,-1.315476,-1.442575,-1.442575,-1.290056,-1.544254,-0.883339,0.413072,1.201087,1.277346,1.251926,0.997728,0.845209,0.896049,0.972308,1.023148,0.71811,0.311393,0.489332,-0.146164,-0.197004,0.057195,-0.247843,3.293852,2.0
-2.393368,-0.509517,-1.239571,-1.239571,-1.604599,-1.604599,-1.148315,-0.783287,-1.239571,-0.14449,0.950592,1.315619,1.498132,1.224362,0.859335,0.494308,0.768078,0.494308,0.494308,0.12928,-0.327003,-0.692031,1.041848,0.859335,0.403051,3.293852,2.0
-2.393368,-1.004817,-1.381624,-1.557467,-1.607708,-1.657948,-1.431865,-1.080178,0.226084,0.929456,1.18066,1.105299,0.879215,0.728492,0.527529,0.552649,0.653131,0.57777,0.276325,0.226084,1.205781,0.778733,0.527529,0.02512,-0.678252,3.293852,1.0
-2.393368,-0.974866,-1.282448,-1.54902,-1.610536,-1.631042,-1.487503,-1.015877,-0.13414,0.68608,1.034673,1.014168,0.891135,0.522036,0.440014,0.399003,0.419508,0.542541,1.301245,1.219223,0.91164,0.583552,0.522036,-0.195657,-0.605767,3.293852,1.0
-2.393368,-0.874915,-1.265316,-1.488402,-1.683602,-1.683602,-1.516287,-1.265316,-0.3172,0.519372,1.132858,1.18863,1.18863,0.881887,0.575144,0.603029,0.630915,0.881887,0.491486,0.2684,0.352058,0.881887,0.630915,0.156857,-0.289315,3.293852,2.0
-2.393368,-0.964323,-1.433295,-1.527089,-1.620884,-1.667781,-1.433295,-0.964323,-0.237417,0.653629,1.14605,1.14605,1.005358,0.770872,0.372246,0.372246,0.559835,0.536386,0.395695,0.466041,1.403984,0.888115,0.559835,0.067415,-0.495351,3.293852,1.0
-2.393368,0.83967,-0.369455,-0.427032,-0.830074,-0.945229,-0.887651,-1.80889,-1.521003,-1.117961,-0.427032,0.379051,0.666938,0.83967,0.148742,-0.081568,-0.311878,-0.542187,-0.2543,-0.023991,0.379051,0.954825,2.16395,1.703331,1.473022,3.293852,2.0
-2.393368,-0.585515,-0.819722,-1.18776,-1.455424,-1.790004,-1.388508,-1.053928,-0.418225,-0.451683,0.117103,0.518599,0.652431,0.552057,0.217477,-0.117103,-0.485141,0.016729,1.154302,1.421966,1.622714,1.52234,1.321592,0.685889,-0.050187,3.293852,1.0
-2.393368,-0.258057,-0.731436,-1.125918,-1.362607,-1.480952,-1.441503,-1.08647,-0.770884,-0.810332,0.01808,0.333666,0.649252,0.6887,-0.100264,-0.218609,-0.297505,-0.258057,0.885941,1.517112,1.714353,1.635457,1.35932,0.846493,0.294218,3.293852,1.0
