@relation 'Original signal'

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute destClass {2.0,1.0}

@data
-8.637996,0.39815,0.503921,0.525904,0.607302,0.572887,0.804101,0.721741,0.688301,-0.419047,-0.853947,-0.924635,-0.59134,-0.45592,-0.058858,-0.011106,0.19553,0.276457,0.267343,0.340661,0.392721,0.412565,0.522523,0.702703,0.71322,0.793135,0.786384,0.840024,0.828899,0.861255,0.871353,0.868995,0.90895,0.845082,0.871103,0.881453,0.849616,0.890539,0.785365,0.498801,0.402727,-0.49187,-0.12686,-0.077103,-0.19989,-0.706619,-0.935359,-0.904999,-0.945364,-0.965731,-0.980951,-0.884037,-0.786521,-7.51771,-0.650792,-0.628479,-0.528847,-0.333676,-0.142343,-0.095347,-0.045828,-0.070611,-0.271782,0.068569,0.002754,0.132073,0.27793,-0.03542,-0.264086,-0.282185,-0.181551,-0.181551,-0.192027,-0.180507,-0.144955,-0.103166,-0.105779,0.020968,0.10877,0.130787,0.172185,0.173916,0.210307,0.259983,0.288846,8.544441,2.0
-8.637996,-1.094367,-1.251307,-1.417703,-1.501493,-1.354483,-1.19375,-1.036556,-0.804107,-0.760073,-0.489427,-0.372904,-0.243955,-0.147961,0.055676,0.182703,0.346242,0.487967,0.555664,0.580593,0.553299,0.588893,0.560407,0.558513,0.687233,0.708528,0.764076,0.745181,0.747542,0.759354,0.839612,0.833549,0.915602,0.910302,1.019644,1.024925,1.023167,1.08183,1.096365,1.142745,1.142745,1.156796,1.175518,1.184875,1.216437,1.242382,1.277997,1.312736,1.355269,1.361093,1.361092,1.331975,1.289946,1.034411,0.490495,0.007373,-0.309275,-0.435491,-0.774744,-0.958585,-1.107247,-1.200542,-1.34148,-1.464852,-1.527965,-1.569747,-1.628397,-1.581704,-1.580204,-1.415216,-1.368115,-1.295075,-1.211923,-1.109894,-1.08156,-0.831042,-0.716078,-0.635516,-0.431121,-0.254227,-0.092979,0.054245,0.174153,0.288964,0.362948,8.544441,2.0
-8.637996,0.0817,0.05758,0.019309,-0.017998,-0.045013,-0.058199,-0.122842,-0.421939,-0.41229,-0.304506,-0.174943,-0.050343,0.102927,0.108716,0.25344,0.395462,0.586111,0.494431,0.613127,0.563149,0.591405,0.61139,0.530207,0.574313,0.411671,0.4374,0.231056,0.036675,-0.012852,0.162746,0.108716,0.048897,-0.058393,0.417845,0.643229,0.732765,0.730707,0.688254,0.678927,0.630879,0.573762,0.526678,0.494003,0.454123,0.392374,0.345291,0.28946,0.250867,0.206485,0.147585,0.097964,-0.016712,-0.116282,-0.173014,-0.232833,-0.285576,-0.323526,-0.352471,-0.388491,-0.421167,-0.477898,-0.529999,-0.55977,-0.59818,-0.60057,-0.653497,-0.74805,-0.096471,0.320977,0.398164,-8.40928,0.099067,0.102927,0.030565,-0.213536,-0.385918,0.025096,0.192977,0.221922,0.180499,0.169178,0.122224,0.053527,0.023811,8.544441,1.0
-8.637996,-1.425477,-1.451659,-1.486758,-1.535277,-1.558609,-1.582891,-1.620021,-1.602121,-1.518666,-1.331724,-1.066995,-0.819644,-0.545947,-0.301711,-0.076982,0.168319,0.427476,0.645166,0.955128,1.123113,1.321598,1.455097,1.515486,1.630354,1.682087,1.809414,1.984566,1.892185,1.816874,1.768508,1.725071,1.650263,1.515803,1.378657,1.218368,1.025607,0.870725,0.671109,0.520283,0.386653,0.277556,0.208981,0.115671,0.050917,-0.014238,-0.068032,-0.117403,-0.157825,-0.190403,-0.214294,-0.234846,-0.25918,-0.29168,-0.326523,-0.361739,-0.393715,-0.417243,-0.450047,-0.481897,-0.51445,-0.55017,-0.575157,-0.607886,-0.637447,-0.672815,-0.69657,-0.725076,-0.750532,-0.772586,-0.800458,-0.845585,-0.854635,-0.853429,-0.883231,-0.893247,-0.900335,0.190807,0.708513,0.192089,0.060067,0.179722,0.382959,0.416918,0.495045,8.544441,1.0
-8.637996,-0.500857,-0.529616,-0.56982,-0.624989,-0.678105,-0.712733,-0.744573,-0.769077,-0.799596,-0.822486,-0.846696,-0.869146,-0.887985,-0.907001,-0.910523,-0.924022,-0.931065,-0.47235,0.218112,0.35633,0.549131,0.682193,0.879395,1.062387,1.204126,1.303902,1.445348,1.597359,1.726714,1.778128,1.857948,1.949423,1.987656,1.970489,1.915465,1.312941,0.992486,0.865844,0.731368,0.626017,0.499244,0.409152,0.255792,0.146508,0.063753,-0.017124,-0.140727,-0.189206,-0.217232,-0.263451,-0.311871,-0.341804,-0.345325,-0.379953,-0.40343,-4.059841,-0.440405,-0.472099,-0.493227,-0.52316,-0.54018,-0.553533,-0.614132,-0.649933,-0.640689,-0.654863,-0.676785,-0.692191,-0.708478,-0.729167,-0.753817,-0.768783,-0.777587,-0.786391,-0.786919,-0.79314,-0.799009,0.200505,0.513916,0.642451,0.911844,1.087918,1.107638,1.173607,8.544441,1.0
-8.637996,-0.185213,-0.114951,0.119722,0.127739,0.287097,0.118319,-0.339426,-0.402731,-0.379598,-0.317626,-0.09183,-0.04318,0.021799,0.435161,0.547925,0.68072,0.833127,0.776266,0.862224,0.458862,0.767243,0.542716,0.542715,0.502191,0.509242,0.519109,0.563843,0.616611,0.616606,0.640958,0.634539,0.620476,0.610831,0.657018,0.688622,0.793068,0.808641,0.860238,0.882363,0.897498,0.946826,0.952408,0.991438,0.985867,0.971935,0.988188,1.036012,1.020699,1.038098,1.041575,1.092587,1.111126,1.141881,1.14307,1.064443,0.910299,0.790233,0.125664,-0.354768,-0.471915,-0.772944,-1.104281,-1.254726,-1.431572,-1.627576,-1.72286,-1.855245,-1.878799,-1.975605,-1.918489,-1.937634,-1.892445,-1.710509,-1.777265,-1.755,-1.732754,-1.442982,-1.181766,-1.036553,-0.972125,-0.853856,-0.631341,-0.445969,-0.282301,8.544441,2.0
-8.637996,-0.02683,-0.058356,-0.051583,-0.15076,-0.111278,-0.154695,-0.020105,-0.068467,-0.198724,-0.400815,-0.446466,-0.5016,-0.478329,0.670046,0.844613,0.981975,1.053057,0.940311,0.969796,0.953707,0.96293,0.993322,1.005539,1.0248,0.998492,1.020689,1.029185,1.088882,1.09568,1.09512,1.088882,1.076297,1.090993,1.109121,1.1463,1.177749,1.229252,1.256666,1.248263,1.306141,1.314533,1.371202,1.401185,1.406765,1.428851,1.42153,1.430478,-0.038077,-0.245609,-0.475082,-0.730608,-0.619281,-0.917129,-1.009421,-1.089637,-0.627811,-0.564526,-0.675176,-0.915038,-1.064331,-1.197597,-1.283373,-1.29966,-1.349663,-1.464408,-1.43356,-1.448745,-1.369227,-1.297508,-1.246946,-1.206658,-1.047977,-0.939525,-0.886613,-0.886999,-0.924878,-0.924875,-0.89929,-0.935711,-0.906793,-0.867482,-0.925652,-0.934069,-0.915406,8.544441,2.0
-8.637996,-1.514096,-1.50338,-1.544379,-1.58764,-1.617591,-1.639886,-1.663646,-1.625909,-1.521084,-1.303046,-0.904554,-0.538053,-0.286472,0.003158,0.258622,0.507097,0.719855,0.892234,1.069273,1.213699,1.428009,1.572436,1.685802,1.743652,1.805381,1.68425,1.522741,1.563118,1.61786,1.610484,1.594177,1.594955,1.536329,1.410539,1.256562,1.059955,0.888353,0.715972,0.568772,0.454296,0.348073,0.272599,0.191843,0.131666,0.0716,0.010147,-0.027902,-0.080314,-0.118751,-0.15509,-0.184907,-0.199815,-0.253082,-0.289577,-0.32452,-0.367536,-0.404109,-0.448369,-0.490532,-0.5365,-0.568668,-0.59396,-0.63589,-0.672495,-0.714425,-0.744209,-0.786528,-0.817588,-0.845541,-0.875492,-0.911431,-0.926295,-0.945376,-0.95669,-0.976923,-0.969002,0.384413,0.338755,-0.190187,-0.199505,0.0117,0.239402,0.167307,0.31586,8.544441,1.0
-8.637996,0.592068,0.444566,0.333153,0.245489,0.139555,0.044638,0.02094,-0.113879,-0.107826,0.018303,0.011633,0.138819,0.448946,0.829884,1.181103,1.181406,1.050284,1.098628,1.124254,1.145065,1.046527,1.160126,0.414553,0.44331,0.503793,0.525847,0.551244,0.562917,0.561043,0.559707,0.571182,0.57371,0.601863,0.632372,0.663418,0.671175,0.691337,0.71961,0.675054,0.670528,0.668589,0.67796,0.715735,0.778744,0.913319,0.902281,0.935768,0.910201,0.878003,0.878003,0.872216,0.838336,0.815997,0.748399,0.374232,-0.158945,-0.552147,-0.890979,-1.139828,-1.348521,-1.506598,-1.709242,-1.849995,-1.932669,-1.941683,-1.988265,-2.010381,-2.022972,-1.984696,-1.894665,-1.83506,-1.710097,-1.595155,-1.429974,-1.201549,-1.009921,-0.826732,-0.701168,-0.582416,-0.438239,-0.244098,-0.095196,0.000437,0.066628,8.544441,2.0
-8.637996,-0.267913,-0.302348,-0.331589,-0.358379,-0.379215,-0.396024,-0.413534,-0.434195,-0.452346,-0.470731,-0.485323,-0.493494,-0.466062,-0.333865,-0.062468,0.206303,0.478357,0.683561,0.89676,1.056389,1.120299,1.266941,1.384692,1.48508,1.540527,1.675933,1.706429,1.735758,1.727295,1.685272,1.612316,1.598308,1.457357,1.295394,1.16524,1.06777,1.078859,-0.100114,-0.321901,-0.551859,-0.648599,-0.780066,-0.813101,-0.725553,-0.845668,-0.922623,-0.998351,-1.059197,-1.117066,-1.167318,-0.334741,-0.230384,-0.184159,-0.189996,-0.195978,-0.213342,-3.869267,-0.210424,-0.210132,-0.23231,-0.243692,-0.265578,-0.277397,-0.288049,-0.304975,-0.294469,-0.311979,-0.301473,-0.306726,-0.110619,-0.64641,-0.483134,-0.348165,-0.211007,-0.007751,0.153482,0.068853,0.085925,0.176536,0.254162,-3.869267,0.387818,0.424821,0.363888,8.544441,1.0
