@relation 'Original signal'

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a89 numeric
@attribute a90 numeric
@attribute a91 numeric
@attribute a92 numeric
@attribute a93 numeric
@attribute a94 numeric
@attribute a95 numeric
@attribute a96 numeric
@attribute a97 numeric
@attribute a98 numeric
@attribute destClass {-1.0,1.0}

@data
-10.550579,1.757194,1.897569,2.528342,5.001098,7.477806,7.984021,6.776958,5.141115,3.530958,1.330988,-1.038729,-1.79875,-0.894756,-0.375209,-1.007393,-1.463032,-1.117071,-0.911325,-1.22625,-1.769201,-2.488105,-2.883719,-3.148955,-4.038824,-4.304407,-3.654318,-4.207109,-4.872682,-3.955379,-4.129533,-5.772451,-6.043014,-5.629296,-5.819808,-5.777353,-5.940583,-6.435439,-6.309087,-6.231876,-6.388083,-5.756672,-4.983334,-4.872682,-4.761455,-4.200624,-3.215213,-2.400705,-2.337802,-1.794525,-0.355917,0.22384,0.28915,0.831625,0.611776,0.431219,1.76188,2.393546,1.662482,1.86479,2.532425,2.325469,2.267775,2.649689,2.562251,2.170753,2.122039,2.372826,2.411793,2.095825,1.899263,2.036326,2.207207,2.325469,2.402112,2.300839,2.278113,2.526084,2.588973,2.420182,2.433303,2.625401,2.988457,3.206066,2.897124,3.083169,3.810907,3.25865,2.136044,2.23613,2.396375,2.041332,2.241826,2.480048,2.467538,2.498354,1.518176,14.680994,-1.0
-10.550579,0.516202,2.811231,1.285115,0.8524,0.093424,-0.958048,0.338348,-2.611423,-5.622619,-4.119952,-3.687974,-3.942449,-2.395927,-2.789772,-5.987652,-5.762626,-3.606839,-4.973398,-6.225721,-3.580385,-6.28327,-6.264774,-3.791202,-5.499009,-3.618578,-7.439872,-7.120606,-0.191704,-3.982331,-2.459629,0.170654,-1.661736,1.837349,0.855488,2.375516,3.244138,2.002138,4.302559,3.644874,5.520322,4.508528,2.622078,3.415178,3.988118,5.344537,2.961479,2.678815,1.976433,3.789144,3.693932,1.757773,3.330371,1.587011,4.188557,2.968599,-0.480588,2.205014,2.424919,1.799644,1.953893,1.941606,1.641139,1.358643,1.199038,1.871346,3.146706,2.294875,2.4108,3.327954,1.913864,-0.585304,0.040742,-0.616026,-0.969591,-0.78491,-3.180767,-0.132039,0.250801,-3.6635,-2.221898,-1.350093,-1.772321,-2.502876,-1.619482,-1.607901,-2.691979,-1.86311,-1.397568,0.615536,3.883954,8.518083,9.553642,6.064636,0.129203,-4.418545,-0.726186,14.680994,1.0
-10.550579,1.108262,0.851197,1.29665,3.723083,5.873655,6.158451,5.94201,5.642557,4.088657,1.74985,-0.078269,-0.823614,-0.413954,-0.248596,-1.130453,-1.517467,-1.115309,-1.034792,-1.462065,-2.388679,-3.086439,-2.951622,-3.092781,-3.605065,-3.693429,-4.090229,-4.773967,-4.681639,-4.414528,-4.934237,-5.720764,-5.961332,-5.869587,-6.239197,-6.98905,-7.197301,-6.782583,-6.57794,-6.703993,-6.459274,-5.803473,-5.283191,-4.876991,-4.315039,-3.585219,-2.69024,-1.789528,-1.083474,-0.461866,0.122689,0.497556,0.790323,1.202916,1.500062,1.643487,1.994237,2.364832,2.449599,2.563963,2.700828,2.583453,2.532948,2.824066,3.076446,2.99527,2.822345,2.773753,2.813349,2.736784,2.451537,2.57586,3.024566,2.476845,1.605646,2.10051,2.887978,2.80012,2.669874,2.64405,2.288181,1.842543,1.670687,2.012311,2.444486,2.52845,2.700593,2.674802,2.137175,1.935151,1.983751,2.114008,2.719737,2.843209,2.620969,2.863147,1.887715,14.680994,-1.0
-10.550579,4.09106,7.265653,6.160492,5.622561,6.82166,4.559947,1.60766,1.807442,2.982628,3.462295,2.874387,2.017567,2.600813,2.985396,1.076104,-0.456367,-0.2177,-0.352544,-0.814864,-0.820627,-0.751645,-0.806444,-0.79643,-0.808508,-1.622176,-2.534751,-2.757597,-3.453403,-4.286352,-4.508496,-4.774518,-4.998775,-5.256184,-5.768293,-5.970427,-5.903767,-5.970018,-6.221891,-6.542596,-6.504316,-6.082008,-6.05202,-6.048369,-5.41113,-5.106859,-4.937632,-4.071996,-3.175966,-2.506737,-2.036172,-1.548841,-0.724662,-0.092619,0.409627,0.772228,0.925103,1.417692,1.62741,1.519569,1.703825,1.537857,1.293638,1.44602,1.392632,1.115673,0.923011,1.011021,1.253854,1.14358,0.802254,0.715462,0.855351,0.919212,0.853597,0.796258,0.860247,0.815357,0.576138,0.600382,0.583416,0.346995,0.514278,0.466951,0.438531,0.709497,0.652432,1.466523,2.533607,4.633814,7.477706,6.113088,5.145772,6.627293,4.399323,2.801423,2.560389,14.680994,-1.0
-10.550579,2.267806,2.629282,9.218285,12.083993,7.406597,1.820064,-0.660148,2.729968,3.264851,2.452252,3.517885,1.383515,-1.293367,-2.581995,-2.55011,-3.172065,-3.046253,-3.708071,-4.189747,-3.433156,-4.450407,-4.502452,-4.465097,-5.384812,-4.709578,-5.369129,-6.167142,-5.906277,-6.327828,-6.518493,-6.975064,-6.60913,-6.734682,-6.412668,-5.811891,-4.695241,-3.53707,-2.352995,-0.75642,0.184363,1.965081,2.450426,3.310843,3.513914,3.592753,4.16668,3.387527,2.953072,2.72533,2.600999,2.354165,1.766407,2.316376,2.124589,1.909182,2.402457,1.89834,1.584115,1.698245,1.540512,1.884874,1.291852,1.318933,1.643443,1.123565,1.137782,0.878116,0.945651,0.968696,0.542101,0.422446,1.140865,1.656866,2.079245,2.441053,2.890697,2.010809,1.402442,1.223292,0.517208,-0.116649,-0.400113,0.420316,-0.770216,-0.52936,-0.271349,-0.342771,-0.478867,-1.190324,-0.313301,-0.281324,-0.673989,-1.066069,-1.590095,1.099583,2.035369,14.680994,1.0
-10.550579,1.412276,4.469862,8.777399,4.534983,5.072125,1.654971,-4.87405,-2.25844,1.507244,0.462021,-1.41922,0.804454,-0.423706,-3.206152,-4.351295,-4.705877,-4.154159,-3.529421,-6.993665,-4.631414,-3.406453,-6.504021,-5.192081,-5.640353,-6.831884,-5.935332,-5.299526,-6.622564,-7.598305,-6.536033,-6.195772,-5.821893,-6.747359,-5.198784,-4.016133,-3.762847,-2.700409,-1.815712,-0.716508,-0.093058,1.043468,0.677957,2.448985,2.34463,2.979426,2.361943,3.136923,2.694901,2.267755,2.229203,2.338904,3.620342,1.511112,2.293216,1.846002,1.961368,3.588638,-0.068902,4.110065,2.958897,0.591102,2.350013,2.216808,2.61101,2.233915,2.063431,1.506322,2.503799,2.077742,1.599875,1.687397,2.288169,1.712622,3.723065,3.242432,3.276903,4.579163,2.026049,1.992389,1.824229,1.55742,2.165916,0.173296,0.941572,1.461783,-0.224757,1.313639,0.969333,0.787387,0.555012,1.424914,1.884397,-0.097186,0.709912,1.210669,1.18352,14.680994,1.0
-10.550579,4.217522,7.111494,8.565528,9.588067,9.610615,7.967243,5.338781,2.662088,0.659567,-0.10168,-0.173333,-0.734875,-1.309526,-0.870232,-0.332558,-0.348177,-0.424955,-1.25492,-2.586972,-2.756781,-2.481294,-2.659146,-2.593702,-3.085974,-3.566171,-2.034839,-1.256477,-3.234763,-3.83183,-2.314775,-2.747934,-4.508548,-4.670762,-4.437269,-5.257499,-5.739901,-5.368869,-5.483999,-6.058481,-6.018832,-5.839731,-6.074275,-5.765504,-4.856456,-4.583619,-4.618788,-3.851372,-3.151604,-3.270198,-2.678174,-1.111263,-0.44492,-0.433787,0.330463,1.009491,0.914715,1.014063,1.425472,1.528231,1.572578,1.998034,2.489123,2.354478,1.753578,1.7666,2.254333,1.992697,1.422323,1.57579,1.811333,1.759678,2.001767,2.221425,2.272582,2.460784,2.056925,1.243196,1.368372,1.955892,2.138529,2.424013,2.780562,3.139103,3.680188,3.286905,1.945095,1.56559,1.976245,1.706601,1.473512,1.924181,1.769121,0.986455,1.21391,1.842313,0.797614,14.680994,-1.0
-10.550579,2.093845,3.845551,5.89235,8.676197,9.808445,8.535436,6.011799,3.53258,0.900728,-0.775455,-0.474536,-0.66944,-1.074401,-0.586742,-0.343018,-0.196909,-1.1319,-2.205634,-1.994016,-2.482926,-2.626131,-2.356645,-3.430355,-4.224898,-4.13483,-3.592388,-4.548206,-6.751088,-6.676726,-6.540888,-6.967144,-7.040725,-8.409283,-7.504111,-5.816351,-6.78775,-6.552954,-5.441419,-4.554179,-3.557577,-3.427468,-2.471891,-1.061801,-0.044262,0.593856,0.319654,0.875981,1.355428,0.902752,1.502522,1.811292,1.416363,1.791937,2.02065,1.826624,1.933968,2.107487,1.918613,1.448484,1.309143,1.815325,1.928564,1.45172,1.682802,2.084023,1.99058,2.526892,2.950948,2.158893,2.128062,2.71705,2.158874,2.098321,2.411241,1.857546,1.906172,2.309369,1.976994,1.65422,1.589715,1.422726,1.105041,0.544164,0.525433,1.240372,1.325424,1.381205,1.840238,0.977718,-0.243802,0.096404,0.535587,0.147812,0.469941,1.036526,0.220261,14.680994,-1.0
-10.550579,1.145774,4.227859,9.074958,7.723381,5.665271,-0.836235,-5.585373,-2.10376,-0.302704,0.092716,-1.058875,-1.301367,-0.97531,-3.317199,-3.36826,-3.33603,-4.203957,-4.682031,-4.791618,-4.101174,-4.95738,-5.44748,-4.571291,-6.331822,-5.936203,-5.255166,-6.992998,-6.489251,-6.827713,-5.997607,-7.572639,-5.851478,-6.339474,-5.26622,-3.492692,-3.668107,-1.79881,-1.042447,0.45009,1.325423,1.657913,2.118587,3.617556,3.170636,3.643236,3.213472,3.985438,2.970002,2.748907,3.54867,2.7279,2.798252,2.292387,2.432018,2.368149,3.149343,2.287851,2.845318,3.001333,2.387528,2.236482,2.765993,1.956744,2.214474,2.69692,1.466001,2.217575,1.871622,1.122324,1.685702,2.013223,1.012866,2.409614,2.988953,2.642852,3.004781,2.528775,1.557589,1.819708,2.085877,0.014379,0.659226,1.251925,-0.592254,1.094601,0.440012,-0.161255,0.348516,-0.184918,0.415781,0.216415,-0.21019,-0.108285,0.003734,0.795403,0.837296,14.680994,1.0
-10.550579,5.833825,9.96097,8.802554,7.598637,2.51894,2.536109,5.730279,4.521139,5.628719,4.878357,0.521113,-1.166536,-1.584706,-2.747011,-2.898962,-2.8921,-3.405998,-4.093693,-4.02527,-4.399462,-4.968957,-5.193637,-5.127862,-4.820607,-5.612164,-6.211631,-6.16227,-7.279393,-7.790721,-6.849108,-7.377456,-6.625901,-6.297967,-5.122442,-3.666795,-3.132054,-1.717328,-0.061589,0.710597,0.97424,2.359996,2.290339,2.379105,2.51408,2.517971,2.293534,1.873883,2.336705,2.399062,1.954343,1.960652,2.306207,2.480262,2.151716,2.206906,1.983614,1.400527,1.597566,1.776857,1.439311,1.399895,1.264754,0.936067,1.124352,0.917778,0.788818,0.896784,0.511413,0.430749,0.368657,0.684575,0.224042,0.280884,1.164641,1.023598,1.337236,2.382673,2.150399,1.142696,0.577824,0.335545,0.063271,-0.127109,-0.080375,-0.022466,-0.051117,-0.540939,-0.063298,-0.027275,0.017735,-0.09405,-0.169581,-0.11416,-0.749711,0.194957,0.516248,14.680994,1.0
