@relation 'Original signal'

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute destClass {2.0,1.0}

@data
-3.796645,0.688346,0.617227,0.617227,0.569815,0.688346,0.640933,0.712052,0.78317,0.498696,0.47499,0.546109,0.332753,0.332753,0.261635,0.237929,0.261635,0.214223,0.214223,0.261635,0.237929,0.095692,0.119398,0.119398,-0.022839,0.16681,0.285341,0.16681,0.04828,0.16681,0.16681,0.143104,-0.805142,-2.180098,-3.009813,-3.009813,-2.84387,-2.962401,-2.583103,-2.037861,-2.085274,-1.848212,-1.468914,-1.231852,-1.137028,-0.662905,-0.378431,-0.331019,-0.14137,0.285341,0.451284,0.498696,0.403872,0.332753,0.47499,0.285341,0.427578,0.498696,0.617227,0.546109,0.498696,0.546109,0.617227,0.664639,0.664639,0.712052,0.806876,0.78317,0.854289,0.806876,0.901701,0.854289,0.735758,0.712052,0.640933,0.569815,0.451284,0.403872,0.356459,0.214223,0.143104,0.16681,0.143104,1.929262,2.0
-3.796645,-0.111654,-0.036505,-0.074079,-0.061555,0.038643,0.051168,0.138842,0.23904,0.21399,0.23904,0.063693,0.101267,0.063693,0.001069,-0.036505,-0.074079,-0.161753,-0.124178,-0.186802,-0.186802,-0.324575,-0.249426,-0.224376,-0.274476,-0.31205,-0.287,-0.211852,-0.324575,-0.04903,0.364287,-0.04903,-0.850614,-1.852595,-2.516407,-2.741853,-2.791952,-2.378635,-2.065516,-1.977843,-1.86512,-1.664724,-1.577051,-1.276456,-1.038486,-0.675268,-0.374674,-0.149228,0.076218,0.389337,0.577208,0.664881,0.677406,0.727505,0.76508,0.790129,0.865278,0.915377,0.965476,1.040624,1.065674,1.140822,1.215971,1.253545,1.291119,1.366268,1.353743,1.366268,1.328694,1.303644,1.178397,1.053149,0.965476,0.802654,0.689931,0.552159,0.451961,0.364287,0.251564,0.138842,0.063693,0.001069,-0.011456,1.929262,1.0
-3.796645,-0.491718,-0.455491,-0.455491,-0.437377,-0.40115,-0.328695,-0.256241,-0.220014,-0.129446,-0.111332,-0.238127,-0.256241,-0.274355,-0.310582,-0.274355,-0.346809,-0.292468,-0.310582,-0.310582,-0.328695,-0.364923,-0.346809,-0.364923,-0.346809,-0.310582,-0.310582,-0.328695,-0.364923,-0.310582,-0.14756,-0.292468,-1.035126,-2.212509,-2.683463,-2.647235,-2.611008,-2.339304,-1.81401,-1.650988,-1.487965,-1.252489,-1.017012,-0.799649,-0.473604,-0.220014,-0.038878,0.087917,0.287167,0.522643,0.685666,0.740007,0.776234,0.848688,0.866802,0.95737,0.975483,0.993597,1.084165,1.138506,1.21096,1.283414,1.337755,1.373982,1.428323,1.446437,1.482664,1.41021,1.319641,1.265301,1.138506,0.993597,0.921143,0.830575,0.740007,0.631325,0.558871,0.50453,0.468303,0.450189,0.395848,0.413962,0.432075,1.929262,2.0
-3.796645,-0.347703,-0.247881,-0.285315,-0.235404,-0.185493,-0.110626,-0.073193,0.089018,0.126451,0.089018,0.014152,-0.035759,-0.098148,-0.110626,-0.210448,-0.247881,-0.31027,-0.285315,-0.322748,-0.397615,-0.447526,-0.410092,-0.410092,-0.385137,-0.397615,-0.42257,-0.435048,-0.347703,-0.098148,-0.123104,-0.859292,-1.720257,-2.181934,-2.344145,-2.493878,-2.331667,-1.919901,-1.770168,-1.770168,-1.670346,-1.620435,-1.383358,-1.108847,-0.771947,-0.447526,-0.297792,-0.048237,0.251229,0.52574,0.687951,0.725384,0.762817,0.825206,0.875117,0.925028,0.962461,1.062284,1.099717,1.162106,1.261928,1.286883,1.36175,1.374228,1.424139,1.499005,1.486527,1.411661,1.374228,1.261928,1.149628,1.112195,0.962461,0.812728,0.687951,0.588129,0.475829,0.425918,0.351051,0.313618,0.326096,0.288662,0.30114,1.929262,1.0
-3.796645,0.015379,0.0406,0.002768,-0.009842,0.002768,-0.009842,0.116263,0.078431,0.217146,0.254978,0.242367,0.267588,0.292809,0.204536,0.141483,0.091042,0.0406,-0.085505,-0.035063,-0.060284,-0.060284,-0.123337,-0.262052,-0.224221,-0.224221,-0.21161,-0.199,-0.287273,-0.236831,-0.173779,-0.325104,0.05321,0.393693,-0.047674,-1.006071,-2.002299,-2.54455,-2.784149,-2.82198,-2.418445,-2.115793,-1.977078,-1.838363,-1.750089,-1.636595,-1.296112,-1.031292,-0.716029,-0.337715,-0.199,0.078431,0.280199,0.481967,0.57024,0.595461,0.620682,0.658513,0.683734,0.721566,0.772008,0.82245,0.872892,0.935944,0.986386,1.062049,1.137712,1.162933,1.225985,1.276427,1.326869,1.301648,1.314259,1.276427,1.188154,1.074659,0.986386,0.847671,0.696345,0.58285,0.469356,0.330641,0.254978,1.929262,1.0
-3.796645,-0.344426,-0.329785,-0.329785,-0.329785,-0.373709,-0.359068,-0.359068,-0.212655,-0.15409,-0.110166,0.050887,0.065528,0.050887,0.036246,-0.051601,-0.124808,-0.15409,-0.241938,-0.256579,-0.285861,-0.300503,-0.402991,-0.417633,-0.461556,-0.446915,-0.432274,-0.461556,-0.461556,-0.417633,-0.446915,-0.432274,-0.022319,0.168017,-0.593327,-1.413237,-2.145299,-2.408842,-2.657743,-2.423483,-1.896398,-1.720703,-1.647497,-1.530367,-1.427878,-1.149695,-0.871511,-0.578686,-0.359068,-0.27122,0.021605,0.270506,0.460842,0.651178,0.665819,0.724384,0.768308,0.782949,0.870797,0.929362,0.987927,1.14898,1.134339,1.26611,1.339317,1.368599,1.471088,1.515012,1.558935,1.558935,1.573576,1.50037,1.368599,1.26611,1.119698,1.002568,0.885438,0.782949,0.680461,0.563331,0.490125,0.372995,0.343712,1.929262,1.0
-3.796645,0.221252,0.241366,0.301708,0.341936,0.422391,0.482733,0.502846,0.362049,0.321822,0.281594,0.221252,0.221252,0.181025,0.120683,0.120683,0.120683,0.100569,0.040228,0.020114,0.020114,-0.020114,-0.040228,-0.040228,-0.060342,-0.020114,-0.080455,-0.120683,0.040228,-0.080455,-1.005693,-2.292979,-3.037192,-3.037192,-3.037192,-2.755598,-2.152182,-1.910816,-1.689564,-1.428084,-1.226945,-0.945351,-0.663757,-0.362049,-0.140797,-0.060342,0.100569,0.382163,0.603416,0.683871,0.703985,0.744213,0.764326,0.804554,0.804554,0.844782,0.905123,0.925237,0.985579,1.086148,1.126376,1.186717,1.247059,1.247059,1.247059,1.186717,1.106262,0.985579,0.905123,0.703985,0.563188,0.462619,0.362049,0.201139,0.100569,0,-0.040228,-0.160911,-0.201139,-0.221252,-0.241366,-0.281594,-0.301708,1.929262,2.0
-3.796645,-0.568441,-0.530124,-0.510966,-0.472649,-0.396016,-0.300225,-0.24275,-0.24275,-0.204433,-0.281066,-0.281066,-0.319383,-0.376858,-0.338541,-0.357699,-0.319383,-0.223591,-0.281066,-0.261908,-0.357699,-0.281066,-0.300225,-0.24275,-0.300225,-0.223591,-0.24275,-0.338541,-0.204433,-0.204433,-0.089483,-0.204433,-0.568441,-1.507197,-2.388479,-2.656696,-2.541746,-2.350163,-2.081947,-1.794572,-1.794572,-1.468881,-1.238981,-1.085715,-0.760024,-0.606757,-0.261908,-0.051167,0.025467,0.408633,0.561899,0.810957,0.868432,0.849273,0.830115,0.868432,0.88759,0.925907,0.925907,1.00254,0.983382,1.021698,1.098331,1.136648,1.136648,1.213281,1.251598,1.309073,1.347389,1.309073,1.347389,1.328231,1.213281,1.232439,1.174965,0.964223,0.925907,0.791799,0.734324,0.65769,0.523582,0.523582,0.466107,1.929262,2.0
-3.796645,0.059847,0.084142,0.169172,0.242055,0.278497,0.424263,0.35138,0.327086,0.339233,0.217761,0.13273,0.205614,0.169172,0.13273,0.059847,0.0477,-0.000889,-0.061625,-0.122361,-0.110214,-0.134508,-0.183097,-0.183097,-0.098066,-0.231686,-0.231686,-0.231686,0.071994,0.181319,-0.754015,-1.920147,-2.539654,-2.709715,-2.867629,-2.794745,-2.321004,-2.065913,-1.895852,-1.750086,-1.628614,-1.422112,-1.094137,-0.766163,-0.401747,-0.243833,0.023406,0.205614,0.399969,0.545735,0.582177,0.582177,0.630766,0.715796,0.691502,0.691502,0.752238,0.812974,0.861563,0.922299,0.946593,1.019476,1.055918,1.104507,1.165243,1.225979,1.189537,1.201684,1.189537,1.153095,1.043771,0.934446,0.837268,0.727943,0.630766,0.521441,0.387822,0.278497,0.193466,0.096289,0.023406,-0.025183,-0.049478,1.929262,1.0
-3.796645,0.94789,-0.021175,-0.021175,-0.021175,-0.021175,-0.033165,-0.021175,0.002803,0.074739,0.134686,0.170654,0.302536,0.194632,0.158664,0.146675,0.086728,-0.009186,0.014793,-0.033165,-0.081122,-0.105101,-0.129079,-0.165047,-0.224994,-0.28494,-0.272951,-0.28494,-0.272951,-0.28494,-0.29693,-0.308919,-0.344887,-0.153058,0.038771,-0.332898,-1.363978,-2.167262,-2.407049,-2.455006,-2.466995,-2.251188,-1.987423,-1.891508,-1.831562,-1.723658,-1.627743,-1.34,-1.100214,-0.788491,-0.500748,-0.29693,0.002803,0.314525,0.57829,0.638237,0.674205,0.722162,0.770119,0.818076,0.854044,0.878023,0.92598,0.997916,1.045874,1.129799,1.189745,1.249692,1.309638,1.369585,1.357596,1.405553,1.369585,1.357596,1.261681,1.141788,1.021895,0.878023,0.722162,0.614258,0.470386,0.350493,0.2306,1.929262,1.0
