@relation 'Original signal normalized by SAX'

@attribute char1 numeric
@attribute char2 numeric
@attribute char3 numeric
@attribute char4 numeric
@attribute char5 numeric
@attribute char6 numeric
@attribute char7 numeric
@attribute char8 numeric
@attribute char9 numeric
@attribute char10 numeric
@attribute char11 numeric
@attribute char12 numeric
@attribute char13 numeric
@attribute char14 numeric
@attribute char15 numeric
@attribute char16 numeric
@attribute char17 numeric
@attribute char18 numeric
@attribute char19 numeric
@attribute char20 numeric
@attribute char21 numeric
@attribute char22 numeric
@attribute char23 numeric
@attribute char24 numeric
@attribute char25 numeric
@attribute char26 numeric
@attribute char27 numeric
@attribute char28 numeric
@attribute char29 numeric
@attribute char30 numeric
@attribute char31 numeric
@attribute char32 numeric
@attribute char33 numeric
@attribute char34 numeric
@attribute char35 numeric
@attribute char36 numeric
@attribute char37 numeric
@attribute char38 numeric
@attribute char39 numeric
@attribute char40 numeric
@attribute char41 numeric
@attribute char42 numeric
@attribute char43 numeric
@attribute char44 numeric
@attribute char45 numeric
@attribute char46 numeric
@attribute char47 numeric
@attribute char48 numeric
@attribute char49 numeric
@attribute char50 numeric
@attribute char51 numeric
@attribute char52 numeric
@attribute char53 numeric
@attribute char54 numeric
@attribute char55 numeric
@attribute char56 numeric
@attribute char57 numeric
@attribute char58 numeric
@attribute char59 numeric
@attribute char60 numeric
@attribute char61 numeric
@attribute char62 numeric
@attribute char63 numeric
@attribute char64 numeric
@attribute char65 numeric
@attribute char66 numeric
@attribute char67 numeric
@attribute char68 numeric
@attribute char69 numeric
@attribute char70 numeric
@attribute char71 numeric
@attribute char72 numeric
@attribute char73 numeric
@attribute char74 numeric
@attribute char75 numeric
@attribute char76 numeric
@attribute char77 numeric
@attribute char78 numeric
@attribute char79 numeric
@attribute char80 numeric
@attribute char81 numeric
@attribute char82 numeric
@attribute char83 numeric
@attribute char84 numeric
@attribute char85 numeric
@attribute char86 numeric
@attribute char87 numeric
@attribute char88 numeric
@attribute char89 numeric
@attribute char90 numeric
@attribute char91 numeric
@attribute char92 numeric
@attribute char93 numeric
@attribute char94 numeric
@attribute char95 numeric
@attribute char96 numeric
@attribute destClass {-1.0,1.0}

@data
0,2,2,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,-1.0
0,2,3,2,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,3,2,3,3,2,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,2,3,3,3,3,2,0,1,3,1.0
0,2,2,2,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,2,2,3,3,2,2,2,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,2,3,-1.0
0,3,3,3,3,3,3,2,2,3,3,2,2,3,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,3,-1.0
0,2,3,3,3,3,2,1,3,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1.0
0,2,3,3,3,3,2,0,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,2,3,3,2,2,2,3,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1.0
0,3,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,-1.0
0,2,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,-1.0
0,2,3,3,3,3,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,1,2,2,1,2,1,2,2,1,1,1,2,2,3,1.0
0,3,3,3,3,2,3,3,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1.0
0,2,3,3,3,3,3,3,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,3,1.0
0,2,2,3,3,3,3,3,3,2,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1.0
0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,1,3,1.0
