@relation 'Basic ngrams'

@attribute saxString string
@attribute destClass {1.0,2.0}

@data
accbcbbbbbbbbbbbbbbbbcccccbbbbbbbbcddaaaabbbbcbcccccccdddddccccccccccccccccccbbbbbbbbcbbbbbbbbcd,1.0
accccccccbbbbbbbbbbbbbbbcccbbbbbbbbbbcdaaaabbbcccccccccdddddddddccbbbbbbbbbbbbbbbbbbbbbbbbbbbbbd,1.0
adccccccccccccccccccccccccccbbbbcbbcbcccaaaaabcccccccccccdddddcccbcbbbbcccccbbbbcbbbcbbbbbcccbbd,2.0
abbbbbbbbbbbbbbbbbbbcccccccbbccccccccaaaabcccccccccddddddddccccccccccccccccccccbbbbbbbbcbbbbbbbd,2.0
acccccccccccccccccccccccccbbbbbbbbbccbaaaabccccccccccccdddddddcccbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbd,1.0
accccccccccccccccccccccccbbbbbbbbcddaaaabbbbbccccccddddddccccbbbbccccccbbbbbbbbbbbbbbbcccbbbbbbd,2.0
abbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbcbaaaabbbcccccccccddddddcccccccccccccccccccccccccccccddcccd,2.0
acccccccccccccccccccbbcccccccbbbbbbbbbddaaaabbbbccccccccddddddddccbbbbbbbbbbbbbbbbbbbbbbbbbbbbbd,1.0
accccccccccccccccccccccccccbbbbbbbcddaaaabbbbcccccccddddddccccbbbbbcccbbbbbbbbbbbbbbbbbbbbcbbbbd,2.0
accccccccccccccccccccccccccbbbbbbbccccaaaaabcccccccccccddddddddccbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbd,1.0
abcbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbdaaaabbbbccccccccdddddddddccbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbd,1.0
accccccccbccbcccbbbbbbcccbbbbbbbbbbcdaaaabbbbccccccccddddddddcccbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbd,1.0
acbcbbbbbbbbbbbbbbbbbcccbbbbbbbbbbccaaaabbbccccccccdddddddddcccbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbd,1.0
adcccccccccccccccccccccccccccbbbbbbbbbcdaaaabbbbbcccccddddddddccbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbd,2.0
acccccccccccccccbbbccccccbbbbbbbbbddaaaabbbbccccccddddddddcccbbbbbbbbbbbbbbbbbbbbbbbbbbcccbbbbbd,2.0
accccccccccccccccccccccccccccccccccdaaaaabccccccccccddddddccbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbd,2.0
abbbbbbbbbbbbbbbbbbbbbbcbbbbbbbbbbbdaaaabbbbccccccccdddddddddcccbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbd,1.0
accccccccccccccccccccccccccbbbbbbbcddaaabbbbccccccccccdddddcccbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbd,1.0
acbbbbbbbbbbbbbbbbbbbbbbbbbcbbbbbbbbbbcdbaaabbbbbcccccccddddddddcccccccccccccccccccccbbcbbbbbbcd,1.0
accbbbbbbbbbbbbbbbbbbccccbbbbbbbbbcddaaaabbbcccccccccddddddddcccbbccbccbcbbbbbbbcbbbbbbbbbbbbbbd,1.0
acbbbbbbbbbbbbbbbbbbbbbbbcbbbbbbbbbbbccaaaabbbccccccccdddddddddcccbbbbbbbbbbbbbbbbbbbbbbbbbbbbbd,1.0
acccccccccccccccccccccccccccbbbbbbbbbddaaaabbbbbbbccccddddddcccbbbbbcccccccccbbcbbbbbbbbbccccccd,2.0
abbbbbbbbbbbbbbbbbbbbbccccbbbbbbbbbcdaaaabbbcccccccccddddddddccccccccccccccbbbbbbbbbbbbbbbbbbbbd,1.0
accccccccccccbbbbbbbbbbbbccccbbbbbbbbbcdbaaabbbbcccccccdddddddcccbbbbbcccccbbbbbbbbbbbbbbbbbcccd,2.0
abbbbbbbbbbbbbbbbbbbbccccbbbbbbbbbddcaaabbbbcccccccddddddcccccccccccccccccccccccbcbcbbbcccccbbbd,2.0
abbbcbccbcbcbcccccccccbcccbbbbbbbbbbccaaaabbcccccccccdddddddccccccccccccccccccccccccccccccccbbbd,2.0
accccccccccccccccccccccccccccbbbbcccccccbaaaabccccccccccddddddccccbbbbbbbbbbbbbbbbcbbbbbbbbcccbd,2.0
acbbbbbbbbbbbbbbbbbbbbbbbbcccbbbbbbbbbbdbaaabbbbccccccccdddddddddcccbbbbbbbcbbbbbbbbbbbbbbbbbbbd,1.0
abbbbbbbbbbbbbbbbbbbbbcccbbbbbbbbbbcdaaaabbbcccccccccdddddddddccbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbd,1.0
acccccccccbbbbbbbbbbbcccbbbbbbbbbbdcaaaabbbbccccccddddddddcccbbccccccccccbbbbbbbbbbbbbcccccbbbbd,2.0
abbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbcbaaabbbcccccccccdddddddddcccccccccccccccccccccccccbccccccbd,1.0
accccbbbbbbbbbbbbbbbbccccbbbbbbbbbcdaaaabbbbccccccccdddddddddccbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbd,1.0
accccccccccccbbbbbbbbbbbbccccbbbbbbbbbbdbaaabbbbccccccccdddddddddccbbbbbbbbbbbbbbbbbbbbbbbbbbbbd,1.0
accccccccccccccccccccccccccccbccccccccdaaaaabccccccccccddddddccbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbd,2.0
abbbbbbbbbbbbbbbbbbbbbccbbbbbbbbbcccbaaaabbccccccccccddddddccccccccccccccccccccccccccccccccccccd,2.0
acccccccccccccccbbbbbbbcccccbbbbbbbbbcdbaaaabbbbbcccccddddddccccbbbbcccccccccbbbbbbbbbbbbbbccccd,2.0
accccccbbbbbbbbbbbbbbbbccccbbbbbbbbbcdaaaabbbcccccccddddddddccccbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbd,2.0
acbbbbbbbbbbbbbbbbbbbbbbbccccbbbbbbbbbcdcaaaabbccccccccdddddddccccccccccccccccbbbbbbbbbbbbbbcccd,2.0
accccccccccccccccccccccccccbbbbbbbbbbcbaaaabccccccccccccdddddddccbbbbbbccbbbbbbbbbbbbbbbbbbbbbbd,1.0
