@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute destClass {-1.0,1.0}

@data
-0.276544,3.569404,0.347597,-7.338266,0.076639,1.655437,-1.0
-0.082118,-1.990974,-0.052848,3.527624,0.101678,-0.803274,1.0
-0.257319,3.046329,0.385237,-7.705163,0.059734,1.896967,-1.0
-0.260626,4.491957,0.319382,-7.557728,0.20481,-0.853378,-1.0
-0.371183,4.308742,0.179921,-2.048211,0.019407,0.651351,1.0
-0.305654,2.042376,0.196988,-2.203418,0.016446,1.832625,1.0
-0.288417,4.613487,0.308726,-7.108059,0.060746,1.424931,-1.0
-0.357913,4.754528,0.306693,-5.620175,0.002131,1.833878,-1.0
-0.302564,1.967834,0.178661,-1.373635,0.005025,1.482391,1.0
-0.438297,5.399006,0.129663,-1.17909,0.04467,0.174285,1.0
-0.269383,3.735092,0.378967,-7.233288,-0.011333,2.103644,1.0
-0.312494,3.798416,0.337791,-6.480249,0.009896,2.324019,1.0
0.017186,-4.436982,0.060657,0.460025,0.154941,0.546222,1.0
-0.386142,4.937096,0.145585,-1.156329,-0.014695,0.425045,1.0
-0.204408,4.552614,0.17746,-6.272318,0.075422,1.178125,-1.0
-0.443076,6.146097,0.121729,-1.08507,0.025218,-0.183733,1.0
-0.370331,3.870571,0.138862,-0.835163,0.009699,0.667736,1.0
-0.38918,4.990722,0.17398,-1.733867,-0.028081,0.755706,1.0
-0.29216,2.157673,0.19186,-3.312371,0.150651,0.63971,-1.0
-0.292344,4.295333,0.308878,-7.111709,0.110966,1.040685,-1.0
-0.118869,-2.445001,0.112899,-0.082917,0.049343,2.070436,1.0
-0.326038,2.23762,0.181244,-2.231885,0.082922,1.229003,1.0
-0.334116,3.806251,0.215208,-2.72429,-0.001099,0.991746,1.0
-0.205074,1.022282,-0.189876,5.064597,0.069054,-0.701673,-1.0
-0.379344,4.005174,0.175497,-1.676196,0.024072,0.716823,1.0
-0.15256,-1.542657,-0.032789,2.402045,0.129557,0.290388,1.0
-0.443651,5.239663,0.156184,-1.774994,0.036154,0.737291,1.0
-0.159537,1.346076,0.2176,-5.392712,0.287849,-1.117528,-1.0
-0.295389,1.551311,0.203573,-1.979086,0.051574,1.283965,1.0
-0.355438,3.652466,0.191881,-1.939766,0.0176,0.790834,1.0
-0.307922,2.380295,0.1601,-1.061606,0.024507,0.830054,1.0
-0.374612,4.355236,0.147961,-1.105592,-0.016079,0.766177,1.0
