@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute destClass {1,3,2}

@data
-0.003119,0.261716,1
-0.003472,0.291156,3
-0.001947,0.163826,1
-0.001694,0.142711,3
-0.002981,0.25017,2
-0.000358,0.031137,1
-0.001045,0.088563,1
-0.003241,0.271929,1
-0.000994,0.084251,3
-0.002412,0.202689,3
0.002326,-0.192958,1
0.002322,-0.192623,3
-0.003205,0.268897,2
0.001192,-0.098212,3
-0.001538,0.129737,1
-0.003823,0.320478,1
0.002976,-0.247233,3
0.000199,-0.015302,3
-0.003783,0.317147,3
-0.002569,0.215792,3
-0.003674,0.308041,2
0.000611,-0.049741,3
-0.000761,0.064855,3
-0.003193,0.267893,2
-0.00386,0.32361,2
-0.003253,0.272922,1
-0.002479,0.20825,3
-0.003941,0.330385,3
-0.004154,0.348166,2
-0.002727,0.228984,3
-0.000558,0.047905,3
-0.003635,0.304797,1
0.001469,-0.121369,1
-0.003544,0.297199,3
0.001685,-0.139393,1
0.002789,-0.231579,3
-0.00038,0.032977,1
-0.002729,0.229176,3
-0.003817,0.32,1
-0.004059,0.340181,3
-0.00252,0.211698,3
0.002876,-0.238877,3
-0.003934,0.329773,2
-0.001107,0.093683,2
-0.003739,0.313481,1
0.002709,-0.224962,3
-0.004089,0.342681,2
-0.002112,0.177604,2
-0.003963,0.332185,3
0.003043,-0.252831,3
-0.003464,0.290501,3
-0.003575,0.299756,2
0.002029,-0.168146,3
-0.001938,0.163098,3
0.003291,-0.273527,2
0.000213,-0.016523,2
-0.00329,0.276031,3
-0.003661,0.30695,2
0.0006,-0.048802,3
0.002366,-0.196318,3
-0.003772,0.31621,3
0.001465,-0.121017,1
0.0018,-0.149048,3
-0.003915,0.328186,3
0.002686,-0.222965,3
0.003178,-0.264073,1
-0.003454,0.289698,3
-0.003399,0.285082,3
-0.001994,0.167793,3
-0.003511,0.294464,3
-0.002413,0.202752,2
-0.000589,0.050492,3
-0.002569,0.215826,1
-0.001932,0.162563,2
-0.003939,0.330163,1
0.003062,-0.254365,2
0.002362,-0.195957,3
-0.003919,0.328542,3
-0.001633,0.137672,3
-0.00094,0.07974,3
-0.002397,0.201446,1
-0.003938,0.330138,1
-0.003117,0.261529,3
-0.003951,0.331212,3
-0.002877,0.241468,3
0.001851,-0.15325,3
0.001133,-0.093289,3
-0.00113,0.095614,3
-0.000199,0.017917,2
-0.001231,0.104054,3
0.000606,-0.049331,3
-0.003389,0.284297,3
0.002412,-0.200086,1
0.001659,-0.137285,3
-0.004008,0.335969,1
-0.001483,0.125114,1
-0.003747,0.314167,3
-0.001038,0.087933,3
-0.002525,0.212145,1
0.000397,-0.031855,3
0.002907,-0.241421,3
-0.001056,0.08949,1
-0.003573,0.299628,1
0.003373,-0.280356,1
-0.002616,0.219691,3
-0.000765,0.065194,3
0.003201,-0.266025,3
-0.000601,0.051484,2
-0.003791,0.317824,3
0.000829,-0.067907,3
-0.003003,0.25199,2
0.001199,-0.098863,1
-0.003465,0.290608,2
-0.003439,0.288395,3
-0.004041,0.338697,3
0.002038,-0.168876,3
-0.000822,0.069923,2
-0.002728,0.229047,1
-0.003881,0.325326,2
-0.003917,0.328327,1
-0.003493,0.292923,3
0.002325,-0.19284,1
0.002331,-0.193346,1
0.001406,-0.116118,3
0.002895,-0.240415,2
-0.003524,0.295574,3
-0.003445,0.288954,3
-0.002901,0.243543,2
-0.00309,0.259252,3
-0.00287,0.240911,1
-0.001735,0.14619,3
-0.003647,0.30583,3
0.00149,-0.123176,1
0.002568,-0.21312,3
-0.003827,0.320875,3
-0.003673,0.307945,3
0.001949,-0.161458,1
-0.003243,0.272049,1
-0.003344,0.280479,1
-0.002762,0.231921,3
-0.000625,0.053465,3
-0.003494,0.292998,3
-0.003238,0.271632,3
-0.002737,0.229806,3
-0.00165,0.139065,3
0.002681,-0.222626,1
-0.000981,0.08316,2
-0.001488,0.125505,1
-0.00311,0.26099,3
0.002376,-0.197087,2
0.002693,-0.223619,3
-0.002535,0.212946,3
-0.003673,0.307936,3
-0.000331,0.028895,1
-0.002836,0.238059,2
0.003135,-0.26048,3
-0.001794,0.15111,3
-0.003565,0.298963,2
-0.004115,0.344842,2
-0.003119,0.261739,1
-0.001577,0.132944,3
-0.003145,0.263901,1
0.001406,-0.116115,3
-0.003526,0.295686,3
-0.001251,0.105723,3
-0.001124,0.095159,1
0.001323,-0.109212,3
-0.002815,0.236319,1
0.004851,-0.403747,1
0.000008,0.000596,3
-0.002131,0.179255,2
-0.003313,0.277928,1
-0.002278,0.191513,3
0.001411,-0.116547,3
0.003232,-0.268557,3
-0.003358,0.281664,3
-0.00187,0.157429,3
0.00047,-0.03798,1
0.002817,-0.233904,3
-0.000509,0.043783,1
-0.00298,0.25008,2
-0.002435,0.204565,3
-0.003617,0.303272,2
-0.003139,0.26341,3
-0.00352,0.295169,3
-0.003232,0.271183,2
0.000041,-0.002103,2
-0.003086,0.258987,3
-0.003583,0.300499,3
-0.004001,0.335361,1
-0.000966,0.081965,3
-0.001237,0.104584,3
-0.003759,0.315178,3
-0.003571,0.299461,3
-0.002563,0.215279,3
-0.000566,0.048524,2
-0.003676,0.308186,2
-0.003349,0.280947,3
-0.003183,0.267055,2
-0.00338,0.283507,3
-0.003766,0.315779,3
0.000773,-0.06327,3
0.001088,-0.08953,3
-0.002979,0.25006,1
-0.002146,0.180446,3
-0.002644,0.222044,3
-0.002504,0.210346,1
-0.003297,0.276596,3
-0.000638,0.054515,3
-0.003329,0.279278,3
0.00053,-0.042978,3
0.000825,-0.067595,3
-0.003811,0.319487,3
-0.003751,0.314529,2
-0.003373,0.282923,2
-0.000474,0.040871,1
0.003152,-0.261915,3
0.002523,-0.209389,2
-0.003713,0.311336,1
-0.002899,0.243324,3
0.00006,-0.003734,3
0.001327,-0.109525,2
-0.003686,0.309101,3
-0.003849,0.322695,1
-0.004006,0.335796,3
-0.001542,0.13003,3
-0.003243,0.272037,2
-0.002811,0.236015,1
0.003035,-0.252129,3
-0.003627,0.304105,1
-0.003209,0.269208,3
-0.003408,0.285809,2
-0.001461,0.123245,3
-0.003309,0.277595,1
-0.000033,0.004039,3
-0.001487,0.125456,2
-0.001637,0.138002,2
-0.002848,0.239121,3
-0.003325,0.278953,2
-0.000723,0.061646,3
-0.003931,0.329506,3
-0.000615,0.052611,3
-0.003389,0.28428,2
-0.003661,0.306991,3
0.003051,-0.253448,3
-0.000196,0.017619,1
-0.003436,0.288204,2
-0.003657,0.306619,1
0.00187,-0.154838,1
-0.003452,0.289513,1
-0.003574,0.29973,3
-0.001296,0.109519,2
0.002802,-0.232669,3
-0.00388,0.325266,2
-0.000046,0.00511,3
0.001757,-0.145424,2
-0.001511,0.127436,1
0.002535,-0.210412,3
-0.002885,0.242161,2
-0.002493,0.209444,3
0.000958,-0.078708,2
-0.000181,0.016367,3
-0.00343,0.287652,1
-0.000175,0.01588,2
0.000938,-0.07702,3
-0.003413,0.286289,3
-0.003759,0.315135,1
0.000594,-0.048323,2
-0.002093,0.176019,3
-0.001997,0.16801,3
-0.00025,0.022119,1
-0.003861,0.323633,3
-0.003986,0.334111,3
-0.002304,0.193654,2
0.001802,-0.149214,1
-0.003925,0.329056,3
-0.002541,0.213465,1
-0.003116,0.261477,3
0.001351,-0.111562,2
-0.001973,0.166027,3
