@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute destClass {1,3,2}

@data
0.14347,-0.216012,-0.001139,0.482281,-0.036354,-0.08663,-0.035073,0.153665,0.085689,-0.910957,-0.069928,0.272886,-0.068433,0.381539,-0.045767,-0.391566,-0.028657,0.176417,0.208808,-0.945604,1
0.128482,-0.128256,-0.024076,0.710939,-0.019302,-0.032856,-0.027892,0.154518,0.085967,-1.008847,-0.055327,0.178388,-0.060947,0.098852,-0.00798,-0.724426,-0.002092,-0.082191,0.216238,-0.872664,3
0.003033,1.168631,0.033442,-0.120341,-0.027694,-0.021258,-0.011024,-0.161086,0.051762,-0.651032,-0.017428,-0.31248,-0.010894,-0.49426,-0.031867,-0.2932,0.008654,-0.102893,0.190582,-0.346898,1
0.066107,-0.024169,-0.00862,0.699932,-0.018362,-0.106267,-0.033714,0.175184,0.075075,-0.881454,-0.073933,0.355552,-0.058592,0.17342,-0.036878,-0.499205,0.020282,-0.172914,0.179811,-0.444873,3
0.05335,0.766864,0.009903,0.164647,-0.034696,-0.030189,0.002317,-0.189906,0.066279,-0.82025,-0.035669,-0.036466,-0.05427,0.125875,-0.016567,-0.58793,-0.001245,-0.111682,0.20752,-0.697123,2
0.014222,0.269968,0.013496,0.510896,-0.018881,-0.201247,-0.030911,0.084868,0.056008,-0.729913,-0.072974,0.367562,-0.050897,0.172202,-0.049558,-0.356576,0.04073,-0.277976,0.165684,-0.196112,1
-0.037482,1.439281,0.045908,-0.271108,-0.018739,-0.146749,-0.008064,-0.24684,0.038378,-0.556897,-0.016724,-0.287066,-0.021897,-0.344801,-0.016346,-0.354497,0.004712,-0.069234,0.201244,-0.348081,1
0.065595,0.776805,0.003611,0.179822,-0.027399,0.005616,-0.011277,-0.069383,0.06456,-0.815868,-0.020428,-0.254958,-0.02871,-0.331887,-0.017723,-0.515949,-0.009832,-0.005605,0.207766,-0.615491,1
0.039622,0.117728,0.004019,0.544133,-0.040073,-0.003711,-0.02791,0.106711,0.061543,-0.68373,-0.087203,0.414584,-0.057517,0.231875,-0.067946,-0.177957,0.029293,-0.253451,0.152922,-0.192266,3
0.017069,1.07638,0.019917,0.018846,-0.033009,-0.02856,-0.005867,-0.181444,0.060211,-0.791072,-0.024811,-0.153237,-0.047945,0.000264,-0.016032,-0.492537,0.002722,-0.122334,0.206734,-0.59037,3
-0.056348,0.665755,0.079679,-0.225269,-0.028274,-0.214823,-0.006182,-0.206193,0.001644,-0.164778,-0.072631,0.239478,-0.031049,-0.055064,-0.082117,0.156471,0.046659,-0.22971,0.125027,0.407558,1
-0.056723,0.690697,0.071595,-0.136917,-0.026505,-0.242791,-0.007653,-0.19961,0.009858,-0.281266,-0.069997,0.220802,-0.034213,-0.022423,-0.080614,0.116185,0.041147,-0.171868,0.123475,0.448062,3
0.126993,-0.134287,-0.022491,0.6998,-0.023553,-0.022939,-0.027349,0.143654,0.087919,-1.047462,-0.053493,0.178089,-0.060458,0.10335,-0.01053,-0.704402,-0.003078,-0.056015,0.215556,-0.835755,2
