@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute slope11 numeric
@attribute intercept11 numeric
@attribute slope12 numeric
@attribute intercept12 numeric
@attribute slope13 numeric
@attribute intercept13 numeric
@attribute slope14 numeric
@attribute intercept14 numeric
@attribute slope15 numeric
@attribute intercept15 numeric
@attribute slope16 numeric
@attribute intercept16 numeric
@attribute slope17 numeric
@attribute intercept17 numeric
@attribute slope18 numeric
@attribute intercept18 numeric
@attribute slope19 numeric
@attribute intercept19 numeric
@attribute slope20 numeric
@attribute intercept20 numeric
@attribute destClass {1,3,2}

@data
0.879492,-2.685632,-0.014682,1.128919,-0.274923,1.088317,-0.323961,1.928815,0.121538,-0.477446,0.257493,-1.320035,-0.177511,0.037205,-0.135889,0.378899,0.111669,-0.708921,0.169255,-0.157157,-0.155319,-0.174827,-0.162486,0.401414,-0.300054,1.056298,-0.088689,-0.104689,-0.159893,-0.05249,-0.003352,-0.916555,0.042079,0.087065,0.141712,-0.807354,0.097006,-0.076366,1.048888,-2.693355,1
0.923821,-2.776322,0.005803,0.906712,-0.285421,1.248113,-0.38821,2.112557,0.164706,-0.389512,0.236327,-1.098933,-0.135697,-0.061702,-0.181063,0.534316,0.066045,-0.606357,0.19772,-0.35586,-0.084345,-0.386412,-0.133085,0.351719,-0.187934,0.336849,-0.064342,-0.329875,-0.046163,-0.681532,0.014083,-0.8369,0.111921,-0.303216,0.155166,-0.827355,0.108767,-0.032526,1.030742,-2.457515,3
0.770774,-1.353728,-0.062297,0.844961,-0.059424,-0.083906,-0.25421,1.530612,0.047507,-0.295109,0.103336,-0.727509,0.001642,-0.415738,-0.07854,0.077793,0.052152,-0.638759,-0.044437,0.166596,-0.012871,-0.461633,-0.057647,-0.246677,-0.013831,-0.538611,0.018583,-0.644845,-0.014898,-0.391235,-0.056869,-0.486675,0.136397,-0.40375,0.103758,-0.512764,0.054962,0.525222,0.931839,-1.814087,1
0.944893,-2.878603,0.074127,-0.130573,-0.268211,1.333517,-0.354892,2.085091,0.189286,-0.60425,0.200186,-0.979636,-0.181657,0.096755,-0.145738,0.397835,0.104066,-0.632757,0.203432,-0.38595,-0.162638,-0.041916,-0.139728,0.305208,-0.21544,0.556925,-0.056488,-0.207298,-0.089308,-0.46684,0.008539,-0.945983,0.172093,-0.514728,0.157267,-0.679624,0.118419,0.276668,1.013269,-2.430156,3
0.84229,-1.85113,-0.059784,1.078155,-0.175789,0.472325,-0.311933,1.7536,0.058256,-0.261388,0.163201,-1.034149,-0.067661,-0.249448,-0.152829,0.458919,0.044284,-0.561925,0.135072,-0.244285,-0.016639,-0.598736,-0.101746,0.158122,-0.19503,0.509345,-0.038749,-0.39048,-0.003156,-0.65478,-0.028005,-0.696625,0.123216,-0.380788,0.12802,-0.740581,0.059927,0.219774,0.965127,-2.088914,2
0.936553,-2.66603,0.112329,-0.742039,-0.219557,1.124599,-0.344835,2.113974,0.125997,-0.578302,0.165982,-0.899051,-0.165923,0.046079,-0.111487,0.210482,0.113287,-0.586395,0.188597,-0.476095,-0.184386,0.141668,-0.118951,0.186765,-0.207081,0.595413,-0.039562,-0.152502,-0.101798,-0.357717,0.006806,-0.953212,0.216463,-0.700544,0.158325,-0.556209,0.113524,0.495626,0.993733,-2.277986,1
0.712844,-1.005392,-0.064255,0.605913,0.007814,-0.366643,-0.232706,1.386262,0.008602,-0.289447,0.056659,-0.559872,-0.005405,-0.383976,-0.063754,-0.031532,0.052701,-0.581333,-0.055088,0.090611,-0.024359,-0.297435,-0.017559,-0.42411,-0.062023,-0.222047,-0.000647,-0.637552,0.003039,-0.378397,-0.042618,-0.428468,0.080898,-0.232755,0.085676,-0.418044,0.057601,0.534159,0.923157,-1.64432,1
0.835681,-1.781449,-0.062684,1.253152,-0.145802,0.351689,-0.311022,1.698126,0.066078,-0.221647,0.156269,-0.887937,-0.032457,-0.323084,-0.133076,0.340359,0.042326,-0.636869,0.048285,-0.047287,0.019482,-0.725742,-0.079437,-0.02396,-0.059912,-0.348536,-0.026729,-0.568426,0.00019,-0.575681,-0.048666,-0.569133,0.09431,-0.221856,0.111928,-0.658676,0.060234,0.299928,0.963386,-1.997097,1
0.937813,-2.777882,0.080492,-0.389788,-0.247035,1.186608,-0.292629,1.917997,0.143686,-0.588115,0.191422,-1.060245,-0.171854,0.071894,-0.124647,0.415731,0.100436,-0.593054,0.144108,-0.171413,-0.205068,0.162013,-0.148053,0.17054,-0.280788,0.911059,-0.039738,-0.178918,-0.12475,-0.150209,-0.041762,-0.831139,0.183411,-0.601636,0.166573,-0.690819,0.089768,0.533821,0.985673,-2.388564,3
0.804921,-1.525855,-0.067497,0.955599,-0.116173,0.173256,-0.289372,1.639845,0.039466,-0.236175,0.134745,-0.893053,-0.042634,-0.342645,-0.131072,0.321558,0.042947,-0.64539,0.06666,-0.103217,0.004965,-0.586637,-0.077721,0.003899,-0.148487,0.276182,-0.011197,-0.556206,0.007141,-0.565026,-0.024275,-0.623122,0.120038,-0.383911,0.112497,-0.633797,0.057441,0.322402,0.950687,-1.930576,3
0.89766,-2.347141,0.053487,-1.117827,-0.048508,0.215752,-0.205891,1.679077,0.06,-0.719252,0.003528,-0.452391,-0.083934,-0.046421,-0.033412,-0.002749,0.113064,-0.491705,-0.008543,-0.079403,-0.224611,0.509594,-0.042687,-0.457821,-0.206481,0.565981,-0.003472,-0.317604,-0.094288,0.101018,-0.096777,-0.514271,0.203316,-0.601309,0.159261,-0.427252,0.083807,1.010834,0.865681,-1.643515,1
0.904316,-2.367347,0.030814,-0.977189,-0.052319,0.275121,-0.215226,1.684681,0.061819,-0.723944,0.020318,-0.507527,-0.087228,-0.07355,-0.047592,0.022402,0.107107,-0.541083,-0.001018,-0.120001,-0.22788,0.529869,-0.073714,-0.35254,-0.227823,0.68131,-0.015887,-0.281752,-0.116624,0.130631,-0.087954,-0.554298,0.188819,-0.508066,0.168757,-0.469985,0.087556,1.044815,0.877165,-1.673093,3
0.949583,-2.87162,0.004901,0.867162,-0.279713,1.220578,-0.394304,2.147746,0.128216,-0.280633,0.244729,-1.142343,-0.120545,-0.129719,-0.185529,0.54384,0.069606,-0.666783,0.201233,-0.36027,-0.07425,-0.409679,-0.134279,0.366927,-0.186378,0.347411,-0.059748,-0.3413,-0.03495,-0.70437,0.005255,-0.823835,0.107953,-0.269951,0.152057,-0.798281,0.112509,-0.010935,1.02589,-2.411636,2
0.758862,-1.380711,-0.034888,-0.240128,0.054869,-0.434969,-0.191664,1.519847,0.036437,-0.640564,-0.011316,-0.322858,-0.05165,-0.249097,0.03076,-0.38589,0.08306,-0.504645,-0.132854,0.207378,-0.144075,0.311139,-0.017284,-0.568644,0.007132,-0.52354,0.010785,-0.446676,-0.070616,-0.020735,-0.023145,-0.617504,0.200356,-0.537839,0.126807,-0.303398,0.065266,0.94575,0.927459,-1.789733,3
0.734401,-1.107668,-0.085336,0.821944,-0.034568,-0.220657,-0.236462,1.384886,0.013807,-0.220026,0.081216,-0.62659,0.004543,-0.427792,-0.083017,0.07092,0.045809,-0.589536,-0.036521,0.046154,-0.017065,-0.377491,-0.030199,-0.374267,-0.06204,-0.259983,-0.000057,-0.631434,0.021416,-0.429643,-0.05563,-0.413468,0.063786,-0.155338,0.095085,-0.498878,0.063635,0.448384,0.9351,-1.729294,1
0.899771,-2.342309,-0.036426,1.322546,-0.127983,0.240901,-0.408298,2.092167,0.042218,-0.037478,0.189045,-0.887246,-0.029783,-0.339598,-0.097803,0.124484,-0.005474,-0.489962,0.076225,-0.049455,-0.000047,-0.508266,-0.080262,0.105763,-0.007598,-0.447378,-0.000416,-0.503997,0.000791,-0.512746,0.000001,-0.508515,0.044792,-0.09705,0.076874,-0.663001,0.093918,-0.259309,1.096469,-2.706159,1
0.871963,-2.140834,-0.015374,-0.706428,0.049599,-0.303478,-0.2113,1.633825,0.066773,-0.846761,-0.055699,-0.148514,-0.097699,-0.106057,-0.002479,-0.288356,0.109574,-0.512633,-0.068473,-0.064419,-0.193774,0.54512,-0.029762,-0.520977,-0.070029,0.018259,0.005214,-0.263926,-0.123627,0.141736,-0.018245,-0.700115,0.261639,-0.792386,0.146326,-0.294385,0.076467,1.178877,0.905157,-1.666032,3
