@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute destClass {1,3,2}

@data
-0.020387,0.930202,0.007878,-0.4693,0.03173,-0.985665,1
-0.017148,0.902948,0.00414,-0.415196,0.038764,-1.192187,3
-0.032665,1.218033,-0.005488,-0.219284,0.042476,-1.113801,1
-0.010362,0.616438,0.005847,-0.440625,0.040074,-1.149843,3
-0.031191,1.21045,0.002847,-0.354279,0.039065,-1.147141,2
-0.01153,0.563587,0.006617,-0.455178,0.041553,-1.112174,1
-0.033668,1.187708,-0.003001,-0.271132,0.044064,-1.116108,1
-0.031669,1.274069,-0.003415,-0.269777,0.041611,-1.179965,1
-0.012526,0.599227,0.003577,-0.343537,0.037959,-1.049631,3
-0.032966,1.238995,0.001991,-0.365178,0.040978,-1.145039,3
-0.014707,0.450649,-0.002529,-0.18988,0.043445,-0.977696,1
-0.015305,0.480608,-0.000954,-0.25031,0.044474,-1.002375,3
-0.017589,0.89972,0.00466,-0.429037,0.039396,-1.19466,2
-0.025965,0.850909,-0.004576,-0.229925,0.044318,-0.99601,3
-0.033614,1.217087,-0.00386,-0.257265,0.04268,-1.099135,1
-0.026259,1.133347,0.000468,-0.326358,0.030821,-0.941467,1
-0.017519,0.527,0.000656,-0.34359,0.046029,-0.981657,3
-0.031027,1.031486,-0.004341,-0.221707,0.04321,-1.021599,3
-0.028614,1.2239,-0.001323,-0.310062,0.04004,-1.18783,3
-0.01438,0.778629,0.004004,-0.408651,0.040449,-1.193158,3
-0.020698,1.013065,0.002794,-0.401032,0.038662,-1.179051,2
-0.01278,0.509887,0.001703,-0.298357,0.040763,-1.024044,3
-0.009215,0.527574,0.005229,-0.412605,0.042518,-1.170776,3
-0.021392,0.97126,0.006692,-0.455207,0.033705,-1.034852,2
-0.027996,1.214256,0.001725,-0.389116,0.038459,-1.156491,2
-0.030784,1.22671,0.003516,-0.395592,0.037489,-1.108358,1
-0.033525,1.277089,-0.001431,-0.321768,0.042036,-1.14617,3
-0.024166,1.118577,0.002984,-0.412892,0.037638,-1.154399,3
-0.024731,1.140973,0.00325,-0.40779,0.037784,-1.177662,2
-0.017889,0.857163,0.006043,-0.438074,0.035664,-1.07025,3
-0.011434,0.56324,0.006315,-0.435982,0.039645,-1.072882,3
-0.027391,1.151824,0.000095,-0.322323,0.030639,-0.917595,1
-0.027856,0.872629,-0.00397,-0.224535,0.044838,-1.002096,1
-0.024639,1.070257,0.006175,-0.424735,0.035626,-1.113607,3
-0.014125,0.50643,0.001728,-0.340824,0.044788,-1.052516,1
-0.019841,0.599509,-0.000018,-0.335152,0.04551,-0.965953,3
-0.0118,0.573959,0.006541,-0.453333,0.042509,-1.141166,1
-0.017272,0.821854,0.00814,-0.45882,0.032941,-1.01394,3
-0.020892,1.028812,0.002562,-0.399564,0.038626,-1.183548,1
-0.023322,1.103538,0.00279,-0.406113,0.037633,-1.163868,3
-0.033955,1.290427,-0.002039,-0.307562,0.042074,-1.146241,3
-0.019015,0.57254,0.000201,-0.337853,0.045711,-0.970507,3
-0.022382,1.065165,0.004091,-0.41999,0.038077,-1.185438,2
-0.011944,0.616833,0.006661,-0.447105,0.041624,-1.165252,2
-0.029401,1.242239,-0.002026,-0.291747,0.041081,-1.212129,1
-0.023356,0.674657,-0.003807,-0.21536,0.044793,-0.940307,3
-0.023885,1.11442,0.003583,-0.412612,0.037905,-1.182071,2
-0.012494,0.684143,0.005809,-0.418365,0.03939,-1.161322,2
-0.022771,1.07966,0.003778,-0.422163,0.037326,-1.157845,3
-0.015402,0.469427,0.000238,-0.330352,0.046788,-1.004894,3
-0.019742,0.973134,0.004167,-0.426697,0.038752,-1.179979,3
-0.023591,1.040218,0.00744,-0.455617,0.032802,-1.038645,2
-0.013803,0.44758,-0.004475,-0.157825,0.041199,-0.916239,3
-0.012638,0.673777,0.0066,-0.437977,0.037755,-1.104173,3
-0.017998,0.501302,-0.002788,-0.224822,0.046944,-0.991972,2
-0.011187,0.502994,0.005983,-0.411381,0.040977,-1.071524,2
-0.028976,1.174194,0.003561,-0.379213,0.0372,-1.115202,3
-0.024838,1.091024,0.006974,-0.464367,0.03465,-1.08443,2
-0.011718,0.47728,0.003495,-0.337027,0.038423,-0.966908,3
-0.021677,0.673258,-0.000604,-0.330034,0.04414,-0.940512,3
-0.022366,1.05028,0.005092,-0.43906,0.03707,-1.151785,3
-0.027223,0.867265,-0.00312,-0.263656,0.045032,-1.003728,1
-0.02208,0.698229,-0.009139,-0.099069,0.042937,-0.917586,3
-0.021422,1.042341,0.003407,-0.415086,0.036874,-1.142045,3
-0.016625,0.525242,0.000562,-0.342356,0.046869,-1.026213,3
-0.021062,0.598555,-0.001007,-0.293702,0.04648,-0.972327,1
-0.027878,1.162029,0.00533,-0.43509,0.0361,-1.095786,3
-0.016228,0.87796,0.004185,-0.418628,0.039433,-1.208726,3
-0.01167,0.665783,0.005275,-0.41962,0.040705,-1.185856,3
-0.025519,1.095069,0.006586,-0.449151,0.034438,-1.06847,3
-0.011262,0.680964,0.00491,-0.41201,0.040151,-1.194588,2
-0.009211,0.517117,0.005127,-0.410133,0.042747,-1.166369,3
-0.016888,0.829479,0.004463,-0.40673,0.037835,-1.117685,1
-0.014596,0.714497,0.004587,-0.380894,0.036641,-1.062128,2
-0.026464,1.177153,0.00279,-0.4127,0.037114,-1.130199,1
-0.016058,0.486639,0.001336,-0.359288,0.046754,-1.004393,2
-0.013676,0.460932,0.001289,-0.339218,0.04662,-1.059295,3
-0.025636,1.158337,0.000994,-0.374666,0.037868,-1.143533,3
-0.009758,0.593836,0.005869,-0.438562,0.039082,-1.119254,3
-0.009661,0.546329,0.00648,-0.437215,0.041775,-1.166606,3
-0.0302,1.157307,0.002021,-0.352124,0.039156,-1.103225,1
-0.022158,1.069421,0.002251,-0.396416,0.038255,-1.173742,1
-0.032738,1.292502,-0.002512,-0.288893,0.041663,-1.176149,3
-0.027183,1.194319,0.001957,-0.386359,0.037945,-1.153878,3
-0.015288,0.816906,0.00553,-0.438834,0.039755,-1.199151,3
-0.02422,0.766133,-0.004779,-0.225726,0.044503,-0.962901,3
-0.012254,0.453452,-0.001747,-0.204054,0.039653,-0.950976,3
-0.033261,1.185303,-0.002559,-0.290873,0.043067,-1.089873,3
-0.031889,1.084322,-0.004938,-0.222708,0.042674,-1.018563,2
-0.011515,0.606847,0.006491,-0.441566,0.03898,-1.095237,3
-0.012309,0.491619,0.000668,-0.261872,0.040641,-1.023436,3
-0.022318,0.993563,0.008509,-0.475456,0.032521,-1.028862,3
-0.017732,0.53473,-0.00842,-0.07774,0.044353,-0.953679,1
-0.013469,0.452218,-0.003036,-0.170951,0.041041,-0.952172,3
-0.024891,1.137592,0.002464,-0.399158,0.036563,-1.123345,1
-0.011399,0.628907,0.005122,-0.418225,0.041172,-1.166446,1
-0.02894,1.228832,0.001723,-0.385913,0.038252,-1.142542,3
-0.012665,0.601631,0.003209,-0.322942,0.038907,-1.08475,3
-0.033867,1.287537,-0.002463,-0.297295,0.041759,-1.135701,1
-0.011936,0.513434,0.004893,-0.393691,0.040791,-1.043984,3
-0.021588,0.630054,-0.003469,-0.242543,0.045895,-0.956712,3
-0.012475,0.578195,0.002803,-0.294062,0.034611,-0.966099,1
-0.023455,1.03786,0.006057,-0.420923,0.033969,-1.068799,1
-0.019199,0.523384,-0.005478,-0.162311,0.045899,-0.940857,1
-0.033845,1.289916,-0.002067,-0.301571,0.0416,-1.140935,3
-0.009693,0.54214,0.00592,-0.436308,0.041801,-1.147784,3
-0.018327,0.497097,-0.00522,-0.145218,0.044329,-0.919562,3
-0.010836,0.550545,0.005765,-0.418197,0.040628,-1.106341,2
-0.019723,0.991834,0.004257,-0.427795,0.038335,-1.189098,3
-0.012573,0.500804,0.003334,-0.343446,0.043299,-1.090184,3
-0.019776,0.909582,0.008556,-0.48411,0.032773,-1.014378,2
-0.013036,0.489604,0.000251,-0.273351,0.043455,-1.055854,1
-0.022671,1.0091,0.007141,-0.451391,0.031786,-1.000888,2
-0.031682,1.280709,-0.001122,-0.315874,0.040327,-1.167892,3
-0.02232,1.076694,0.00299,-0.408936,0.037783,-1.171392,3
-0.020977,0.654521,-0.009193,-0.092181,0.043727,-0.931336,3
-0.011733,0.597473,0.006056,-0.438281,0.042224,-1.160405,2
-0.033679,1.295927,-0.001942,-0.311317,0.041464,-1.141443,1
-0.023433,1.098758,0.002269,-0.398464,0.03828,-1.167154,2
-0.02542,1.116798,0.000758,-0.329716,0.030941,-0.955909,1
-0.023383,1.037471,0.007128,-0.459115,0.033807,-1.057212,3
-0.024692,0.743512,-0.003857,-0.238799,0.044235,-0.932229,1
-0.02432,0.739152,-0.002674,-0.268522,0.045963,-0.988432,1
-0.027666,0.86196,-0.004924,-0.188782,0.043607,-0.972317,3
-0.017103,0.512654,0.00115,-0.33329,0.046784,-1.023366,2
-0.023381,1.031031,0.007809,-0.46335,0.032634,-1.03304,3
-0.018607,0.943226,0.004599,-0.436263,0.038737,-1.18317,3
-0.019261,0.889237,0.008497,-0.47992,0.032939,-1.015266,2
-0.020611,0.936907,0.007451,-0.461625,0.032538,-1.004349,3
-0.018087,0.882912,0.004528,-0.417639,0.037667,-1.124389,1
-0.033992,1.238691,-0.001234,-0.321026,0.041741,-1.092998,3
-0.020197,0.988678,0.004281,-0.419925,0.037553,-1.159941,3
-0.013785,0.509255,0.00208,-0.348417,0.044517,-1.059318,1
-0.016817,0.524266,-0.003855,-0.225298,0.044673,-0.955168,3
-0.028107,1.214235,-0.000854,-0.323708,0.039526,-1.177228,3
-0.021496,1.032489,0.003727,-0.422728,0.038323,-1.171154,3
-0.026165,0.797169,-0.003994,-0.218245,0.044932,-0.981359,1
-0.01706,0.890805,0.003582,-0.406254,0.039872,-1.206538,1
-0.018069,0.915595,0.004,-0.410292,0.038075,-1.161658,1
-0.033733,1.294149,-0.000868,-0.32273,0.041996,-1.170943,3
-0.011018,0.528652,0.007019,-0.410392,0.036438,-1.006486,3
-0.023465,1.035989,0.007529,-0.462613,0.033472,-1.051772,3
-0.02863,1.16211,0.004259,-0.39368,0.037496,-1.125521,3
-0.012968,0.744807,0.004988,-0.416097,0.039866,-1.201723,3
-0.013959,0.67479,0.004304,-0.355473,0.038156,-1.099257,3
-0.015365,0.491732,-0.002718,-0.282443,0.042775,-0.884475,1
-0.030424,1.099485,-0.003846,-0.242152,0.045064,-1.150327,2
-0.032902,1.096273,-0.000062,-0.226609,0.025109,-0.649845,1
-0.033006,1.301407,-0.001298,-0.3264,0.040669,-1.146231,3
-0.019344,0.603613,-0.00323,-0.246153,0.044821,-0.965392,2
-0.018526,0.574998,-0.000064,-0.333857,0.046663,-1.009297,3
-0.033945,1.285409,-0.001371,-0.310689,0.042225,-1.160881,3
-0.030232,1.255893,-0.000279,-0.334067,0.039236,-1.157919,3
-0.011959,0.525855,0.000947,-0.253047,0.037047,-0.98494,1
-0.019005,0.888793,0.006234,-0.440356,0.034696,-1.047546,2
-0.017636,0.497876,-0.001272,-0.256101,0.045873,-0.979452,3
-0.011997,0.66793,0.004606,-0.414741,0.041269,-1.181006,3
-0.023119,1.025189,0.007535,-0.455422,0.032222,-1.023477,2
-0.024188,1.124073,0.00347,-0.411008,0.037858,-1.180564,2
-0.019218,0.929879,0.004595,-0.425587,0.037492,-1.129351,1
-0.011955,0.631757,0.006915,-0.440827,0.037803,-1.088091,3
-0.032978,1.298525,-0.001501,-0.310947,0.041112,-1.166156,1
-0.012569,0.447157,-0.001869,-0.207633,0.039578,-0.927037,3
-0.030545,1.259378,-0.002513,-0.284788,0.040947,-1.187707,3
-0.032659,1.164351,-0.001644,-0.280841,0.043945,-1.144831,3
-0.031544,1.133276,-0.006646,-0.179865,0.043229,-1.088164,1
-0.01074,0.445165,0.003446,-0.380711,0.04514,-1.101362,3
-0.033521,1.297476,-0.001685,-0.317966,0.041314,-1.143631,1
0.027072,-0.906265,-0.000186,-0.040351,0.024191,-0.454175,1
-0.010835,0.477268,0.003244,-0.312162,0.03607,-0.944452,3
-0.013091,0.709259,0.006128,-0.437184,0.040712,-1.19632,2
-0.021621,0.972062,0.008129,-0.473178,0.031512,-0.990599,1
-0.01347,0.723822,0.006008,-0.436618,0.038441,-1.1353,3
-0.012772,0.488156,0.002456,-0.359546,0.043713,-1.043191,3
-0.017336,0.49791,-0.000849,-0.290216,0.046503,-0.982603,3
-0.027269,1.130673,0.003922,-0.379153,0.036926,-1.121128,3
