@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute slope11 numeric
@attribute intercept11 numeric
@attribute slope12 numeric
@attribute intercept12 numeric
@attribute slope13 numeric
@attribute intercept13 numeric
@attribute slope14 numeric
@attribute intercept14 numeric
@attribute slope15 numeric
@attribute intercept15 numeric
@attribute slope16 numeric
@attribute intercept16 numeric
@attribute slope17 numeric
@attribute intercept17 numeric
@attribute slope18 numeric
@attribute intercept18 numeric
@attribute slope19 numeric
@attribute intercept19 numeric
@attribute slope20 numeric
@attribute intercept20 numeric
@attribute slope21 numeric
@attribute intercept21 numeric
@attribute slope22 numeric
@attribute intercept22 numeric
@attribute slope23 numeric
@attribute intercept23 numeric
@attribute slope24 numeric
@attribute intercept24 numeric
@attribute slope25 numeric
@attribute intercept25 numeric
@attribute slope26 numeric
@attribute intercept26 numeric
@attribute slope27 numeric
@attribute intercept27 numeric
@attribute slope28 numeric
@attribute intercept28 numeric
@attribute slope29 numeric
@attribute intercept29 numeric
@attribute slope30 numeric
@attribute intercept30 numeric
@attribute slope31 numeric
@attribute intercept31 numeric
@attribute slope32 numeric
@attribute intercept32 numeric
@attribute slope33 numeric
@attribute intercept33 numeric
@attribute slope34 numeric
@attribute intercept34 numeric
@attribute slope35 numeric
@attribute intercept35 numeric
@attribute slope36 numeric
@attribute intercept36 numeric
@attribute slope37 numeric
@attribute intercept37 numeric
@attribute slope38 numeric
@attribute intercept38 numeric
@attribute slope39 numeric
@attribute intercept39 numeric
@attribute slope40 numeric
@attribute intercept40 numeric
@attribute slope41 numeric
@attribute intercept41 numeric
@attribute slope42 numeric
@attribute intercept42 numeric
@attribute slope43 numeric
@attribute intercept43 numeric
@attribute slope44 numeric
@attribute intercept44 numeric
@attribute slope45 numeric
@attribute intercept45 numeric
@attribute slope46 numeric
@attribute intercept46 numeric
@attribute slope47 numeric
@attribute intercept47 numeric
@attribute slope48 numeric
@attribute intercept48 numeric
@attribute destClass {1,3,2}

@data
4.642167,-7.89311,-0.235613,2.693789,-0.219627,1.774864,0.050774,0.666419,-0.227037,1.494437,-0.273192,0.548154,0.729268,-1.265589,-0.282413,1.567774,-0.379531,0.385356,0.580767,-1.404479,-0.470856,1.450004,-0.024492,-0.732667,0.41002,-1.26419,-0.475457,1.415992,-0.141002,-0.638358,-0.013053,-1.054159,-0.344186,1.093224,-0.165821,-0.416667,0.438863,-1.098667,0.10782,-0.357515,0.368697,-0.52249,-0.241927,1.202803,-0.247638,-0.007495,0.029331,-1.101932,-0.570466,1.206316,0.000439,-1.046867,0.84533,-0.659675,-0.052115,0.704793,-0.638661,0.131481,0.576309,-1.256172,-0.310079,0.463636,0.273556,-1.204564,-0.136564,-0.037465,-0.090098,-0.655955,-0.01845,-1.049414,-0.091258,-0.951741,-0.635826,-0.062832,0.463416,-0.978711,0.44748,0.289594,0.27893,-0.253931,-0.201834,-0.41055,0.267162,-0.686185,-0.384153,0.414049,1.008762,-0.402461,0.792333,-0.559481,-0.136418,-0.054239,-0.149311,-0.684506,6.711812,-3.046191,1
4.809325,-8.172122,-0.247782,2.908931,-0.297006,1.843026,0.164746,0.227185,-0.157747,1.504011,-0.349646,0.776306,0.809529,-1.285073,-0.389177,1.811656,-0.259162,-0.07972,0.576682,-1.197035,-0.275015,1.407872,-0.148512,-0.28153,0.299901,-0.970021,-0.528319,1.533974,-0.021199,-0.814047,0.015332,-0.864696,-0.432165,1.235282,-0.085685,-0.678494,0.319064,-0.882394,0.144197,-0.562894,0.547569,-0.955543,-0.391839,1.394266,-0.159141,-0.269902,0.004263,-0.861024,-0.645768,1.190913,0.03828,-0.902556,0.554052,-0.454345,0.117193,-0.031209,-0.243232,-0.49259,0.683726,-1.12762,-0.197156,-0.34825,0.316363,-1.097999,-0.176105,-0.512653,0.045495,-0.997059,-0.00271,-0.929554,-0.067871,-0.861032,-0.598183,0.059426,0.23858,-0.904739,0.782916,-0.181579,0.391713,-0.399187,-0.110951,-0.530793,0.198076,-0.536112,-0.392076,0.449525,1.147336,-0.429039,0.931544,-0.596008,-0.108951,0.043179,-0.188131,-0.441382,6.609042,-2.808014,3
4.942207,-7.121891,-0.535957,3.85045,-0.36131,1.969867,0.268154,-0.34422,-0.356566,1.000961,-0.034848,-0.481738,0.574318,-0.638753,-0.466281,1.47029,0.018286,-0.113029,0.058451,-0.505616,-0.363897,0.816434,0.03963,-0.480257,-0.048026,-0.564852,-0.501886,0.770226,0.011056,-0.365379,0.238607,-0.609203,-0.379946,0.297676,0.026115,-0.37494,-0.099043,-0.428851,0.149316,-0.559011,0.280649,-0.333007,-0.407844,0.545934,0.139787,-0.664014,-0.080392,-0.438441,-0.585988,0.342394,0.072119,-0.746057,0.068676,-0.538792,0.040531,-0.603441,-0.057542,-0.512139,0.136586,-0.785629,0.166737,-0.682228,0.25424,-0.876842,-0.085863,-0.375064,-0.077881,-0.299099,-0.053543,-0.46888,-0.158893,-0.411055,0.01175,-0.81491,0.118726,-0.871554,0.654289,-0.06715,0.135224,-0.05065,0.04087,-0.380474,0.445901,-0.621329,0.057468,0.136347,0.948047,0.143857,0.519412,-0.068123,-0.126821,0.75672,-0.362772,-0.000088,6.548332,-2.663143,1
4.962153,-8.485985,-0.297588,3.063959,-0.628188,1.670642,0.466284,-1.121074,-0.027811,1.055276,-0.235673,0.958313,0.662618,-1.02543,-0.294064,1.7014,-0.42349,0.391002,0.58707,-1.316932,-0.088028,0.930712,-0.170306,-0.110384,0.56728,-1.362805,-0.285096,1.099359,-0.09757,-0.745708,-0.023672,-0.978778,-0.228011,0.956457,-0.148007,-0.534638,0.495109,-1.091693,0.121436,-0.370177,0.321602,-0.626672,-0.117833,0.973144,-0.231525,0.104609,0.044471,-1.046324,-0.421863,0.964867,0.027483,-1.01368,0.718112,-0.608404,0.32201,-0.090672,-0.452347,-0.129855,0.802779,-1.277775,-0.308086,0.087451,0.582271,-1.298179,-0.225512,-0.322161,-0.120123,-0.779921,-0.113101,-0.861544,0.039875,-1.070434,-0.522212,-0.193368,0.208445,-0.990548,0.868863,-0.435265,0.278111,-0.048889,-0.26395,-0.211041,0.412262,-0.62304,-0.366321,0.637024,1.043734,0.040991,0.925554,-0.337606,-0.237933,0.452867,-0.174552,-0.553758,6.655707,-2.924661,3
4.8114,-7.349969,-0.322145,3.484468,-0.393101,2.102124,0.098302,0.239871,-0.267596,1.222494,-0.301381,0.109202,0.744718,-1.115989,-0.435372,1.611955,-0.105491,-0.125974,0.275099,-0.808647,-0.466574,1.182078,-0.03052,-0.595439,-0.04787,-0.720445,-0.497352,1.108946,0.038908,-0.663223,0.242268,-0.8432,-0.358876,0.758354,0.034788,-0.638183,0.146178,-0.649904,0.149951,-0.608156,0.430537,-0.709655,-0.231345,0.8678,-0.088795,-0.536118,-0.09045,-0.508963,-0.518121,0.82997,0.090498,-0.860264,0.536776,-0.519308,-0.054099,0.318873,-0.339671,-0.203184,0.180067,-0.883074,-0.253819,0.055791,0.15327,-0.926641,-0.008964,-0.659658,-0.011728,-0.655189,-0.10024,-0.578091,-0.034748,-0.699883,-0.005525,-0.849459,0.069247,-0.87281,0.594461,0.068423,0.226635,-0.242478,0.043798,-0.601433,0.342398,-0.651768,-0.065832,0.117917,1.149889,-0.32252,0.566948,-0.356052,-0.084855,0.373231,-0.309691,-0.192046,6.618454,-2.825677,2
5.053946,-8.432785,-0.362853,3.374021,-0.847645,1.460085,0.409987,-1.284076,0.08139,0.498595,-0.152405,0.918116,0.676667,-1.007858,-0.295727,1.75378,-0.414756,0.476258,0.488187,-1.197594,0.044389,0.386012,0.020449,-0.561365,0.603813,-1.294894,-0.117997,0.581696,-0.102307,-0.691013,-0.022729,-0.948035,-0.073973,0.559969,-0.164307,-0.463716,0.493224,-1.026124,0.149916,-0.318367,0.177035,-0.491397,0.095694,0.450295,-0.278737,0.32748,0.051677,-0.994254,-0.177672,0.602297,0.022648,-0.963979,0.727289,-0.64227,0.366545,-0.12157,-0.543163,0.086008,0.767518,-1.209385,-0.376097,0.306832,0.68851,-1.266587,-0.262322,-0.181791,-0.126915,-0.730601,-0.1141,-0.825543,0.030822,-1.028813,-0.321124,-0.485094,0.053676,-0.903686,1.042144,-0.722572,0.204739,0.140987,-0.318204,-0.026498,0.462016,-0.559524,-0.34448,0.772228,1.017263,0.300735,0.947819,-0.184042,-0.213735,0.612173,-0.188589,-0.477369,6.621048,-2.844938,1
5.094586,-6.979059,-0.399777,3.592218,-0.414182,1.807559,0.32989,-0.66152,-0.325411,0.66666,0.086162,-0.658003,0.496132,-0.447246,-0.443231,1.324128,-0.012172,-0.054142,0.014475,-0.446196,-0.387693,0.528837,0.051042,-0.491071,-0.120981,-0.339235,-0.320867,0.35098,-0.028949,-0.317828,0.29664,-0.652015,-0.202862,-0.126091,0.000972,-0.340985,-0.034454,-0.461635,0.104546,-0.437263,0.176134,-0.250329,-0.267454,0.182916,0.099813,-0.455893,-0.059571,-0.369853,-0.351585,-0.07147,0.077118,-0.650765,-0.006467,-0.505818,-0.554607,0.346664,-0.006958,-0.525967,-0.017412,-0.66879,0.173066,-0.683354,0.024759,-0.750443,0.060993,-0.414677,0.042039,-0.442961,-0.102808,-0.273223,-0.027327,-0.433743,-0.003954,-0.726269,-0.072827,-0.395008,0.702144,-0.339674,0.076916,-0.036296,0.005668,-0.284034,0.406409,-0.533503,0.084358,0.085935,0.940849,0.156371,0.46713,0.009585,-0.104804,0.841822,-0.390905,0.170046,6.418725,-2.395483,1
4.840266,-7.326456,-0.393637,3.592024,-0.372385,2.175273,0.060723,0.574523,-0.308041,1.258751,-0.2656,0.00456,0.736876,-0.970115,-0.481768,1.554499,0.012326,-0.337227,0.253453,-0.708973,-0.381933,1.120648,-0.029044,-0.502273,-0.005898,-0.57235,-0.55531,1.116583,0.024075,-0.543608,0.220032,-0.667558,-0.4278,0.674837,0.034816,-0.562268,-0.021275,-0.519686,0.175628,-0.689299,0.442482,-0.671415,-0.450975,0.927573,0.073397,-0.815172,-0.061814,-0.517315,-0.603482,0.651971,0.062161,-0.765751,0.202453,-0.465202,0.134635,-0.546714,0.006443,-0.721007,0.290649,-0.867104,0.136034,-0.798017,0.08368,-0.859933,-0.016082,-0.575745,-0.040497,-0.521742,-0.050552,-0.531978,-0.131659,-0.507642,0.010522,-0.851546,0.265231,-0.952732,0.504446,0.225651,0.254206,-0.296544,0.058495,-0.55627,0.334859,-0.608463,-0.028889,0.080592,1.138423,-0.229065,0.562923,-0.279806,-0.093501,0.467582,-0.333344,-0.082873,6.541589,-2.656053,1
5.005353,-8.472021,-0.342586,3.228892,-0.550979,1.426045,0.634361,-1.653842,0.008385,0.773876,-0.185714,0.851639,0.579345,-0.929901,-0.308156,1.682112,-0.25637,0.383609,0.492342,-1.237043,-0.06058,0.69268,-0.001572,-0.55536,0.560289,-1.420059,-0.29245,0.873665,-0.152554,-0.477211,0.163249,-1.14388,-0.16451,0.708073,-0.139304,-0.312416,0.446882,-1.005186,0.098106,-0.295352,0.207472,-0.302759,-0.035417,0.710609,-0.185977,0.201783,-0.005259,-1.026378,-0.306524,0.737542,0.022184,-1.208354,0.807999,-0.830357,-0.181595,0.710696,-0.608979,0.130203,0.850027,-1.454419,-0.132915,0.224956,0.709274,-1.435996,-0.043735,-0.206344,-0.035268,-0.637272,-0.113035,-0.869784,-0.25141,-0.72753,-0.478068,-0.394253,0.128737,-0.932623,1.039578,-0.855624,0.223677,0.089391,-0.19308,-0.254135,0.617075,-0.793354,-0.182402,0.553297,0.973186,0.331073,0.957999,-0.368083,-0.216122,0.610921,-0.197599,-0.652746,6.73765,-3.119717,3
4.899939,-7.199095,-0.376208,3.70232,-0.343196,1.968189,0.162805,-0.10625,-0.303299,1.10119,-0.188809,-0.194128,0.662428,-0.878081,-0.440222,1.519852,-0.025906,-0.201989,0.207306,-0.689208,-0.461913,1.030297,0.024054,-0.594277,-0.037353,-0.653052,-0.506996,0.939194,0.016689,-0.55723,0.28375,-0.815527,-0.40613,0.575323,0.032513,-0.547072,0.009872,-0.56869,0.162705,-0.68033,0.38358,-0.594495,-0.301136,0.731018,0.072324,-0.691147,-0.073504,-0.4456,-0.498128,0.608876,0.089959,-0.791257,0.425652,-0.51343,-0.044905,0.14914,-0.129699,-0.414453,0.048517,-0.754638,-0.16679,-0.273268,0.086235,-0.773916,0.05162,-0.631002,-0.069341,-0.450658,-0.133153,-0.412112,0.046419,-0.694377,0.010265,-0.789971,0.052993,-0.781284,0.621479,-0.051255,0.183478,-0.18482,0.037582,-0.502914,0.347999,-0.605993,-0.006438,0.092846,1.057426,-0.156232,0.487343,-0.196077,-0.090083,0.533147,-0.329006,-0.060805,6.547018,-2.675241,3
