@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute destClass {1,3,2}

@data
-0.002504,0.743772,0.002158,-0.287793,-0.000733,-0.243901,-0.040332,0.203874,0.056285,-0.652782,1
-0.003819,0.771972,-0.000645,-0.117308,0.006332,-0.397149,-0.026783,-0.149767,0.067258,-0.788401,3
-0.041626,1.356877,-0.005113,-0.161686,-0.005212,-0.258432,-0.002703,-0.513418,0.077819,-0.763911,1
0.012743,0.357564,0.000512,-0.182297,0.002127,-0.293476,-0.034194,0.017908,0.070311,-0.728971,3
-0.034053,1.280636,0.001985,-0.272319,0.002412,-0.345722,-0.027527,-0.063074,0.072022,-0.820877,2
0.013838,0.272984,0.002176,-0.293261,0.000782,-0.261947,-0.035782,0.094169,0.075327,-0.715128,1
-0.045016,1.360557,-0.003991,-0.23816,-0.00485,-0.255333,-0.003,-0.451748,0.080742,-0.763373,1
-0.039628,1.408994,-0.002439,-0.146348,0.000248,-0.362973,-0.009525,-0.449509,0.073153,-0.778045,1
0.011693,0.31257,0.000696,-0.231922,-0.007246,-0.117652,-0.036567,0.133451,0.0721,-0.744779,3
-0.041079,1.373361,-0.00201,-0.227343,0.002544,-0.372529,-0.018683,-0.195058,0.075639,-0.81739,3
0.011616,0.121906,0.003889,-0.412504,-0.017237,0.037815,-0.021377,-0.040895,0.081346,-0.622206,1
0.010638,0.160854,0.004307,-0.428906,-0.013537,-0.047423,-0.022958,-0.024119,0.081592,-0.606409,3
-0.002946,0.749371,-0.000331,-0.137787,0.008454,-0.436476,-0.027597,-0.133303,0.067637,-0.769243,2
-0.018212,0.76668,-0.00561,-0.302392,-0.015355,-0.023499,-0.00228,-0.432179,0.079287,-0.581561,3
-0.047509,1.422136,-0.004413,-0.189512,-0.004448,-0.281933,-0.002514,-0.466522,0.07909,-0.773369,1
-0.028712,1.197748,-0.00611,-0.061363,0.005898,-0.379866,-0.005055,-0.395047,0.061639,-0.79154,1
0.003211,0.278315,-0.001457,-0.404912,-0.012002,-0.072485,-0.014841,-0.148425,0.085827,-0.601506,3
-0.037542,1.137848,-0.002128,-0.304207,-0.01041,-0.147357,-0.000638,-0.418041,0.084584,-0.774318,3
-0.029948,1.27955,0.000726,-0.175031,0.002677,-0.39343,-0.01582,-0.366667,0.06514,-0.697297,3
0.00414,0.579356,0.000711,-0.163713,0.005001,-0.358131,-0.027201,-0.14478,0.069261,-0.748412,3
-0.011074,0.92947,-0.000412,-0.127496,0.007713,-0.451322,-0.02155,-0.234573,0.067882,-0.797372,2
0.012802,0.200552,0.001589,-0.310966,-0.011469,-0.047332,-0.032141,0.098164,0.078749,-0.724531,3
0.015666,0.241504,-0.000008,-0.204729,-0.00188,-0.206712,-0.037646,0.086928,0.080175,-0.820018,3
-0.002997,0.776274,0.000977,-0.271757,-0.001483,-0.242004,-0.040646,0.158649,0.056571,-0.617847,2
-0.02883,1.26586,-0.000619,-0.162792,0.006117,-0.450799,-0.018507,-0.28147,0.064906,-0.729806,2
-0.033828,1.305469,0.002479,-0.270258,0.005085,-0.416016,-0.02534,-0.09005,0.068531,-0.785956,1
