@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute destClass {2,1}

@data
0.01571,-0.749901,2
0.015587,-0.743779,1
0.016939,-0.809512,2
0.010201,-0.482706,2
0.008191,-0.385358,1
0.018195,-0.870495,1
0.009804,-0.463441,2
0.010401,-0.492385,2
0.016018,-0.764861,1
0.006773,-0.316745,1
0.010676,-0.505774,1
0.014535,-0.692902,1
0.030077,-1.446536,1
0.002911,-0.129329,1
0.00427,-0.195052,2
0.001282,-0.05058,1
0.008832,-0.416328,1
0.003501,-0.157838,1
0.021668,-1.038868,2
0.013267,-0.631392,2
0.028421,-1.366324,1
0.020599,-0.986807,1
0.008502,-0.400347,1
0.006748,-0.315215,2
0.010344,-0.489742,1
0.023788,-1.141924,1
0.009524,-0.45005,1
0.020959,-1.004449,2
0.020009,-0.958566,1
0.010502,-0.497089,1
0.013327,-0.634162,1
0.005837,-0.271095,1
0.005654,-0.262326,1
0.012108,-0.575168,1
0.003234,-0.144911,1
0.015212,-0.725748,2
0.017649,-0.843947,1
0.004258,-0.194624,1
0.020561,-0.985542,1
0.012145,-0.576909,1
0.011158,-0.529185,1
0.014189,-0.676259,1
0.016331,-0.77997,1
0.012905,-0.613863,2
0.02183,-1.046719,2
0.006146,-0.286198,1
0.002853,-0.126353,2
0.012186,-0.578977,2
0.006374,-0.297198,1
0.014729,-0.702293,2
0.005919,-0.275314,1
0.008391,-0.395168,1
0.005051,-0.233341,1
0.031612,-1.521148,2
0.007465,-0.350234,1
0.01091,-0.517188,1
0.013313,-0.633634,2
0.013916,-0.662878,2
0.010233,-0.484243,1
0.01333,-0.634523,1
0.00179,-0.074865,1
0.005936,-0.275833,2
0.001624,-0.066834,1
0.013446,-0.640118,1
0.018951,-0.907008,1
0.029146,-1.401542,2
0.018637,-0.89173,1
0.01397,-0.665543,1
0.008339,-0.392569,1
0.003911,-0.177782,1
0.019676,-0.942203,1
0.007456,-0.34972,1
0.014434,-0.688009,2
0.016751,-0.800176,1
0.011751,-0.557922,1
0.01619,-0.773268,1
0.002049,-0.087479,1
0.010928,-0.517915,1
-0.00046,0.034109,1
0.018754,-0.897474,1
0.016136,-0.770687,1
0.018795,-0.899474,1
0.004962,-0.228666,1
0.013084,-0.622527,2
0.011608,-0.550961,2
0.012961,-0.616547,2
0.011997,-0.569808,2
0.007223,-0.33838,1
0.012087,-0.574185,2
0.011526,-0.547177,1
0.012954,-0.616226,2
0.020611,-0.987662,1
0.006804,-0.31803,1
0.028875,-1.388405,2
0.01253,-0.595935,1
0.013244,-0.630398,1
0.010884,-0.515834,2
0.017536,-0.838441,2
0.017678,-0.845214,1
0.013584,-0.646742,1
0.007658,-0.359375,1
0.012429,-0.590878,1
0.019618,-0.939408,1
0.011952,-0.567795,1
0.015758,-0.75222,2
0.011431,-0.542314,1
0.020635,-0.988929,1
0.014478,-0.690376,1
0.006017,-0.280014,1
0.00799,-0.375481,2
0.005594,-0.259246,2
0.027988,-1.345107,1
0.031495,-1.515465,2
0.015301,-0.730059,2
-0.003815,0.197065,2
0.015534,-0.741506,1
0.013602,-0.647648,1
0.020452,-0.979909,1
0.020274,-0.971237,2
0.015293,-0.729727,1
0.013972,-0.665617,2
0.00765,-0.35916,1
0.01838,-0.87912,1
0.010514,-0.497811,1
0.013025,-0.619934,1
0.021872,-1.048667,1
0.016134,-0.770479,2
0.019887,-0.952319,1
0.002885,-0.127889,2
0.013617,-0.648237,1
0.0159,-0.75913,1
0.011901,-0.56515,1
0.008676,-0.408759,2
0.00526,-0.243069,2
0.028202,-1.355967,1
0.010219,-0.483802,1
0.018238,-0.872669,1
0.015561,-0.742904,1
0.014456,-0.689075,2
0.009341,-0.441018,2
0.00823,-0.387183,1
0.032455,-1.561854,1
0.014829,-0.707168,2
0.010835,-0.513673,1
0.010155,-0.480457,1
0.013231,-0.629744,1
0.008934,-0.421229,1
0.020344,-0.974995,1
0.010573,-0.50085,1
0.016004,-0.764464,1
0.003858,-0.175291,1
0.009897,-0.46795,2
0.00619,-0.288184,2
0.010065,-0.476099,2
0.025799,-1.239187,2
0.007169,-0.335638,2
0.008583,-0.404432,1
0.012079,-0.5738,2
0.030038,-1.444821,2
0.006415,-0.299065,2
0.023266,-1.116377,2
0.011375,-0.539683,1
0.015197,-0.724732,1
0.011668,-0.553876,2
0.00696,-0.325528,2
0.011568,-0.549023,2
0.011648,-0.552867,1
0.020674,-0.990466,1
0.000455,-0.010342,1
0.009474,-0.447521,1
0.00182,-0.076447,1
0.008654,-0.407713,1
0.010228,-0.48444,1
-0.000019,0.012675,1
0.016635,-0.794653,1
0.006973,-0.326169,2
0.010505,-0.497351,1
0.016563,-0.791297,1
0.01,-0.472924,1
0.006833,-0.319426,1
0.004739,-0.217926,1
0.016882,-0.806746,2
0.02815,-1.353162,1
0.011014,-0.522049,1
0.002858,-0.12657,2
0.017151,-0.819779,2
0.007112,-0.332908,2
0.016049,-0.766314,2
0.014626,-0.697376,1
0.014485,-0.6905,1
0.009976,-0.472125,1
0.02059,-0.986584,2
0.005693,-0.264243,1
0.003914,-0.177901,1
0.012681,-0.603301,1
0.004811,-0.221329,1
0.001633,-0.067398,1
0.001259,-0.048996,2
0.011157,-0.529061,2
0.010226,-0.484492,1
