@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute destClass {-1,1}

@data
0.335345,-0.607783,-0.036454,-0.07886,-0.077517,-0.660392,-0.04421,-1.460726,0.144971,-1.815542,0.074786,-0.058984,-0.008267,0.708941,0.017156,0.579498,0.010632,0.796809,0.229927,0.113968,-1
0.004511,-0.4159,-0.068519,-0.934301,0.044465,-1.565,0.186881,-0.432068,-0.057188,1.308908,-0.044031,0.868862,0.043214,0.409708,-0.091285,0.190018,0.003876,-0.55605,0.03397,1.080035,1
0.356161,-0.913185,-0.071435,0.147896,-0.07202,-0.726721,-0.053277,-1.559569,0.19355,-1.909497,0.079698,0.073634,0.005282,0.772208,0.005189,0.697705,0.02128,0.559302,0.24807,0.075931,-1
0.128002,0.291664,-0.144312,1.025835,-0.114092,-0.019098,-0.061367,-1.321418,0.120965,-1.969971,0.118377,-0.46786,-0.017817,0.446494,-0.005587,0.247833,0.05561,0.022391,0.086033,1.384115,-1
0.145896,0.206615,-0.239156,0.699404,-0.080699,-1.085881,0.184056,-2.268358,0.064271,0.517923,-0.022186,0.689978,-0.025719,0.479549,0.037063,0.284927,-0.025499,0.0394,0.344652,-0.975408,1
0.026451,0.15942,-0.20893,0.153986,-0.080716,-1.284261,0.188363,-2.090819,0.078746,0.213155,0.001417,0.663052,0.000697,0.600091,0.037351,0.578435,-0.036399,0.468848,0.265986,-0.354748,1
0.137433,0.672133,-0.043234,-0.037941,-0.011671,-0.733223,-0.105931,-0.854398,0.101095,-1.827222,0.117116,-0.482612,-0.011724,0.600745,-0.009587,0.590338,-0.022607,0.818564,0.234052,-0.098281,-1
0.230347,0.070475,-0.038997,-0.094572,-0.135018,-0.558826,0.065025,-2.167319,0.164753,-0.927542,0.006844,0.477142,0.035682,0.407969,-0.017009,0.682764,0.009593,0.31002,0.276285,-0.536206,-1
-0.019695,0.3303,-0.157519,-0.060934,-0.077308,-1.278126,0.231674,-2.201943,0.052971,0.574522,-0.007185,0.816651,-0.030602,0.735871,0.012183,0.564151,-0.038439,0.316961,0.295715,-0.660756,1
0.158255,0.50444,-0.221139,0.497559,-0.096243,-1.211669,0.267956,-2.352661,0.017879,0.54637,-0.017493,0.644965,-0.030796,0.416008,0.053763,0.065477,-0.025324,0.104196,0.287269,-0.696532,1
0.156018,0.060469,-0.065325,0.292568,-0.082774,-0.437785,-0.071158,-1.691303,0.25841,-1.753214,0.000034,0.70785,-0.00924,0.526477,0.056698,0.597205,-0.078346,0.621881,0.311804,-0.752015,1
0.30592,-0.559512,-0.108385,0.282329,-0.117552,-0.689013,-0.015973,-1.834331,0.182776,-1.276001,0.004747,0.458277,0.012439,0.542092,0.027651,0.740298,-0.045961,0.698138,0.255014,-0.265847,1
-0.021443,-0.952638,0.038851,-1.605378,0.031721,-1.445047,0.138067,-0.525466,-0.012383,0.19728,0.042742,0.388322,0.041721,0.545959,-0.084518,0.841538,-0.004193,0.272264,0.186777,1.09605,1
0.029227,0.856669,-0.231922,0.809576,-0.066849,-1.093012,0.21683,-2.133253,0.046889,0.618002,-0.024222,0.756848,-0.037132,0.495815,0.027894,0.202382,-0.039799,-0.190851,0.309968,-1.134396,1
0.440292,-0.820548,-0.18851,1.314546,-0.071142,0.105339,-0.098945,-0.541978,0.004792,-1.702114,0.157671,-1.542339,0.076471,-0.102979,0.033591,0.466121,-0.025078,0.625987,0.21758,0.10175,-1
0.072198,1.043257,-0.197587,0.61691,-0.101005,-0.946009,0.25241,-2.302972,0.018073,0.620899,-0.019762,0.612379,-0.042961,0.391771,0.04722,-0.035882,-0.04854,-0.033198,0.307882,-1.021425,1
0.047611,0.570154,-0.152082,0.097602,-0.080231,-1.180561,0.257009,-2.298525,0.021056,0.764761,-0.03543,0.847048,-0.049126,0.641739,0.050746,0.178764,-0.042215,0.089109,0.294116,-0.842206,1
0.086183,0.605757,-0.229003,0.823783,-0.09802,-0.958912,0.205008,-2.176082,0.057733,0.458251,-0.01712,0.714014,-0.0678,0.743582,-0.022794,0.444413,-0.048492,-0.047408,0.320393,-1.208364,1
0.111518,0.16481,-0.063142,-0.854619,-0.028218,-1.311279,0.093643,-1.695463,0.074639,-0.304625,-0.007825,0.336337,0.049073,0.316965,-0.008213,0.626245,0.017268,0.223833,0.16862,1.080395,-1
0.281399,-0.13746,-0.042479,-0.033863,-0.083252,-0.448999,-0.051167,-1.45774,0.152658,-1.801791,0.077611,-0.226174,0.020923,0.276284,0.018796,0.471164,0.004576,0.859997,0.228011,0.200103,-1
0.119577,-1.341316,-0.058894,-0.802668,-0.004529,-1.809216,0.235863,-1.479451,0.006768,0.49826,0.025108,0.418419,0.044375,0.857407,-0.057203,0.796119,0.047956,0.221301,-0.06404,1.600082,1
0.106937,-0.115104,-0.158286,-0.133778,-0.076002,-1.359618,0.229993,-2.425117,0.022918,0.444461,0.006301,0.529447,-0.009315,0.501691,0.073985,0.341395,-0.034719,0.755606,0.250685,-0.006005,1
0.008455,0.63282,-0.096814,0.184868,-0.099042,-0.848506,0.14646,-2.147601,0.144528,-0.050296,-0.02894,0.80771,-0.060171,0.695078,0.02938,0.412877,-0.031998,0.032,0.302616,-0.855376,1
0.080474,0.478114,-0.104546,-1.083228,0.141514,-2.175204,0.151669,0.451062,-0.085107,1.10043,-0.031871,0.321142,-0.009796,0.023735,0.016006,-0.061209,-0.0903,0.41042,0.315101,-0.920033,-1
0.123271,0.186296,-0.208835,0.472499,-0.100405,-1.122399,0.269798,-2.568854,0.003046,0.746181,0.000699,0.684813,-0.035251,0.637219,0.043632,0.185857,-0.044636,0.237487,0.287717,-0.694446,1
0.020119,-0.424793,-0.121051,-0.732689,0.10003,-2.49716,0.139431,-0.290159,-0.000925,0.627748,-0.023466,0.582511,0.011086,0.365512,-0.080733,0.813252,-0.004116,0.230144,0.202875,0.609534,1
0.1405,0.290956,-0.25367,0.931569,-0.159783,-1.062636,0.297776,-2.620445,0.011957,0.416015,0.007968,0.495731,-0.023092,0.522129,0.005188,0.426697,-0.006545,0.112951,0.300381,-0.626434,1
0.257088,-0.763186,-0.059051,-0.179623,-0.013424,-0.710074,-0.003365,-0.887373,0.038235,-1.547604,0.151761,-0.846605,-0.017419,0.581626,0.022434,0.220817,0.051308,0.199845,0.09529,2.054723,-1
0.136293,-0.61876,-0.062928,-0.254237,-0.1834,-0.94779,0.281878,-2.685062,0.07938,0.428229,0.00291,0.721999,-0.039597,0.854281,-0.014852,0.548759,0.061177,0.234807,0.199044,0.024698,1
0.067526,0.329715,-0.214486,0.527503,-0.08614,-1.129276,0.215967,-2.347303,0.08491,0.411246,-0.019861,0.796441,-0.034896,0.643784,0.00621,0.429167,-0.027629,0.050137,0.318314,-0.79943,1
0.072424,0.026085,-0.185046,0.192939,-0.080257,-1.192273,0.214033,-2.173003,0.064437,0.668995,-0.058862,1.017815,-0.046807,0.745609,0.062058,0.15116,-0.024259,0.123802,0.277264,-0.587711,1
0.028507,0.775837,-0.17282,0.327125,-0.085091,-1.09103,0.208257,-2.055928,0.049255,0.606142,-0.01899,0.730865,-0.041473,0.645625,0.00945,0.288212,-0.043777,-0.022041,0.305259,-1.030948,1
0.115436,0.700451,-0.174439,0.266567,-0.103452,-1.150236,0.275223,-2.300343,-0.000107,0.694393,-0.014132,0.59991,-0.022343,0.424229,0.031928,0.186789,-0.046876,0.087026,0.307062,-0.896408,1
0.08454,0.20074,-0.197955,0.383653,-0.083395,-1.184032,0.216102,-2.333758,0.058854,0.560695,-0.019878,0.725487,-0.022201,0.538415,0.020382,0.413283,-0.011906,0.156101,0.286201,-0.631295,1
0.075429,0.637996,-0.199647,0.806943,-0.098615,-0.762018,0.147299,-2.112376,0.128092,0.011843,-0.035849,0.834977,-0.054564,0.64901,0.036006,0.116154,-0.062866,0.022892,0.288794,-0.990016,1
-0.158853,1.03444,-0.061367,-1.320895,0.124975,-2.185844,0.119954,0.024358,-0.037786,0.742787,0.050311,0.400462,-0.110222,0.923744,-0.003171,-0.044525,0.024838,-0.114827,0.355277,-0.420973,-1
-0.032588,0.139833,-0.094437,-0.887962,0.066978,-1.921649,0.20669,-0.728577,-0.032714,0.863188,-0.016316,0.605435,0.046656,0.316622,-0.043967,0.293527,0.000857,-0.195457,-0.01697,1.35552,1
0.116043,0.669385,-0.226233,0.820261,-0.099171,-0.926672,0.178067,-2.281398,0.065303,0.286752,-0.013131,0.592401,-0.026857,0.461703,0.047945,0.11794,-0.054571,0.178654,0.291076,-0.916637,1
-0.009751,0.493156,-0.080704,0.01652,-0.039138,-0.777752,-0.048405,-1.332811,0.137874,-1.745234,0.084799,-0.182567,-0.000935,0.49467,0.053,0.378474,0.055531,1.068314,0.079726,0.984698,1
