@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute slope11 numeric
@attribute intercept11 numeric
@attribute slope12 numeric
@attribute intercept12 numeric
@attribute slope13 numeric
@attribute intercept13 numeric
@attribute slope14 numeric
@attribute intercept14 numeric
@attribute slope15 numeric
@attribute intercept15 numeric
@attribute slope16 numeric
@attribute intercept16 numeric
@attribute slope17 numeric
@attribute intercept17 numeric
@attribute slope18 numeric
@attribute intercept18 numeric
@attribute slope19 numeric
@attribute intercept19 numeric
@attribute slope20 numeric
@attribute intercept20 numeric
@attribute destClass {2,1}

@data
0.9107,-1.785193,-0.30676,2.379855,-0.093383,0.028112,0.003257,-0.333661,-0.148574,-0.52164,-0.014866,-1.169919,-0.092497,-1.380383,-0.036501,-1.680959,0.118207,-1.765684,0.16256,-1.122199,0.072662,-0.053868,0.079078,0.305496,0.010968,0.683071,0.003997,0.630476,0.036995,0.547173,0.015701,0.660837,0.043094,0.722403,-0.096255,1.022505,0.0129,0.634905,1.018863,-0.016504,2
0.673568,-1.637743,-0.37387,0.247151,0.112926,-1.193628,0.008945,-1.53539,-0.038434,-1.375626,0.186305,-1.649929,0.237055,-0.545989,0.102775,0.684119,-0.118793,1.383542,-0.117024,1.191214,0.023385,0.785095,0.016217,0.477142,-0.059791,0.582114,0.062209,0.621393,-0.165647,0.318932,-0.066446,-0.296274,0.001487,-0.543927,0.164037,-0.724932,0.216503,1.676697,1.352792,-1.338798,1
0.82102,-1.84612,-0.11674,1.816641,-0.123788,0.258171,-0.005159,-0.347402,-0.069689,-0.724884,-0.058103,-1.121153,-0.078821,-1.483793,0.033985,-2.025162,0.148999,-1.825881,0.224385,-0.997931,0.09886,0.037339,0.065609,0.498274,0.028339,0.727194,-0.015028,0.838141,-0.051166,0.795729,0.024828,0.69906,0.013782,0.558619,-0.05,0.784354,0.090974,0.553589,1.005847,0.066431,2
0.983306,-1.24723,-0.298016,1.611995,-0.035068,0.866733,-0.105089,0.166442,-0.000587,-0.226463,-0.178486,-0.480416,-0.08575,-1.274572,-0.041785,-1.665499,0.063429,-1.846735,0.198912,-1.529206,0.181366,-0.590885,0.062771,0.232287,-0.020406,0.462183,0.011047,0.28917,0.008755,0.219397,-0.01931,0.2471,-0.004852,0.143999,0.277995,0.015204,-0.10053,1.962499,0.874399,0.434267,2
1.491989,-2.089762,-0.210674,1.253424,-0.425136,1.049031,-0.109008,-0.734341,-0.111943,-1.046739,-0.107819,-1.411789,0.012915,-1.925833,0.355805,-1.691817,0.22871,0.195415,-0.084242,1.129932,-0.028303,0.694465,-0.035435,0.613289,-0.010288,0.459411,-0.014339,0.317467,0.123106,0.087589,-0.112108,0.793833,-0.058225,0.096482,-0.043698,-0.073327,-0.075742,-0.05315,1.421402,-0.973113,1
1.072464,-1.650989,-0.315519,0.694001,-0.181167,0.146185,-0.11738,-1.121493,-0.108672,-1.232618,-0.063431,-1.718145,0.060655,-1.864157,0.244182,-1.231885,0.179454,0.008062,-0.031154,0.830362,-0.019993,0.725288,0.071367,0.510818,0.026569,0.55988,0.003658,0.586125,0.122046,0.385116,-0.10717,1.078164,-0.089984,0.560678,-0.00442,0.254976,-0.042775,0.333243,1.196746,-0.524754,1
1.275009,-1.468187,-0.663064,2.82546,-0.07638,-0.029506,-0.154731,0.026742,-0.022023,-0.731777,-0.049464,-0.696734,-0.176223,-0.714941,-0.038459,-1.517868,0.068542,-1.768787,0.116972,-1.346835,0.191279,-0.630425,0.044235,0.248213,0.020527,0.539963,-0.034675,0.584307,0.03955,0.496145,-0.048524,0.6162,0.108526,0.592228,-0.089413,0.777708,-0.046178,0.508786,1.124473,-0.362793,2
1.207202,-1.845411,-0.651951,2.948987,-0.006355,-0.191893,-0.151735,-0.032043,-0.122519,-0.619016,-0.2355,-0.997757,-0.096245,-1.891061,0.110591,-1.887047,0.268351,-1.140303,0.047245,0.136806,0.029054,0.430049,-0.022047,0.571818,0.010963,0.445934,0.031717,0.605785,-0.001496,0.66091,-0.009595,0.573722,-0.085918,0.46824,-0.0003,0.387169,0.046115,-0.030887,1.194768,-0.620172,2
1.270774,-1.877469,-0.377242,0.573753,-0.192465,0.01007,-0.119792,-0.925096,-0.116435,-1.219082,-0.086203,-1.62767,0.077027,-1.927049,0.300321,-1.146468,0.161431,0.356574,-0.058061,1.062468,-0.076252,0.941031,0.027496,0.725123,-0.017881,0.696404,-0.078388,0.692458,0.085797,0.406141,-0.088385,0.836982,-0.117678,0.430735,-0.07573,0.239285,-0.057109,0.108072,1.259248,-0.723341,1
1.121919,-1.006957,0.234417,0.727463,-0.495902,0.986158,-0.098692,-0.792104,-0.028606,-1.34339,-0.154997,-1.578931,0.129509,-2.103183,0.337864,-1.125281,0.088537,0.423941,-0.005561,0.66376,0.026124,0.567933,-0.035604,0.583521,-0.03125,0.41475,-0.035756,0.274115,0.033951,0.087687,0.030039,0.399157,-0.05083,0.145612,-0.000623,-0.039045,-0.013463,-0.005523,1.331812,-0.951825,1
1.135996,-1.855687,-0.714458,2.537711,0.046838,0.053802,-0.213592,0.276922,-0.017349,-0.572331,-0.157439,-0.698631,-0.189117,-1.433785,0.100801,-2.412607,0.323538,-1.888767,0.180041,-0.299133,0.032066,0.633323,-0.058156,0.834864,-0.027745,0.570389,0.026516,0.401868,0.068592,0.52558,-0.074789,1.191507,-0.149788,0.72543,-0.100075,0.318111,0.14189,-0.232658,1.233301,-0.701573,1
0.974804,-1.910182,-0.395219,2.385269,-0.048562,0.120487,-0.273697,0.113224,-0.09029,-0.757072,-0.178653,-1.141035,-0.126025,-1.634253,0.044014,-2.014141,0.24997,-1.417492,0.097823,-0.185113,0.037726,0.396021,-0.018979,0.525764,-0.009243,0.574605,0.006997,0.626017,0.044573,0.696023,-0.015351,0.974992,-0.079228,0.753268,-0.022096,0.451124,-0.017095,0.328689,1.147138,-0.421797,1
0.631605,-2.07256,-0.209058,-0.870793,0.025546,-1.596965,0.006664,-1.328553,0.000373,-1.356613,0.127415,-1.503569,0.219968,-0.708834,0.007252,0.446062,-0.08023,0.339243,0.071133,-0.037932,0.047576,0.366698,0.008019,0.68343,0.005635,0.641124,0.13529,0.544434,-0.187188,1.022213,-0.043511,0.3616,0.01484,0.235999,0.000739,0.259096,0.965567,0.707256,0.310873,1.44223,1
1.364331,-1.327504,-0.09079,0.756804,-0.355449,1.06144,-0.09637,-0.625945,-0.09991,-1.039165,-0.064476,-1.419726,0.070133,-1.855619,0.32413,-1.247947,0.173758,0.383483,-0.031931,0.990863,-0.081109,0.855205,-0.005878,0.614465,-0.028315,0.479752,-0.042023,0.318368,0.159374,-0.068184,-0.122601,0.650449,-0.051387,-0.181104,-0.032665,-0.361564,-0.043291,-0.33669,1.478584,-1.478065,1
0.887306,-1.713549,-0.004156,2.268782,-0.509196,1.859621,-0.108567,0.308408,-0.066275,0.097615,-0.070985,-0.252691,-0.112566,-0.550827,-0.175553,-0.847398,-0.108224,-1.50926,0.034865,-1.705123,0.128727,-1.502629,0.141171,-0.702809,0.078628,-0.10788,0.072844,0.287221,-0.006706,0.530656,0.033739,0.649842,-0.055858,0.68266,0.055615,0.406237,-0.018249,0.603017,1.021206,-0.098037,2
1.210567,-0.74715,0.149656,0.763003,-0.41552,1.01365,-0.077467,-0.57214,-0.060935,-1.009422,-0.099258,-1.471253,0.111756,-2.032416,0.366184,-1.257716,0.134323,0.408854,-0.04704,0.821035,-0.004399,0.585494,-0.025519,0.521238,-0.032885,0.386396,-0.016092,0.10845,0.003375,0.016386,0.002505,0.325075,-0.098173,0.056058,-0.001249,-0.337792,-0.003561,-0.288193,1.349717,-1.169141,1
