@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute destClass {2,1}

@data
-0.079012,1.01983,0.099313,-2.096648,0.021897,0.472982,2
-0.023462,-0.56885,-0.0151,1.007893,0.029051,-0.229507,1
-0.07352,0.87038,0.110068,-2.201475,0.017067,0.54199,2
-0.074465,1.283416,0.091252,-2.159351,0.058517,-0.243822,2
-0.106052,1.231069,0.051406,-0.585203,0.005545,0.1861,1
-0.08733,0.583536,0.056282,-0.629548,0.004699,0.523607,1
-0.082405,1.318139,0.088207,-2.030874,0.017356,0.407123,2
-0.102261,1.358437,0.087627,-1.605764,0.000609,0.523965,2
-0.086447,0.562238,0.051046,-0.392467,0.001436,0.42354,1
-0.125228,1.542573,0.037047,-0.336883,0.012763,0.049796,1
-0.076967,1.067169,0.108276,-2.066654,-0.003238,0.601041,1
-0.089284,1.085262,0.096512,-1.8515,0.002828,0.664005,1
0.00491,-1.267709,0.017331,0.131436,0.044269,0.156063,1
-0.110326,1.410599,0.041596,-0.33038,-0.004198,0.121441,1
-0.058402,1.300747,0.050703,-1.792091,0.021549,0.336607,2
-0.126593,1.756028,0.03478,-0.31002,0.007205,-0.052495,1
-0.105809,1.105878,0.039675,-0.238618,0.002771,0.190782,1
-0.111194,1.425921,0.049709,-0.495391,-0.008023,0.215916,1
-0.083474,0.616478,0.054817,-0.946392,0.043043,0.182774,2
-0.083527,1.227238,0.088251,-2.031917,0.031704,0.297338,2
-0.033963,-0.698572,0.032257,-0.02369,0.014098,0.591553,1
-0.093154,0.63932,0.051784,-0.637681,0.023692,0.351144,1
-0.095462,1.0875,0.061488,-0.778369,-0.000314,0.283356,1
-0.058593,0.29208,-0.05425,1.447028,0.01973,-0.200478,2
-0.108384,1.144335,0.050142,-0.478913,0.006878,0.204807,1
-0.043589,-0.440759,-0.009368,0.686299,0.037016,0.082968,1
-0.126757,1.497047,0.044624,-0.507141,0.01033,0.210655,1
-0.045582,0.384593,0.062171,-1.540775,0.082243,-0.319294,2
-0.084397,0.443232,0.058164,-0.565453,0.014735,0.366847,1
-0.101554,1.043562,0.054823,-0.554219,0.005028,0.225953,1
-0.087978,0.680084,0.045743,-0.303316,0.007002,0.237158,1
-0.107032,1.244353,0.042275,-0.315884,-0.004594,0.218908,1
-0.123315,1.522651,0.033488,-0.244365,0.004686,0.127684,1
-0.099144,0.957355,0.049446,-0.496023,0.005958,0.288892,1
-0.105692,1.424144,0.060901,-0.765218,-0.001317,0.11656,1
-0.051773,-0.044636,-0.00181,0.681033,0.046458,-0.455388,2
-0.049834,-0.149541,-0.00887,0.700233,0.02675,0.022908,1
-0.11893,1.610814,0.054578,-0.735191,0.001755,0.16803,1
-0.066378,0.681986,0.089662,-1.97313,0.038851,0.380873,1
-0.098848,0.941883,0.048136,-0.447479,0.010407,0.202725,1
-0.09066,1.314434,0.0929,-1.960311,0.009932,0.51186,1
-0.058098,0.761393,0.100512,-2.168531,-0.006286,0.885207,1
-0.096237,0.765684,0.050222,-0.498283,0.012277,0.330268,1
-0.068849,1.066343,0.092896,-2.217723,0.014889,0.596672,2
-0.067261,0.012852,0.021388,0.147322,0.013556,0.418474,2
-0.107203,1.300194,0.055951,-0.615265,0.000007,0.175597,1
-0.127165,1.623117,-0.013132,0.524481,0.019157,-0.159856,2
-0.0702,1.114128,0.064835,-1.67947,0.082299,-0.567231,2
-0.116897,1.471476,0.053883,-0.64638,0.006987,0.117052,1
-0.088886,0.637723,-0.013676,0.54097,0.026725,0.099384,2
