@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute slope11 numeric
@attribute intercept11 numeric
@attribute slope12 numeric
@attribute intercept12 numeric
@attribute slope13 numeric
@attribute intercept13 numeric
@attribute slope14 numeric
@attribute intercept14 numeric
@attribute slope15 numeric
@attribute intercept15 numeric
@attribute slope16 numeric
@attribute intercept16 numeric
@attribute slope17 numeric
@attribute intercept17 numeric
@attribute slope18 numeric
@attribute intercept18 numeric
@attribute slope19 numeric
@attribute intercept19 numeric
@attribute slope20 numeric
@attribute intercept20 numeric
@attribute slope21 numeric
@attribute intercept21 numeric
@attribute slope22 numeric
@attribute intercept22 numeric
@attribute slope23 numeric
@attribute intercept23 numeric
@attribute slope24 numeric
@attribute intercept24 numeric
@attribute slope25 numeric
@attribute intercept25 numeric
@attribute slope26 numeric
@attribute intercept26 numeric
@attribute slope27 numeric
@attribute intercept27 numeric
@attribute slope28 numeric
@attribute intercept28 numeric
@attribute slope29 numeric
@attribute intercept29 numeric
@attribute slope30 numeric
@attribute intercept30 numeric
@attribute slope31 numeric
@attribute intercept31 numeric
@attribute slope32 numeric
@attribute intercept32 numeric
@attribute slope33 numeric
@attribute intercept33 numeric
@attribute slope34 numeric
@attribute intercept34 numeric
@attribute slope35 numeric
@attribute intercept35 numeric
@attribute slope36 numeric
@attribute intercept36 numeric
@attribute slope37 numeric
@attribute intercept37 numeric
@attribute slope38 numeric
@attribute intercept38 numeric
@attribute slope39 numeric
@attribute intercept39 numeric
@attribute slope40 numeric
@attribute intercept40 numeric
@attribute slope41 numeric
@attribute intercept41 numeric
@attribute slope42 numeric
@attribute intercept42 numeric
@attribute slope43 numeric
@attribute intercept43 numeric
@attribute slope44 numeric
@attribute intercept44 numeric
@attribute slope45 numeric
@attribute intercept45 numeric
@attribute slope46 numeric
@attribute intercept46 numeric
@attribute slope47 numeric
@attribute intercept47 numeric
@attribute slope48 numeric
@attribute intercept48 numeric
@attribute destClass {-1,1}

@data
1.778307,-2.435051,0.707066,0.722195,-0.344875,2.281149,-0.460045,1.46889,-0.677062,0.380282,0.258284,-0.513929,-0.180624,-0.107203,0.098846,-0.418009,-0.089979,-0.260379,-0.205401,-0.505486,-0.075782,-0.82392,-0.075881,-1.15395,-0.15794,-1.044091,0.262087,-1.392195,-0.469405,-1.179867,0.118205,-1.726575,0.01213,-1.662802,-0.141387,-1.697309,0.02206,-1.802596,0.180403,-1.825166,0.031615,-1.42381,0.160237,-1.360416,0.232717,-0.918632,0.155222,-0.667943,0.165645,-0.101691,0.154993,0.082614,-0.051588,0.174793,0.180476,0.503394,0.057802,0.474995,-0.05913,0.72355,0.109118,0.647936,-0.111857,0.732072,0.071653,0.606297,-0.090276,0.689084,0.039161,0.542647,0.033789,0.630631,-0.028935,0.686318,0.070849,0.650889,-0.048226,0.739706,0.054885,0.695229,0.062174,0.853845,0.053156,0.82775,-0.157788,1.088831,0.028596,0.610298,-0.101441,0.684679,0.068063,0.640522,0.008805,0.705011,3.760805,0.433765,-1
1.90883,-2.596749,-0.170242,0.382712,0.370399,-0.273728,-0.860342,-0.746121,0.123422,-1.177129,0.441863,-1.126414,-0.91368,-0.797078,0.615939,-1.646465,-0.357806,-1.420971,-0.772253,-1.022967,0.706735,-1.789936,0.537266,-1.571145,0.091219,-2.125678,-1.083036,-0.054773,0.751509,-0.702751,0.999739,-0.474782,0.434294,0.244425,-0.354857,0.926896,-0.18791,1.229303,-0.289084,1.577235,0.2266,0.749165,0.387548,1.139462,-0.080761,0.846137,0.517917,0.564695,-0.553188,1.055409,-0.498103,0.951535,-0.348559,1.19673,0.767315,-0.137311,-0.17865,0.692834,-0.00351,0.558255,-0.080713,0.468897,0.192088,0.342582,-0.24338,0.899059,0.262044,0.6888,-0.714048,0.546818,-0.187648,0.011641,0.052766,-0.277026,0.871065,-0.908791,-1.118372,0.071657,0.249087,-0.634828,-0.20873,-0.506377,0.003309,-0.462709,0.23682,-0.769137,0.575173,-0.399305,1.324037,1.109701,-0.996859,2.729612,-1.299357,0.036915,4.402051,-0.207482,1
1.628825,-2.447027,0.653858,0.383608,-0.06184,1.759557,-0.443971,1.612159,-0.52232,0.499957,0.117046,-0.235318,-0.251959,-0.071027,0.114902,-0.433562,-0.122078,-0.295655,-0.19936,-0.68248,-0.040331,-0.84332,-0.025247,-1.030018,-0.195354,-1.168637,0.076317,-1.337611,-0.224722,-1.409782,0.026213,-1.703238,-0.214244,-1.782628,0.118491,-2.056372,-0.036015,-1.879412,0.187372,-1.845507,0.116057,-1.509483,0.20852,-1.232868,0.257346,-0.76864,0.177602,-0.309564,0.107105,0.035054,0.117884,0.225807,0.040979,0.428589,0.105884,0.569782,0.032675,0.699885,-0.033536,0.771665,0.083176,0.7237,-0.023193,0.878985,-0.013883,0.806384,-0.021876,0.803814,0.035521,0.700439,-0.156492,0.864162,0.141389,0.458756,-0.025102,0.825136,-0.007378,0.762821,-0.127325,0.653766,0.097607,0.477339,0.02399,0.698425,-0.007369,0.771598,-0.057721,0.610621,0.037216,0.566786,0.035278,0.777068,0.069194,0.748848,3.655223,0.539347,-1
2.545176,-2.468401,0.094453,1.677425,-0.843511,1.302842,0.335767,0.516412,-0.167974,0.989227,0.166642,0.576448,-0.545512,0.85297,0.068191,-0.130391,-0.132091,-0.100727,0.019709,-0.234465,0.002861,-0.230413,-0.232476,-0.231002,-0.06367,-0.724215,-0.237985,-0.986687,-0.076006,-1.288142,-0.073546,-1.428221,-0.057752,-1.648084,-0.018929,-1.68679,-0.09163,-1.777683,0.120659,-1.858376,0.001043,-1.729149,0.086935,-1.546037,0.247324,-1.410752,0.191208,-0.907419,0.139237,-0.581763,0.180584,-0.207046,0.1036,0.117036,0.14074,0.264315,-0.030812,0.464974,-0.047419,0.486807,0.043538,0.369611,-0.079131,0.397895,0.025146,0.263717,-0.031507,0.358244,-0.024798,0.229215,0.018246,0.244386,-0.016382,0.243885,-0.012826,0.245785,0.006927,0.164611,-0.067549,0.16669,-0.013522,0.146937,0.077419,0.125294,0.232597,0.186409,0.600059,0.723888,-0.389891,2.136487,0.423292,1.47022,-0.456543,1.256949,3.46303,0.73154,-1
1.882837,-2.421265,-0.258812,2.992991,-0.708632,0.520018,0.152824,0.779991,0.304467,0.700643,-0.764823,0.39529,0.00911,-0.737713,0.035946,-0.906304,-0.137622,-1.059449,-0.290643,-0.980902,0.010673,-1.286415,0.192924,-1.538518,-0.228004,-1.534037,-0.120443,-1.687508,-0.130449,-1.862427,-0.035872,-1.888323,0.171651,-1.832191,0.330906,-1.341497,0.456164,-0.672284,0.508777,0.052675,0.245834,0.700122,0.022525,1.003976,-0.222615,1.19048,-0.065069,0.843735,-0.070524,0.743142,0.157134,0.504688,-0.061545,0.607025,-0.144033,0.686416,0.032609,0.452604,0.098389,0.440146,0.007738,0.3691,-0.148537,0.469555,-0.07419,0.325081,0.006584,0.270186,-0.034187,0.154886,0.147429,0.325961,0.103374,0.59407,-0.251397,0.825914,-0.051186,0.400698,-0.181102,0.147774,0.234408,-0.114318,0.068816,-0.220062,-0.020406,-0.077528,-0.203273,-0.136819,0.009136,-0.089515,-0.112023,-0.192568,0.76848,-0.454313,3.613035,0.581534,1
2.145777,-2.590391,-0.529325,2.28023,-1.865435,0.472849,1.07591,-0.645269,-0.537498,0.132006,-0.350903,0.229844,-0.327184,-0.916044,0.157634,-1.344536,-0.989784,-1.008406,0.349989,-1.323261,0.37484,-1.858292,-0.340438,-1.611529,0.181659,-1.695809,-0.278783,-1.892161,0.097217,-1.867438,-0.264419,-1.663398,0.3379,-1.485367,0.303554,-1.075099,0.314058,-0.518775,0.324722,-0.026588,0.506008,0.193702,0.18137,0.669894,0.221423,0.674841,-0.122042,0.769972,0.031343,0.636915,-0.602637,1.034384,-0.127775,0.655204,0.464934,0.560391,1.19399,-0.019686,-0.676513,0.845399,-0.038059,0.671432,-0.107741,0.746003,-0.159174,0.589552,-0.121731,0.715371,0.025006,0.457107,-0.164442,0.653763,-0.137324,1.063733,0.372074,0.936258,-0.009617,0.578871,-0.076231,0.521208,-0.56932,0.618833,0.148632,0.26902,0.439542,-0.064216,-0.051985,0.276952,0.248543,0.158575,-0.566167,0.538399,0.143073,0.202832,3.856421,0.338149,1
2.523153,-2.449016,0.149298,2.494912,-0.750989,2.276355,-0.572149,0.760597,-0.020472,-0.029051,-0.164186,-0.209964,0.153621,-0.248638,-0.021937,-0.099479,-0.380586,-0.358549,0.078711,-0.787652,0.018698,-0.759756,-0.137199,-0.881707,0.222389,-0.581383,-0.17059,-0.924218,-0.12376,-0.661364,-0.046347,-1.288157,-0.234352,-1.267791,0.106009,-1.639972,-0.164137,-1.566857,0.051172,-1.719666,0.08822,-1.735507,0.077953,-1.387559,0.219262,-1.319654,-0.033884,-0.900458,0.447689,-0.765193,0.003181,-0.12712,0.194008,0.094418,0.028385,0.261347,0.02936,0.407278,0.121559,0.449308,-0.03847,0.711178,0.00372,0.501022,-0.074753,0.644095,0.043848,0.406378,-0.014759,0.517524,0.062759,0.571933,0.053772,0.649309,-0.232494,0.587693,0.167863,0.390963,0.081567,0.611008,0.10244,0.794446,-0.112367,1.051482,-0.10843,0.555741,-0.077041,0.564641,0.128763,0.421003,-0.223619,0.505463,0.179544,0.346831,3.96668,0.22789,-1
2.05659,-2.49575,0.559442,1.762176,-0.721039,2.438696,-0.751958,1.009309,0.085977,-0.221559,-0.115703,-0.191269,0.069635,-0.167641,-0.26714,-0.05626,0.060462,-0.630181,-0.040916,-0.709407,-0.306774,-0.673327,0.025733,-1.207114,-0.273091,-1.026397,0.021246,-1.928882,-0.121787,-1.868825,-0.391016,-2.011636,0.482217,-2.144032,0.067085,-1.939357,0.253497,-1.554691,0.037174,-1.016451,0.402883,-0.706255,0.182319,-0.012646,0.158951,0.09133,-0.129336,0.387265,0.08822,0.429292,0.107307,0.404675,-0.055436,0.577329,0.049577,0.552562,-0.134323,0.548175,0.144624,0.374041,-0.136241,0.551018,0.114635,0.480801,0.153232,0.568737,-0.226302,0.843128,0.168282,0.608018,-0.017301,0.616821,-0.158199,0.688926,0.115199,0.544621,-0.092221,0.564855,-0.047711,0.454204,-0.16025,0.315726,0.204268,0.150124,0.015937,0.378693,-0.246434,0.525782,0.097202,-0.069658,-0.110793,0.153025,0.161882,0.134269,4.131638,0.062932,-1
2.111205,-2.604248,-0.487098,2.62649,-1.356897,-0.238924,0.514587,-0.601074,-0.329026,0.02649,0.093159,-0.371819,-0.014589,-0.947771,-0.247979,-0.953152,-0.031311,-1.337723,-0.24463,-1.171764,0.25034,-1.556423,0.113034,-1.809092,-0.496523,-1.501476,-0.096704,-1.854072,-0.450009,-1.713602,-0.139428,-1.671851,0.506722,-1.504634,0.534085,-1.04803,0.426439,-0.297842,0.094997,0.378692,0.428277,0.60531,0.135029,0.905896,0.220562,0.918135,-0.06317,0.848572,-0.234506,1.013906,-0.144533,0.7995,-0.018248,0.694862,-0.246141,0.899812,0.044576,0.812948,-0.043156,0.682151,-0.231214,0.790284,0.137842,0.632707,0.214735,0.418857,-0.214085,0.534749,0.093577,0.481629,0.399071,0.28939,-0.098886,0.853987,-0.136002,0.858509,0.074891,0.445025,-0.591857,0.595965,0.169343,0.18835,0.481958,-0.169215,-0.171791,0.125718,-0.15241,0.099576,-0.056962,0.118795,0.029116,-0.060054,0.226191,0.001067,3.955342,0.239227,1
2.930221,-2.430772,-0.897659,2.699576,0.91262,0.724603,0.316452,1.291754,-1.244927,1.393816,-0.119477,-0.333296,-0.043414,-0.78486,-0.146828,-0.826314,0.019549,-1.169626,-0.162713,-1.256989,0.018793,-1.483896,-0.226159,-1.377316,0.014103,-1.774752,-0.146094,-2.079827,-0.150957,-1.956888,0.093695,-1.893114,0.415899,-1.463555,0.404208,-0.894873,0.220625,-0.017597,0.39593,0.278354,0.025362,0.654382,0.001112,0.718309,-0.1199,0.655295,0.017816,0.66763,0.001803,0.558384,0.04973,0.658916,0.015769,0.614776,-0.166596,0.566747,0.051226,0.456447,-0.011262,0.411232,-0.093911,0.361358,-0.059021,0.321243,0.030848,0.225377,-0.023047,0.146118,0.090262,0.10533,0.016241,0.064012,-0.040298,0.332754,0.298696,0.382067,-0.287915,0.6144,-0.069222,0.165092,-0.054394,0.018077,0.016546,-0.022964,-0.139949,-0.014605,0.010292,-0.018085,-0.031939,0.005067,0.015835,-0.048452,0.269905,-0.214203,4.04707,0.147499,1
