@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute destClass {-1,1}

@data
-0.048947,0.794185,-0.064007,-0.726374,0.135588,-1.730901,-0.000511,0.667381,0.042999,0.536619,-1
-0.071628,-0.138653,0.162069,-2.017665,-0.041192,1.252464,-0.057594,0.775227,0.150644,-1.090974,1
-0.029572,0.538922,-0.071823,-0.742746,0.144486,-1.675736,-0.005003,0.803702,0.060057,0.310495,-1
-0.038959,0.992161,-0.101847,-0.097494,0.141758,-2.027097,-0.013829,0.425435,0.133179,-0.254965,-1
-0.104799,1.238763,0.013493,-1.572751,-0.011095,0.804044,0.010374,0.317461,0.063862,-0.39502,1
-0.102687,0.721655,0.043753,-1.860989,0.017608,0.451196,0.019929,0.501071,0.050752,0.062247,1
-0.10283,1.505933,-0.055593,-0.530281,0.13359,-1.933052,-0.003351,0.577157,0.033598,0.468844,-1
-0.079802,1.176611,-0.061939,-0.932134,0.073476,-0.537127,0.008022,0.521228,0.045542,0.04952,-1
-0.098034,0.667271,0.054234,-1.907931,0.003532,0.76505,0.000715,0.606799,0.049783,-0.096065,1
-0.136685,1.65802,0.058739,-1.953833,-0.004507,0.639352,0.005357,0.242414,0.057962,-0.28874,1
-0.046188,0.819364,-0.109416,-0.37144,0.129685,-1.173188,0.034473,0.344479,0.029463,0.164604,1
-0.052376,0.803433,-0.06831,-0.913154,0.093426,-0.87448,0.027461,0.479047,0.035959,0.320934,1
-0.026518,-0.987914,0.126187,-1.802012,0.036781,0.011685,-0.023645,0.829615,0.14497,-0.298543,1
-0.117046,1.488995,0.036375,-1.621233,-0.010808,0.841105,-0.000126,0.333294,0.054845,-0.596025,1
-0.020983,1.012848,-0.079179,0.151183,0.083894,-2.053681,0.044178,0.017368,0.052756,0.271484,-1
-0.138893,1.867439,0.036333,-1.628987,-0.013652,0.742529,-0.002214,0.204711,0.054461,-0.485706,1
-0.116056,1.201353,0.051977,-1.835576,-0.014708,0.913291,-0.001525,0.425908,0.050893,-0.313982,1
-0.107967,1.419112,0.024285,-1.557482,-0.001057,0.687558,-0.015273,0.546569,0.04917,-0.520604,1
-0.129743,0.996497,0.020462,-1.55055,0.02858,-0.105325,0.012608,0.456601,0.132672,-0.200916,-1
-0.072153,1.137362,-0.081665,-0.479992,0.121643,-1.651483,0.020548,0.273793,0.04819,0.537877,-1
-0.012356,-0.818069,0.134829,-2.40471,0.004157,0.490571,-0.040256,1.181421,0.072082,0.204323,1
-0.097512,0.686382,0.042523,-1.94986,0.004393,0.510966,0.022965,0.344717,0.048824,0.370345,1
-0.08026,0.972504,-0.008729,-1.308438,0.020159,0.447268,0.013664,0.384299,0.061703,-0.429662,1
-0.182981,1.381603,0.237272,-2.456491,-0.055093,0.970971,-0.000439,-0.013032,0.043837,-0.198028,-1
-0.101463,1.100775,0.037516,-1.820889,-0.004944,0.770889,-0.007619,0.497835,0.050763,-0.18897,1
