@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute destClass {1,2}

@data
0.005711,-0.398969,1
0.004806,-0.336999,1
0.002864,-0.203991,2
0.006972,-0.485362,2
0.002968,-0.21112,1
0.003516,-0.248616,2
0.016235,-1.119874,2
0.003451,-0.244152,1
0.002472,-0.177156,2
0.002981,-0.211977,1
0.006362,-0.443591,1
0.00409,-0.287964,1
0.004678,-0.328251,1
0.002776,-0.197968,2
0.0045,-0.31603,2
-0.001862,0.119748,2
0.005894,-0.411534,1
0.001274,-0.09505,1
0.0083,-0.576309,1
0.004965,-0.34789,1
0.00636,-0.443473,1
0.004756,-0.333601,2
0.006431,-0.448328,1
0.004689,-0.328965,2
0.006801,-0.473628,2
0.007279,-0.506394,2
0.004243,-0.29846,2
0.006503,-0.453244,1
0.00511,-0.357825,1
0.006409,-0.446774,2
0.01147,-0.793487,1
0.005104,-0.357413,1
0.003831,-0.270191,1
-0.002285,0.148761,2
0.011258,-0.778956,2
0.004727,-0.33156,2
0.004884,-0.342369,2
0.006614,-0.460879,2
0.004618,-0.32412,1
0.005585,-0.390351,2
0.007453,-0.518303,1
0.006583,-0.458728,1
-0.000704,0.040441,1
0.006836,-0.476078,2
0.007788,-0.541242,1
0.006132,-0.427839,2
0.006286,-0.438403,1
0.014672,-1.012814,1
0.003483,-0.246405,1
0.005048,-0.353574,2
0.003649,-0.25772,1
0.00471,-0.330448,2
0.010215,-0.707497,2
0.003636,-0.256865,2
0.008955,-0.621208,2
0.006615,-0.460928,2
0.008844,-0.613597,1
0.004718,-0.331007,2
0.00055,-0.045476,1
0.008619,-0.598219,2
0.004451,-0.312668,2
0.003153,-0.223748,2
0.007861,-0.546253,2
0.008221,-0.570907,2
0.01079,-0.746908,1
0.00538,-0.376313,2
-0.000315,0.013798,2
0.006824,-0.475239,2
0.007141,-0.496945,2
0.007,-0.487321,1
0.003401,-0.240776,1
0.004741,-0.332557,1
0.004067,-0.286383,1
0.004317,-0.303517,2
0.003902,-0.275057,2
0.007211,-0.50171,2
0.003838,-0.270678,1
0.000237,-0.02404,1
0.007712,-0.536075,2
0.005376,-0.376076,2
0.005562,-0.388754,2
0.001032,-0.078514,1
0.009077,-0.62959,1
0.00624,-0.435227,2
0.005419,-0.378983,2
0.009032,-0.626485,1
0.001513,-0.111458,1
0.008577,-0.595348,1
0.003868,-0.272753,1
0.008309,-0.576939,1
0.011071,-0.766135,1
-0.00044,0.022363,2
0.004979,-0.348823,2
0.004403,-0.309403,1
0.005337,-0.373394,1
0.004564,-0.3204,1
0.006175,-0.430787,2
0.007097,-0.493904,2
0.002772,-0.197661,1
0.010091,-0.699027,2
0.005611,-0.392153,2
0.007059,-0.491356,1
0.005313,-0.3717,2
0.006648,-0.463146,1
0.005125,-0.358877,2
0.007535,-0.523921,2
0.006178,-0.430959,2
0.000579,-0.047473,2
0.009847,-0.682306,2
0.005041,-0.353122,1
0.004375,-0.307449,1
