@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute destClass {1,2}

@data
0.198471,-1.821029,-0.001292,-0.072951,-0.017072,0.125923,-0.135477,0.638561,0.21984,-2.054523,0.096698,0.068366,-0.059349,0.633634,-0.013644,0.169147,0.002972,-0.054948,0.202992,-0.789965,1
0.198927,-1.777194,-0.005487,-0.020088,0.002466,-0.061581,0.088339,-0.567308,0.338221,-3.499568,0.157572,-0.183962,-0.294567,3.171622,-0.002573,-0.110417,-0.01253,-0.215477,0.209206,-1.144561,1
0.174292,-1.209451,-0.009715,0.314802,-0.004187,0.186366,0.019203,-0.194921,0.22515,-3.139033,0.082255,-0.09732,-0.142214,1.472336,0.007858,-0.05281,-0.000722,-0.03963,0.185224,-0.689307,2
0.199795,-2.176115,0.01946,-0.307988,-0.002147,0.098365,-0.33943,1.512816,0.262494,-1.93399,0.106996,0.609025,-0.046808,0.61637,-0.01164,0.170351,-0.010962,-0.012044,0.174661,-0.854168,2
0.203638,-1.590312,-0.006593,0.219612,-0.029292,0.227838,-0.163522,0.624018,0.376299,-3.428805,0.118472,0.019,-0.218819,2.206087,-0.006369,-0.054504,-0.009441,-0.17959,0.205383,-1.081705,1
0.198041,-1.614614,-0.005049,0.09026,-0.032891,0.276304,-0.333001,1.3265,0.099175,-0.857785,0.01051,0.936009,-0.006609,0.065628,-0.014088,0.048675,0.008833,-0.160709,0.16522,-0.670737,2
0.19599,-2.208677,0.002988,-0.443058,-0.01454,-0.286489,0.024926,-0.466034,0.439825,-4.388076,0.119235,-0.058149,-0.086475,1.154609,0.017127,0.403031,0.003781,0.630241,0.164285,0.162042,2
0.201475,-1.705394,-0.001945,0.053297,0.017127,-0.041462,0.039278,-0.335501,0.112329,-1.833551,0.10371,-0.169674,-0.216088,2.544872,0.001699,-0.100846,-0.017607,-0.156105,0.208277,-1.163261,1
0.202392,-1.629453,-0.004937,0.125739,-0.016284,0.244374,-0.210364,1.0051,0.239939,-2.200124,0.064973,0.57305,-0.024316,0.209068,-0.015743,0.035529,-0.011393,-0.168816,0.180544,-0.815791,2
0.206241,-1.648921,-0.0009,0.153253,-0.019323,0.18783,-0.026109,0.095285,0.455762,-4.269322,0.103282,0.061471,-0.224185,2.364159,-0.00573,-0.058786,-0.009925,-0.213817,0.205939,-1.113586,1
0.193358,-1.820075,-0.006391,-0.108771,-0.004459,-0.138183,0.003497,-0.258525,0.335348,-3.273701,0.201497,-0.257545,-0.316589,3.284955,-0.003912,-0.054115,-0.010228,-0.179255,0.206895,-1.071937,1
0.194632,-1.71444,-0.006606,0.03627,-0.0158,0.047818,-0.220686,0.704819,0.19089,-1.73793,0.226724,-0.125032,-0.217473,2.054326,-0.018153,-0.011519,-0.007867,-0.267652,0.208276,-1.149148,1
0.1978,-1.811811,-0.004515,-0.055229,-0.020518,0.02061,-0.282354,0.739916,0.072273,-0.529405,0.25305,0.174521,-0.153992,1.364245,-0.014693,-0.06333,-0.007902,-0.290073,0.209193,-1.156887,1
0.166073,-1.283117,-0.009839,0.129667,0.010112,0.000312,0.000687,-0.127205,0.12587,-2.150404,0.191341,-0.366086,-0.244124,2.354451,-0.003263,-0.133378,-0.006566,-0.234266,0.221539,-1.09929,2
0.198434,-1.659372,-0.006554,0.056707,-0.024795,0.164481,-0.352554,1.205469,0.127873,-1.034098,0.042665,1.174271,-0.015025,0.085562,-0.009163,-0.039475,0.003936,-0.176293,0.176124,-0.662899,2
0.208122,-1.271861,-0.009678,0.534119,-0.036275,0.531143,-0.396302,1.64367,0.195175,-1.64088,0.083831,0.431579,-0.033611,0.107994,-0.008866,-0.168515,-0.002601,-0.344771,0.177268,-0.982806,2
0.198564,-1.886245,-0.001502,-0.136522,-0.015601,-0.049204,-0.266993,0.746017,0.119534,-0.998618,0.256198,-0.021022,-0.210655,1.987878,-0.011932,-0.030608,-0.008463,-0.235107,0.207535,-1.097118,1
0.201825,-1.609019,-0.002803,0.127009,-0.028773,0.325452,-0.213403,1.10188,0.140828,-1.239038,0.086,0.200108,-0.048142,0.367379,-0.015434,-0.019188,-0.011525,-0.201741,0.211061,-1.116092,1
0.16592,-1.661997,-0.000762,-0.201546,0.025628,-0.297642,0.026033,-0.434127,0.074718,-1.611736,0.098037,-0.175239,-0.191443,2.491325,0.008225,0.039083,-0.006398,0.05514,0.19888,-0.742889,1
0.196478,-1.817387,-0.004092,-0.065624,-0.015567,0.049798,-0.213685,0.804397,0.175179,-1.573109,0.189311,-0.004802,-0.152767,1.488373,-0.013007,0.032376,-0.02085,-0.079181,0.209269,-1.097455,1
0.190719,-1.815825,-0.00427,-0.121747,0.000575,-0.140118,0.064662,-0.513048,0.343536,-3.451608,0.17302,-0.22961,-0.311872,3.356525,-0.005642,-0.021625,-0.010876,-0.179807,0.206386,-1.068052,1
0.203269,-1.614959,-0.006226,0.122074,0.002294,0.055676,0.178808,-0.866544,0.396543,-4.247677,0.131654,-0.144692,-0.076228,0.700849,-0.004271,0.063462,-0.001864,-0.020179,0.207271,-0.687739,2
0.19932,-1.975626,0.002338,-0.198202,-0.012415,-0.000044,-0.134554,0.486675,0.246286,-2.221954,0.184102,-0.024396,-0.178617,1.823959,-0.01572,0.131265,-0.012274,-0.126958,0.207199,-1.029963,1
