@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute slope11 numeric
@attribute intercept11 numeric
@attribute slope12 numeric
@attribute intercept12 numeric
@attribute slope13 numeric
@attribute intercept13 numeric
@attribute slope14 numeric
@attribute intercept14 numeric
@attribute slope15 numeric
@attribute intercept15 numeric
@attribute slope16 numeric
@attribute intercept16 numeric
@attribute slope17 numeric
@attribute intercept17 numeric
@attribute slope18 numeric
@attribute intercept18 numeric
@attribute slope19 numeric
@attribute intercept19 numeric
@attribute slope20 numeric
@attribute intercept20 numeric
@attribute destClass {1,2}

@data
0.755894,-3.288024,0.00028,-0.042437,0.003639,-0.086108,-0.003359,-0.07743,0.065228,-0.121941,-0.101061,0.259346,0.017077,-0.291029,-1.113907,3.097442,0.639677,-3.186794,0.022676,-0.051395,0.082304,0.085499,0.065507,0.86487,-0.15481,0.906582,0.012598,0.015792,-0.002799,0.142608,-0.013997,0.068702,0.005879,-0.061473,0,-0.032638,-0.003135,-0.042343,0.869592,-1.18769,1
0.76486,-3.270104,-0.00845,0.032537,-0.007867,-0.011754,-0.00102,-0.07309,0.010053,-0.108057,-0.046622,0.126654,-0.010636,-0.212081,0.289345,-0.610258,0.512837,-4.092011,0.043562,-0.179446,0.065416,0.107568,0.276087,0.548433,-0.233399,3.114802,-0.134037,0.501374,0.010198,-0.152201,-0.021417,-0.068428,-0.015589,-0.207127,-0.009324,-0.30984,-0.005361,-0.365009,0.917595,-1.615198,1
0.686068,-2.553463,-0.002681,0.350195,-0.022456,0.347849,-0.006033,0.240931,-0.010725,0.193337,-0.019775,0.216464,0.033517,-0.235677,0.008714,-0.031225,-0.778594,-0.68983,0.245343,-1.06153,0.017094,0.097814,0.146803,0.285173,-0.191381,1.655003,-0.031506,0.109545,0.035863,-0.136803,-0.02011,0.086083,-0.006368,-0.03022,-0.005698,-0.018824,0.056308,-0.128424,0.784449,-1.054857,2
0.71852,-3.547527,0.004407,-0.376155,0.011386,-0.291314,0.014324,-0.148811,0.039666,-0.039731,-0.06611,0.287879,0.012855,0.162638,-1.20503,2.026928,0.716921,-3.173324,0.024975,0.492084,0.102103,0.567743,0.013956,1.693074,-0.13479,0.862665,0.010284,0.135092,-0.004775,0.152354,-0.013956,0.093223,-0.015793,0.003241,0.016527,-0.143669,-0.129869,0.067024,0.93634,-1.67064,2
0.783214,-3.114785,-0.000995,0.234803,0.002985,0.189692,-0.018243,0.209594,0.026868,0.054359,-0.094202,0.222531,0.005971,-0.074008,-0.664723,1.172515,1.002724,-5.156621,0.014926,0.137947,0.049091,0.238452,0.207643,0.569487,-0.293221,2.479406,-0.05672,0.137947,0.00199,-0.079315,-0.014263,-0.075666,-0.015922,-0.167547,-0.020234,-0.211663,-0.011941,-0.295803,0.900432,-1.542021,1
0.779853,-3.152033,-0.019742,0.217006,0.001087,0.080624,0.004166,0.018501,0.038035,0.095114,-0.04854,0.061426,0.034231,-0.229631,-1.495492,2.9374,0.241249,-1.232482,0.047272,-0.05938,0.192347,0.360995,-0.222956,1.739485,-0.039846,0.155607,0.009599,-0.019534,-0.01612,0.054,-0.013403,-0.05123,-0.003985,-0.115708,0.047091,-0.201558,-0.097224,0.181447,0.901177,-1.510832,2
0.716034,-3.582114,0.002665,-0.443472,-0.00533,-0.418305,0.010955,-0.445841,0.017765,-0.42245,-0.115177,-0.047312,0.035826,-0.505058,0.002961,-0.219337,0.817191,-5.5293,0.046485,-0.120149,0.062178,0.109908,0.17084,0.624797,-0.223839,1.541176,0.006218,0.296737,0.024279,0.382305,0.011251,0.539821,-0.004145,0.65707,0.013324,0.62006,0.061585,0.675822,0.719757,-0.249823,2
0.774138,-3.217908,-0.011605,0.138692,-0.004202,0.06126,0.002401,0.025446,0,-0.014571,-0.008604,0.180109,-0.021809,-0.117212,0.161666,-0.462753,-0.824536,0.427809,0.088036,-0.425138,0.044618,0.018043,0.181074,0.313763,-0.02521,2.087485,-0.205284,0.884595,0.013205,-0.140622,-0.019008,-0.021573,-0.014206,-0.163231,-0.015206,-0.289082,-0.011205,-0.369915,0.927156,-1.669243,1
0.793103,-3.188667,-0.015708,0.228666,-0.006171,0.129741,-0.003179,0.085609,0.050865,0.049143,-0.072557,0.292995,0.01122,-0.095223,-1.194198,2.919633,0.676201,-3.368516,0.049369,-0.089239,0.16531,0.222682,-0.121739,1.637356,-0.077232,0.35938,0.013838,-0.067172,-0.012155,0.031752,-0.007106,-0.107565,-0.008415,-0.174699,-0.000748,-0.272501,0,-0.080761,0.88603,-1.514862,2
0.786924,-3.178273,-0.002225,0.207471,0.00286,0.14391,-0.001271,0.146134,0.016526,0.054606,-0.100109,0.320609,0.00286,-0.05313,-0.162716,0.383852,1.051617,-5.959218,0.030827,0.098146,0.027013,0.295185,0.188141,0.524958,-0.194814,2.37935,-0.072777,0.237344,0.00731,-0.099529,-0.021611,-0.049634,-0.01589,-0.19646,-0.002225,-0.302289,0.011441,-0.383541,0.910286,-1.603357,1
