@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute destClass {1,2}

@data
0.017474,-0.598815,0.032764,-0.697458,0.013136,-0.153001,1
0.015695,-0.551579,0.078057,-1.491784,0.007613,-0.260718,1
0.006829,-0.070446,0.04953,-1.325263,0.015516,-0.244858,2
0.034553,-1.058594,0.054713,-1.056244,0.004017,-0.007397,2
0.011418,-0.279665,0.069697,-1.50605,0.009504,-0.276587,1
0.012836,-0.367054,0.036984,-0.826242,0.011936,-0.219561,2
0.020038,-1.018615,0.061203,-1.538754,0.02482,0.147621,2
0.016743,-0.476588,0.061589,-1.24951,0.004396,-0.158643,1
0.01545,-0.379678,0.036163,-0.790427,0.010608,-0.253245,2
0.013944,-0.348596,0.069598,-1.476803,0.008147,-0.260968,1
0.014739,-0.624792,0.084001,-1.572261,0.009113,-0.253009,1
0.01338,-0.479622,0.07141,-1.338481,0.008585,-0.306208,1
0.014729,-0.573542,0.073431,-1.301971,0.00932,-0.341167,1
0.010426,-0.264794,0.062953,-1.332205,0.013928,-0.390785,2
0.012896,-0.414364,0.052225,-1.105571,0.015833,-0.324911,2
0.009136,0.071862,0.047799,-1.201551,0.010776,-0.417177,2
0.015854,-0.654172,0.077714,-1.392025,0.009523,-0.29672,1
0.014131,-0.344446,0.024826,-0.473728,0.009866,-0.303721,1
0.016245,-0.672788,0.065224,-1.38516,0.009918,-0.02164,1
0.016587,-0.602948,0.057573,-1.058201,0.008036,-0.21164,1
0.015825,-0.643902,0.082267,-1.551224,0.007804,-0.210901,1
0.012762,-0.347983,0.040688,-1.031636,0.019051,-0.275026,2
0.020362,-0.76805,0.060358,-1.090271,0.007219,-0.143672,1
0.01291,-0.396141,0.057216,-1.260663,0.014435,-0.269202,2
0.018686,-0.6658,0.040035,-0.866599,0.011919,-0.080374,2
0.017948,-0.570589,0.059959,-1.442062,0.013492,-0.067202,2
0.014169,-0.350507,0.051875,-1.24987,0.016546,-0.281265,2
0.016787,-0.640214,0.076355,-1.530388,0.000553,0.039076,1
0.016767,-0.615301,0.0741,-1.362247,0.008609,-0.284048,1
0.011441,-0.474064,0.060419,-1.280481,0.014858,-0.219957,2
0.022799,-1.05339,0.08252,-1.535186,0.012427,-0.084084,1
0.01509,-0.569272,0.070203,-1.30466,0.010502,-0.304842,1
0.013514,-0.439461,0.074097,-1.484948,-0.001152,-0.044307,1
0.010694,0.054726,0.045891,-1.151299,0.010952,-0.446395,2
0.02469,-0.924463,0.059364,-1.403057,0.015968,0.053675,2
0.011787,-0.349635,0.040108,-0.978537,0.017946,-0.266629,2
0.01814,-0.585421,0.062206,-1.217214,0.012769,-0.315834,2
0.015573,-0.565927,0.059349,-1.268353,0.014819,-0.208267,2
0.012873,-0.369046,0.07128,-1.577855,0.012009,-0.240122,1
0.014564,-0.48034,0.04051,-0.938332,0.015186,-0.185546,2
0.01735,-0.711432,0.077833,-1.501129,0.00992,-0.17564,1
0.016521,-0.691669,0.077434,-1.408934,0.009952,-0.26068,1
0.014588,-0.240868,0.025252,-0.516175,0.00641,-0.30695,1
0.018266,-0.634742,0.042588,-0.955672,0.013777,-0.112157,2
0.016738,-0.718012,0.077686,-1.516325,0.004265,-0.009535,1
0.01538,-0.510582,0.04195,-0.98374,0.018121,-0.226695,2
0.01713,-0.538926,0.066098,-1.49341,0.010931,-0.109608,1
0.030342,-1.391314,0.077301,-1.404833,0.012156,0.077311,1
0.017767,-0.515558,0.035122,-0.705704,0.008923,-0.192874,1
0.020688,-0.555435,0.051918,-1.222318,0.008759,-0.076333,2
0.013697,-0.330792,0.066505,-1.491968,0.013792,-0.315478,1
0.016837,-0.51163,0.039169,-0.861644,0.013141,-0.205898,2
0.023594,-0.841322,0.060921,-1.447807,0.015322,0.019447,2
0.011986,-0.335664,0.037381,-0.871801,0.012494,-0.207779,2
0.021511,-0.828215,0.068739,-1.408591,0.014086,-0.134128,2
0.019498,-0.648466,0.057985,-1.245417,0.01327,-0.171437,2
0.020798,-0.882379,0.085776,-1.608615,0.005961,-0.064426,1
0.015889,-0.454453,0.057415,-1.275186,0.013984,-0.257706,2
0.012201,-0.260063,0.025324,-0.504336,0.008063,-0.284696,1
0.017021,-0.680425,0.059869,-1.304893,0.017776,-0.168051,2
0.018015,-0.548189,0.064129,-1.274689,0.01352,-0.352952,2
0.013738,-0.333368,0.038947,-0.926145,0.012903,-0.239606,2
0.016624,-0.649465,0.043083,-0.969604,0.014894,-0.082816,2
0.018465,-0.714908,0.059577,-1.259783,0.014865,-0.139089,2
0.014561,-0.782807,0.078028,-1.538587,0.024015,-0.325582,1
0.010304,-0.368241,0.066422,-1.437174,0.018454,-0.359515,2
0.009918,-0.073675,0.051654,-1.170586,0.011854,-0.431201,2
0.018761,-0.62933,0.042333,-0.966944,0.017402,-0.19325,2
0.018154,-0.638885,0.060069,-1.289649,0.016642,-0.229291,2
0.017046,-0.692237,0.084495,-1.622615,0.005207,-0.110365,1
0.016747,-0.530223,0.058915,-1.079005,0.006582,-0.264636,1
0.015029,-0.518523,0.075834,-1.508979,0.000644,-0.054785,1
0.013991,-0.380372,0.067931,-1.493061,0.009036,-0.196478,1
0.015044,-0.431627,0.064614,-1.367222,0.017039,-0.400198,2
0.013441,-0.38869,0.054095,-1.166386,0.012172,-0.261728,2
0.013492,-0.555961,0.066017,-1.386214,0.015492,-0.218716,2
0.018349,-0.539165,0.034487,-0.70561,0.009358,-0.17797,1
0.01127,-0.120821,0.062062,-1.395415,0.008728,-0.353475,1
0.014164,-0.597309,0.06095,-1.285772,0.016208,-0.195022,2
0.017528,-0.616364,0.057494,-1.095376,0.012171,-0.273469,2
0.015434,-0.524476,0.054915,-1.162276,0.01261,-0.2032,2
0.009712,-0.135244,0.064109,-1.424073,0.008426,-0.314585,1
0.017611,-0.794723,0.07927,-1.546181,0.008376,-0.050758,1
0.015392,-0.543785,0.054621,-1.175385,0.01555,-0.22936,2
0.017879,-0.540846,0.03917,-0.903235,0.017372,-0.253758,2
0.018313,-0.766531,0.067352,-1.397124,0.010242,-0.01763,1
0.01353,-0.305331,0.0313,-0.667789,0.011194,-0.310807,1
0.016918,-0.694391,0.032249,-0.743755,0.020122,-0.144246,1
0.016188,-0.519539,0.060491,-1.150601,0.00776,-0.253106,1
0.018124,-0.774944,0.08617,-1.664754,0.006116,-0.067894,1
0.023919,-1.011388,0.06594,-1.317054,0.011745,0.01898,1
0.01093,-0.050188,0.047096,-1.156324,0.013128,-0.417814,2
0.016872,-0.513606,0.038658,-0.878025,0.012965,-0.172881,2
0.012983,-0.497124,0.076079,-1.402037,0.009799,-0.348591,1
0.015403,-0.593227,0.080189,-1.490897,0.007703,-0.26339,1
0.015406,-0.560171,0.070019,-1.283114,0.008775,-0.299582,1
0.014129,-0.52286,0.060277,-1.262564,0.015951,-0.270959,2
0.009302,-0.418875,0.06822,-1.505448,0.018568,-0.261083,2
