@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute slope11 numeric
@attribute intercept11 numeric
@attribute slope12 numeric
@attribute intercept12 numeric
@attribute slope13 numeric
@attribute intercept13 numeric
@attribute slope14 numeric
@attribute intercept14 numeric
@attribute slope15 numeric
@attribute intercept15 numeric
@attribute slope16 numeric
@attribute intercept16 numeric
@attribute slope17 numeric
@attribute intercept17 numeric
@attribute slope18 numeric
@attribute intercept18 numeric
@attribute slope19 numeric
@attribute intercept19 numeric
@attribute slope20 numeric
@attribute intercept20 numeric
@attribute slope21 numeric
@attribute intercept21 numeric
@attribute slope22 numeric
@attribute intercept22 numeric
@attribute slope23 numeric
@attribute intercept23 numeric
@attribute slope24 numeric
@attribute intercept24 numeric
@attribute slope25 numeric
@attribute intercept25 numeric
@attribute slope26 numeric
@attribute intercept26 numeric
@attribute slope27 numeric
@attribute intercept27 numeric
@attribute slope28 numeric
@attribute intercept28 numeric
@attribute slope29 numeric
@attribute intercept29 numeric
@attribute slope30 numeric
@attribute intercept30 numeric
@attribute slope31 numeric
@attribute intercept31 numeric
@attribute slope32 numeric
@attribute intercept32 numeric
@attribute slope33 numeric
@attribute intercept33 numeric
@attribute slope34 numeric
@attribute intercept34 numeric
@attribute slope35 numeric
@attribute intercept35 numeric
@attribute slope36 numeric
@attribute intercept36 numeric
@attribute slope37 numeric
@attribute intercept37 numeric
@attribute slope38 numeric
@attribute intercept38 numeric
@attribute slope39 numeric
@attribute intercept39 numeric
@attribute slope40 numeric
@attribute intercept40 numeric
@attribute slope41 numeric
@attribute intercept41 numeric
@attribute slope42 numeric
@attribute intercept42 numeric
@attribute slope43 numeric
@attribute intercept43 numeric
@attribute slope44 numeric
@attribute intercept44 numeric
@attribute slope45 numeric
@attribute intercept45 numeric
@attribute slope46 numeric
@attribute intercept46 numeric
@attribute slope47 numeric
@attribute intercept47 numeric
@attribute slope48 numeric
@attribute intercept48 numeric
@attribute destClass {1,2}

@data
3.570618,-5.92544,-0.023515,-0.005764,-0.019596,0.005994,0.023515,-0.078923,-0.007838,-0.042343,-0.011758,-0.077616,-0.003919,-0.056714,0,-0.081536,-0.007838,-0.081536,0.035273,-0.12726,0.058789,0.019058,0.125416,0.166683,-0.097981,0.084379,-0.027435,-0.20042,-0.031354,-0.253983,0.043112,-0.244838,0.438956,-0.321916,-0.956297,3.882131,0.301782,-5.43131,0.987651,-2.299831,0.10582,-0.307546,0.023515,-0.042343,0.086223,-0.050182,0.047031,0.067396,0.05095,0.264665,0.168528,0.452789,0.10582,0.928324,-0.058789,1.24709,-0.219478,0.987113,-0.121497,0.358727,-0.023515,0.070009,0.007838,0.033429,0.011758,0.092218,-0.011758,0.162764,0.011758,0.110507,-0.058789,0.102669,-0.011758,0.037348,-0.027435,-0.001844,0.090143,-0.148163,0,-0.042343,0.003919,-0.022747,-0.011758,-0.02536,-0.054869,-0.037118,-0.047031,0.002075,-0.007838,-0.060633,-0.031354,0.002075,0.117577,-0.115503,6.007194,0.02559,1
3.570026,-5.904201,-0.004079,0.044483,-0.018357,0.054682,-0.008159,0.014568,-0.00204,-0.010588,-0.006119,-0.020107,-0.006119,-0.045943,-0.014278,-0.06498,-0.016318,-0.057501,-0.004079,-0.083337,-0.010198,-0.081298,0.057111,-0.06838,0.050992,0.047883,-0.044873,-0.101015,-0.026516,-0.19552,-0.00204,-0.256711,-0.004079,-0.258751,0.161136,-0.282547,-1.564443,1.948875,0.52828,-4.95752,0.748567,-1.764723,0.077508,-0.217957,0.030595,-0.017387,0.073429,0.043123,0.059151,0.227376,0.116262,0.420466,0.240684,0.808688,0.340629,1.604847,0.177453,2.639651,-0.475248,2.873536,-0.454851,1.218666,-0.112183,0.099555,-0.010198,-0.143848,0.016318,-0.147248,-0.010198,-0.089456,-0.004079,-0.083337,-0.008159,-0.141809,-0.008159,-0.202999,-0.014278,-0.248552,-0.008159,-0.284587,-0.004079,-0.324021,-0.004079,-0.353936,-0.016318,-0.355296,-0.048953,-0.371614,-0.024476,-0.363455,-0.016318,-0.387931,0.012238,-0.387931,6.437033,-0.404249,1
3.738386,-5.348405,0.004692,0.33299,-0.009385,0.362708,-0.014077,0.348631,0.009385,0.322041,-0.023462,0.345503,-0.023462,0.251656,0.014077,0.223502,-0.037539,0.243836,-0.023462,0.223502,-0.018769,0.178143,-0.051616,0.164066,0.126693,0.114014,-0.272156,0.37835,-0.065693,-0.156578,0.098539,-0.16127,0.032846,-0.086193,-0.004692,0.007654,0.347234,-0.106526,-3.317489,0.286067,1.698629,-5.959446,0.685082,-1.51423,0.070385,-0.029885,0.046923,0.084296,0.037539,0.065526,0.122001,0.149989,0.131386,0.393991,0.178309,0.860097,0.046923,1.382512,-0.361311,1.35905,-0.126693,0.29858,0.056308,-0.053346,-0.004692,-0.067423,0.028154,-0.122167,0.051616,0.001398,0.023462,0.045193,-0.051616,0.054578,0.014077,-0.061167,-0.046923,0.009218,-0.028154,-0.025192,-0.004692,-0.007987,0.032846,-0.092449,0.037539,-0.10027,0.103232,-0.0815,-0.009385,0.153117,-0.328464,0.331426,0.018769,-0.297348,6.386441,-0.353656,2
3.318815,-6.004963,-0.025709,-0.386194,0.066844,-0.447896,0.020567,-0.411903,0.035993,-0.348487,0.005142,-0.286784,0.025709,-0.255933,0.025709,-0.173664,-0.020567,-0.045117,0.046277,-0.077682,0.010284,0.033725,0.071986,0.160557,-0.143972,0.301101,0,-0.041689,-0.025709,0.193122,0.015426,0.206834,0.046277,0.237685,-1.753372,1.643125,0.766136,-5.877694,0.97181,-2.357238,0.149114,0.162271,0.025709,0.494777,0.061702,0.534198,0.046277,0.601042,0.08227,0.736445,0.190249,1.074093,0.159397,1.670548,-0.241667,1.975632,-0.303369,1.043242,-0.046277,0.313099,-0.020567,0.191408,0.046277,0.097141,-0.030851,0.211975,-0.010284,0.163985,0.010284,0.112566,-0.015426,0.093713,-0.010284,0.050864,0,0.002873,-0.020567,-0.034834,-0.020567,-0.062257,-0.010284,-0.117103,0.077128,-0.135957,-0.236525,0.126278,-0.102837,-0.233652,-0.174823,-0.408475,0.123405,-0.511312,-0.010284,-0.36734,6.400125,-0.36734,2
3.702982,-5.861096,0.004644,0.293514,0.018575,0.223857,0.046438,0.17742,-0.027863,0.230049,-0.004644,0.213022,-0.009288,0.211474,-0.004644,0.197543,-0.009288,0.149557,0.023219,0.082996,-0.009288,0.075256,0.065013,0.21457,-0.273983,0.24398,0.055725,-0.274575,-0.032506,-0.037742,0.041794,-0.087276,0.023219,-0.04703,0.640841,-0.116686,-2.066481,-2.384397,1.337408,-4.057705,0.362215,-0.636789,0.018575,0.134078,0.023219,0.178968,0.055725,0.208378,0.060369,0.290418,0.055725,0.521059,0.20897,0.739317,0.269339,1.344555,0.03715,2.12471,-0.506172,1.912644,-0.218258,0.469978,-0.023219,-0.037742,0,-0.135261,-0.03715,-0.036194,-0.004644,-0.059413,-0.009288,-0.079536,0.018575,-0.141453,-0.018575,-0.175507,-0.027863,-0.172412,0.027863,-0.259095,-0.027863,-0.249808,-0.03715,-0.262191,-0.046438,-0.259095,0.046438,-0.379834,0.027863,-0.351971,-0.03715,-0.314821,-0.055725,-0.324108,6.440481,-0.407696,1
3.677349,-5.882024,-0.032963,0.276473,0,0.211391,-0.038035,0.176738,-0.010143,0.123489,0.038035,0.051645,0.01775,0.058407,0.01775,0.011075,0.01775,0.011075,0.04057,0.038967,0.032963,0.193642,-0.091284,0.331412,-0.078605,0.000932,-0.035499,-0.126696,0.020285,-0.194313,0.005071,-0.165576,1.845956,0.000087,-4.176222,1.694749,1.807921,-5.345916,0.258637,-0.738633,0.04057,-0.150362,0.04057,-0.038793,0.053249,0.041503,0.119176,0.276473,0.215531,0.7312,0.106497,1.357507,-0.212995,1.597549,-0.258637,0.850376,-0.083677,0.208856,-0.025357,-0.011746,-0.007607,-0.012591,0.005071,0.01361,0.012678,0.026289,-0.01775,0.039812,0,-0.02865,0.010143,-0.06753,0.002536,-0.112327,0.005071,-0.130077,0,-0.130077,-0.012678,-0.120779,0.048177,-0.195158,0.038035,0.012765,0.086212,0.120108,-0.131854,-0.042174,-0.131854,-0.174028,-0.060856,-0.270383,0.010143,-0.331238,6.358952,-0.326167,2
3.312478,-6.020229,0.020726,-0.500814,0.00829,-0.463507,-0.00829,-0.427582,0,-0.424819,0.00829,-0.435873,-0.029016,-0.415147,0.037307,-0.464889,0.012436,-0.423437,0.012436,-0.395803,0.00829,-0.399948,0.149226,-0.397185,-0.169952,-0.069716,-0.045597,-0.594771,0.087049,-0.556083,0.004145,-0.359878,0.012436,-0.307373,0.049742,-0.272829,-2.387618,0.979012,1.434229,-6.04567,0.804163,-2.041435,0.070468,-0.147093,0.053887,0.029768,0.00829,0.136161,0.082903,0.188666,0.091194,0.423559,0.186533,0.789716,0.145081,1.331351,-0.281872,1.625659,-0.203113,0.770372,-0.012436,0.353091,0.016581,0.257752,0.012435,0.347564,-0.00829,0.451194,0.062178,0.435995,-0.012435,0.563113,0.004145,0.571404,0.024871,0.636345,0.024871,0.60871,-0.012436,0.626673,0.033161,0.630818,-0.033161,0.716485,0.074613,0.694377,0.116065,0.727538,0.041452,0.951378,-0.082903,0.835313,-0.024871,0.603183,5.537376,0.495409,2
3.615446,-5.889586,0.011205,0.136157,0.016807,0.113748,0,0.100676,-0.016807,0.0764,-0.02521,0.086671,-0.014006,0.054924,0.005602,0.025979,0.022409,0.01104,-0.022409,0.031581,0.033614,-0.058055,0.044818,-0.020706,0.016807,0.164169,-0.165267,0.312629,0.005602,-0.11968,0.016807,-0.261605,0.005602,-0.220521,0.030813,-0.202781,1.551832,-0.140222,-3.526636,0.794425,1.809537,-4.890956,0.184875,-0.519309,0.050421,-0.110343,-0.008403,0.069864,0.064426,0.054924,0.075631,0.254739,0.145659,0.485366,0.266108,0.964361,0.229694,1.78883,-0.114847,2.265958,-0.445381,1.561938,-0.17087,0.30516,0.002801,-0.143023,0.050421,-0.164498,0.019608,-0.100072,-0.036415,-0.010436,-0.036415,-0.057121,-0.028011,-0.132752,-0.02521,-0.176637,-0.030813,-0.22519,-0.016807,-0.302688,-0.005602,-0.360578,-0.022409,-0.38112,-0.033614,-0.353108,-0.022409,-0.420336,0.022409,-0.448347,-0.005602,-0.425938,6.441916,-0.409131,1
3.669732,-5.891544,0.005236,0.240384,-0.023562,0.258711,-0.023562,0.201114,-0.015708,0.160098,-0.010472,0.123446,-0.002618,0.103374,-0.01309,0.092902,0.002618,0.075448,0.002618,0.063231,0.062833,0.14439,0.047125,0.303217,-0.073305,0.172316,-0.02618,-0.030146,0.010472,-0.091233,0.028798,-0.081634,0.356053,-0.141849,-1.384941,3.423044,0.246095,-5.541984,1.094339,-2.541715,0.089013,-0.281477,0.052361,-0.092979,0.049743,0.061485,0.086395,0.202859,0.170172,0.508297,0.178026,1.071175,-0.01309,1.513623,-0.29322,1.287599,-0.151846,0.444591,-0.028798,0.044032,-0.010472,-0.033637,0.010472,-0.049345,0.020944,0.008252,-0.031416,0.029196,0.005236,-0.030146,0.002618,-0.127013,-0.018326,-0.093851,0.010472,-0.185483,0.007854,-0.221263,-0.041889,-0.195955,-0.028798,-0.236971,0.028798,-0.30853,0,-0.103451,0.036653,-0.077271,-0.225151,0.032687,-0.078541,-0.239589,0.02618,-0.428087,6.47658,-0.443796,2
3.670828,-5.884198,0.013348,0.214568,-0.004449,0.223467,-0.004449,0.196771,-0.035594,0.221984,0.013348,0.134481,0.008899,0.147829,-0.031145,0.173042,-0.008899,0.144863,-0.017797,0.138931,-0.013348,0.078124,0.146826,0.075158,-0.218014,0.351013,0.102333,-0.298581,0.004449,-0.055354,0.022246,-0.055354,0.048942,-0.052388,0.177971,-0.03904,-3.296909,1.104422,1.824201,-5.926908,0.613999,-1.261106,0.026696,0.085539,0.008899,0.245713,0.044493,0.251645,0.080087,0.284273,0.084536,0.40737,0.146826,0.724751,0.258058,1.215654,0.12458,1.983895,-0.449376,2.261233,-0.338145,0.779626,-0.06229,-0.006412,-0.031145,-0.073151,-0.06229,-0.015311,0.031145,-0.090948,-0.044493,-0.024209,0.008899,-0.148789,-0.022246,-0.171035,-0.004449,-0.24519,-0.017797,-0.258537,-0.017797,-0.311929,-0.017797,-0.282267,-0.017797,-0.371252,0.080087,-0.389049,-0.017797,-0.32676,-0.053391,-0.371252,0.026696,-0.371252,6.519718,-0.486933,1
