@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute destClass {1,2}

@data
0.04867,-0.96321,-0.032781,0.328994,0.110352,-1.45409,-0.018567,0.412414,0.0486,-0.444393,1
0.047068,-0.905373,0.01412,-0.209956,0.1766,-2.614541,-0.117398,2.120015,0.043561,-0.660976,1
0.038098,-0.426778,-0.010427,0.185293,0.151614,-2.665897,-0.048917,0.920427,0.046315,-0.421334,2
0.064633,-1.402013,-0.084259,0.832966,0.1282,-1.192342,-0.019412,0.463192,0.032638,-0.368344,2
0.048321,-0.69729,-0.049559,0.46833,0.156656,-2.211746,-0.079307,1.394851,0.042927,-0.606477,1
0.044672,-0.738019,-0.093865,0.87943,0.078963,-0.670416,-0.0057,0.068737,0.043378,-0.46655,2
0.052193,-1.383792,0.005423,-0.415712,0.190095,-2.972445,-0.015017,0.745588,0.046296,0.288714,2
0.048257,-0.829051,-0.001026,0.00868,0.113146,-1.826964,-0.09778,1.820621,0.039474,-0.602363,1
0.046449,-0.737185,-0.055085,0.631779,0.125717,-1.519757,-0.011035,0.142395,0.046475,-0.596721,2
0.050016,-0.755692,-0.012987,0.169235,0.17902,-2.70381,-0.086975,1.557659,0.04297,-0.637969,1
0.045431,-0.970097,-0.003801,-0.150167,0.181966,-2.477421,-0.116638,2.116315,0.04379,-0.608521,1
0.047158,-0.864626,-0.065641,0.493894,0.151011,-1.612887,-0.074429,1.242183,0.044884,-0.696213,1
0.047752,-0.949995,-0.090422,0.616628,0.141297,-1.02766,-0.05132,0.783893,0.046193,-0.726405,1
0.033903,-0.52665,-0.008781,0.090199,0.158037,-2.360808,-0.084997,1.431155,0.051474,-0.698527,2
0.044472,-0.778102,-0.105426,0.881838,0.109984,-0.860445,-0.007768,0.048848,0.050335,-0.543725,2
0.045645,-0.340136,-0.119716,1.297694,0.107087,-1.143561,-0.011458,-0.013456,0.043658,-0.714292,2
0.048639,-1.027554,-0.080183,0.512449,0.146874,-1.271486,-0.070445,1.188144,0.045605,-0.666877,1
0.046557,-0.72271,-0.052881,0.640491,0.086324,-0.94765,-0.017913,0.206088,0.044907,-0.648814,1
0.040789,-0.945657,-0.000747,-0.187901,0.106695,-1.772423,-0.089947,1.858845,0.044536,-0.349024,1
0.04799,-0.964115,-0.057146,0.453494,0.134438,-1.419271,-0.05243,0.917733,0.040805,-0.559002,1
0.046102,-0.985211,0.010464,-0.255823,0.177697,-2.560718,-0.120353,2.229449,0.044093,-0.615019,1
0.044668,-0.709069,0.034626,-0.28431,0.193499,-3.091781,-0.020192,0.387966,0.0553,-0.466833,2
0.051772,-1.130448,-0.034778,0.23517,0.149788,-1.746555,-0.061111,1.156941,0.043843,-0.567545,1
0.035396,-0.646873,-0.004861,0.014123,0.148214,-2.262214,-0.066215,1.213671,0.051828,-0.566764,2
0.048344,-1.012711,-0.080023,0.691131,0.094408,-0.916829,-0.004231,0.195758,0.046798,-0.382878,2
0.055767,-1.003237,-0.040416,0.341168,0.191374,-2.702112,-0.019459,0.506709,0.039671,-0.214655,2
0.04155,-0.663772,-0.004056,0.124186,0.142946,-2.441622,-0.066268,1.212629,0.051812,-0.499039,2
0.042052,-0.919535,-0.004794,-0.105979,0.111067,-1.80473,-0.122507,2.417651,0.040381,-0.531332,1
0.049269,-0.985743,-0.056704,0.404156,0.157088,-1.718872,-0.080548,1.387182,0.043726,-0.657792,1
0.043119,-0.836705,-0.110545,0.781489,0.113828,-0.812725,-0.004823,0.085432,0.047447,-0.428898,2
0.052904,-1.394886,-0.023449,-0.103564,0.17118,-2.091748,-0.090593,1.81436,0.046067,-0.361066,1
0.047733,-0.942704,-0.087641,0.644168,0.136954,-1.182072,-0.053984,0.891059,0.046417,-0.6557,1
0.040366,-0.738179,-0.008377,0.008306,0.108986,-1.790816,-0.124984,2.374583,0.039586,-0.663838,1
0.047987,-0.366342,-0.002608,0.347993,0.189023,-3.044229,-0.048717,0.661295,0.044645,-0.753806,2
0.056785,-1.287922,-0.095778,0.694061,0.117712,-1.29498,-0.005705,0.382433,0.04129,-0.028108,2
0.034604,-0.609395,0.028319,-0.246842,0.167745,-2.673527,-0.026849,0.51914,0.054978,-0.493489,2
0.04895,-0.935547,-0.00184,0.006319,0.225948,-2.9359,-0.043105,0.699532,0.051468,-0.662609,2
0.036572,-0.799643,-0.00249,-0.072078,0.142506,-2.150515,-0.071371,1.365681,0.051937,-0.490919,2
0.048084,-0.768157,-0.00625,0.054898,0.183573,-2.891954,-0.084846,1.573572,0.044867,-0.510617,1
0.044785,-0.831154,-0.078803,0.705234,0.104922,-1.153698,-0.004699,0.126697,0.049032,-0.408495,2
0.047504,-1.051127,0.009977,-0.260147,0.188499,-2.681712,-0.099934,1.893873,0.044449,-0.515227,1
0.049148,-1.063635,-0.076341,0.471773,0.149528,-1.371015,-0.069781,1.21259,0.045241,-0.610506,1
0.047206,-0.617925,0.00715,0.19679,0.13771,-2.037771,-0.027935,0.371441,0.043426,-0.75159,1
0.048407,-0.978089,0.015615,-0.16359,0.189511,-2.737357,-0.013188,0.341834,0.043374,-0.300813,2
0.040052,-0.977449,0.001224,-0.220062,0.119811,-1.864038,-0.119867,2.378751,0.041205,-0.476235,1
0.045042,-0.847131,0.04196,-0.394396,0.200516,-3.103055,-0.021793,0.455298,0.055996,-0.459513,2
0.051036,-0.927855,0.003216,-0.01802,0.183502,-2.970559,-0.073989,1.484679,0.043422,-0.394188,1
0.058615,-1.712665,0.019375,-0.531226,0.175685,-2.359273,-0.086381,1.911023,0.04315,-0.16664,1
0.047696,-0.851835,0.046662,-0.387583,0.132966,-2.141076,-0.046894,0.879556,0.042255,-0.535903,1
