@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute destClass {2,3,7,6,4,5,1}

@data
0.00049,-0.460603,2
0.0009,-0.846067,2
0.000488,-0.458808,3
0.000519,-0.487624,7
0.000943,-0.887059,6
0.000476,-0.447035,7
0.000829,-0.779578,4
0.000711,-0.668206,5
0.000994,-0.934692,6
0.00048,-0.450985,1
0.000735,-0.691074,5
0.000683,-0.64178,5
0.000533,-0.501104,2
0.000721,-0.677699,3
0.000708,-0.66553,4
0.000871,-0.818773,4
0.00062,-0.582353,5
0.000331,-0.310959,1
0.000845,-0.794592,3
0.000705,-0.662518,4
0.000734,-0.690524,3
0.000499,-0.46904,3
0.00093,-0.874448,4
0.000792,-0.745008,3
0.00068,-0.639223,5
0.000606,-0.569992,4
0.00063,-0.592516,1
0.000833,-0.782889,6
0.000606,-0.569648,4
0.000995,-0.935675,3
0.00085,-0.798899,2
0.000055,-0.05069,2
0.000844,-0.793189,6
0.000858,-0.806479,3
0.000564,-0.530485,6
0.000637,-0.598908,2
0.00034,-0.319144,7
0.000947,-0.890336,4
0.000893,-0.839511,2
0.000289,-0.271073,5
0.000226,-0.211593,2
0.000806,-0.75817,2
0.000517,-0.485863,4
0.000186,-0.174011,1
0.000735,-0.690777,4
0.000798,-0.749952,4
0.000476,-0.447035,7
0.000739,-0.695228,4
0.000505,-0.474298,7
0.001173,-1.103146,3
0.000639,-0.600479,7
0.001027,-0.966156,6
0.00096,-0.90253,6
0.001048,-0.98608,2
0.00063,-0.592241,1
0.000515,-0.483579,6
0.000732,-0.688181,5
0.000704,-0.662184,6
0.000817,-0.767961,2
0.000548,-0.515274,3
0.000461,-0.432673,4
0.000636,-0.597971,5
0.000673,-0.632805,4
0.000757,-0.711294,3
0.000795,-0.747136,5
0.000794,-0.746432,1
0.000416,-0.391045,7
0.000406,-0.380912,5
0.000905,-0.850747,4
0.000627,-0.589184,3
0.000636,-0.597495,6
0.000611,-0.574688,5
0.001527,-1.436861,3
0.000864,-0.81284,1
0.000594,-0.558527,5
0.001169,-1.099946,2
0.000675,-0.63408,3
0.0007,-0.657648,4
0.000948,-0.891673,4
0.000825,-0.775901,6
0.000632,-0.593604,7
0.000689,-0.647481,3
0.00102,-0.959445,2
0.000509,-0.478305,5
0.000723,-0.679377,3
0.000563,-0.529154,3
0.000999,-0.939512,4
0.000801,-0.752806,5
0.000692,-0.650186,5
0.000621,-0.583666,7
0.000734,-0.690322,1
0.000915,-0.86014,5
0.000676,-0.635778,7
0.001112,-1.045962,2
0.000562,-0.528605,7
0.000564,-0.530413,3
0.00085,-0.799657,6
0.000475,-0.446585,6
0.000712,-0.66971,6
0.000877,-0.824536,1
0.000779,-0.732522,6
0.000738,-0.69368,6
0.000767,-0.721519,4
0.000791,-0.743806,1
0.00096,-0.902879,4
0.000752,-0.707065,2
0.000493,-0.463509,6
0.000395,-0.37129,5
0.000664,-0.62423,4
0.000718,-0.674749,4
0.000771,-0.724722,4
0.000819,-0.769816,6
0.000701,-0.659256,7
0.000517,-0.485876,5
0.00054,-0.507464,2
0.000654,-0.615118,3
0.000831,-0.781143,7
0.000861,-0.809817,4
0.00057,-0.535945,3
0.000833,-0.783192,2
0.000649,-0.610106,2
0.000805,-0.757006,2
0.001034,-0.972344,6
0.000963,-0.905572,3
0.000515,-0.483854,2
0.000933,-0.877178,3
0.000981,-0.922433,2
0.000863,-0.81195,3
-0.000411,0.387509,1
0.001445,-1.359854,2
0.000778,-0.731954,4
0.000902,-0.848124,3
0.000666,-0.626,1
0.00064,-0.601394,3
0.000854,-0.802974,5
0.000757,-0.712203,1
-0.000758,0.714414,1
0.000663,-0.623431,7
0.001386,-1.303516,1
0.000992,-0.933337,2
0.00083,-0.78092,4
0.000741,-0.696826,1
0.00075,-0.704839,6
0.000617,-0.580098,5
0.000834,-0.784705,4
0.00043,-0.404183,3
0.00048,-0.450874,7
0.00071,-0.66755,6
0.000782,-0.735021,4
0.001191,-1.120537,5
0.000754,-0.709246,4
0.000723,-0.679558,4
0.000723,-0.679975,3
0.000924,-0.869074,2
0.00075,-0.70469,6
0.000426,-0.400288,6
0.0007,-0.657653,5
0.000626,-0.5885,5
0.000326,-0.305947,6
0.000797,-0.749366,6
0.000861,-0.810054,4
0.000922,-0.866743,5
0.000703,-0.6606,4
0.00075,-0.704848,7
0.000777,-0.730648,3
0.000449,-0.421336,2
0.000773,-0.726685,6
0.000911,-0.856815,1
0.000845,-0.794782,2
0.000515,-0.483854,2
0.000444,-0.417475,5
0.000696,-0.65405,5
0.000897,-0.843235,7
0.000797,-0.749366,6
0.000806,-0.757728,6
0.000787,-0.739899,4
0.000759,-0.713321,5
0.000712,-0.669719,2
0.001315,-1.236732,5
0.000709,-0.666986,4
0.000848,-0.797428,5
0.001274,-1.198101,4
0.000405,-0.380244,7
0.000511,-0.479905,2
0.000866,-0.814199,6
0.000809,-0.760727,6
0.000737,-0.692541,4
0.000709,-0.666614,4
0.000236,-0.221183,2
0.000611,-0.574322,5
0.001159,-1.09023,6
0.000746,-0.701088,5
0.00089,-0.837366,5
0.001059,-0.99631,6
0.000614,-0.576932,4
0.0008,-0.752098,7
0.000704,-0.661542,6
0.000673,-0.632705,4
0.000736,-0.692096,3
0.000546,-0.513404,3
0.000531,-0.498501,2
0.000953,-0.896719,5
-0.000394,0.371562,1
0.000548,-0.51513,3
0.000333,-0.313008,4
0.00011,-0.102951,7
0.000654,-0.614793,6
0.000873,-0.821218,2
0.000732,-0.688255,5
0.000627,-0.589482,5
0.000872,-0.819683,5
0.000406,-0.38145,7
0.000749,-0.703897,4
0.000871,-0.819525,2
0.000608,-0.571627,5
0.000706,-0.663359,2
0.000468,-0.439984,7
0.000857,-0.806043,4
0.000519,-0.487932,6
0.000362,-0.340321,6
0.00065,-0.610637,5
0.000975,-0.916994,6
0.000836,-0.785884,4
0.000459,-0.431389,3
0.000562,-0.528149,5
0.000708,-0.665856,5
0.000765,-0.719272,4
0.000242,-0.226527,4
0.001301,-1.223462,3
0.000678,-0.637601,2
0.000689,-0.647564,3
0.001465,-1.378119,3
0.000778,-0.73133,3
0.000472,-0.443066,3
0.000974,-0.915702,4
0.000628,-0.590751,3
0.000837,-0.78696,7
0.000498,-0.46775,1
0.00067,-0.629497,4
0.000361,-0.339354,4
0.000597,-0.560648,6
0.000849,-0.798437,6
0.000726,-0.682638,5
0.000435,-0.408849,4
0.000853,-0.802559,4
0.000522,-0.490096,2
0.000805,-0.756484,5
0.000937,-0.881186,2
0.000829,-0.779342,2
0.000787,-0.740044,4
0.000864,-0.812415,2
0.000588,-0.552228,5
0.000644,-0.605054,3
0.000681,-0.640314,2
0.000529,-0.497251,4
0.000487,-0.457269,2
0.000844,-0.793269,3
0.000732,-0.688523,1
0.000078,-0.072851,3
0.000886,-0.833078,2
0.000561,-0.527626,7
0.000828,-0.778843,7
-0.001071,1.009712,1
0.000586,-0.550359,3
0.0003,-0.281317,4
0.000724,-0.680998,4
0.000735,-0.69138,7
0.000447,-0.419976,6
-0.000483,0.455947,1
0.000219,-0.205634,7
0.000472,-0.443485,3
0.000756,-0.711055,2
0.000635,-0.597213,6
0.000796,-0.748356,3
0.000648,-0.609378,5
0.000606,-0.56946,5
0.000778,-0.731975,6
0.000781,-0.734196,4
0.00047,-0.441528,1
0.000695,-0.65377,5
0.000749,-0.703769,3
0.000841,-0.79127,6
0.001325,-1.246424,1
0.00028,-0.262742,2
0.000784,-0.737633,5
0.00078,-0.733153,6
0.000835,-0.785371,4
0.000664,-0.624192,3
0.000496,-0.466307,5
0.001347,-1.266783,2
0.000386,-0.362509,1
0.000769,-0.722576,2
0.000734,-0.690535,7
0.000604,-0.567322,6
0.000515,-0.483639,2
0.000833,-0.783006,6
0.000459,-0.430938,2
0.000782,-0.734829,4
0.000601,-0.565083,5
0.00074,-0.695873,3
0.000683,-0.642278,2
0.00077,-0.724341,5
0.000186,-0.174011,1
0.000518,-0.486885,3
0.000758,-0.712261,6
0.00078,-0.733492,2
0.000816,-0.767274,2
0.000337,-0.316684,5
0.00071,-0.667309,5
0.000807,-0.759209,1
0.000707,-0.664391,2
0.000331,-0.310549,5
0.000361,-0.33885,2
0.0008,-0.75266,4
0.000511,-0.479697,4
0.000361,-0.338969,7
0.00064,-0.601394,3
0.000718,-0.674945,4
0.000464,-0.435461,2
0.000937,-0.881008,4
0.000547,-0.514503,7
0.000685,-0.643878,5
0.000766,-0.720503,5
0.000758,-0.712844,7
0.000471,-0.442754,4
0.000492,-0.462578,7
-0.001527,1.438815,1
0.000671,-0.630969,7
0.000524,-0.492085,3
