@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute destClass {2,3,7,6,4,5,1}

@data
0.001867,-0.212473,-0.005662,0.318314,-0.001727,-0.826287,-0.000349,-1.110578,0.008387,-1.530282,0.007912,0.676987,-0.001414,1.751545,-0.007327,1.731108,-0.004744,-0.196049,0.003757,-0.642421,2
-0.000635,-0.785634,0.000938,-0.72498,0.000089,-0.597894,-0.002386,-0.48056,0.003975,-1.374071,0.008289,1.37348,-0.008466,1.746552,-0.000826,0.141872,0.002716,0.197876,-0.005707,0.717055,2
0.001219,0.032007,-0.002944,0.377036,-0.004876,-0.448631,-0.002656,-1.231673,0.0119,-2.19109,0.009701,0.46415,-0.00387,1.829111,-0.004458,1.119253,-0.005094,0.192495,0.006314,-0.606629,3
-0.000927,-0.688439,0.002565,-0.849072,0.000326,-0.410611,0.000288,-0.304968,-0.002485,-0.558068,0.018654,0.341138,-0.009646,2.198128,-0.002449,0.366874,-0.001676,-0.165176,0.000833,-0.423083,7
-0.00455,-0.220515,0.000562,-0.947249,0.001978,-0.807373,-0.0001,-0.406527,-0.004629,-0.598017,0.027334,-1.126407,-0.007998,2.095735,-0.002854,0.515935,0.001888,0.012674,-0.001945,0.600566,6
-0.00237,-0.294262,0.002264,-0.765114,0.000301,-0.242649,-0.004392,-0.190742,0.003674,-1.527068,0.008786,1.037346,-0.003566,1.845746,-0.007567,1.321774,-0.002419,-0.287661,0.001393,-0.511176,7
-0.003089,-0.228866,-0.001438,-0.749503,0.002857,-1.105417,0.002597,-0.435767,-0.005652,0.213105,0.015097,-1.823468,-0.00749,3.08226,-0.006089,1.470022,-0.003071,0.330438,0.000334,-0.174895,4
-0.001163,0.326223,-0.003887,0.361761,-0.001251,-0.393325,-0.000212,-0.64279,0.000058,-0.667159,-0.005401,-0.510082,0.010675,-2.127134,0.001764,1.804649,-0.004344,1.610311,-0.00326,0.912049,5
0.001996,-0.45361,-0.002771,0.076774,0.000186,-0.630107,0.000966,-0.476296,0.000317,-0.315607,-0.000396,-0.257615,-0.002898,-0.341068,0.002751,-1.222428,0.019084,-0.234502,-0.002211,2.27983,6
-0.001472,-0.427362,0.001284,-0.735677,0.000955,-0.490212,-0.001222,-0.253894,0.000504,-0.920361,0.012888,-0.044818,0.00015,1.907024,-0.009787,2.037647,-0.005472,-0.171074,0.001882,-0.85395,1
-0.003619,-0.04154,0.000625,-0.80007,0.002385,-0.580071,-0.001074,-0.002434,-0.00676,-0.289467,0.015649,-2.30645,-0.005098,2.734943,-0.006715,1.644898,-0.003403,0.386809,0.000279,-0.004841,5
-0.002311,-0.527306,0.002585,-0.95582,0.001479,-0.374392,-0.001689,-0.072859,-0.004825,-0.44215,0.019765,-1.684096,-0.005445,2.515942,-0.003955,1.755024,-0.008538,0.648783,0.003015,-0.850656,5
-0.0008,-0.80956,0.002047,-0.924823,0.000565,-0.523288,0.003541,-0.387198,-0.006272,0.212014,0.024847,-0.707949,-0.009695,2.555054,-0.005925,0.715388,-0.000908,-0.432558,0.001575,-0.51791,2
-0.006259,0.284973,0.001644,-0.852229,0.000588,-0.369672,-0.000972,-0.311436,-0.006683,-0.417814,0.029321,-2.71388,-0.011205,3.115342,-0.005894,0.856128,0.002662,-0.224312,-0.000593,0.41034,3
