@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute slope11 numeric
@attribute intercept11 numeric
@attribute slope12 numeric
@attribute intercept12 numeric
@attribute slope13 numeric
@attribute intercept13 numeric
@attribute slope14 numeric
@attribute intercept14 numeric
@attribute slope15 numeric
@attribute intercept15 numeric
@attribute slope16 numeric
@attribute intercept16 numeric
@attribute slope17 numeric
@attribute intercept17 numeric
@attribute slope18 numeric
@attribute intercept18 numeric
@attribute slope19 numeric
@attribute intercept19 numeric
@attribute slope20 numeric
@attribute intercept20 numeric
@attribute destClass {2,3,7,6,4,5,1}

@data
0.001988,-0.205622,0.003389,-0.118251,-0.005748,0.330564,-0.004034,-0.315298,-0.001755,-0.835094,-0.002368,-0.956853,0.000793,-1.154979,-0.000467,-1.146567,0.000859,-1.185953,0.015184,-1.05219,0.012535,0.468232,0.004084,1.592453,-0.002242,1.787792,-0.000872,1.595672,-0.00332,1.543414,-0.011507,1.238068,-0.010548,0.080098,0.001859,-0.955246,0.005692,-0.71995,0.003411,-0.285648,2
-0.002421,-0.698404,0.001665,-0.955841,0.001984,-0.770219,0.000146,-0.601281,0.000008,-0.593956,0.000197,-0.594478,-0.000656,-0.560541,-0.003964,-0.635649,-0.002391,-1.064444,0.01208,-1.390911,0.039485,-0.022577,-0.015942,3.224804,-0.010691,1.848078,-0.006489,0.860779,-0.003327,0.254989,0.00127,-0.030031,0.003427,0.153806,0.0006,0.562601,-0.003837,0.648158,-0.005269,0.142072,2
0.002484,-0.015541,0.001453,0.124908,-0.00149,0.302615,-0.005311,0.20579,-0.003341,-0.522936,-0.005236,-0.907527,-0.002276,-1.258969,-0.004072,-1.410416,0.007277,-1.993067,0.014363,-1.170167,0.014279,0.21678,0.000717,1.828304,-0.0025,1.77036,-0.004609,1.494799,-0.003359,1.071711,-0.005101,0.726579,-0.007094,0.300262,-0.001208,-0.48175,0.004679,-0.529089,0.008141,-0.099492,3
-0.000918,-0.68693,-0.000687,-0.789749,0.002699,-0.855068,0.002064,-0.577909,0.000387,-0.41165,0.000433,-0.385174,0.001015,-0.342963,-0.001051,-0.210631,-0.007306,-0.313287,0.004967,-1.158831,0.039504,-0.696962,-0.010951,3.539853,-0.010735,2.241573,-0.009473,1.290531,-0.003444,0.402703,-0.002791,0.163105,-0.002796,-0.110185,-0.000184,-0.395006,0.000373,-0.399036,0.001632,-0.384498,7
-0.005756,-0.155303,-0.002155,-0.772042,0.000426,-0.940586,0.000747,-0.901955,0.002316,-0.818987,0.001531,-0.596631,0.000876,-0.452467,-0.001257,-0.361096,-0.006776,-0.482918,-0.000532,-1.238931,0.032126,-1.524949,0.000107,2.884763,-0.010081,2.177813,-0.007804,1.349706,-0.003938,0.565339,-0.001897,0.204192,0.00154,0.024179,0.001638,0.206413,0.00262,0.402795,-0.004658,0.529446,6
-0.002232,-0.291403,-0.001292,-0.578871,0.001037,-0.712621,0.002734,-0.562919,0.00132,-0.286419,-0.000689,-0.169884,-0.003076,-0.25295,-0.00542,-0.562818,-0.005103,-1.101375,0.014694,-1.711736,0.034192,-0.104099,-0.011521,2.767486,-0.002134,1.783728,-0.004418,1.545715,-0.005107,1.217146,-0.008781,0.657147,-0.00466,-0.18215,-0.000012,-0.628326,0.003838,-0.605974,0.001361,-0.397671,7
-0.002122,-0.268166,-0.003253,-0.520356,-0.00091,-0.773567,-0.001727,-0.875759,0.001115,-1.0242,0.004323,-0.894665,0.003436,-0.469182,0.002063,-0.166807,-0.002163,0.061941,-0.007731,-0.2325,-0.000171,-1.096661,0.032515,-1.23118,-0.000884,2.808432,-0.009834,2.453786,-0.007222,1.520664,-0.005218,0.859207,-0.004326,0.393568,-0.001207,-0.049661,-0.000296,-0.131131,0.002813,-0.273254,4
-0.000969,0.329637,0.000294,0.135837,-0.002092,0.282715,-0.004817,0.02469,-0.001685,-0.374163,-0.000512,-0.549261,-0.000749,-0.621275,0.000023,-0.671235,0.000277,-0.676921,-0.000107,-0.654483,-0.003184,-0.608396,-0.007008,-0.947811,0.000687,-1.646862,0.022682,-1.697804,0.016176,1.20097,-0.004159,2.179381,-0.006163,1.695913,-0.002397,1.110465,-0.003703,0.952633,-0.000265,0.446401,5
0.002015,-0.452903,0.002217,-0.275378,-0.001521,0.018299,-0.003923,-0.138571,-0.001627,-0.549985,0.00193,-0.690294,0.0013,-0.49159,0.000457,-0.35966,0.000336,-0.316873,0.000251,-0.28242,-0.000261,-0.265883,-0.000787,-0.274597,-0.002368,-0.366461,-0.003522,-0.583786,-0.002029,-0.992732,0.008478,-1.237587,0.020814,-0.384451,0.008482,2.12185,-0.004149,2.366853,-0.00067,2.00354,6
-0.001019,-0.442918,-0.0012,-0.585619,0.000877,-0.717712,0.001456,-0.618379,0.001342,-0.506346,0.000555,-0.380053,0.000096,-0.322746,-0.003494,-0.257325,-0.005252,-0.636629,0.008311,-1.252003,0.016201,-0.237809,0.004604,1.59083,0.001547,1.838209,-0.001741,2.013,-0.00612,1.876723,-0.012228,1.221552,-0.009566,0.016614,-0.001719,-0.857256,0.004369,-0.958326,0.000836,-0.639662,1
-0.002718,-0.067061,-0.002351,-0.460922,-0.002156,-0.675524,0.002966,-0.842883,0.001875,-0.549696,0.003141,-0.38734,0.000109,-0.060765,-0.002688,-0.026488,-0.006272,-0.317703,-0.007958,-0.863584,0.003261,-1.717372,0.029704,-1.50211,0.009426,2.1486,-0.008256,2.313486,-0.006346,1.634649,-0.006204,0.983072,-0.004278,0.446173,-0.000145,-0.103252,0.000207,0.026688,0.003947,-0.177295,5
