@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute destClass {2,3,7,6,4,5,1}

@data
-0.002398,0.268956,0.006577,-1.767189,-0.003825,1.390243,2
0.000548,-0.851315,0.005965,-1.443436,-0.0001,0.287267,2
-0.002926,0.590545,0.00747,-2.255993,-0.002263,0.953338,3
0.00097,-0.865162,0.005674,-1.127794,-0.001691,0.442946,7
0.000238,-0.76756,0.005698,-1.435932,-0.000309,0.44214,6
0.0006,-0.607455,0.006494,-1.659166,-0.003133,1.02792,7
-0.000274,-0.624192,0.004334,-1.073237,-0.003415,1.49834,4
-0.00189,0.440353,-0.001738,-0.397378,-0.001062,1.430599,5
-0.000698,-0.144849,-0.000267,-0.263826,0.007199,-1.542725,6
0.00048,-0.657569,0.005625,-1.376413,-0.00518,1.746785,1
0.000394,-0.574158,0.004237,-1.389164,-0.003224,1.525043,5
0.001281,-0.925015,0.00491,-1.386382,-0.004899,1.909545,5
0.001109,-1.004028,0.005027,-0.80808,-0.002209,0.583937,2
-0.000054,-0.412866,0.005721,-1.708221,-0.001054,0.677772,3
0.001287,-1.014538,0.004609,-1.125392,-0.004088,1.576303,4
0.000043,-0.78573,0.004089,-0.967643,-0.004187,1.773488,4
0.000455,-0.618495,0.004171,-1.265717,-0.005343,2.11206,5
-0.001458,0.543777,-0.000341,-0.210741,0.007934,-2.253723,1
-0.001213,0.122445,0.000091,-0.361859,0.007663,-1.808398,3
-0.000857,-0.042562,0.001618,-1.002643,-0.003155,1.798863,4
-0.001431,0.190964,-0.003494,0.275376,-0.000822,1.338335,3
-0.001331,0.372398,-0.001692,-0.399453,-0.00303,1.927132,3
-0.001307,-0.286837,0.001821,-0.734942,-0.005222,2.500656,4
-0.000229,-0.5216,0.005951,-1.626667,-0.002502,1.142094,3
-0.002249,0.518938,-0.00175,-0.097897,0.002837,-0.053902,5
0.001749,-1.121738,0.004658,-0.850664,-0.000351,0.076606,4
-0.001305,0.2116,0.001814,-1.229962,-0.003729,2.030627,1
0.000288,-0.760936,0.006076,-1.487371,-0.001598,0.75711,6
-0.001273,0.087265,0.001114,-0.917648,-0.006305,2.859677,4
-0.00049,-0.228233,-0.000247,-0.208558,0.007478,-1.6735,3
0.001157,-1.073192,0.005053,-1.281658,-0.004694,1.882329,2
-0.002298,0.810902,0.006284,-2.225115,-0.003974,1.413512,2
-0.001163,-0.131312,0.006001,-1.985889,-0.003068,1.565286,6
0.000076,-0.802553,0.003745,-0.918481,-0.005595,2.28004,3
-0.001301,-0.067557,0.005878,-1.604473,-0.003011,1.184132,6
0.000935,-0.972845,0.00558,-1.079273,-0.002542,0.809466,2
-0.001247,0.250507,0.006676,-2.208206,-0.003873,1.472976,7
-0.001801,0.025835,0.000447,-0.705117,-0.004523,2.524302,4
-0.000574,-0.384255,0.006214,-1.792737,-0.000184,0.469363,2
0.000688,-0.119036,0.004862,-2.032163,-0.003819,1.611375,5
0.001765,-0.971804,0.005205,-0.817612,-0.001367,0.035999,2
0.000591,-0.891031,0.005009,-1.138894,-0.002613,1.096467,2
0.00125,-0.816948,0.004393,-1.253863,-0.005622,2.067162,4
0.003073,-1.486503,-0.001454,1.373514,0.000887,-0.669747,1
0.001565,-1.128365,0.004003,-1.011264,-0.0055,2.12128,4
0.000799,-0.645925,0.00537,-1.79533,-0.001939,1.118169,4
0.0006,-0.607455,0.006494,-1.659166,-0.003133,1.02792,7
-0.000754,-0.320344,0.005408,-1.530701,-0.00287,1.294766,4
-0.00025,-0.084353,0.006349,-2.275992,-0.004203,1.768844,7
0.000016,-0.592621,-0.000046,-0.092853,0.00713,-1.537551,3
-0.000614,-0.170384,0.00408,-1.532569,-0.004978,2.17957,7
-0.001089,-0.088548,-0.000521,-0.454847,0.001048,0.722615,6
-0.000533,-0.592926,0.005144,-1.348072,-0.002746,1.358987,6
0.000413,-0.940702,0.000858,0.200214,0.004944,-1.205115,2
-0.000763,0.100134,0.000846,-1.030107,-0.003055,1.864454,1
-0.000146,-0.041457,0.005267,-2.10634,-0.003305,1.581056,6
