@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute slope11 numeric
@attribute intercept11 numeric
@attribute slope12 numeric
@attribute intercept12 numeric
@attribute slope13 numeric
@attribute intercept13 numeric
@attribute slope14 numeric
@attribute intercept14 numeric
@attribute slope15 numeric
@attribute intercept15 numeric
@attribute slope16 numeric
@attribute intercept16 numeric
@attribute slope17 numeric
@attribute intercept17 numeric
@attribute slope18 numeric
@attribute intercept18 numeric
@attribute slope19 numeric
@attribute intercept19 numeric
@attribute slope20 numeric
@attribute intercept20 numeric
@attribute slope21 numeric
@attribute intercept21 numeric
@attribute slope22 numeric
@attribute intercept22 numeric
@attribute slope23 numeric
@attribute intercept23 numeric
@attribute slope24 numeric
@attribute intercept24 numeric
@attribute slope25 numeric
@attribute intercept25 numeric
@attribute slope26 numeric
@attribute intercept26 numeric
@attribute slope27 numeric
@attribute intercept27 numeric
@attribute slope28 numeric
@attribute intercept28 numeric
@attribute slope29 numeric
@attribute intercept29 numeric
@attribute slope30 numeric
@attribute intercept30 numeric
@attribute slope31 numeric
@attribute intercept31 numeric
@attribute slope32 numeric
@attribute intercept32 numeric
@attribute slope33 numeric
@attribute intercept33 numeric
@attribute slope34 numeric
@attribute intercept34 numeric
@attribute slope35 numeric
@attribute intercept35 numeric
@attribute slope36 numeric
@attribute intercept36 numeric
@attribute slope37 numeric
@attribute intercept37 numeric
@attribute slope38 numeric
@attribute intercept38 numeric
@attribute slope39 numeric
@attribute intercept39 numeric
@attribute slope40 numeric
@attribute intercept40 numeric
@attribute slope41 numeric
@attribute intercept41 numeric
@attribute slope42 numeric
@attribute intercept42 numeric
@attribute slope43 numeric
@attribute intercept43 numeric
@attribute slope44 numeric
@attribute intercept44 numeric
@attribute slope45 numeric
@attribute intercept45 numeric
@attribute slope46 numeric
@attribute intercept46 numeric
@attribute slope47 numeric
@attribute intercept47 numeric
@attribute slope48 numeric
@attribute intercept48 numeric
@attribute destClass {2,3,7,6,4,5,1}

@data
0.009025,-0.33338,0.000567,-0.094867,0.000561,-0.07536,0.002955,-0.044381,0.003011,0.115423,-0.001509,0.230273,-0.009375,0.106699,-0.005819,-0.267659,-0.003272,-0.445155,-0.00721,-0.608749,-0.001544,-0.903412,-0.000025,-0.9559,-0.002032,-0.975346,-0.002761,-1.062715,-0.000026,-1.148963,0.001674,-1.139935,-0.001375,-1.083352,-0.000712,-1.156624,0.000239,-1.181348,0.000254,-1.169991,0.000495,-1.166453,0.009738,-1.179328,0.01498,-0.749209,0.015968,-0.169036,0.016353,0.452874,0.010015,1.071603,0.004749,1.477732,0.004317,1.768117,-0.003169,1.914344,-0.003469,1.772913,-0.00142,1.662102,-0.001728,1.62069,-0.000719,1.553949,-0.001566,1.548745,-0.002694,1.484785,-0.003794,1.355021,-0.011074,1.214761,-0.011064,0.749443,-0.013601,0.334478,-0.010069,-0.220765,-0.007267,-0.62645,-0.000837,-0.910454,0.004724,-0.92416,0.004742,-0.734616,0.007279,-0.580301,0.003091,-0.278371,0.000332,-0.18878,0.017439,-0.37869,2
0.001641,-0.765328,-0.00273,-0.800876,-0.000414,-0.909804,0.001895,-0.933038,0.003217,-0.862387,0.002846,-0.770637,0.001542,-0.660006,0.000234,-0.603185,0.00003,-0.594501,-0.00026,-0.585452,-0.00003,-0.594168,0.000062,-0.593581,-0.00034,-0.585274,0.000097,-0.583098,-0.00012,-0.57328,-0.0007,-0.569089,-0.00241,-0.591047,-0.002969,-0.697832,-0.00427,-0.84057,-0.004964,-0.996109,-0.001902,-1.183102,0.002155,-1.251602,0.009452,-1.170284,0.022163,-0.815565,0.040398,0.084331,0.041219,1.735609,-0.011548,3.33613,-0.016813,2.752518,-0.010008,2.12983,-0.011404,1.746374,-0.009482,1.283315,-0.008055,0.932403,-0.005644,0.609196,-0.004969,0.390089,-0.005042,0.213037,-0.001029,0.030172,0.000003,0.001452,0.00204,-0.00978,0.003994,0.084611,0.003947,0.239491,0.003983,0.363629,0.000711,0.579741,-0.000099,0.605206,-0.001537,0.612181,-0.003862,0.543351,-0.006964,0.392353,-0.009135,0.116033,0.010635,-0.466134,2
0.010043,-0.154617,0.000936,0.121686,-0.000197,0.156805,0.001654,0.148536,0.001443,0.223714,-0.000471,0.277621,-0.002173,0.241397,-0.001899,0.138834,-0.006695,0.085636,-0.010965,-0.185421,-0.003349,-0.630788,-0.003683,-0.698423,-0.009281,-0.864707,-0.001462,-1.245526,-0.000917,-1.277043,-0.003306,-1.292796,-0.000447,-1.446572,-0.003299,-1.464358,-0.005138,-1.605448,-0.001023,-1.821067,0.010138,-1.843358,0.014559,-1.433041,0.015321,-0.914857,0.014821,-0.32371,0.013631,0.292271,0.014721,0.808843,0.015351,1.409787,-0.000872,1.942122,-0.003506,1.884626,-0.002808,1.747676,-0.000957,1.613939,-0.006175,1.553888,-0.004092,1.322929,-0.004245,1.161284,-0.002957,1.008549,-0.003714,0.884693,-0.005231,0.723401,-0.003469,0.47928,-0.004289,0.31798,-0.007066,0.134944,-0.0076,-0.155866,-0.004015,-0.45856,0.001772,-0.605819,0.003625,-0.534839,0.00418,-0.377972,0.006249,-0.204743,0.006925,0.059913,0.016517,0.173184,3
0.003457,-0.761741,-0.001438,-0.720572,-0.001131,-0.76701,-0.000786,-0.806387,-0.000029,-0.842418,0.003048,-0.833127,0.003073,-0.729179,0.003324,-0.618709,0.001975,-0.494249,0.000562,-0.42372,0.000223,-0.400747,0.000203,-0.385866,0.000645,-0.386253,0.000394,-0.365427,0.000931,-0.352337,0.00103,-0.311415,0.001041,-0.275664,-0.000139,-0.232856,-0.002985,-0.225873,-0.005518,-0.330447,-0.008812,-0.54579,-0.004955,-0.884612,0.002083,-1.076122,0.014122,-0.986438,0.032836,-0.439315,0.043567,0.909669,0.023042,2.754435,-0.017631,3.433913,-0.015345,2.82364,-0.014292,2.145637,-0.006758,1.634242,-0.010415,1.368685,-0.009125,0.936741,-0.007062,0.603091,-0.004554,0.346487,-0.000668,0.160717,-0.001793,0.144496,-0.002875,0.046126,-0.002984,-0.063613,-0.002665,-0.179655,-0.001822,-0.306566,-0.001072,-0.385623,0.001201,-0.436108,0.00015,-0.389023,0.000098,-0.392227,0.001708,-0.379131,-0.001309,-0.301434,0.014459,-0.557659,7
-0.00003,-0.25297,-0.006292,-0.38445,-0.005277,-0.632479,-0.001887,-0.856268,-0.000183,-0.926077,0.000421,-0.937755,0.000681,-0.924038,0.00033,-0.894351,0.001024,-0.888312,0.001541,-0.844417,0.001943,-0.765455,0.002649,-0.684439,0.001568,-0.589985,0.001539,-0.526952,0.000915,-0.463501,0.001187,-0.431724,0.000185,-0.386376,-0.000825,-0.380425,-0.002018,-0.410603,-0.005586,-0.492357,-0.007075,-0.709389,-0.0066,-1.007728,-0.001371,-1.270967,0.005216,-1.349834,0.01793,-1.140169,0.042368,-0.443221,0.052362,1.274491,-0.009897,3.483897,-0.020348,2.892039,-0.013088,2.086281,-0.006578,1.605306,-0.006813,1.36496,-0.00803,1.095396,-0.007255,0.76811,-0.004279,0.48398,-0.00225,0.316589,-0.002509,0.21527,-0.001346,0.10315,0.000092,0.062191,0.001787,0.031471,0.002461,0.126297,0.001195,0.229398,0.002035,0.277892,0.005266,0.316521,0.002068,0.523892,-0.002236,0.61023,-0.006442,0.493882,0.007374,0.022751,6
0.004676,-0.419333,-0.004081,-0.337363,-0.003324,-0.501888,-0.001403,-0.610941,-0.000333,-0.675555,-0.000069,-0.686028,0.002366,-0.69034,0.002998,-0.584902,0.003201,-0.471787,0.002485,-0.360494,0.001132,-0.247242,0.000609,-0.199513,-0.000291,-0.183296,-0.001074,-0.185372,-0.002527,-0.239728,-0.003233,-0.333386,-0.004625,-0.449547,-0.005756,-0.6251,-0.005724,-0.837685,-0.005708,-1.065326,-0.005466,-1.296647,0.001336,-1.520414,0.012622,-1.449886,0.02477,-0.983122,0.032836,0.028713,0.037122,1.384945,-0.006686,2.804202,-0.012248,2.429457,-0.005638,1.957481,-0.0016,1.745026,-0.002695,1.691762,-0.005039,1.584933,-0.004547,1.390956,-0.002127,1.209148,-0.003715,1.117623,-0.007845,0.967249,-0.009326,0.651217,-0.00866,0.289153,-0.006898,-0.047,-0.004844,-0.310235,-0.003603,-0.484605,-0.001104,-0.613841,0.001175,-0.65528,0.002478,-0.608842,0.005055,-0.498056,-0.001118,-0.283976,-0.001115,-0.341484,0.015489,-0.607495,7
0.003877,-0.373474,-0.002545,-0.346175,-0.003274,-0.455104,-0.004649,-0.597085,-0.000809,-0.752967,-0.001549,-0.767835,-0.000474,-0.828098,-0.002041,-0.855575,-0.001623,-0.946761,0.000267,-1.012392,0.000727,-1.002805,0.002521,-0.978178,0.00416,-0.862961,0.004582,-0.70742,0.004652,-0.533388,0.002971,-0.357397,0.002708,-0.230297,0.002176,-0.147494,0.001984,-0.054207,-0.000066,0.011853,-0.002509,0.022159,-0.007401,-0.094121,-0.007424,-0.393712,-0.008433,-0.675701,-0.005682,-0.994331,0.002664,-1.205061,0.015,-1.077811,0.033106,-0.509501,0.044244,0.860631,0.010356,2.79424,-0.011397,2.921337,-0.009935,2.510051,-0.009998,2.109419,-0.009279,1.743793,-0.00836,1.404757,-0.005457,1.081307,-0.006069,0.864452,-0.00537,0.639045,-0.004421,0.459344,-0.004124,0.27813,-0.003868,0.112026,-0.003,-0.036615,0.000063,-0.138195,-0.001076,-0.109771,-0.0002,-0.146236,-0.001064,-0.140406,0.000188,-0.197678,0.016663,-0.394342,4
0.007362,0.176396,-0.002664,0.332865,-0.002474,0.211022,-0.000153,0.147017,0.00299,0.124798,-0.004152,0.311931,-0.000521,0.1478,-0.005778,0.088053,-0.004274,-0.191106,-0.001786,-0.327811,-0.001733,-0.412827,-0.001698,-0.473933,-0.000194,-0.56163,-0.000953,-0.559404,-0.001341,-0.593538,-0.000477,-0.658814,0.000178,-0.675236,-0.000158,-0.668821,0.000362,-0.675956,0.000254,-0.677181,0.000062,-0.662536,0.000182,-0.656936,-0.000088,-0.658856,0.00002,-0.661032,-0.001548,-0.647765,-0.004354,-0.719175,-0.00636,-0.871819,-0.007895,-1.125137,-0.003983,-1.45087,-0.001659,-1.612949,0.00413,-1.686435,0.012674,-1.538785,0.025246,-1.09125,0.037476,-0.064721,0.027066,1.509507,-0.005082,2.41126,-0.00388,2.157969,-0.004961,2.04016,-0.008298,1.84791,-0.006414,1.53591,-0.004571,1.285249,-0.003445,1.099819,-0.001411,0.974735,-0.001383,0.917642,-0.004077,0.861434,-0.004872,0.682042,-0.003762,0.47998,0.014112,0.150543,5
0.007746,-0.553067,0.001168,-0.360052,0.00238,-0.312298,0.001185,-0.201072,0.004422,-0.16579,-0.000239,-0.010579,-0.002925,-0.030184,-0.003236,-0.132723,-0.003336,-0.288951,-0.003639,-0.436826,-0.001795,-0.596418,-0.000088,-0.664189,0.0011,-0.670055,0.002416,-0.608957,0.002146,-0.526726,0.001257,-0.451836,0.001336,-0.403964,0.000571,-0.354537,0.000354,-0.334021,0.000074,-0.313816,0.00048,-0.306952,0.000303,-0.29257,0.000435,-0.275823,0.00001,-0.266467,0.000041,-0.273167,-0.000787,-0.266631,-0.000032,-0.290272,-0.001101,-0.280608,-0.001502,-0.323414,-0.0029,-0.383325,-0.001821,-0.496731,-0.00332,-0.571961,-0.003617,-0.696654,-0.005081,-0.832651,-0.002538,-1.03732,-0.000241,-1.134163,0.005431,-1.159433,0.009776,-0.944765,0.017331,-0.561502,0.020305,0.123614,0.025918,0.890642,0.023118,2.019119,-0.006273,2.859093,-0.009633,2.539872,-0.003313,2.183852,-0.002014,2.082593,-0.001658,2.01811,0.006942,1.80683,6
0.006519,-0.576073,-0.002541,-0.458869,-0.002191,-0.542906,-0.000288,-0.628545,-0.001615,-0.657015,0.00045,-0.70526,0.001416,-0.68396,0.001837,-0.638127,0.001026,-0.550005,0.000867,-0.515135,0.002294,-0.497832,0.000982,-0.420713,0.001161,-0.385759,0.000084,-0.350453,0.000028,-0.322777,0.000138,-0.320171,-0.000134,-0.312766,-0.002883,-0.295567,-0.004265,-0.426941,-0.005519,-0.612238,-0.005984,-0.822892,-0.000693,-1.055286,0.005808,-1.120262,0.017358,-0.87889,0.016631,-0.174434,0.016584,0.444959,0.020075,1.07632,0.000629,1.8861,-0.001003,1.905986,0.000418,1.868329,0.003323,1.880792,-0.000379,1.995469,-0.001683,1.950689,-0.003867,1.905708,-0.004473,1.761393,-0.009076,1.568207,-0.011786,1.189122,-0.01291,0.73482,-0.011976,0.236496,-0.009623,-0.245892,-0.005715,-0.633432,-0.00377,-0.847969,0.000137,-0.981709,0.003256,-0.970758,0.005531,-0.8286,0.001326,-0.624943,-0.001565,-0.57529,0.015671,-0.90132,1
