@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute destClass {2,3,7,6,4,5,1}

@data
-0.001159,0.094132,-0.000881,-0.898757,0.010646,-1.67835,-0.003374,1.968392,0.001267,-0.702862,2
0.000866,-0.904311,-0.000723,-0.50931,0.014069,-2.083709,-0.004733,1.403205,-0.001445,0.58851,2
-0.000382,0.196626,-0.003231,-0.581361,0.012468,-2.212252,-0.004089,1.855456,0.00122,-0.378726,3
0.000865,-0.855096,0.000491,-0.421237,0.013395,-1.880908,-0.006156,1.878915,-0.000198,-0.296374,7
-0.001485,-0.491972,0.00107,-0.720817,0.012521,-2.164062,-0.005759,1.885304,0.000909,0.133593,6
-0.000163,-0.504529,-0.00202,-0.02552,0.013642,-2.238534,-0.004966,1.99896,0.000402,-0.522787,7
-0.002018,-0.321687,0.003245,-1.128512,0.000656,-0.491333,-0.007563,3.064184,-0.001088,0.153822,4
-0.0015,0.389753,-0.000795,-0.436278,-0.002044,-0.451303,0.013889,-2.196108,-0.003332,1.530402,5
0.000243,-0.269852,0.00104,-0.695456,-0.000037,-0.283322,-0.001434,-0.517974,0.004197,1.024607,6
-0.000225,-0.548375,0.000119,-0.405957,0.0097,-1.688859,-0.00437,2.344409,-0.00043,-0.59973,1
-0.001815,-0.220223,0.001197,-0.45511,0.001263,-1.123224,-0.006372,2.835158,-0.000579,0.153588,5
0.000149,-0.757477,0.000016,-0.235867,0.00593,-1.487151,-0.003653,2.384569,-0.002363,0.0839,5
0.000755,-0.951283,0.002155,-0.670477,0.010124,-1.290953,-0.007901,2.395259,0.000669,-0.56946,2
-0.00216,-0.094575,-0.000382,-0.286177,0.006885,-1.812205,-0.009185,2.918639,0.001577,-0.105881,3
0.000438,-0.893991,0.001129,-0.439947,0.003501,-0.93572,-0.007119,2.941839,-0.001647,0.026344,4
-0.001293,-0.564965,0.002012,-0.971473,-0.001769,0.145305,-0.006,2.842101,-0.001489,0.157922,4
-0.000857,-0.410059,0.00098,-0.463717,0.002593,-1.098183,-0.003826,2.475702,-0.0043,0.515332,5
-0.002977,0.786697,-0.000503,-0.069792,-0.000025,-0.294117,-0.003529,-0.265157,0.012858,-1.238204,1
-0.002885,0.388106,-0.000005,-0.415866,0.000349,-0.344945,-0.002381,-0.312391,0.008794,-0.029422,3
-0.003424,0.386857,0.002243,-0.684878,-0.003335,-0.676133,-0.000473,1.541316,-0.001935,0.739547,4
-0.001301,0.205937,0.001834,-0.81001,-0.005447,0.322455,0.013465,-2.291127,-0.003565,1.641342,3
-0.000892,0.318737,-0.000003,-0.331614,-0.006691,0.028271,0.0082,-0.745825,-0.004072,1.385049,3
-0.003096,0.016375,0.001962,-1.13409,-0.00237,0.063436,0.002299,1.163267,-0.001726,0.446434,4
-0.001643,-0.302369,0.000394,-0.614451,0.008718,-1.815336,-0.00706,2.699606,0.001204,-0.265399,3
-0.001077,0.344133,-0.000006,-0.629957,-0.001627,-0.112134,0.01175,-2.572829,-0.004902,2.198863,5
0.000836,-0.974598,-0.000805,-0.174168,0.012699,-1.439663,-0.0035,0.917603,-0.000427,0.020353,4
-0.003254,0.514004,-0.00033,-0.301373,-0.002331,-0.886036,0.002487,0.932157,-0.005116,1.350733,1
-0.000456,-0.641389,0.000478,-0.650201,0.013343,-2.183471,-0.005041,1.920426,0.000841,-0.163146,6
-0.001171,0.057346,-0.001876,-0.287208,-0.001228,-0.407021,0.006345,0.233922,-0.00378,0.727241,4
-0.001214,-0.097674,0.001247,-0.624675,-0.000388,-0.209212,-0.00187,-0.235331,0.01082,-0.43433,3
0.000539,-0.985827,0.000666,-0.531773,0.007887,-1.500721,-0.002685,2.074297,-0.003331,0.368116,2
-0.000471,0.517145,-0.003704,0.051295,0.011041,-2.620306,-0.002202,1.673758,0.000261,-0.544271,2
0.000046,-0.320017,-0.001179,-0.609275,0.009788,-2.229159,-0.001604,1.783368,0.001324,-0.193638,6
-0.001509,-0.532199,0.002782,-1.072408,0.002148,-0.551377,-0.001364,1.995232,-0.005784,0.862777,3
-0.002533,0.136556,0.000795,-0.769799,0.006818,-1.529736,-0.007935,2.895513,-0.000604,-0.078215,6
0.000422,-0.896704,0.001479,-0.644212,0.008356,-1.188507,-0.009183,2.87632,0.000039,-0.352283,2
0.002295,-0.31126,-0.003263,-0.104829,0.012479,-2.682563,-0.002,1.672167,-0.000869,-0.194534,7
-0.002001,0.068463,-0.000009,-0.869106,0.00046,-0.527,0.010398,-0.786617,-0.004237,1.251645,4
-0.002192,-0.133815,0.000043,-0.597361,0.010146,-2.153853,-0.007975,2.523332,0.002247,-0.057905,2
0.001948,-0.352979,-0.004562,0.759578,0.004658,-2.082723,-0.002692,1.948009,-0.002243,0.275017,5
0.000896,-0.831129,0.001176,-0.2243,0.012209,-1.583748,-0.009535,2.331874,0.000885,-0.747536,2
-0.002198,-0.432261,0.003006,-0.891707,0.007669,-1.471629,-0.007802,2.780254,0.000726,-0.24309,2
0.000705,-0.740388,-0.000145,-0.152436,0.002918,-1.009492,-0.003735,2.501797,-0.002171,-0.140617,4
0.002321,-1.322366,0.006195,-0.774962,-0.003135,1.546817,-0.005166,1.025056,0.009789,-2.346882,1
0.000731,-1.006531,0.001169,-0.436995,0.003417,-0.90474,-0.002798,2.250392,-0.004386,0.45046,4
-0.000465,-0.450549,-0.000224,-0.173089,0.010339,-2.638157,-0.004471,2.082468,0.000348,0.145701,4
-0.000163,-0.504529,-0.00202,-0.02552,0.013642,-2.238534,-0.004966,1.99896,0.000402,-0.522787,7
-0.003493,0.128969,0.001721,-0.830938,0.005723,-1.515041,-0.006969,2.868375,0.001004,-0.267747,4
0.001946,-0.458266,-0.004504,0.278886,0.010676,-2.590388,-0.000435,1.514043,-0.002543,0.292341,7
-0.001665,-0.312899,0.001909,-0.780378,0.00044,-0.098562,-0.002412,-0.251923,0.004481,0.93817,3
-0.001299,-0.066168,-0.000638,-0.36614,0.000069,-0.926854,-0.002165,2.159685,-0.004907,0.882401,7
0.00099,-0.430763,-0.001314,-0.492716,-0.000536,-0.306871,0.012033,-2.098172,-0.005792,2.322004,6
-0.002578,-0.256743,0.002253,-1.063761,0.005919,-1.299728,-0.005793,2.56369,-0.00085,0.258493,6
0.000446,-0.921223,0.003629,-1.201981,0.000712,0.512646,-0.004129,0.771081,0.014758,-2.044651,2
-0.002615,0.388292,-0.000473,-0.141866,-0.003839,-0.691681,0.003586,0.505533,-0.005972,1.693908,1
0.00252,-0.503297,-0.004139,0.381841,0.007432,-2.406105,-0.002132,1.780165,-0.001699,0.378896,6
-0.001093,-0.465608,0.001068,-0.794548,0.013088,-1.977409,-0.006421,2.079305,0.000762,-0.228436,5
-0.003495,0.172172,0.001984,-0.773343,0.007547,-1.909529,-0.005727,2.448893,-0.000238,0.053164,6
-0.000512,-0.69756,0.000419,-0.497217,0.009371,-1.689756,-0.007672,2.686685,0.003196,-0.698723,2
-0.000015,-0.645277,0.000153,-0.154412,0.007813,-1.705731,-0.008715,2.970974,0.001706,-0.637871,3
0.000704,-0.91593,0.000744,-0.447765,0.012203,-1.313824,-0.005746,1.617185,-0.000412,-0.344915,4
0.001159,-0.989921,0.000671,-0.311003,0.008881,-1.747432,-0.004283,2.304101,-0.000572,-0.353127,5
0.000285,-0.787845,0.000171,-0.36819,0.010171,-1.898776,-0.003662,2.148556,-0.001542,-0.110323,4
-0.000442,0.070255,0.000632,-0.638146,-0.004246,0.017216,0.013347,-2.124833,-0.003889,1.665308,3
-0.001692,-0.378886,0.000662,-0.379747,0.012065,-2.448075,-0.006133,2.186543,0.002305,-0.328517,5
-0.003074,0.347146,-0.000049,-0.464147,-0.002973,-0.659882,0.002197,1.036174,-0.003378,1.113021,1
0.002031,-0.445985,-0.003243,0.184256,0.0084,-2.354218,-0.001817,1.898255,-0.002337,0.150257,7
0.002328,-0.599517,-0.005574,0.415377,0.013896,-2.564531,-0.003105,1.691222,0.000053,-0.367114,5
-0.001263,-0.285339,0.000065,-0.524316,0.011862,-2.695899,-0.003953,1.980703,0.00017,0.236916,4
0.001068,-1.147938,0.000727,-0.086019,0.002605,-0.771619,-0.003172,2.278762,-0.00349,0.15368,3
0.00006,-0.674583,-0.000094,-0.396092,0.013957,-2.253493,-0.00432,1.777417,-0.000252,-0.207241,6
-0.003489,0.343605,0.000993,-0.830719,0.00539,-1.428164,-0.008375,3.009571,-0.000536,0.041519,5
0.000539,-1.073426,0.001213,-0.625511,-0.001853,-0.108496,0.009751,-1.522829,-0.000242,1.570537,3
-0.002766,0.234886,-0.000821,-0.366887,-0.000387,-1.117705,0.001914,1.134571,-0.004683,1.386664,1
0.000215,-0.73348,0.000166,-0.325187,0.011033,-1.988847,-0.004672,2.231251,-0.00072,-0.312687,5
-0.000884,-0.635392,0.002034,-1.070221,-0.002094,-0.044761,0.004574,0.597064,-0.007321,1.849806,2
0.000053,-0.665582,0.001046,-0.73509,0.00923,-1.563537,-0.007544,2.707839,-0.00186,0.085717,3
-0.002991,0.594678,0.001705,-0.992484,-0.006381,0.177109,0.00598,-0.06237,-0.002643,1.102289,4
-0.001669,-0.23136,0.002093,-0.815828,0.002165,-1.370261,-0.003336,2.217403,-0.001663,0.657819,4
-0.004209,0.251853,0.00149,-0.852843,0.010104,-1.962048,-0.007471,2.246002,0.002214,-0.076219,6
0.000349,-0.692451,0.001086,-0.584082,0.009948,-1.80461,-0.006453,2.381501,-0.00116,-0.005421,7
-0.001563,0.208877,0.002092,-0.77147,-0.007119,0.429513,0.011197,-1.478463,-0.003815,1.467549,3
