@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute destClass {1,2}

@data
0.115496,-1.409068,1
0.120368,-1.469971,1
0.075314,-0.906794,2
0.110925,-1.351928,2
0.119421,-1.45813,1
0.120559,-1.472348,1
0.087722,-1.06189,2
0.120318,-1.46934,1
0.120838,-1.475838,1
0.108035,-1.315799,2
0.114189,-1.392726,2
0.114549,-1.397226,1
0.118944,-1.45217,1
0.119396,-1.457811,2
0.120478,-1.471337,1
0.117505,-1.434175,2
0.136046,-1.665937,1
0.13677,-1.674996,1
0.116612,-1.423017,2
0.118627,-1.448202,1
0.114316,-1.39432,1
0.107986,-1.315186,2
0.118833,-1.450776,1
0.127658,-1.561096,1
0.118059,-1.441102,1
0.106835,-1.300805,1
0.119252,-1.456017,1
0.105154,-1.279785,2
0.115582,-1.410142,2
0.123146,-1.504697,1
0.119432,-1.458264,1
0.119186,-1.45519,2
0.105596,-1.285317,2
0.133489,-1.633983,1
0.090957,-1.102333,2
0.114954,-1.402293,2
0.12137,-1.48249,1
0.083328,-1.006964,2
0.125214,-1.53054,1
0.116842,-1.425893,2
0.128751,-1.574755,1
0.113291,-1.381501,1
0.114766,-1.399942,2
0.107244,-1.305919,2
0.120295,-1.469058,1
0.108281,-1.318874,2
0.118159,-1.442358,2
0.113879,-1.38885,2
0.123291,-1.506503,2
0.106761,-1.299884,1
0.125025,-1.528182,1
0.108166,-1.317435,2
0.114276,-1.393812,2
0.084204,-1.017919,2
0.111116,-1.354317,1
0.112398,-1.370343,2
0.111944,-1.364664,2
0.120871,-1.476249,1
0.132087,-1.616457,1
0.085918,-1.039342,2
0.109869,-1.338729,2
0.118916,-1.451814,1
0.11219,-1.367745,1
0.118376,-1.445069,2
0.112796,-1.375313,1
0.114967,-1.402448,2
0.092877,-1.12633,2
0.112911,-1.376756,2
0.124798,-1.525336,2
0.118199,-1.442859,2
0.118911,-1.451757,2
0.11106,-1.353611,2
0.123788,-1.512712,1
0.105566,-1.284943,2
0.127099,-1.554102,2
0.111669,-1.36123,2
0.10834,-1.319621,2
0.110562,-1.347385,2
0.123529,-1.509474,2
0.120116,-1.466815,2
0.122195,-1.492809,1
0.113632,-1.385771,1
0.076953,-0.92728,2
0.114086,-1.391435,1
0.120208,-1.467963,1
0.138147,-1.692202,1
0.116663,-1.423657,2
0.113781,-1.387635,1
0.135045,-1.653434,1
0.11627,-1.418744,2
0.114319,-1.394352,1
0.115332,-1.407013,2
0.117287,-1.431451,1
0.127554,-1.559797,1
0.133589,-1.635232,1
0.104371,-1.270008,2
0.119131,-1.454509,1
0.117974,-1.440038,1
0.117925,-1.439431,1
0.128594,-1.572793,1
0.115513,-1.409279,2
0.119341,-1.457133,2
0.113942,-1.389639,1
0.119585,-1.460177,2
0.113929,-1.389474,1
0.117843,-1.438404,2
0.109915,-1.339298,1
0.1107,-1.349118,2
0.10948,-1.333863,2
0.109245,-1.330926,2
0.100029,-1.215727,2
0.115035,-1.403307,1
0.118097,-1.441583,2
0.081334,-0.98204,2
0.122189,-1.492732,1
0.097105,-1.179184,2
0.118643,-1.448404,1
0.098779,-1.200107,2
0.103907,-1.264209,2
0.10815,-1.317236,2
0.103921,-1.264378,2
0.116013,-1.415529,1
0.12244,-1.49587,2
0.098166,-1.192445,2
0.11383,-1.388244,2
0.10761,-1.310488,2
0.114541,-1.397132,2
0.113952,-1.389762,2
0.100891,-1.226509,2
0.118396,-1.445316,2
0.113301,-1.381629,2
0.114881,-1.401378,1
0.111106,-1.354191,2
0.124852,-1.526014,2
0.118066,-1.441194,1
0.107306,-1.306686,2
0.115434,-1.408294,2
0.11812,-1.44186,2
0.115486,-1.408945,2
0.118585,-1.447682,2
0.110794,-1.350293,1
0.124464,-1.521165,1
0.113517,-1.384328,2
0.121158,-1.479837,1
0.08403,-1.01574,2
0.115039,-1.403354,1
0.122164,-1.492414,1
0.134276,-1.643814,1
0.113553,-1.384775,2
0.096784,-1.175165,2
0.135284,-1.65642,2
0.104642,-1.273388,2
0.115065,-1.403679,2
0.091131,-1.1045,2
0.12022,-1.468113,1
0.111751,-1.362258,2
0.121043,-1.478407,2
0.122054,-1.49104,2
0.117733,-1.437026,1
0.117209,-1.430484,1
0.136727,-1.67445,1
0.082419,-0.995605,2
0.12927,-1.581244,1
0.118169,-1.442473,2
0.121614,-1.485546,1
0.107458,-1.308592,1
0.115753,-1.412275,1
0.125495,-1.534058,2
0.106893,-1.301532,2
0.115235,-1.4058,1
0.104725,-1.274433,2
0.135708,-1.661719,1
0.100826,-1.225695,2
0.106216,-1.293071,1
0.118234,-1.443295,1
0.110309,-1.344225,2
0.116603,-1.422908,1
0.116731,-1.424498,1
0.11673,-1.424493,1
0.098825,-1.200674,2
0.129245,-1.580931,1
0.118201,-1.442881,1
0.121019,-1.478103,2
