@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute destClass {1,2}

@data
0.605024,-2.034092,-0.04728,-1.430229,0.709204,-1.514282,0.173361,0.923279,-0.472803,1.002079,0.220641,-0.594944,0.756485,0.61333,-0.409762,1.464375,-0.409762,0.58181,3.563087,-0.269235,1
0.483291,-2.087679,-0.025516,-1.579884,0.510326,-1.426787,0.20413,0.810143,-0.293437,1.061053,0.063791,0.491189,-0.051033,0.308322,-0.051033,1.099327,-0.739973,0.691066,3.67447,-0.380618,1
1.481571,-1.649747,-0.187323,0.163908,-0.561969,-0.023415,0.561969,-1.178575,-0.187323,0.007805,-0.093662,-0.585385,-0.374646,-0.741487,0.936616,-0.460503,-0.093662,2.349344,1.693801,1.600052,2
0.617907,-2.072363,-0.043139,-1.440351,0.474525,-1.651251,0.345109,0.673442,-0.273211,1.224658,0.071898,0.764512,-0.057518,0.683028,-0.431386,0.424197,0.143795,-0.035949,3.559874,-0.266022,2
0.501425,-2.087,-0.041768,-1.550627,0.751819,-1.550627,0.083535,0.739637,-0.219281,0.840576,0.146187,0.328921,-0.062652,1.303502,-0.522097,1.073779,-0.605632,0.426379,3.932551,-0.638698,1
1.05778,-1.825697,-0.188193,-0.734848,0.241962,-1.182926,0.725886,-1.057464,-0.188193,0.555617,-0.161308,-0.259885,0.053769,-0.546655,1.935696,0.367424,-0.322616,2.088043,2.119888,1.173964,1
0.908456,-1.869327,-0.153154,-1.138021,0.280783,-1.537923,0.740245,0.555184,-0.484988,1.729366,-0.127628,0.16379,0.051051,-0.065941,-0.408411,0.087213,0.969976,-0.219096,3.104537,0.189316,2
0.508902,-2.131569,-0.036866,-1.523028,0.599073,-1.532245,0.175114,0.692006,-0.239629,0.953141,0.138248,0.538398,0.423959,0.781099,-0.387093,0.983862,-0.423959,0.301841,3.858364,-0.564511,1
0.422061,-2.119556,-0.039938,-1.502652,0.768799,-1.585855,0.379407,0.460946,-0.269579,1.003432,0.039938,0.600728,0.33947,0.727197,-0.379407,0.966823,-0.439314,0.367759,3.804721,-0.510868,1
0.602496,-2.04849,-0.06355,-1.336659,0.203359,-1.442575,0.432137,0.531698,-0.203359,1.23498,0.06355,0.900285,-0.406717,0.71811,-0.635495,0.489332,0.254198,-0.197004,3.541696,-0.247843,2
0.576898,-1.957717,-0.182514,-1.300409,-0.045628,-1.011429,0.730054,-0.022814,-0.319399,1.513342,0,0.585564,-0.365027,0.494308,-0.365027,-0.327003,-0.182514,1.041848,2.890802,0.403051,2
0.505872,-2.099142,-0.050241,-1.557467,0.828974,-1.590961,0.087922,0.983884,-0.175843,0.887589,0.01256,0.581957,-0.050241,0.276325,-0.427047,1.205781,-0.502409,0.527529,3.972104,-0.678252,1
0.55546,-2.105687,-0.041011,-1.555855,0.676682,-1.555855,0.164044,0.747596,-0.225561,0.843289,0.071769,0.381915,-0.082022,1.301245,-0.328088,0.91164,-0.717693,0.522036,3.899619,-0.605767,1
0.564026,-2.075226,-0.0976,-1.520935,0.599544,-1.632478,0.334629,0.612325,-0.306743,1.18863,0.139429,0.565848,-0.223086,0.491486,0.529829,0.352058,-0.474058,0.630915,3.583167,-0.289315,2
0.480036,-2.077032,-0.070346,-1.534906,0.597939,-1.476284,0.24621,0.735699,-0.316556,1.032715,0.08207,0.407419,0.070346,0.395695,-0.515869,1.403984,-0.49242,0.559835,3.789204,-0.495351,1
1.011957,-1.653007,-0.259098,-0.475013,-0.316676,-1.089172,0.748506,-1.137154,-0.259098,0.810882,-0.23031,-0.081568,0.23031,-0.2543,0.575774,0.379051,-0.460619,2.16395,1.820831,1.473022,2
0.786823,-2.053025,-0.301122,-1.176607,0.485141,-1.438695,0.485141,-0.423802,-0.217477,0.691466,0.066916,-0.262088,0.267664,1.154302,-0.100374,1.622714,-0.635702,1.321592,3.344039,-0.050187,1
0.830966,-1.958586,-0.177517,-1.145642,0.33531,-1.434929,0.571999,-0.724861,-0.374758,0.787321,-0.019724,-0.238333,0.631171,0.885941,-0.078896,1.714353,-0.512827,1.35932,2.999634,0.294218,1
0.583633,-2.079984,-0.054849,-1.436357,0.411367,-1.63747,0.356518,0.611337,-0.301669,1.306091,0.054849,0.711894,-0.274245,0.666186,-0.24682,0.337093,0.329094,0.117697,3.313278,-0.019426,2
0.539694,-2.13237,-0.037431,-1.494897,0.655041,-1.557282,0.233943,0.554445,-0.140366,0.885085,0.08422,0.467107,-0.20587,1.287467,-0.393025,1.062882,-0.580179,0.314264,4.008939,-0.715086,1
0.522283,-2.116995,-0.057532,-1.534183,0.479432,-1.336018,0.191773,0.837408,-0.239716,1.0132,0.124652,0.437882,0.4219,0.68399,-0.49861,1.010004,-0.460255,0.242912,3.990627,-0.696775,1
0.610327,-2.069977,-0.051407,-1.506857,0.372698,-1.416896,0.38555,0.729332,-0.321292,1.427605,0.012852,0.665074,-0.128517,0.420892,-0.07711,0.086749,-0.334143,0.523705,3.72117,-0.427318,2
0.515984,-2.132405,-0.022242,-1.613476,0.86744,-1.643132,0.133452,0.892463,-0.32251,1.04445,0.088968,0.417965,0.155694,0.351239,-0.422599,1.174195,-0.444841,0.462449,3.632117,-0.338265,1
0.62113,-2.08227,-0.124866,-1.463272,0.499463,-1.463272,0.374598,0.17039,-0.296556,1.060059,0.015608,0.092349,0.343381,1.034045,-0.374598,1.471076,-0.624329,0.690664,3.633331,-0.339479,1
