@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute slope11 numeric
@attribute intercept11 numeric
@attribute slope12 numeric
@attribute intercept12 numeric
@attribute slope13 numeric
@attribute intercept13 numeric
@attribute slope14 numeric
@attribute intercept14 numeric
@attribute slope15 numeric
@attribute intercept15 numeric
@attribute slope16 numeric
@attribute intercept16 numeric
@attribute slope17 numeric
@attribute intercept17 numeric
@attribute slope18 numeric
@attribute intercept18 numeric
@attribute slope19 numeric
@attribute intercept19 numeric
@attribute slope20 numeric
@attribute intercept20 numeric
@attribute destClass {1,2}

@data
1.68285,-2.393368,-0.189121,-1.18332,0.126081,-1.593083,0.283682,-1.372442,0.882565,0.045967,0.189121,1.086133,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
1.400359,-2.393368,-0.153098,-1.426787,-0.025516,-1.605401,0.357228,-1.375754,1.071685,-0.355102,-0.076549,1.201393,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
3.712435,-2.393368,-0.374646,0.569775,-0.093662,-0.085856,0.187323,-0.27318,0.280985,-1.397118,0.749292,-0.741487,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
1.580924,-2.393368,-0.258832,-1.157553,0.028759,-1.531422,-0.230073,-1.416385,1.121605,-0.467335,0.287591,1.056896,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
1.420528,-2.393368,-0.146187,-1.390518,0,-1.62024,0.459445,-1.453169,0.584748,0.050469,-0.229723,1.032011,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
2.760792,-2.393368,-0.483924,-0.277808,-0.268847,-0.869271,-0.053769,-1.084348,-0.483924,-0.600424,0.645232,-0.277808,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
2.480581,-2.393368,-0.510514,-0.576455,0,-1.393278,-0.459463,-1.291175,1.072079,-0.729609,0.102103,1.720857,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
1.294299,-2.393368,-0.147464,-1.375564,-0.036866,-1.559894,0.294928,-1.430863,0.884785,-0.232717,0.055299,0.946996,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
1.243498,-2.393368,0.059906,-1.549246,0,-1.569215,0.359438,-1.449402,0.259594,0.088196,0.039938,1.066667,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
1.637128,-2.393368,-0.127099,-1.188377,0,-1.442575,-0.254198,-1.290056,1.296411,-0.883339,0.076259,1.201087,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
1.883851,-2.393368,0,-1.239571,0,-1.604599,0.365027,-1.148315,1.095082,-1.239571,0.365027,0.950592,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
1.388551,-2.393368,-0.175843,-1.381624,-0.050241,-1.607708,0.351686,-1.431865,0.703372,0.226084,-0.075361,1.18066,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
1.418502,-2.393368,-0.266572,-1.282448,-0.020505,-1.610536,0.471627,-1.487503,0.82022,-0.13414,-0.020505,1.034673,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
1.518453,-2.393368,-0.223086,-1.265316,0,-1.683602,0.250972,-1.516287,0.836572,-0.3172,0.055771,1.132858,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
