@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute destClass {1,2}

@data
0.13583,-1.780539,-0.223268,1.310277,0.074031,0.775967,1
0.135459,-1.917253,-0.069745,1.057934,0.165562,0.20411,1
-0.038172,-0.106304,0,-0.491723,0.617263,-1.203305,2
0.076636,-1.6781,-0.022528,1.025581,0.152861,0.068147,2
0.158398,-1.959184,-0.051862,0.847305,0.007742,0.856915,1
0.011095,-0.921686,-0.000896,-0.124864,0.466628,-0.389161,1
-0.009904,-1.130111,-0.184636,1.597199,0.317056,-0.647178,2
0.139128,-1.928423,-0.026113,0.856879,0.061054,0.595792,1
0.17043,-2.034099,-0.024961,0.838135,0.080287,0.522406,1
0.05576,-1.584848,0.009744,0.947453,0.165319,-0.043756,2
0.060189,-1.547691,-0.004563,0.847167,0.312602,-0.443777,2
0.167513,-1.991039,-0.074105,1.08911,0.152474,0.173237,1
0.140362,-1.903539,-0.068352,0.934424,0.017142,0.81877,1
0.107272,-1.816645,-0.030674,0.967403,0.190374,0.056959,2
0.141385,-1.925738,-0.073472,1.023075,0.132645,0.358192,1
-0.10018,-0.526283,0.020152,-0.130189,0.446477,-0.351453,2
0.079259,-1.549529,-0.027324,0.222682,0.05482,1.179689,1
0.037159,-1.332101,-0.009862,0.039996,0.093586,1.115794,1
0.071876,-1.692056,-0.02651,1.019048,0.19873,-0.030005,2
0.142142,-1.910983,-0.029633,0.813342,0.008563,0.811144,1
0.142192,-1.916438,-0.06744,1.05816,0.063157,0.520691,1
0.093372,-1.727524,-0.062973,1.218266,0.206366,-0.1736,2
0.171482,-2.028539,-0.081184,1.07633,0.150159,0.251893,1
0.107791,-1.768857,-0.062433,0.721881,0.03112,0.97738,1
0.15488,-1.951866,-0.090127,1.07632,0.133017,0.340601,1
0.090213,-1.555859,-0.223157,1.446602,0.244861,-0.02329,1
0.132022,-1.885948,-0.095021,1.109147,0.142667,0.320622,1
0.077279,-1.616311,0.027891,0.876242,0.215634,-0.282849,2
0.122299,-1.861738,-0.053546,1.111446,0.220822,-0.125629,2
0.116926,-1.843764,-0.063015,0.95303,0.134706,0.400565,1
0.132877,-1.900669,-0.051774,0.936052,0.043356,0.681042,1
0.029853,-0.970014,-0.023079,-0.06693,0.467776,-0.388575,2
