@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute destClass {1,2}

@data
0.051286,-1.581504,0.693444,-1.467002,-0.479107,1.401335,0.504323,-0.414228,0.362743,0.241131,1
0.052057,-1.735036,0.68894,-1.544161,-0.186269,1.155463,0.071446,0.425697,0.341943,0.236852,1
0.185138,-0.558641,-0.196689,-0.329376,-0.149858,0.082734,0.018732,-0.797684,0.488619,1.017771,2
0.058222,-1.614527,0.724729,-1.813261,-0.17543,1.338736,-0.117912,0.936108,0.637201,-0.655895,2
0.050779,-1.715932,0.65993,-1.4657,-0.139922,0.877471,0.179601,0.585096,0.441926,-0.19306,1
0.059493,-0.994211,0.166685,-1.170379,-0.166685,0.571747,0.161308,-0.654194,0.106739,1.911404,1
0.001385,-1.129484,0.811717,-1.965053,-0.423727,1.996535,0.025526,-0.065941,0.763851,-0.788952,2
0.070089,-1.766502,0.654372,-1.548834,-0.136404,1.013355,0.106912,0.674188,0.452781,-0.204397,1
0.083504,-1.828802,0.646989,-1.501321,-0.15376,1.090629,0.105835,0.603391,0.453425,-0.173529,1
0.073367,-1.60652,0.693961,-1.80862,-0.116931,1.287514,-0.167771,1.0384,0.682919,-0.813831,2
0.018817,-1.478914,0.483661,-1.440336,-0.228142,1.534635,-0.255519,0.822832,0.733297,-0.485383,2
0.04836,-1.721387,0.723468,-1.482105,-0.145698,1.050034,0.075361,0.437095,0.382446,0.024505,1
0.046801,-1.69055,0.674631,-1.532615,-0.168145,0.989561,0.166095,0.546643,0.42928,-0.138956,1
0.025705,-1.629131,0.708298,-1.70591,-0.178469,1.244401,-0.11712,0.759189,0.39037,0.154099,2
0.044699,-1.712871,0.677664,-1.5224,-0.218072,1.169498,0.161795,0.348798,0.375629,0.111516,1
0.062111,-0.842859,0.161217,-1.474941,-0.143943,0.678454,0.190005,-0.530672,0.398713,1.120371,2
0.001116,-1.374755,0.361347,-1.361742,-0.170636,0.705964,0.562095,-0.378076,0.217125,0.920448,1
0.024399,-1.286386,0.319531,-1.457283,-0.185407,0.641362,0.579889,-0.447408,0.225169,1.03553,1
0.061756,-1.648168,0.737718,-1.87332,-0.164547,1.313404,-0.13438,0.869127,0.627004,-0.46817,2
0.07292,-1.744801,0.64194,-1.538566,-0.117907,0.965561,0.151595,0.617454,0.421864,-0.184334,1
0.053885,-1.727926,0.659699,-1.448525,-0.189855,1.167258,0.136159,0.534407,0.462523,-0.298237,1
0.038519,-1.605254,0.714552,-1.666218,-0.213338,1.500432,-0.161931,0.760176,0.56174,-0.405593,2
0.051465,-1.754733,0.716194,-1.503749,-0.2113,1.151953,0.11121,0.413517,0.42838,-0.019311,1
0.024059,-1.584786,0.499463,-1.444542,-0.234124,1.140181,0.399571,0.022632,0.33646,0.288649,1
0.044056,-1.70101,0.713901,-1.539473,-0.215831,1.173826,0.220574,0.187172,0.401236,0.027855,1
0.029403,-1.421549,0.705769,-1.501944,-0.455725,1.546978,0.395231,-0.646955,0.259843,0.589432,1
0.043884,-1.690659,0.680555,-1.546871,-0.249109,1.288346,0.202882,0.189186,0.383124,0.111669,1
0.026144,-1.50668,0.596867,-1.574446,-0.161768,1.460093,-0.262175,1.103089,0.760573,-0.946048,2
0.061273,-1.716139,0.733577,-1.691377,-0.184733,1.344668,-0.152605,0.728892,0.484077,-0.087169,2
0.047298,-1.688475,0.661656,-1.594648,-0.213919,1.161421,0.186557,0.300771,0.351366,0.22551,1
0.058358,-1.728751,0.680361,-1.561781,-0.13531,0.965274,0.144839,0.606989,0.46724,-0.245218,1
0.064366,-1.015624,0.144014,-1.056563,-0.182787,0.594057,0.232638,-0.846082,0.092408,1.941788,2
0.053235,-1.564,0.697727,-1.777574,-0.116288,1.325196,-0.179718,1.034477,0.687622,-0.863596,2
0.017582,-1.35903,0.354562,-1.437487,-0.272106,0.937253,0.544211,-0.291345,0.239618,0.817197,1
-0.007456,-1.119455,0.806317,-2.012636,-0.514095,2.078476,0.016235,0.108681,0.667339,-0.580303,2
0.07319,-1.668076,0.727147,-1.850099,-0.131505,1.2493,-0.152134,0.965661,0.644589,-0.578836,2
0.065954,-1.760399,0.599368,-1.476579,-0.067048,0.876195,0.091429,0.770543,0.451023,-0.224991,1
0.009797,-1.092284,0.772948,-1.872912,-0.612413,2.277223,-0.017837,0.029729,0.742011,-0.742011,2
0.067745,-1.794507,0.644719,-1.495829,-0.192199,1.107376,0.126511,0.382371,0.3356,0.307092,1
0.049102,-1.647819,0.596421,-1.636521,-0.162925,1.331037,-0.133831,0.999369,0.526394,-0.33583,2
0.055978,-1.347627,0.283956,-1.267608,-0.279587,0.916668,0.720811,-0.856964,0.208082,0.970699,1
0.055511,-1.717863,0.684005,-1.444066,-0.222699,1.164698,0.220711,0.361389,0.454464,-0.279983,1
0.06366,-1.667774,0.648037,-1.709453,-0.1453,1.336032,-0.191796,1.004749,0.540351,-0.34347,2
-0.017051,-1.171895,0.730022,-1.967517,-0.434317,1.793482,-0.009241,0.093178,0.548651,0.048149,2
0.062647,-1.745093,0.622437,-1.418853,-0.15777,0.945542,0.248542,0.40091,0.376729,-0.021205,1
0.067129,-1.604482,0.697286,-1.808615,-0.224225,1.560235,-0.164067,0.88209,0.631654,-0.610917,2
0.092249,-0.98119,0.087212,-1.1197,-0.139539,0.50825,0.110468,-0.549918,0.117574,1.890716,2
0.0263,-1.574127,0.708659,-1.770324,-0.163943,1.318158,-0.118991,0.879213,0.591342,-0.471029,2
-0.020971,-0.903896,0.216791,-1.376338,-0.279546,0.985544,0.268136,-0.497764,0.31219,1.181102,2
0.032724,-1.424819,0.664135,-1.437656,-0.460988,1.601737,0.437548,-0.789148,0.244663,0.646059,1
0.056757,-1.751789,0.694685,-1.568217,-0.156419,0.971294,0.16562,0.331816,0.343057,0.283195,1
-0.009808,-1.244065,0.613512,-1.752826,-0.365856,1.838192,0.0394,-0.143059,0.428469,0.329041,2
0.0492,-1.708512,0.721186,-1.606642,-0.189912,1.383876,-0.086542,0.576147,0.53056,-0.221251,2
