@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute destClass {2,1}

@data
0.005567,-0.237703,2
0.007345,-0.313253,2
0.005528,-0.236008,1
0.01222,-0.520456,1
0.011935,-0.508308,1
-0.00659,0.278987,2
-0.008774,0.371821,2
0.009873,-0.420675,1
-0.009654,0.409209,2
0.003988,-0.170574,1
0.01617,-0.688306,1
0.005346,-0.228294,2
-0.009414,0.399009,2
0.015092,-0.642486,1
0.01906,-0.811139,1
0.005328,-0.227514,2
0.000065,-0.003867,1
0.012203,-0.519703,1
0.011905,-0.507058,2
0.000836,-0.036627,2
-0.00098,0.040556,2
0.016242,-0.691357,1
0.004256,-0.181956,2
-0.002777,0.116915,2
0.015178,-0.646135,1
0.001638,-0.070691,1
0.016824,-0.716116,2
0.007844,-0.334444,2
0.014662,-0.624206,2
-0.006507,0.275454,2
-0.00302,0.127257,2
0.019733,-0.839728,1
0.017783,-0.75688,1
0.011634,-0.495513,1
0.009606,-0.409351,1
-0.000771,0.031699,2
0.016143,-0.687152,1
0.001979,-0.085181,2
0.007425,-0.316656,1
0.009412,-0.401107,1
-0.006406,0.271172,2
-0.009707,0.411462,2
0.011483,-0.489116,2
-0.011619,0.492735,2
0.001283,-0.055629,1
0.019734,-0.839788,1
-0.003952,0.166893,2
-0.0053,0.224155,2
-0.014123,0.599127,2
0.008158,-0.347799,2
-0.011377,0.48245,2
0.012326,-0.524945,1
0.00425,-0.181706,1
0.004153,-0.177575,2
0.002094,-0.090065,1
0.010995,-0.468389,1
0.009945,-0.42377,1
0.014998,-0.638504,1
0.01545,-0.657692,1
-0.013236,0.561456,2
0.013064,-0.556325,1
-0.005706,0.241436,2
0.022637,-0.963148,1
-0.001326,0.055272,1
0.014334,-0.610285,1
0.006897,-0.29421,1
0.016116,-0.685997,1
0.004389,-0.187615,1
0.0138,-0.587597,1
-0.011601,0.491969,2
-0.003529,0.148899,2
0.01709,-0.727416,1
-0.002539,0.106803,2
-0.006077,0.257184,2
-0.007212,0.30543,2
-0.006878,0.291239,2
0.017085,-0.727207,1
0.008483,-0.361599,1
0.003496,-0.149665,2
-0.004771,0.201685,2
-0.005235,0.22141,2
0.010271,-0.437606,1
0.004715,-0.201455,2
0.002638,-0.11321,2
0.006381,-0.272276,1
0.005961,-0.254449,1
0.002269,-0.097535,1
0.003616,-0.154761,1
0.012438,-0.529702,1
0.015196,-0.6469,1
0.014314,-0.60943,1
0.01441,-0.613524,1
0.004866,-0.207895,2
-0.000797,0.032795,2
0.009445,-0.402514,1
-0.008962,0.379808,2
0.009965,-0.424593,2
0.01409,-0.59991,1
-0.020901,0.887205,2
0.010323,-0.439814,1
-0.01875,0.795774,2
0.018463,-0.78577,2
0.018783,-0.799385,2
0.014709,-0.62622,1
0.011729,-0.499588,1
0.014296,-0.608649,1
0.017362,-0.738984,1
0.018151,-0.772497,1
0.001435,-0.062093,2
0.020119,-0.856153,1
0.00898,-0.382735,2
-0.009392,0.398079,1
0.001203,-0.052209,1
0.007505,-0.320039,1
0.003083,-0.132094,2
-0.004319,0.182455,2
0.004252,-0.181812,1
0.015252,-0.649315,1
-0.014529,0.616397,2
-0.009756,0.413561,2
0.00895,-0.381483,1
0.0107,-0.455828,1
0.006267,-0.26742,2
-0.000579,0.023522,2
0.008294,-0.353576,2
0.019431,-0.826898,1
0.016165,-0.688089,1
0.005655,-0.241428,2
0.011722,-0.499271,1
0.007924,-0.337871,1
0.007194,-0.306834,1
0.002436,-0.1046,1
0.011,-0.468585,1
0.014434,-0.614535,1
-0.011878,0.50372,1
0.014465,-0.615839,2
0.010903,-0.464481,2
-0.013842,0.58718,2
0.003183,-0.136364,1
0.007931,-0.338161,1
-0.005594,0.236642,2
0.023227,-0.988224,2
-0.004099,0.173112,2
-0.010298,0.43657,2
-0.006187,0.261861,1
0.011238,-0.478717,1
0.020022,-0.852024,1
0.010909,-0.464717,1
0.019615,-0.834706,1
-0.00076,0.031198,1
0.009634,-0.410533,1
0.016408,-0.698419,1
0.023159,-0.985361,1
0.009001,-0.383625,2
0.001811,-0.078048,1
0.004499,-0.19231,2
0.006113,-0.260896,1
0.008457,-0.36049,1
0.006773,-0.288958,2
0.014931,-0.635662,1
-0.00775,0.328276,2
0.010101,-0.430383,2
0.011587,-0.49352,1
0.012763,-0.543505,1
-0.003282,0.138383,2
0.016743,-0.712649,1
0.010804,-0.46026,1
-0.002924,0.123166,2
0.010787,-0.459521,1
0.014348,-0.61089,1
0.004021,-0.171988,1
0.002887,-0.123772,1
-0.002361,0.099267,2
0.01682,-0.715922,2
0.010523,-0.448307,1
-0.008315,0.352295,2
0.012672,-0.539627,1
0.010688,-0.455342,1
0.014581,-0.62077,1
0.005166,-0.220623,2
0.010547,-0.449346,2
0.007437,-0.317154,1
0.001999,-0.086062,2
0.005615,-0.239727,1
0.002767,-0.118695,2
0.001925,-0.082912,2
0.005721,-0.244216,1
0.008843,-0.376923,2
0.018841,-0.801829,1
0.013661,-0.581696,2
0.018827,-0.801235,1
-0.003361,0.141766,2
0.016738,-0.712442,1
0.017056,-0.725983,1
0.013302,-0.56641,2
-0.001446,0.060365,2
-0.001528,0.063846,2
0.002518,-0.108105,2
0.008611,-0.367037,2
0.01007,-0.429045,1
0.015857,-0.675004,1
0.007438,-0.317209,1
0.012276,-0.52282,1
0.013343,-0.568169,1
0.014447,-0.615079,1
-0.001628,0.0681,1
0.008528,-0.363511,1
0.016891,-0.718962,1
0.010392,-0.442744,1
0.006717,-0.28657,1
0.012656,-0.538975,2
0.012575,-0.53554,1
0.016274,-0.692725,1
0.011105,-0.473033,1
0.011352,-0.483558,1
0.009721,-0.414245,1
0.006034,-0.257532,2
0.016946,-0.72129,2
0.010902,-0.464443,1
-0.00263,0.110671,1
-0.002935,0.12366,2
0.01839,-0.782653,2
-0.002383,0.100206,2
0.01679,-0.714679,1
0.004162,-0.177994,1
0.012306,-0.524084,1
0.01196,-0.509404,2
0.011469,-0.488527,1
0.021261,-0.904666,2
0.007822,-0.333535,2
-0.005342,0.225932,2
0.002319,-0.099658,2
0.00311,-0.133242,1
0.010518,-0.448124,2
0.003998,-0.171001,1
0.011946,-0.508802,1
0.000955,-0.041686,2
0.015093,-0.642547,1
-0.021105,0.895865,2
0.018762,-0.798491,1
0.004154,-0.177653,2
-0.003168,0.133566,2
0.007418,-0.316364,2
0.01816,-0.772881,1
0.005552,-0.237044,1
0.006555,-0.279679,2
0.011424,-0.486587,2
0.018834,-0.801516,1
0.008989,-0.383116,2
0.008942,-0.381115,1
0.00518,-0.221249,2
0.015767,-0.671185,1
0.012046,-0.513054,1
0.009304,-0.396524,1
0.017121,-0.728749,1
-0.003234,0.13636,2
0.018612,-0.79208,1
-0.001877,0.078694,2
0.008418,-0.358834,2
0.009084,-0.387159,1
0.006229,-0.265834,1
0.012221,-0.520462,1
0.010618,-0.45234,1
0.016125,-0.686397,1
-0.017494,0.742424,2
0.004653,-0.198841,2
0.000002,-0.001164,2
-0.003361,0.141776,2
0.021662,-0.92173,2
0.007397,-0.315474,2
0.00931,-0.396769,2
0.018343,-0.780673,1
0.015597,-0.663953,1
-0.001967,0.082519,2
-0.005425,0.229471,2
0.017034,-0.725035,1
-0.007932,0.336041,2
-0.01024,0.434097,2
0.021099,-0.8978,2
0.014509,-0.617719,2
-0.011224,0.47592,2
0.021622,-0.920028,2
0.007217,-0.307805,2
0.018062,-0.768708,1
0.006347,-0.27085,1
0.000611,-0.027068,2
-0.002241,0.094168,1
0.014452,-0.615297,1
0.006345,-0.270749,1
0.001654,-0.071398,2
0.001577,-0.068091,2
0.009901,-0.42188,2
-0.005421,0.229314,2
0.012197,-0.519478,1
0.001335,-0.057816,2
0.00242,-0.103945,2
0.01066,-0.454126,1
-0.007335,0.310652,2
0.010041,-0.427827,1
-0.005152,0.217888,2
0.012256,-0.521986,1
0.011966,-0.509647,1
0.014429,-0.614314,1
0.012465,-0.530841,1
0.014219,-0.605385,1
0.004663,-0.199267,1
0.001093,-0.047543,1
0.00747,-0.318557,2
-0.0111,0.470644,2
0.00237,-0.101806,1
-0.013326,0.565253,2
0.015037,-0.640152,1
0.003764,-0.161037,1
0.00367,-0.157049,2
0.011678,-0.497401,1
-0.005039,0.213082,2
-0.001418,0.059191,2
0.004788,-0.204558,1
-0.010476,0.444154,2
-0.008553,0.362424,2
0.000069,-0.004005,1
0.00436,-0.186393,1
0.009613,-0.409631,1
-0.011064,0.469148,2
0.011256,-0.479476,1
0.01469,-0.625414,1
-0.005623,0.237877,2
0.01105,-0.470706,1
-0.006491,0.27477,2
0.001307,-0.056634,2
0.000952,-0.041568,1
0.016117,-0.686079,1
0.014233,-0.605986,2
0.017921,-0.762739,1
0.010187,-0.434054,1
0.016569,-0.705252,1
0.005594,-0.238826,2
0.013788,-0.587075,1
0.013251,-0.564234,2
0.018912,-0.804857,2
-0.010936,0.463681,2
-0.005938,0.251289,2
0.0058,-0.247577,1
0.007308,-0.311666,1
0.010271,-0.4376,2
-0.009643,0.408743,2
-0.010118,0.428908,2
0.003215,-0.137709,2
-0.00344,0.145111,2
0.010677,-0.454866,1
0.01171,-0.498757,1
-0.017809,0.755776,2
0.021576,-0.918062,1
0.006075,-0.259291,1
0.012888,-0.54884,1
0.017479,-0.743938,1
-0.006881,0.291353,2
-0.012328,0.522852,2
0.016949,-0.721415,1
-0.006182,0.261655,2
0.008065,-0.343871,2
0.002013,-0.086642,2
0.015171,-0.645856,1
-0.00044,0.017611,1
0.00876,-0.373371,1
0.019324,-0.822349,1
-0.00196,0.082227,1
0.007903,-0.33695,2
-0.012929,0.548374,2
0.015724,-0.669365,1
0.000228,-0.010773,2
0.010456,-0.445479,1
0.001043,-0.0454,1
0.006798,-0.290004,2
0.0077,-0.32832,1
0.015906,-0.677107,1
-0.003941,0.166402,2
0.001242,-0.053861,2
0.017827,-0.75872,2
0.020527,-0.873477,1
0.00156,-0.067386,2
0.009177,-0.391123,2
0.016768,-0.713717,1
-0.008335,0.353133,2
0.006179,-0.263702,1
0.003619,-0.154899,2
0.004661,-0.199167,2
0.015082,-0.642071,1
0.012916,-0.550014,1
0.002559,-0.109825,1
-0.009413,0.398964,2
-0.01481,0.628354,2
-0.012612,0.534926,2
0.020871,-0.888126,1
0.010332,-0.440189,2
0.011316,-0.482025,1
-0.004941,0.208894,2
0.004716,-0.201504,1
0.01515,-0.644981,1
0.005432,-0.231934,2
0.012699,-0.54078,1
0.012844,-0.546966,1
-0.005532,0.234041,2
-0.002599,0.109375,2
0.001376,-0.059585,1
-0.009389,0.397955,2
-0.008777,0.371934,2
0.012999,-0.553545,1
0.016261,-0.692183,2
0.009213,-0.392638,2
0.010217,-0.435297,1
0.009747,-0.415339,1
0.013898,-0.591742,1
0.011872,-0.505641,1
0.017744,-0.755187,1
0.010169,-0.43328,1
-0.012123,0.514137,2
0.008756,-0.373236,1
0.004522,-0.193265,2
-0.000618,0.025183,2
0.01013,-0.43162,2
-0.002063,0.086572,2
0.007671,-0.327125,2
0.011102,-0.472922,1
-0.01357,0.575643,2
0.000957,-0.041742,1
0.02239,-0.952652,1
0.00315,-0.13498,1
0.004871,-0.208101,2
0.010176,-0.433556,1
0.006991,-0.298214,2
-0.003802,0.160488,2
0.006425,-0.274162,2
0.020638,-0.878183,1
0.013168,-0.560713,1
-0.008098,0.343082,2
0.01825,-0.776699,1
0.013881,-0.59104,1
-0.011337,0.48072,2
-0.006638,0.281022,2
0.010085,-0.429691,1
0.007147,-0.304821,1
0.012349,-0.52594,1
0.017978,-0.765138,1
-0.000159,0.005685,1
0.002795,-0.119876,2
0.01218,-0.518745,1
-0.016006,0.679177,2
0.012042,-0.512873,1
0.010211,-0.435068,2
0.001547,-0.066819,1
0.012459,-0.53058,1
0.008615,-0.367216,1
0.00931,-0.39678,1
0.00881,-0.375493,1
0.014714,-0.62642,1
0.00803,-0.342347,1
0.009456,-0.402955,1
0.003784,-0.161895,1
0.012282,-0.523089,1
0.012009,-0.511452,1
0.002688,-0.115328,1
-0.000709,0.029042,2
-0.012488,0.529663,2
0.00585,-0.249705,1
0.002509,-0.107728,1
0.004886,-0.208748,1
-0.016704,0.708813,2
0.016543,-0.704174,2
0.005398,-0.230486,1
-0.003985,0.16826,2
0.005436,-0.232134,1
0.003001,-0.128643,1
0.004375,-0.187039,1
0.014978,-0.637648,1
0.020385,-0.867441,1
0.007665,-0.326848,1
0.002269,-0.0975,2
0.006796,-0.289934,2
0.003652,-0.1563,1
0.001218,-0.052841,1
0.01363,-0.580357,1
0.017901,-0.761871,2
0.002045,-0.088009,1
-0.00461,0.194828,2
-0.012212,0.517914,2
0.01192,-0.507703,1
-0.000535,0.021636,2
0.014133,-0.601758,1
0.005609,-0.239479,1
0.004119,-0.176142,2
0.014129,-0.601571,1
0.005011,-0.214065,1
-0.008025,0.339984,2
0.01703,-0.724851,1
-0.00711,0.301078,2
-0.003773,0.159256,2
0.008978,-0.382669,1
-0.007418,0.31418,2
-0.005435,0.229898,2
0.00395,-0.168944,1
0.009806,-0.417824,1
-0.011925,0.505738,2
0.017233,-0.733476,1
0.01128,-0.480481,2
0.00472,-0.201709,1
0.021278,-0.905417,2
0.002025,-0.087158,2
0.010648,-0.453626,2
-0.012529,0.531387,2
0.000701,-0.030882,1
0.020692,-0.880514,1
0.011544,-0.4917,1
0.021202,-0.902163,1
0.016269,-0.692522,1
0.00559,-0.238644,2
0.010764,-0.458579,2
0.004704,-0.201002,1
0.003047,-0.130579,1
0.006708,-0.286186,2
0.0193,-0.821357,1
-0.008492,0.35984,2
0.012533,-0.533732,1
-0.005206,0.220166,2
0.022597,-0.961471,1
0.017742,-0.755117,2
0.011216,-0.477777,1
0.007796,-0.332439,1
-0.009441,0.400146,2
-0.004658,0.196867,2
0.000858,-0.037542,1
-0.014436,0.612434,2
0.005701,-0.243362,2
-0.016021,0.679793,2
0.014273,-0.607692,1
0.004075,-0.174282,2
-0.018966,0.804957,2
0.00091,-0.039777,2
0.005591,-0.238699,1
-0.002292,0.096317,1
0.010935,-0.465824,2
0.010994,-0.468324,1
-0.00448,0.189318,2
0.011188,-0.476584,2
-0.012269,0.520354,2
0.002499,-0.107277,1
-0.006713,0.284229,2
0.000156,-0.007716,1
0.011154,-0.475123,2
0.023654,-1.006397,2
0.008881,-0.378521,1
-0.000374,0.014797,1
0.01577,-0.671322,1
-0.009257,0.39233,2
-0.012783,0.542184,2
0.012701,-0.540864,1
0.010742,-0.457634,1
0.013853,-0.589858,1
-0.002226,0.093497,2
0.002352,-0.10103,1
0.012319,-0.524636,2
0.0107,-0.455837,1
0.014802,-0.630176,1
-0.017523,0.743649,2
0.014358,-0.611303,1
0.013237,-0.563661,1
0.015123,-0.643794,1
0.002562,-0.10998,1
0.009596,-0.408919,1
0.019576,-0.833082,1
0.001442,-0.062378,1
0.003408,-0.14592,1
0.011958,-0.509304,1
-0.003356,0.141527,2
0.012783,-0.544382,1
-0.00208,0.08731,2
