@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute destClass {2,1}

@data
0.648722,-3.018852,0.138166,-0.86854,0.072745,0.256936,0.00496,0.844285,-0.165268,0.94233,-0.446525,0.160846,0.10079,-0.664755,-0.020295,0.024513,0.024984,-0.221014,0.71595,-1.269669,2
0.528122,-4.144906,0.1485,-0.698638,0.024249,0.520471,0.038553,0.711979,0.02091,1.051971,-0.012529,1.335327,-0.234495,0.284729,-0.015628,-1.458996,0.109454,-1.41424,0.799768,-1.718386,2
0.532579,-3.14647,0.118489,-0.417892,-0.014523,0.594434,0.043121,0.00284,-0.03755,0.762433,-0.060115,0.417909,-0.040638,-0.189641,0.092509,-0.756978,0.434466,-2.564746,0.679069,-1.18817,1
0.453759,-4.137349,0.246378,-1.548385,0.134104,0.812189,-0.088763,2.016195,-0.122182,0.947338,-0.032909,-0.040351,-0.031267,-0.327538,-0.028356,-0.580514,0.077613,-1.001659,0.686191,-1.0292,1
0.5045,-3.547752,-0.0166,-0.811214,0.196757,-0.144448,0.061551,1.556967,-0.133689,1.183571,-0.050448,0.005905,0.106523,-1.286866,-0.018686,-0.583424,-0.008913,-0.743155,0.753305,-0.863779,1
0.551872,-3.210538,0.160063,-0.452864,-0.037091,0.757315,0.009805,0.588503,0.02614,0.797479,0.01971,0.97028,-0.30421,1.368996,-0.126023,-1.165252,0.055935,-1.966657,0.876853,-2.676421,2
0.567432,-3.300847,0.215155,-0.691314,0.009873,0.946016,0.00835,1.057763,0.028787,1.186159,-0.337759,1.490488,-0.02575,-0.802815,-0.00849,-1.338552,0.049991,-1.183028,0.78652,-2.482814,2
0.454224,-4.1874,0.287696,-1.491281,0.111568,1.008698,-0.028351,1.636377,-0.115169,0.975289,-0.038623,0.050258,-0.040795,-0.285944,-0.036208,-0.599603,0.099622,-1.120778,0.72974,-1.400619,1
0.52316,-2.862805,0.185863,-0.215389,-0.103133,1.241655,0.012545,0.536204,0.006895,0.668946,-0.01234,0.932042,-0.329527,0.594044,-0.036581,-1.801955,0.158239,-1.991729,0.826541,-2.074093,2
0.535723,-3.423024,0.112654,-0.681687,0.117043,0.766294,-0.068545,1.827887,-0.242263,0.769656,0.099031,-1.158291,0.037035,-0.800265,-0.005592,-0.27426,0.081179,-0.482222,0.772803,-1.908769,1
0.509709,-3.644455,0.189165,-1.223288,-0.529213,2.384449,-0.006348,0.620356,-0.093255,0.665738,0.050504,0.046137,-0.032227,0.317274,-0.052608,0.046783,-0.024826,-0.434633,0.81692,-1.664104,1
0.5845,-3.394201,0.009233,0.002067,0.051166,0.041875,-0.002672,0.828805,-0.011497,0.555531,0.400565,-1.827906,-0.045473,0.286511,-0.100705,-0.107789,0.045459,-1.393334,0.747273,-1.432789,2
0.565858,-3.267719,0.174235,-0.480835,0.013106,0.92236,0.015159,1.033125,0.020833,1.250326,-0.35487,1.443985,-0.002015,-0.888655,0.013806,-1.331789,0.02773,-1.10552,0.793943,-2.571193,2
0.439502,-4.145701,0.33475,-2.188261,0.075734,0.578787,0.023929,1.422733,-0.09869,1.398192,-0.065251,0.4979,-0.0463,0.015943,-0.050249,-0.337578,-0.03117,-0.706143,0.897037,-2.130517,1
0.475362,-3.888653,0.234313,-1.893439,-0.161003,1.856848,0.014823,0.734347,-0.076381,0.895723,-0.058684,0.293636,-0.044474,-0.276443,-0.052426,-0.603084,0.101602,-1.232353,0.485969,0.706627,1
0.410931,-3.482779,0.101747,-0.430972,-0.109624,1.400329,0.00574,0.783349,-0.020691,0.80206,-0.07718,0.622813,-0.006878,-0.13735,-0.130707,-0.109275,0.037407,-1.327823,0.855901,-2.138084,2
0.414945,-2.369431,0.092088,-1.17624,-0.052961,0.656699,0.050854,0.67314,-0.041861,0.917011,0.102426,0.743485,-0.258488,0.816022,0,-1.012529,0,-1.012529,0.796414,-2.605357,1
0.494037,-3.839064,0.16668,-1.368178,0.150982,0.56975,-0.044295,1.755128,-0.190293,1.364753,-0.05468,-0.140511,-0.039728,-0.614331,-0.029303,-0.939842,0.213936,-1.348642,0.73031,-0.657687,1
0.572327,-3.586478,0.053506,-0.09655,0.01933,0.287715,0.006479,0.423331,-0.442149,1.172372,0.004992,0.126218,0.045659,0.107843,-0.392423,1.061564,-0.104623,0.252906,0.768401,-1.626178,2
0.521944,-3.547811,0.063865,-0.589466,0.119212,-0.271889,0.01259,1.145876,0.004773,0.923977,-0.010551,0.9223,-0.086066,0.984267,-0.121518,0.004674,-0.118982,-1.167545,0.802829,-3.109121,2
0.567858,-3.473251,0.0234,-0.211888,0.027713,-0.015899,0.153713,0.302436,-0.028179,2.114337,-0.264326,1.552258,-0.198866,-0.058213,0.007527,-1.084706,0.01724,-1.081876,0.797589,-2.431413,2
0.478935,-3.596682,0.03637,-1.245626,0.10842,0.640123,-0.005167,1.374936,-0.100154,0.864561,-0.036228,-0.030909,-0.04645,-0.345042,-0.035884,-0.729025,0.151787,-1.459746,0.666378,0.019706,1
0.475558,-3.290018,0.035263,-0.899338,0.131709,-0.109664,-0.079231,1.261059,0.062166,0.676628,-0.007729,1.149093,-0.115554,1.049395,-0.115688,-0.210477,-0.166479,-1.199375,0.703465,-2.137384,2
0.424063,-2.505948,0.157215,-0.724615,0.057222,0.502197,0.00157,1.117193,-0.021535,1.179939,-0.181532,0.736537,-0.076853,-0.681454,-0.095226,-1.7041,0.259432,-1.582091,0.716623,-1.167948,2
0.476092,-3.876239,0.214885,-1.750502,0.015667,1.289489,-0.039562,1.453732,-0.12576,0.908099,-0.058787,0.108737,-0.024847,-0.409483,-0.048196,-0.655571,0.116526,-1.256416,0.58684,0.032251,1
0.530988,-3.36097,0.23495,-0.966201,-0.516723,3.290602,0.033673,0.550765,0.039785,-0.182134,-0.053698,0.717642,-0.121529,0.237044,-0.092327,-0.843128,0.227962,-2.040513,0.832905,-1.595941,1
0.628881,-3.890607,0.171755,-1.394936,-0.060422,0.683562,0.178469,-0.727985,0.042776,0.496854,0.012599,0.768189,-0.225193,0.725277,0.062692,-1.114684,0.161425,-0.626871,0.710415,-1.288322,2
