@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute slope11 numeric
@attribute intercept11 numeric
@attribute slope12 numeric
@attribute intercept12 numeric
@attribute slope13 numeric
@attribute intercept13 numeric
@attribute slope14 numeric
@attribute intercept14 numeric
@attribute slope15 numeric
@attribute intercept15 numeric
@attribute slope16 numeric
@attribute intercept16 numeric
@attribute slope17 numeric
@attribute intercept17 numeric
@attribute slope18 numeric
@attribute intercept18 numeric
@attribute slope19 numeric
@attribute intercept19 numeric
@attribute slope20 numeric
@attribute intercept20 numeric
@attribute destClass {2,1}

@data
1.861835,-5.044214,-0.209967,0.89353,0.205889,-0.988718,0.077535,0.058708,0.093114,0.362519,0.017875,0.786189,-0.003886,0.879424,0.002647,0.869207,-0.392778,0.887922,-0.186206,0.001691,-0.013148,-0.918141,-1.951276,0.38461,0.105098,-0.693096,0.026472,-0.12824,0.114575,-0.188959,-0.190901,0.210412,-0.000734,-0.182808,0.049516,-0.157507,0.023684,0.110889,2.503126,-1.428795,2
1.394967,-5.570507,0.157846,-1.345486,0.131515,-0.502744,0.10052,0.229594,0.023749,0.542171,0.008512,0.727913,0.029412,0.830648,0.01848,1.009672,0.018129,1.107469,0.023215,1.16998,0.029182,1.283001,-0.102207,1.407666,-0.309461,0.402466,-0.142606,-0.796371,-0.074792,-1.363824,0.064104,-1.647536,0.085781,-1.374924,0.14531,-1.034013,0.161734,-0.423622,2.518485,-1.435101,2
1.71776,-5.135002,-0.109829,0.007602,0.110431,-0.284493,0.081834,0.304845,-0.003887,0.581866,-0.124977,0.470744,-0.072323,0.173976,0.102812,0.476919,-0.039152,0.701684,-0.044279,0.533213,-0.045501,0.341277,-0.090628,0.16408,-0.050428,-0.178095,-0.040896,-0.348663,-0.025012,-0.534612,0.3575,-0.83051,0.762264,-3.095676,-0.018879,-0.10763,-0.011282,0.208067,2.523694,-1.599539,1
1.414416,-5.736264,0.006065,-1.588592,0.258107,-1.329419,0.254107,-0.084392,0.120837,1.167456,0.035235,1.766556,-0.083292,1.78985,-0.171656,1.380823,-0.131429,0.661044,-0.073441,0.200494,-0.040753,-0.072286,-0.025649,-0.211526,-0.030414,-0.329184,-0.033292,-0.449203,-0.032253,-0.574946,-0.02535,-0.698166,-0.016796,-0.813333,0.321503,-1.103756,-0.17184,0.542857,2.456257,-1.224545,1
1.595705,-5.364066,-0.029933,-0.680952,-0.021032,-0.824599,0.270894,-1.145758,0.174238,0.357412,0.133863,1.187763,0.072006,1.78528,-0.353653,2.078325,-0.120515,0.861391,-0.114548,0.390624,-0.06488,-0.043751,-0.027556,-0.274279,-0.383777,-0.745242,-0.023418,-0.47204,-0.029727,-0.569981,-0.017625,-0.656642,-0.016023,-0.733304,-0.004408,-0.784753,0.226255,0.227796,2.243554,-0.38693,1
1.78364,-5.305421,-0.185444,0.22762,0.16192,-0.322976,0.072414,0.595224,-0.013787,0.590319,0.031223,0.502636,-0.010445,0.642368,0.055931,0.65294,0.02749,0.855497,0.005301,0.96746,0.013442,1.000586,0.031946,1.048874,-0.121265,1.158909,-0.281297,0.053455,-0.174673,-1.092529,-0.078179,-1.740859,0.066913,-1.965139,0.102509,-1.830764,0.104816,-1.168298,2.769101,-2.357445,2
1.694972,-5.175049,-0.008866,-0.092921,0.210986,-0.653405,0.02087,0.91621,0.018479,0.951101,0.026257,0.994072,-0.002496,1.091568,0.039184,1.106829,0.023148,1.246679,0.017853,1.375222,-0.646997,1.612576,-0.121481,-0.503303,0.179651,-1.092325,-0.171656,-0.705552,-0.059311,-1.260309,0.048768,-1.460411,0.108094,-1.272418,-0.015266,-0.882942,0.012434,-0.92097,2.842894,-2.822013,2
1.407043,-5.771584,0.020699,-1.655021,0.323049,-1.251892,0.200644,0.288128,0.13177,1.26518,-0.049617,1.737905,-0.022169,1.617239,-0.176317,1.418327,-0.121817,0.704504,-0.066317,0.266403,-0.043911,0.011661,-0.030888,-0.151891,-0.038661,-0.288444,-0.040687,-0.449987,-0.0398,-0.594492,-0.033505,-0.748209,-0.022452,-0.880971,0.403123,-1.234235,-0.099048,0.138763,2.506367,-1.442798,1
1.750805,-4.906155,-0.065328,0.127341,0.206047,-0.122578,-0.019648,1.16643,-0.203548,1.249013,0.015157,0.510655,0.0129,0.557266,0.018465,0.636878,-0.015759,0.707084,0.076909,0.656077,-0.00984,0.921323,-0.02199,0.884122,-0.443482,0.768107,-0.205555,-0.913149,-0.078,-1.741398,-0.000188,-2.001296,0.102349,-1.912268,0.200135,-1.417247,0.151539,-0.718788,2.59851,-1.768688,2
1.649556,-5.278757,-0.018443,-0.378176,0.029299,-0.508494,0.239572,-0.038641,0.112177,1.038325,0.043336,1.590516,-0.069775,1.692976,-0.074707,1.263877,-0.187541,-0.124306,-0.010926,-0.774708,-0.064417,-0.927683,0.305383,-0.937226,-1.105518,0.541131,-0.012198,-0.205842,-0.012884,-0.264674,-0.002626,-0.299722,-0.054936,-0.314678,0.100081,-0.149228,-1.178795,0.930032,2.440894,-1.231098,1
