@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute destClass {2,1}

@data
0.076134,-1.067894,-0.111067,1.274609,0.073146,-0.698379,2
0.143114,-2.423724,-0.016498,1.191086,0.124759,-2.246869,2
0.084372,-1.30349,-0.018644,0.516273,0.092667,-1.392077,1
0.203703,-3.195037,-0.085941,1.622281,0.101493,-1.452113,1
0.135012,-2.332936,-0.123681,2.144583,0.117835,-1.563329,1
0.093047,-1.326105,0.016925,0.657448,0.071341,-1.868505,2
0.117441,-1.532747,-0.084203,1.778075,0.082809,-1.857308,2
0.203969,-3.138953,-0.081102,1.581244,0.094377,-1.445644,1
0.086532,-0.990846,-0.006825,0.743399,0.127293,-2.621265,2
0.147085,-2.026377,-0.110505,1.45806,0.0662,-0.838832,1
0.096358,-1.864394,-0.014237,0.542485,0.064152,-0.691041,1
0.084315,-1.368586,-0.028641,0.720618,0.067555,-1.051498,2
0.114453,-1.471591,-0.090724,1.832706,0.075867,-1.745623,2
0.183905,-3.213078,-0.073016,1.778171,0.075358,-1.142409,1
0.160668,-2.739286,-0.050348,1.057686,0.144239,-1.808548,1
0.137867,-2.156974,-0.038065,1.035336,0.065399,-1.171673,2
0.075085,-1.328166,0.012196,0.751068,0.070618,-1.624551,1
0.174264,-2.752286,-0.100423,1.75947,0.148045,-2.044355,1
0.094304,-1.545557,-0.014336,0.196884,0.050617,-0.44937,2
0.106652,-1.922672,-0.017621,1.23762,-0.016948,-0.355975,2
0.077643,-1.457594,-0.072413,2.022843,0.085493,-1.818766,2
0.153756,-2.589717,-0.076915,1.436192,0.150853,-1.959337,1
0.111827,-2.034283,0.002707,0.94095,0.012704,-0.70321,2
0.095724,-1.318644,-0.083255,1.669899,0.154855,-2.638486,2
0.178313,-2.871485,-0.074577,1.377602,0.135024,-1.783107,1
0.112295,-1.550523,-0.013664,0.52604,0.110558,-1.864967,1
0.089739,-1.827567,0.01781,0.334127,0.112613,-1.536285,2
0.135625,-1.996672,-0.002026,0.267315,0.099297,-1.48992,2
