@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute slope11 numeric
@attribute intercept11 numeric
@attribute slope12 numeric
@attribute intercept12 numeric
@attribute slope13 numeric
@attribute intercept13 numeric
@attribute slope14 numeric
@attribute intercept14 numeric
@attribute slope15 numeric
@attribute intercept15 numeric
@attribute slope16 numeric
@attribute intercept16 numeric
@attribute slope17 numeric
@attribute intercept17 numeric
@attribute slope18 numeric
@attribute intercept18 numeric
@attribute slope19 numeric
@attribute intercept19 numeric
@attribute slope20 numeric
@attribute intercept20 numeric
@attribute slope21 numeric
@attribute intercept21 numeric
@attribute slope22 numeric
@attribute intercept22 numeric
@attribute slope23 numeric
@attribute intercept23 numeric
@attribute slope24 numeric
@attribute intercept24 numeric
@attribute slope25 numeric
@attribute intercept25 numeric
@attribute slope26 numeric
@attribute intercept26 numeric
@attribute slope27 numeric
@attribute intercept27 numeric
@attribute slope28 numeric
@attribute intercept28 numeric
@attribute slope29 numeric
@attribute intercept29 numeric
@attribute slope30 numeric
@attribute intercept30 numeric
@attribute slope31 numeric
@attribute intercept31 numeric
@attribute slope32 numeric
@attribute intercept32 numeric
@attribute slope33 numeric
@attribute intercept33 numeric
@attribute slope34 numeric
@attribute intercept34 numeric
@attribute slope35 numeric
@attribute intercept35 numeric
@attribute slope36 numeric
@attribute intercept36 numeric
@attribute slope37 numeric
@attribute intercept37 numeric
@attribute slope38 numeric
@attribute intercept38 numeric
@attribute slope39 numeric
@attribute intercept39 numeric
@attribute slope40 numeric
@attribute intercept40 numeric
@attribute slope41 numeric
@attribute intercept41 numeric
@attribute slope42 numeric
@attribute intercept42 numeric
@attribute slope43 numeric
@attribute intercept43 numeric
@attribute slope44 numeric
@attribute intercept44 numeric
@attribute slope45 numeric
@attribute intercept45 numeric
@attribute slope46 numeric
@attribute intercept46 numeric
@attribute slope47 numeric
@attribute intercept47 numeric
@attribute slope48 numeric
@attribute intercept48 numeric
@attribute destClass {2,1}

@data
9.036146,-8.637996,0.021982,0.503921,-0.034415,0.607302,-0.08236,0.804101,-1.107348,0.688301,-0.070689,-0.853947,0.135421,-0.59134,0.047752,-0.058858,0.080927,0.19553,0.073318,0.267343,0.019844,0.392721,0.180181,0.522523,0.079915,0.71322,0.053639,0.786384,0.032357,0.828899,-0.002358,0.871353,-0.063868,0.90895,0.01035,0.871103,0.040923,0.849616,-0.286563,0.785365,-0.894596,0.402727,0.049757,-0.12686,-0.50673,-0.19989,0.03036,-0.935359,-0.020367,-0.945364,0.096914,-0.980951,-6.731189,-0.786521,0.022313,-0.650792,0.195171,-0.528847,0.046996,-0.142343,-0.024782,-0.045828,0.34035,-0.271782,0.129319,0.002754,-0.31335,0.27793,-0.018099,-0.264086,0,-0.181551,0.01152,-0.192027,0.041789,-0.144955,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
7.543629,-8.637996,-0.166396,-1.251307,0.147011,-1.501493,0.157194,-1.19375,0.044035,-0.804107,0.116523,-0.489427,0.095994,-0.243955,0.127027,0.055676,0.141725,0.346242,0.024929,0.555664,0.035593,0.553299,-0.001894,0.560407,0.021295,0.687233,-0.018894,0.764076,0.011812,0.747542,-0.006063,0.839612,-0.0053,0.915602,0.00528,1.019644,0.058663,1.023167,0.04638,1.096365,0.01405,1.142745,0.009357,1.175518,0.025945,1.216437,0.034739,1.277997,0.005824,1.355269,-0.029117,1.361092,-0.255534,1.289946,-0.483122,0.490495,-0.126217,-0.309275,-0.183841,-0.774744,-0.093295,-1.107247,-0.123373,-1.34148,-0.041782,-1.527965,0.046693,-1.628397,0.164988,-1.580204,0.07304,-1.368115,0.102028,-1.211923,0.250517,-1.08156,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
8.719696,-8.637996,-0.038271,0.05758,-0.027015,-0.017998,-0.064643,-0.058199,0.009648,-0.421939,0.129563,-0.304506,0.15327,-0.050343,0.144724,0.108716,0.190649,0.395462,0.118696,0.494431,0.028257,0.563149,-0.081182,0.61139,-0.162642,0.574313,-0.206343,0.4374,-0.049527,0.036675,-0.05403,0.162746,-0.107289,0.048897,0.225384,0.417845,-0.002058,0.732765,-0.009327,0.688254,-0.057117,0.630879,-0.032676,0.526678,-0.061749,0.454123,-0.055831,0.345291,-0.044382,0.250867,-0.049621,0.147585,-0.09957,-0.016712,-0.059819,-0.173014,-0.03795,-0.285576,-0.03602,-0.352471,-0.056731,-0.421167,-0.029771,-0.529999,-0.00239,-0.59818,-0.094553,-0.653497,0.417448,-0.096471,-8.807443,0.398164,0.003859,0.099067,-0.2441,0.030565,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
7.212519,-8.637996,-0.035099,-1.451659,-0.023331,-1.535277,-0.03713,-1.582891,0.083455,-1.602121,0.264729,-1.331724,0.273697,-0.819644,0.22473,-0.301711,0.259157,0.168319,0.309962,0.645166,0.198485,1.123113,0.060389,1.455097,0.051733,1.630354,0.175152,1.809414,-0.075311,1.892185,-0.043437,1.768508,-0.134459,1.650263,-0.160289,1.378657,-0.154882,1.025607,-0.150827,0.671109,-0.109097,0.386653,-0.09331,0.208981,-0.065155,0.050917,-0.049371,-0.068032,-0.032578,-0.157825,-0.020552,-0.214294,-0.032501,-0.25918,-0.035216,-0.326523,-0.023529,-0.393715,-0.03185,-0.450047,-0.035719,-0.51445,-0.032728,-0.575157,-0.035368,-0.637447,-0.028506,-0.69657,-0.022053,-0.750532,-0.045127,-0.800458,0.001206,-0.854635,-0.010015,-0.883231,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
8.137138,-8.637996,-0.040203,-0.529616,-0.053116,-0.624989,-0.03184,-0.712733,-0.030519,-0.769077,-0.02421,-0.822486,-0.01884,-0.869146,-0.003522,-0.907001,-0.007043,-0.924022,0.690462,-0.47235,0.192801,0.35633,0.197202,0.682193,0.141739,1.062387,0.141446,1.303902,0.129355,1.597359,0.07982,1.778128,0.038233,1.949423,-0.055024,1.970489,-0.320455,1.312941,-0.134477,0.865844,-0.126773,0.626017,-0.153361,0.409152,-0.082755,0.146508,-0.123603,-0.017124,-0.028025,-0.189206,-0.048421,-0.263451,-0.003521,-0.341804,-0.023477,-0.379953,3.619436,-4.059841,-0.021129,-0.472099,-0.017021,-0.52316,-0.060599,-0.553533,0.009244,-0.649933,-0.021921,-0.654863,-0.016287,-0.692191,-0.02465,-0.729167,-0.008804,-0.768783,-0.000528,-0.786391,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
8.452782,-8.637996,0.234673,-0.114951,0.159358,0.127739,-0.457745,0.118319,0.023133,-0.402731,0.225796,-0.317626,0.064979,-0.04318,0.112764,0.435161,0.152408,0.68072,0.085958,0.776266,0.308381,0.458862,-0.000001,0.542716,0.007051,0.502191,0.044734,0.519109,-0.000005,0.616611,-0.006419,0.640958,-0.009645,0.620476,0.031604,0.657018,0.015573,0.793068,0.022124,0.860238,0.049328,0.897498,0.03903,0.952408,-0.013932,0.985867,0.047824,0.988188,0.017399,1.020699,0.051013,1.041575,0.030755,1.111126,-0.078627,1.14307,-0.120066,0.910299,-0.480431,0.125664,-0.301029,-0.471915,-0.150445,-1.104281,-0.196004,-1.431572,-0.132385,-1.72286,-0.096806,-1.878799,-0.019144,-1.918489,0.181937,-1.892445,0.022265,-1.777265,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
8.611165,-8.637996,0.006773,-0.058356,0.039482,-0.15076,0.13459,-0.154695,-0.130257,-0.068467,-0.045651,-0.400815,0.023271,-0.5016,0.174567,0.670046,0.071082,0.981975,0.029485,0.940311,0.009222,0.953707,0.012217,0.993322,-0.026308,1.0248,0.008495,1.020689,0.006798,1.088882,-0.006237,1.09512,0.014696,1.076297,0.037179,1.109121,0.051503,1.177749,-0.008403,1.256666,0.008392,1.306141,0.029983,1.371202,0.022086,1.406765,0.008948,1.42153,-0.207532,-0.038077,-0.255526,-0.475082,-0.297848,-0.619281,-0.080216,-1.009421,0.063284,-0.627811,-0.239862,-0.675176,-0.133265,-1.064331,-0.016287,-1.283373,-0.114745,-1.349663,-0.015185,-1.43356,0.071719,-1.369227,0.040288,-1.246946,0.108452,-1.047977,-0.000386,-0.886613,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
7.1239,-8.637996,-0.040999,-1.50338,-0.029951,-1.58764,-0.02376,-1.639886,0.104825,-1.625909,0.398492,-1.303046,0.251581,-0.538053,0.255464,0.003158,0.212759,0.507097,0.177039,0.892234,0.21431,1.213699,0.113367,1.572436,0.06173,1.743652,-0.161509,1.68425,0.054742,1.563118,-0.016307,1.610484,-0.058626,1.594955,-0.153977,1.410539,-0.171602,1.059955,-0.1472,0.715972,-0.106223,0.454296,-0.080755,0.272599,-0.060066,0.131666,-0.038049,0.010147,-0.038437,-0.080314,-0.029817,-0.15509,-0.053267,-0.199815,-0.034943,-0.289577,-0.036573,-0.367536,-0.042163,-0.448369,-0.032168,-0.5365,-0.041931,-0.59396,-0.04193,-0.672495,-0.042319,-0.744209,-0.027952,-0.817588,-0.035939,-0.875492,-0.019081,-0.926295,-0.020232,-0.95669,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
9.230064,-8.637996,-0.111413,0.444566,-0.105934,0.245489,-0.023699,0.044638,0.006053,-0.113879,-0.00667,0.018303,0.310127,0.138819,0.351219,0.829884,-0.131122,1.181406,0.025626,1.098628,-0.098538,1.145065,-0.745573,1.160126,0.060483,0.44331,0.025397,0.525847,-0.001874,0.562917,0.011475,0.559707,0.028153,0.57371,0.031046,0.632372,0.020161,0.671175,-0.044556,0.71961,-0.001939,0.670528,0.037776,0.67796,0.134575,0.778744,0.033487,0.902281,-0.032199,0.910201,-0.005787,0.878003,-0.02234,0.838336,-0.374167,0.748399,-0.393202,-0.158945,-0.248849,-0.890979,-0.158077,-1.348521,-0.140752,-1.709242,-0.009014,-1.932669,-0.022116,-1.988265,0.038276,-2.022972,0.059605,-1.894665,0.114943,-1.710097,0.228424,-1.429974,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
8.370083,-8.637996,-0.029241,-0.302348,-0.020836,-0.358379,-0.017509,-0.396024,-0.018151,-0.434195,-0.014591,-0.470731,0.027431,-0.493494,0.271397,-0.333865,0.272054,0.206303,0.213199,0.683561,0.06391,1.056389,0.117751,1.266941,0.055447,1.48508,0.030496,1.675933,-0.008463,1.735758,-0.072956,1.685272,-0.140952,1.598308,-0.130154,1.295394,0.01109,1.06777,-0.221787,-0.100114,-0.09674,-0.551859,-0.033034,-0.780066,-0.120115,-0.725553,-0.075729,-0.922623,-0.057869,-1.059197,0.832577,-1.167318,0.046225,-0.230384,-0.005982,-0.189996,-3.655925,-0.213342,0.000292,-0.210424,-0.011381,-0.23231,-0.011819,-0.265578,-0.016926,-0.288049,-0.017509,-0.294469,-0.005253,-0.301473,-0.535791,-0.110619,0.134969,-0.483134,0.203256,-0.211007,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
