@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute destClass {2,1}

@data
0.106483,-1.275025,0.038946,0.384137,-0.139366,0.943731,0.16919,-1.994117,0.200045,-1.098094,2
0.244938,-3.150501,0.02768,0.503734,0.022279,1.026942,-0.174537,0.65171,0.287476,-2.35969,2
0.170256,-1.92722,-0.03797,0.642692,-0.040786,0.790013,-0.029867,-0.147802,0.284864,-2.19205,1
0.233778,-3.429706,0.044012,1.169632,-0.086943,0.951361,-0.030896,-0.265309,0.264975,-1.862913,1
0.114934,-2.180623,0.137914,0.078821,-0.117496,1.332849,0.012131,-0.831259,0.300085,-1.9725,1
0.187676,-2.003073,-0.0037,0.643801,0.019904,0.781716,-0.230234,1.477872,0.290929,-3.092266,2
0.19726,-2.107616,0.010786,0.945698,-0.099433,1.716026,-0.050812,-0.671655,0.204557,-2.060101,2
0.261569,-3.578841,0.024115,1.309725,-0.084495,0.99378,-0.038329,-0.213829,0.256719,-1.92402,1
0.196325,-1.789813,-0.036439,1.001875,0.01843,0.63032,-0.205065,0.683149,0.311216,-2.897813,2
0.167987,-2.18349,0.04387,1.05659,-0.121995,0.559829,0.018867,-0.611146,0.177758,-1.158718,1
0.181758,-2.581064,-0.049768,0.820075,-0.019443,0.438496,-0.038239,0.394973,0.229236,-1.536269,1
0.165076,-1.911752,0.06112,0.036036,-0.037127,0.440713,-0.0674,0.474971,0.28639,-2.362574,2
0.193667,-2.040258,0.012063,0.927358,-0.117952,1.835016,-0.036534,-0.767508,0.194389,-1.998825,2
0.224482,-3.526577,0.071795,0.609552,-0.089964,1.458368,-0.045057,0.093708,0.247079,-1.92427,1
0.17407,-2.951287,-0.058992,1.486151,-0.060176,0.89051,-0.047376,-0.156265,0.351629,-2.148314,1
0.215214,-2.760835,-0.028975,1.120513,-0.039384,0.901276,-0.048385,0.110405,0.269016,-2.369558,2
0.054579,-1.222688,0.036019,0.355156,0.034025,0.64151,-0.15614,0.940351,0.187392,-1.949486,1
0.178911,-2.802926,0.054588,0.935828,-0.12628,1.287599,-0.037537,-0.541408,0.328259,-2.082151,1
0.195754,-2.25376,0.011872,0.311414,-0.019314,-0.073288,-0.097072,0.743013,0.160922,-0.813356,2
0.166672,-2.313734,0.109722,-0.198668,-0.004715,0.971929,-0.111086,1.155113,0.169111,-2.28834,2
0.163795,-2.052311,0.089693,-0.261064,-0.122511,2.416141,-0.063351,-0.32056,0.205943,-2.019321,2
0.112365,-2.34564,0.043728,0.866086,-0.08361,0.925191,-0.043562,-0.269354,0.374621,-2.384507,1
0.11588,-2.05802,0.061684,0.191606,0.035983,0.710665,-0.136395,1.284595,0.226425,-2.557776,2
