@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute destClass {0,1}

@data
0.029496,-7.886605,0
0.104387,-15.181116,0
0.055673,-11.352203,0
0.12235,-9.62994,0
0.104515,-1.900277,0
-0.019911,5.41375,0
0.166437,-15.036011,0
0.091665,-9.13941,0
0.078551,-6.562631,0
0.01695,5.590352,0
0.159077,2.248176,0
0.128332,-5.361912,0
0.02415,13.109243,0
0.153778,-1.287792,1
0.052268,-9.165176,1
0.111731,-0.672392,1
0.088471,2.420832,0
0.152169,2.867401,0
0.088622,-0.364572,1
0.086561,-7.581536,0
0.085705,1.845923,0
0.125085,-7.357156,0
0.146467,3.000725,0
0.143549,2.972307,1
0.101237,16.953317,1
0.092008,0.524109,1
0.132612,-1.648582,1
0.127226,-9.381088,1
0.065516,7.290871,1
0.081297,-4.549762,1
0.101045,-2.080661,1
0.137734,-5.340867,1
0.123773,-3.805211,1
0.130743,3.171333,1
0.07499,9.46492,1
0.158007,-5.638912,1
0.142168,2.788511,1
0.146044,12.121827,0
0.168221,-4.58546,1
0.083266,-0.323306,0
0.08653,-7.863903,1
0.046007,-8.072869,1
0.051947,-19.383996,1
0.006318,2.991127,1
0.104091,2.262581,1
0.100392,-5.671461,1
0.032189,-3.552357,1
0.122981,4.530323,0
0.110208,0.913857,0
-0.017902,11.854781,1
0.055602,2.717988,1
0.151887,-11.107643,1
0.094914,-5.827103,1
0.080522,-6.503996,1
0.068741,1.445155,1
0.048703,-9.893388,1
0.065581,-13.111994,1
0.170746,5.391312,1
0.017761,-4.928198,1
0.07073,-8.374558,1
0.11137,-10.955781,1
0.048233,2.632812,1
0.172551,19.805368,1
0.136998,-7.924337,1
0.084673,2.367799,1
0.090992,-0.807999,1
0.008736,7.617938,0
0.089929,-2.623036,0
0.081163,-0.475706,0
0.067833,-12.9246,0
0.025198,-4.8538,1
0.144147,-1.076495,1
0.047801,4.667643,0
0.139506,-11.615578,0
0.1345,7.820209,0
0.081481,-4.948415,1
0.100775,-10.189207,0
0.075815,-9.492563,0
0.110332,2.457672,0
0.078172,2.695919,0
0.118713,-2.258521,0
0.029913,-0.552058,0
0.08915,10.141621,0
0.101712,-8.697725,1
0.069841,-5.488356,0
0.060052,-1.048102,0
0.163997,8.951724,0
0.064279,-13.920043,0
0.045627,-18.452996,0
0.025291,13.779218,0
0.070844,-3.291141,0
0.057241,-31.003384,0
0.09088,3.412364,0
0.065193,-1.180021,0
0.140331,-6.4247,0
0.098069,-11.375492,0
0.092091,2.972208,1
0.105254,-1.616125,1
0.088987,11.700657,0
0.156038,-7.385091,0
0.134355,3.308411,1
0.13864,8.333236,0
0.144419,-1.991354,0
0.063312,4.155219,1
0.071597,-15.46514,0
0.093785,-11.309193,0
0.093172,-14.032268,0
0.022825,-6.434841,0
0.1171,-7.312195,0
0.080239,-3.896253,0
0.151025,-2.206598,0
0.08862,-7.060114,0
0.073027,-9.331425,0
0.062431,-10.804735,0
0.132345,0.993577,0
0.199731,-10.120462,0
