@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute destClass {0,1}

@data
-0.054335,-1.125517,-0.23936,-5.235172,0.077241,-12.502069,0.371675,-13.648276,0.171675,-1.151724,-0.14,0.411724,0.082463,-2.757931,-0.425074,1.544138,0.748374,-12.601379,0.409901,-3.214483,0
-0.611675,-2.353793,-0.192611,-11.855172,-0.045911,-14.702069,0.217143,-15.677931,0.863793,-11.551724,0.185714,10.031034,-0.03197,16.723448,-0.097389,17.570345,-0.692217,17.401379,0.783399,-11.853793,0
-0.329064,1.906897,-0.03665,-9.424828,-0.098818,-14.547586,0.184729,-16.068966,0.25069,-10.071724,0.449163,-3.515862,0.15202,5.688966,-0.105074,8.664138,-0.239507,1.83931,0.503167,-7.774234,0
0.152956,-3.989655,-0.380345,-0.99931,0.216256,-15.82069,0.265172,-7.564138,0.287044,-1.049655,0.584335,13.667586,0.21734,24.922758,-0.144729,25.891724,-0.261182,19.328965,0.343202,8.188276,0
0.028571,1.344828,0.106749,-0.349655,0.111084,4.651724,0.111921,4.464138,0.076897,4.095862,0.803695,5.003448,-0.35665,26.451724,0.159951,24.153793,0.048719,30.814482,-0.047537,16.782759,0
0.565714,-3.085517,0.157537,2.477241,0.120591,5.028966,0.123645,9.082759,-0.304335,-0.591034,0.048966,-2.609655,-0.106355,2.202759,-0.116946,2.664828,0.194631,-3.031724,0.371675,-1.544827,0
-0.139655,-7.362069,-0.079852,-10.626897,0.242266,-12.374483,-0.032759,-3.393103,0.19867,4.091035,0.750542,9.709655,0.295566,21.965517,-0.284778,29.669655,-0.268867,28.115862,0.162759,18.531724,0
-0.264729,-6.266207,-0.094483,-12.511724,0.122857,-8.561379,0.560394,-4.662759,-0.256601,11.94069,0.761133,3.995862,-0.076552,21.795862,-0.695665,22.932414,-0.081232,6.268276,0.670936,-2.913793,0
0.139951,-1.676552,-0.083547,4.511035,-0.203645,-3.717931,-0.065517,-5.537931,0.677241,-12.777931,0.252414,4.117931,-0.231182,12.329655,0.595764,3.804138,-0.305419,22.803448,0.53069,5.728965,0
0.45399,-0.80069,-0.150394,6.484828,-0.187438,8.124138,0.233793,-3.90069,0.323892,8.806897,-0.211429,22.594483,-0.052414,14.468276,-0.459163,12.95931,-0.216897,6.077931,0.885517,-3.090345,0
0.15266,1.445517,0.323054,-2.74,0.590542,6.63931,0.081379,18.450345,0.180591,17.351034,0.284926,30.631725,-0.04266,41.183448,0.090788,40.663449,0.002512,42.937241,-0.115567,34.111035,0
-0.247537,1.713793,-0.260591,0.844828,0.266502,-7.062069,-0.520246,16.821379,1.424975,-11.770345,0.558818,9.659311,-0.234335,35.404827,-0.086552,30.335862,-0.52468,32.262758,0.875517,6.084138,0
0.447783,8.127586,0.243695,15.212414,-0.163744,15.926897,0.218818,9.574483,-0.243054,15.137241,0.347143,7.491724,0.04069,20.457931,0.227389,22.016552,-0.260246,22.822758,-0.037537,17.728966,0
0.005468,0.537242,-0.460591,2.293103,0.38936,-4.613103,0.115566,22.599311,0.301133,22.535862,0.148719,28.211034,-0.027832,31.172413,-0.097192,35.567586,0.095369,31.361379,0.141921,31.099311,1
0.197833,-3.25931,-0.319852,-3.901379,-0.109064,-10.507586,0.010542,-11.761379,0.564138,-10.618621,0.202906,-0.206207,-0.063498,6.557931,-0.073645,6.468966,-0.327389,8.062759,0.665025,-7.417241,1
0.052562,-4.735862,0.133547,-0.842069,0.566207,-6.823448,0.223399,15.389655,-0.285025,24.659311,0.292709,18.498621,-0.043793,26.482069,-0.146108,23.948966,0.123399,21.586207,0.428079,17.734483,1
-0.03133,5.466207,-0.105468,6.442069,0.02197,4.754483,0.385468,3.768965,0.146847,11.195862,0.180296,19.382758,0.112611,23.016551,-0.119901,24.388965,-0.114828,25.824828,0.47202,14.54,0
