@relation Regression

@attribute slope1 numeric
@attribute intercept1 numeric
@attribute slope2 numeric
@attribute intercept2 numeric
@attribute slope3 numeric
@attribute intercept3 numeric
@attribute slope4 numeric
@attribute intercept4 numeric
@attribute slope5 numeric
@attribute intercept5 numeric
@attribute slope6 numeric
@attribute intercept6 numeric
@attribute slope7 numeric
@attribute intercept7 numeric
@attribute slope8 numeric
@attribute intercept8 numeric
@attribute slope9 numeric
@attribute intercept9 numeric
@attribute slope10 numeric
@attribute intercept10 numeric
@attribute slope11 numeric
@attribute intercept11 numeric
@attribute slope12 numeric
@attribute intercept12 numeric
@attribute slope13 numeric
@attribute intercept13 numeric
@attribute slope14 numeric
@attribute intercept14 numeric
@attribute slope15 numeric
@attribute intercept15 numeric
@attribute slope16 numeric
@attribute intercept16 numeric
@attribute slope17 numeric
@attribute intercept17 numeric
@attribute slope18 numeric
@attribute intercept18 numeric
@attribute slope19 numeric
@attribute intercept19 numeric
@attribute slope20 numeric
@attribute intercept20 numeric
@attribute destClass {0,1}

@data
0.321786,-4.045833,-0.738929,2.9325,0.046071,-7.289167,-0.472143,-7.728333,0.144286,-12.303333,0.161786,-12.5325,0.037857,-10.958333,0.484643,-6.965833,0.2925,-1.100833,-0.0425,3.210833,0.096044,-3.631429,-0.356703,-0.602857,0.086154,-1.731429,-0.522198,2.508572,-0.08967,-1.16,-0.914725,-2.997143,1.679121,-16.728571,-0.105714,4.18,-0.506374,3.805714,2.515165,-11.877143,0
0.548929,-8.669166,-0.251429,-15.68,0.301071,-14.240833,-0.027857,-16.698333,0.117857,-15.498334,0.006071,-16.275833,0.217857,-14.745,0.127143,-11.416667,1.085714,-9.733333,0.323571,7.001667,0.107473,11.494286,0.489011,12.242857,-0.327033,17.625714,0.242418,15.245714,-0.089451,17.102857,-0.193187,16.52,-0.459341,15.214286,-0.81978,7.114286,-0.377143,-3.748571,2.92989,-14.722857,0
0.728571,-4.313333,-0.5675,-2.894167,-0.083214,-9.184167,-0.536071,-6.874167,-0.255714,-13.39,0.352857,-18.936667,0.2175,-16.1625,0.281071,-12.9875,0.473571,-10.608333,0.004286,-4.316667,0.712527,-1.931429,0.002198,6.371429,0.002418,6.734286,0.033407,9.368572,-0.203736,8.674286,-0.192967,7.14,-0.264396,1.268571,-0.283516,-1.542857,0.162418,-3.634286,2.340578,-13.797114,0
0.900357,-8.529166,-0.041786,-1.034167,-0.215714,-2.89,-0.813929,-4.0425,0.001786,-14.265833,0.718214,-14.480834,0.149286,-7.325,-0.075714,0.083333,0.143929,1.019167,1.092857,1.13,0.418681,17.4,-0.136923,28.04,-0.063077,27.488571,0.32,27.662858,-0.397143,25.588571,-0.234066,25.014286,-0.085055,17.002857,-0.337802,15.774286,-0.192967,13.082857,2.092088,0.68,0
1.098214,-5.280833,-0.317857,3.418333,0.267143,-1.23,0.446786,-1.180833,0.992857,0.53,0.519643,1.455833,0.474643,2.1775,-0.153929,7.744167,1.067143,-2.083333,0.23,3.49,0.451648,10.614286,0.548352,22.757143,-0.132527,22.525714,0.77978,14.688571,0.678681,21.302857,0.139121,26.817143,-0.070769,32.302856,0.456044,28.385714,-2.135604,29.131428,2.361319,0.58,0
1.279286,-8.155,-0.585714,12.526667,-0.203571,5.525,0.193571,3.945,0.229286,5.368333,-0.001071,7.074167,0.3,9.093333,-0.226786,12.9475,-0.027143,-8.783333,0.150357,-5.705833,0.021099,-1.208571,0.465275,-3.86,-0.338901,3.202857,0.358242,-2.142857,0.272308,0.265714,-0.5,2.428571,0.038242,-2.362857,-0.062198,3.582857,-1.316484,8.1,2.272308,-7.891428,0
0.066429,-8.905,-0.456071,-7.220833,-0.417143,-8.466667,0.077857,-12.545,0.016071,-10.939167,0.2925,-7.560833,-0.386786,-1.659167,0.712857,-6.463333,0.775714,1.343333,-0.236071,9.779167,1.074286,13.36,-0.246374,26.965714,0.62989,20.891428,0.409011,26.262857,-0.417143,28.925715,-0.488791,26.377143,-0.087033,28.822857,0.058242,20.557143,-0.494286,23.662857,1.72022,9.925714,0
0.173571,-8.521666,-0.013929,-12.709166,-0.005357,-12.715833,0.28,-17.04,0.21,-7.976667,-0.387143,-3.616667,1.746786,-8.6875,0.448571,3.96,-0.943214,15.2225,-0.098571,6.683333,1.795165,2.717143,0.247692,19.64,0.284835,18.362857,-0.289011,21.814285,-0.688791,22.434286,-0.001099,6.514286,-0.114725,6.074286,0.210769,3.18,-0.352527,4.32,2.45956,-5.022857,0
0.946071,-7.069166,-0.554643,4.795833,-0.142143,5.641667,0.0375,1.584167,-0.058571,-5.476667,0.091786,-9.0025,0.405714,-7.893333,-0.484286,-5.216667,0.94,-12.36,0.154643,2.4375,0.244615,5.717143,-0.129011,10.274286,-0.05978,12.46,-0.063297,5.997143,0.613187,5.328571,0.416483,14.214286,0.084176,21.817143,-0.217802,16.108571,-0.360659,10.908571,1.094505,10.671429,0
1.369643,-6.194166,0.258214,6.105833,-0.351071,7.5175,0.176429,2.271667,0.017857,6.761667,-0.956071,9.059167,0.134643,-2.729167,0.512143,-0.405,0.312143,11.108333,0.369643,14.339167,-0.239341,23.905714,-0.135385,16.665714,-0.131868,14.242857,-0.403736,15.817143,-0.921319,14.831429,0.17978,2.16,-0.972308,9.477143,-0.090769,2.954286,0.261978,1.925714,2.17033,1.314286,0
1.252143,-5.351666,-0.388571,6.186667,0.170714,-0.628333,1.547857,-6.061667,0.302143,7.318333,-0.226071,23.229167,-0.343214,20.5425,0.125714,20.293333,-0.301786,19.539167,1.025,18.845,-0.042198,33.545715,0.377802,36.237143,-0.23978,42.394286,0.096044,39.954285,0.13956,40.285715,-0.067692,43.211429,-0.061978,43.374285,-0.153187,43.96,-1.166154,40.422858,1.24022,23.474286,0
0.428571,-1.533333,0.309286,-7.278333,-0.164643,0.559167,-0.209643,-3.979167,0.336071,-6.859167,0.463214,-3.8025,1.395714,9.276667,-0.228214,0.024167,0.566429,-3.445,0.841071,16.165833,0.327033,8.46,1.316483,20.542858,-1.032967,38.528572,0.072088,30.731429,0.306593,27.571428,-0.161538,29.1,-0.811648,33.282857,-1.016264,27.148571,-0.593846,14.245714,1.00945,20.145715,0
1.581071,0.605833,-0.617857,21.191667,0.736429,12.371667,-0.874643,25.355833,2.036429,4.445,0.548214,5.349167,0.705714,5.88,-0.063929,14.5875,-0.304286,14.83,-0.203214,11.555833,0.577363,6.211428,0.445714,14.431429,-0.18022,22.471429,0.421538,19.031428,0.022418,23.311428,0.192967,26.06,-1.397582,28.548571,0.791648,13.14,-0.909231,23.874286,1.90044,3.582857,0
1.458929,-8.0325,-0.201071,0.3475,-0.619643,3.490833,0.243214,-9.269167,0.277143,-3.006667,1.045357,-1.710833,-0.5175,30.102501,0.210357,23.134167,0.376429,21.805,-0.390714,32.488334,0.576264,27.182858,-0.121099,31.522857,-0.303077,32.877143,0.397582,28.865714,0.738242,30.922857,-0.555385,35.402857,0.385714,30.700001,0.077143,32.42,-0.225055,34.191429,1.279121,25.057143,1
1.094286,-8.886667,-0.315,2.285,-0.419286,-3.191667,0.344286,-13.423333,-0.286786,-10.039167,0.051429,-12.926667,0.048214,-11.6775,0.186429,-12.518333,0.419286,-7.615,0.0125,2.325833,0.362857,-0.751429,0.111429,4.411429,-0.232088,7.594286,0.413846,3.174286,-0.063516,5.291429,0.030769,5.171429,0.148791,5.24,-0.329451,2.034286,0.133846,-2.491429,2.338242,-9.462857,1
0.555357,-7.5075,0.183571,-5.525,-0.070714,0.708333,0.067857,1.371667,0.303571,-5.398333,0.835357,2.339167,-0.037857,18.305,0.605714,17.633333,-0.378929,23.4125,0.026429,18.775,0.292747,19.554286,0.591648,23.097143,-0.114945,24.811429,-0.183956,27.188571,-0.394725,24.565714,-0.21011,22.708571,-0.234066,24.042857,0.368571,21.982857,-0.093187,21.334286,1.354945,17.9,1
0.911786,-0.1825,-0.185,5.181667,0.158929,4.680833,-0.231786,5.649167,0.516786,2.1425,0.060714,3.961667,0.705714,3.22,0.456071,8.980833,-0.475357,14.474167,0.5775,13.5975,0.257582,19.911429,0.278901,21.437143,-0.58,27.191428,0.108571,25.651429,-0.296264,24.24,-0.261758,24.122857,-0.178462,26.217143,-0.459341,26.714286,0.087473,17.802857,2.133846,9.751429,0
1.244286,-7.156666,-0.344643,5.319167,0.161429,1.756667,0.091429,4.673333,0.343214,8.030833,0.435714,10.263333,0.096786,19.489167,0.462143,16.965,0.120714,19.308333,0.5225,22.662501,1.208352,25.231429,0.529011,38.84,-0.205934,44.874286,0.257802,40.031428,0.272088,43.245714,-0.188352,47.531429,-1.124615,50.617144,-0.328352,30.791429,-0.033187,27.951428,1.557582,21.068572,0
0.910357,-10.005833,-0.295,0.518333,0.131071,-2.8175,0.330357,-3.2525,0.268929,1.204167,0.346429,3.401667,0.359286,10.871667,0.427143,14.563333,-0.096071,18.799167,0.272143,16.808333,0.014725,18.054286,0.008571,17.294286,-0.053187,15.317143,0.882198,14.708572,-0.117143,20.582857,0.474066,16.854286,-0.25033,19.334286,-0.263516,18.734285,0.305055,14.288571,1.880659,10.24,1
0.625357,-9.490833,-0.561786,-4.474167,0.111071,-8.4575,0.1275,-10.4725,0.296786,-7.930833,-0.04,-5.866667,0.196786,-8.2175,0.651071,-3.184167,0.071429,7.06,0.565357,10.309167,0.510769,13.308572,-0.080659,19.274286,-0.212308,22.165714,0.150549,18.442857,-0.271429,20.885714,-0.509231,14.788571,-0.313187,7.914286,-0.61011,5.494286,0.42,1.462857,2.185934,-1.637143,0
2.003214,-11.9825,-0.721429,14.89,-0.535,8.725,0.703571,3.241667,-0.113214,12.8725,-0.363571,2.478333,-0.585,7.535,-0.122857,1.713333,1,-1.693333,0.022857,4.846667,0.948352,10.428571,0.578462,24.211428,-0.173846,30.108572,-0.092308,29.057144,0.329011,28.697143,0.277143,28.291429,0.182418,32.185714,-1.749451,30.971428,-0.327033,10.754286,2.121099,1.12,0
0.748571,-8.786666,-0.449286,-1.481667,-0.060357,-3.170833,-0.118929,-1.520833,0.3975,-2.949167,-0.053571,-1.205,-0.206786,0.934167,0.725357,-4.270833,-0.507857,8.015,0.311071,2.669167,1.660659,1.82,0.262637,20.5,0.125275,29.857143,0.032528,32.317143,-0.551429,32.462858,0.430769,24.414286,-0.222418,28.36,-0.116264,22.191429,-0.518462,15.248571,1.275824,6.085715,0
0.938571,-9.916666,0.195714,-0.71,0.285357,-0.0175,-0.144643,5.965833,0.928214,10.4625,-0.441429,21.45,-0.229286,19.398334,-0.976071,19.419167,0.251429,6.793333,1.873571,5.638333,1.008132,37.44,-0.257802,54.697143,0.402637,50.382858,-0.62,54.78,-0.122418,50.26,-0.464835,48.728572,-0.66989,29.425714,0.652527,19.565715,-0.466593,25.925714,1.538901,18.654286,0
0.7225,-8.144166,-0.123571,-0.101667,-0.099643,0.844167,0.358214,1.225833,0.85,1.516667,0.401071,14.505833,-0.1,22.519999,-0.078571,26.85,-0.110714,28.555,0.4575,29.690833,0.324615,34.397143,-0.062198,36.568572,0.187912,37.985714,-0.081978,35.725715,0.158681,36.811429,0.250549,36.600001,-0.450989,41.788573,-0.526593,33.722857,-0.065494,25.925714,1.631209,19.911429,1
1.961071,-5.234166,0.675714,15.47,0.036429,20.758333,-0.231071,24.570833,0.5,19.906667,-0.053929,27.410833,-0.3325,27.454166,0.663214,23.364166,-0.064286,32.41,0.015,31.628333,0.660879,32.368571,0.186813,38.214286,-0.285055,42.617143,0.634945,37.094286,0.24967,40.934285,-0.076703,43.177143,-0.616923,42.774286,0.283077,28.717143,1.60022,31.634286,0.605055,38.531429,1
1.173929,-9.4175,-0.220714,3.505,0.082857,-0.98,0.157857,-1.105,-0.223214,4.169167,0.130714,2.905,0.374643,2.3175,0.343214,5.844167,0.441071,13.6125,0.290357,22.934166,0.480659,23.754286,-0.636264,32.285714,-0.034066,29.542858,-0.402637,26.902857,0.341978,23.32,-0.297363,19.14,-0.171429,21.542857,-0.351429,16.291429,0.177582,14.331429,1.702637,7.84,1
1.171429,-8.146666,-0.234643,3.415833,0.096786,2.075833,0.077143,2.246667,0.057857,2.895,0.089286,7.215,-0.307857,6.108333,0.644643,2.314167,0.589286,10.201667,0.689643,19.445834,-0.071868,29.36,0.006154,28.831428,0.274725,27.328571,0.11956,28.494286,0.005055,30.56,-0.000659,33.125714,-0.290769,29.711428,0.185494,25.437143,-0.109451,26.368571,1.638901,19.411428,1
0.868214,-9.2175,-0.1,-1.986667,-0.183214,-5.084167,-0.02,-2.533333,0.703214,-10.195833,0.260714,1.675,-0.118929,3.059167,0.343214,-0.3825,-0.094643,5.629167,-0.179643,6.190833,-0.114286,7.971429,0.51956,8.351428,-0.181538,16.58,-0.314725,19.345715,0.32022,15.282857,-0.113407,21.122857,0.246813,18.874286,0.007692,24.085714,0.114725,23.754285,1.430769,21.342857,1
2.568571,-12.633333,-0.7425,18.5375,0.037857,8.108333,0.116429,10.658333,-0.294643,13.1625,-0.135,10.071667,0.238929,7.9075,0.016071,10.980833,0.225,13.031667,0.179643,15.3425,0.412527,16.04,0.179121,22.471428,-0.060879,27.502857,0.393626,24.291429,0.012747,27.131428,-0.679341,27.408571,0.104396,18.457143,-0.143956,19.571429,-0.338242,23.962857,1.836044,10.594286,1
0.311429,-4.8,-0.083571,-7.575,0.035714,-8.51,0.610714,-11.601667,1.051786,-8.529167,0.134286,3.513333,0.261429,5.743333,0.283929,2.6125,0.9925,1.459167,0.123929,17.1325,-0.181978,18.725715,-0.235165,17.585714,0.133187,12.362857,-0.163077,14.345714,-0.065934,11.957143,-0.184396,12.977143,-0.152527,12.462857,0.039341,9.022857,-0.203297,11.257143,2.935165,-0.7,1
1.3625,-12.8775,0.025,1.978333,-0.042143,7.375,0.116071,7.920833,-0.539643,8.510833,0.245,0.658333,0.072857,5.636667,-0.155,7.958333,0.256071,3.714167,0.348929,7.204167,0.264176,12.125714,0.521319,12.782857,-0.121319,20.345714,0.177143,19.377143,0.443516,11.017143,0.205275,17.28,0.31978,18.614286,0.241538,22.622857,0.317363,24.208572,0.994066,25.645714,1
0.779286,-11.795,-0.179286,-3.151667,0.06,-6.673333,0.9525,-14.0075,-0.183214,-1.4175,0.086071,-5.055833,0.648571,-4.466667,0.68,3.506667,0.986071,12.4575,0.452857,27.696666,0.023077,34.942857,0.672967,32.397143,-0.072967,40.617142,0.410769,39.080001,-1.894725,41.88,-0.305934,20.731429,0.272967,15.368571,-0.061319,15.791429,-0.011429,15.174286,1.210549,15.060001,1
-0.579643,7.084167,-0.098571,0.703333,-0.414643,-1.8375,-0.001429,-9.09,-1.036429,7.775,0.629286,-3.738333,0.003571,6.728333,0.525,7.798333,0.109286,17.181667,0.240714,17.475,0.365714,22.094286,-0.16044,23.328572,0.89033,17.662857,-0.622198,30.551429,-0.19011,28.385715,-0.065714,28.048571,-0.34044,22.948571,0.149451,20.814286,-0.079341,20.908571,1.808352,16.517143,1
0.931786,-4.175833,0.310714,3.431667,-0.77,7.283333,0.4425,-0.504167,0.785357,7.409167,0.418214,17.159166,-0.669286,25.118333,0.413929,19.389167,-0.284396,24.005714,0.231209,23.64,-0.343516,24.568571,-0.253846,24.828571,1.107912,21.934286,0.428132,26.402858,-0.252308,34.754285,-0.071648,35.351429,0.022857,29.622857,-0.277143,37.522857,0.02044,34.374285,1.443297,28.225714,1
2.818809,-3.202777,0.216786,9.409166,0.268214,11.809166,0.359286,13.818333,-0.183929,13.4075,-0.431786,21.269167,-0.011429,11.346667,0.425357,7.629167,-0.0825,14.950833,0.227143,18.476667,0.321099,20.329524,0.048132,22.775238,0.15033,25.375238,-0.043736,26.615238,-0.739341,25.615238,0.581099,18.10381,-0.358022,30.44381,0.633407,27.249524,0.129011,29.892381,1.214798,27.080001,1
0.779286,-5.101666,0.161071,2.699167,-0.024286,2.323333,-0.078214,3.954167,-0.085714,3.3,-0.795714,9.443334,0.408929,0.210833,-0.203214,3.709167,0.729286,-2.331667,0.352143,8.261667,0.395824,18.162857,0.298681,25.28,0.66022,27.737143,0.031209,35.154287,-0.038901,35.917143,0.074945,36.734286,0.039121,37.188571,-0.848571,33.451428,1.252527,23.122857,1.214945,25.688571,1
0.893095,-3.176111,-0.080357,4.289167,-0.048571,2.206667,-0.031786,0.869167,0.023214,0.030833,0.401786,2.9675,0.871786,6.530833,1.445,16.485,0.100357,40.804167,-0.009286,39.118333,0.306373,32.046667,0.412088,40.52381,-0.472528,45.809524,-1.634505,46.398095,0.064396,25.569524,-0.103956,25.420953,0.407912,26.572381,-0.245494,34.91238,0.333187,27.100952,1.974359,27.442858,1
1.883571,-7.471667,0.204286,14.736667,0.057857,14.055,0.196429,16.391666,0.355,19.255,0.722143,19.045,-0.121071,30.9275,0.506786,31.079166,-0.016786,34.884166,0.113928,33.602501,0.216044,35.774286,-0.06,37.068572,0.198681,39.551429,0.221319,40.64,-0.129231,47.097143,0.056264,46.148572,0.084835,46.277143,-0.188791,44.377142,0.06989,47.845714,1.495824,40.162857,0
